index,source,target,category,annotation
1,"本手册页内容摘自GNU C 编译器的完整文档,仅限于解释选项的含义.","This manual page is taken from the full documentation of the GNU C compiler, and is limited to explaining the meaning of the options.",accuracy,"```
MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none
```"
1,"本手册页内容摘自GNU C 编译器的完整文档,仅限于解释选项的含义.","This manual page is taken from the full documentation of the GNU C compiler, and is limited to explaining the meaning of the options.",audience_appropriateness,"MQM annotations:
no error"
1,"本手册页内容摘自GNU C 编译器的完整文档,仅限于解释选项的含义.","This manual page is taken from the full documentation of the GNU C compiler, and is limited to explaining the meaning of the options.",design_and_markup,"```
MQM annotations:
design and markup errors:
no error
```"
1,"本手册页内容摘自GNU C 编译器的完整文档,仅限于解释选项的含义.","This manual page is taken from the full documentation of the GNU C compiler, and is limited to explaining the meaning of the options.",linguistic_conventions,"MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence."
1,"本手册页内容摘自GNU C 编译器的完整文档,仅限于解释选项的含义.","This manual page is taken from the full documentation of the GNU C compiler, and is limited to explaining the meaning of the options.",locale_conventions,"```
locale conventions:

MQM annotations:
```"
1,"本手册页内容摘自GNU C 编译器的完整文档,仅限于解释选项的含义.","This manual page is taken from the full documentation of the GNU C compiler, and is limited to explaining the meaning of the options.",style,"MQM annotations:
Styles error:
minor: style/Unnatural Flow - The phrase ""is taken from"" sounds slightly unnatural in this context. ""Is excerpted from"" or ""is derived from"" would be slightly more natural."
1,"本手册页内容摘自GNU C 编译器的完整文档,仅限于解释选项的含义.","This manual page is taken from the full documentation of the GNU C compiler, and is limited to explaining the meaning of the options.",terminology,"```
MQM annotations:
```"
2,"除非有人自愿维护, EURo文件，Info文件是权威文档.",EURo and Info documents are authoritative unless someone volunteers to maintain them.,accuracy,"```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
2,"除非有人自愿维护, EURo文件，Info文件是权威文档.",EURo and Info documents are authoritative unless someone volunteers to maintain them.,audience_appropriateness,"```
MQM annotations:
audience appropriateness error: no-error
```"
2,"除非有人自愿维护, EURo文件，Info文件是权威文档.",EURo and Info documents are authoritative unless someone volunteers to maintain them.,design_and_markup,"```
MQM annotations:
design and markup errors:
no error
```"
2,"除非有人自愿维护, EURo文件，Info文件是权威文档.",EURo and Info documents are authoritative unless someone volunteers to maintain them.,linguistic_conventions,"MQM annotations:
linguistic conventions errors:
minor: capitalization/incorrect - ""EURo"" should be ""Euro""
minor: punctuation/omission - There should be a comma after ""EURo"""
2,"除非有人自愿维护, EURo文件，Info文件是权威文档.",EURo and Info documents are authoritative unless someone volunteers to maintain them.,locale_conventions,"```
MQM annotations:
```"
2,"除非有人自愿维护, EURo文件，Info文件是权威文档.",EURo and Info documents are authoritative unless someone volunteers to maintain them.,style,"MQM annotations:
minor: Unnatural Flow - The phrase ""unless someone volunteers to maintain them"" sounds slightly awkward and could be rephrased for better flow."
2,"除非有人自愿维护, EURo文件，Info文件是权威文档.",EURo and Info documents are authoritative unless someone volunteers to maintain them.,terminology,"```
MQM annotations
Terminology errors:
minor: WRONG TERM - ""EURo"" should be ""Euro"".
```"
3,"如果发现手册页和软件之间有所矛盾,请查对Info","If you find a discrepancy between the manual pages and the software, please consult Info",accuracy,"```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
3,"如果发现手册页和软件之间有所矛盾,请查对Info","If you find a discrepancy between the manual pages and the software, please consult Info",audience_appropriateness,"MQM annotations:
minor: culture-specific reference/jargon - ""Info"" is a specific system (GNU Info) often used in Unix-like environments. While technically accurate, it may not be familiar to a general audience and could benefit from clarification or replacement with a more universally understood term like ""documentation"" or ""help system."""
3,"如果发现手册页和软件之间有所矛盾,请查对Info","If you find a discrepancy between the manual pages and the software, please consult Info",design_and_markup,"MQM annotations:
design and markup errors:
critical: no-error
major: no-error
minor: no-error"
3,"如果发现手册页和软件之间有所矛盾,请查对Info","If you find a discrepancy between the manual pages and the software, please consult Info",linguistic_conventions,"MQM annotations:
linguistic conventions errors:
minor: capitalization/incorrect - ""Info"" should not be capitalized."
3,"如果发现手册页和软件之间有所矛盾,请查对Info","If you find a discrepancy between the manual pages and the software, please consult Info",locale_conventions,"locale conventions:

MQM annotations:
no error"
3,"如果发现手册页和软件之间有所矛盾,请查对Info","If you find a discrepancy between the manual pages and the software, please consult Info",style,"MQM annotations:
minor: style/unnatural flow - The phrase ""please consult Info"" is grammatically correct, but sounds slightly unnatural. A more natural phrasing might be ""check the Info documentation"" or ""refer to Info""."
3,"如果发现手册页和软件之间有所矛盾,请查对Info","If you find a discrepancy between the manual pages and the software, please consult Info",terminology,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - ""Info"" should be ""info"".
```"
4,"如果我们发觉本手册页的内容由于过时而导致明显的混乱和抱怨时,我们就停止发布它.不可能有其他选择,象更新Info文件同时更新man 手册, 因为其他维护Gnu cc 的工作没有留给我们时间做这个.GNU 工程认为man 手册是过时产物, 应该把时间用到别的地方.","If we find that the content of this manual page is causing obvious confusion or complaints due to its obsolescence, we will stop publishing it. There cannot be another option, like updating the Infob file at the same time as updating the man manual, because other maintenance jobs for Gnu cc have not left us time to do this. The GNU engineering considers the man manual to be obsolete and should spend time elsewhere.",accuracy,"```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: accuracy/mistranslation - ""Gnu engineering"" should be ""GNU project"". In the source text, it mentions “GNU 工程认为man 手册是过时产物”, which means “GNU project thinks man manual is an obsolete product”. The translation incorrectly translated “GNU 工程” to “Gnu engineering”.
[Minor]: no-error
```"
4,"如果我们发觉本手册页的内容由于过时而导致明显的混乱和抱怨时,我们就停止发布它.不可能有其他选择,象更新Info文件同时更新man 手册, 因为其他维护Gnu cc 的工作没有留给我们时间做这个.GNU 工程认为man 手册是过时产物, 应该把时间用到别的地方.","If we find that the content of this manual page is causing obvious confusion or complaints due to its obsolescence, we will stop publishing it. There cannot be another option, like updating the Infob file at the same time as updating the man manual, because other maintenance jobs for Gnu cc have not left us time to do this. The GNU engineering considers the man manual to be obsolete and should spend time elsewhere.",audience_appropriateness,"MQM annotations:
audience appropriateness error:
[Critical]: no-error
[Major]: no-error
[Minor]: no-error"
4,"如果我们发觉本手册页的内容由于过时而导致明显的混乱和抱怨时,我们就停止发布它.不可能有其他选择,象更新Info文件同时更新man 手册, 因为其他维护Gnu cc 的工作没有留给我们时间做这个.GNU 工程认为man 手册是过时产物, 应该把时间用到别的地方.","If we find that the content of this manual page is causing obvious confusion or complaints due to its obsolescence, we will stop publishing it. There cannot be another option, like updating the Infob file at the same time as updating the man manual, because other maintenance jobs for Gnu cc have not left us time to do this. The GNU engineering considers the man manual to be obsolete and should spend time elsewhere.",design_and_markup,"```
MQM annotations:
design and markup errors:
None
```"
4,"如果我们发觉本手册页的内容由于过时而导致明显的混乱和抱怨时,我们就停止发布它.不可能有其他选择,象更新Info文件同时更新man 手册, 因为其他维护Gnu cc 的工作没有留给我们时间做这个.GNU 工程认为man 手册是过时产物, 应该把时间用到别的地方.","If we find that the content of this manual page is causing obvious confusion or complaints due to its obsolescence, we will stop publishing it. There cannot be another option, like updating the Infob file at the same time as updating the man manual, because other maintenance jobs for Gnu cc have not left us time to do this. The GNU engineering considers the man manual to be obsolete and should spend time elsewhere.",linguistic_conventions,"```
MQM annotations:
linguistic conventions errors:
minor: capitalization/incorrect - ""Infob"" should be ""Info"".
minor: grammar/word_choice - ""engineering"" should be ""engineers"".
minor: punctuation/missing - Missing comma after ""GNU"".
```"
