index,rater,source,target,category,severity
1,57056787,"本手册页内容摘自GNU C 编译器的完整文档,仅限于解释选项的含义.","This manual page is taken from the full documentation of the GNU C compiler, and is limited to explaining the meaning of the options.",Fluency/Grammar,Minor
1,57056787,"本手册页内容摘自GNU C 编译器的完整文档,仅限于解释选项的含义.","This manual page is taken from the full documentation of the GNU C compiler, and is limited to explaining the meaning of the options.",Fluency/Grammar,Minor
1,57056787,"本手册页内容摘自GNU C 编译器的完整文档,仅限于解释选项的含义.","This manual page is taken from the full documentation of the GNU C compiler, and is limited to explaining the meaning of the options.",Source issue,Minor
1,57056787,"本手册页内容摘自GNU C 编译器的完整文档,仅限于解释选项的含义.","This manual page is taken from the full documentation of the GNU C compiler, and is limited to explaining the meaning of the options.",Style/Unnatural or awkward,Minor
1,57056787,"本手册页内容摘自GNU C 编译器的完整文档,仅限于解释选项的含义.","This manual page is taken from the full documentation of the GNU C compiler, and is limited to explaining the meaning of the options.",Style/Unnatural or awkward,Minor
2,57056787,"除非有人自愿维护, EURo文件，Info文件是权威文档.",EURo and Info documents are authoritative unless someone volunteers to maintain them.,Source issue,Minor
2,57056787,"除非有人自愿维护, EURo文件，Info文件是权威文档.",EURo and Info documents are authoritative unless someone volunteers to maintain them.,Source issue,Minor
3,57056787,"如果发现手册页和软件之间有所矛盾,请查对Info","If you find a discrepancy between the manual pages and the software, please consult Info",Fluency/Inconsistency,Minor
3,57056787,"如果发现手册页和软件之间有所矛盾,请查对Info","If you find a discrepancy between the manual pages and the software, please consult Info",Fluency/Punctuation,Minor
3,57056787,"如果发现手册页和软件之间有所矛盾,请查对Info","If you find a discrepancy between the manual pages and the software, please consult Info",Source issue,Minor
3,57056787,"如果发现手册页和软件之间有所矛盾,请查对Info","If you find a discrepancy between the manual pages and the software, please consult Info",Source issue,Minor
