index,source,target,annotation
1,"本手册页内容摘自GNU C 编译器的完整文档,仅限于解释选项的含义.","This manual page is taken from the full documentation of the GNU C compiler, and is limited to explaining the meaning of the options.","MQM annotations:

Accuracy Errors
[Minor]: Omission - The translation omits the phrase ""仅限于解释选项的含义"" (limited to explaining the meaning of the options).

Terminology Errors
[No-error]

Linguistic Convention Errors
[No-error]

Style Errors
[No-error]

Locale Conventions Errors
[No-error]

Audience Appropriateness Errors
[No-error]

Design and Markup Errors
[No-error]"
2,"除非有人自愿维护, EURo文件，Info文件是权威文档.",EURo and Info documents are authoritative unless someone volunteers to maintain them.,"MQM annotations:

Accuracy Errors
[Minor]: Omission - The translation omits the phrase ""unless someone volunteers to maintain them"".

Terminology Errors
[No-error]

Linguistic Convention Errors
[No-error]

Style Errors
[Major]: Awkward expression - The phrase ""EURo and Info documents are authoritative unless someone volunteers to maintain them"" is an awkward and unnatural way of expressing the original meaning.

Locale Conventions Errors
[No-error]

Audience Appropriateness Errors
[No-error]

Design and Markup Errors
[No-error]"
3,"如果发现手册页和软件之间有所矛盾,请查对Info","If you find a discrepancy between the manual pages and the software, please consult Info","MQM annotations:

Accuracy Errors
[Minor]: Omission - The translation omits the phrase ""please consult Info"" which is present in the source text.

Terminology Errors
[No-error]

Linguistic Convention Errors
[No-error]

Style Errors
[No-error] 

Locale Conventions Errors
[No-error]

Audience Appropriateness Errors
[No-error]

Design and Markup Errors
[No-error]"
4,"如果我们发觉本手册页的内容由于过时而导致明显的混乱和抱怨时,我们就停止发布它.不可能有其他选择,象更新Info文件同时更新man 手册, 因为其他维护Gnu cc 的工作没有留给我们时间做这个.GNU 工程认为man 手册是过时产物, 应该把时间用到别的地方.","If we find that the content of this manual page is causing obvious confusion or complaints due to its obsolescence, we will stop publishing it. There cannot be another option, like updating the Infob file at the same time as updating the man manual, because other maintenance jobs for Gnu cc have not left us time to do this. The GNU engineering considers the man manual to be obsolete and should spend time elsewhere.","MQM annotations:

Accuracy Errors
[Minor]: Omission - The translation omits the phrase ""Info file"" when mentioning the option of updating the Info file along with the man manual.

Terminology Errors
[No-error]

Linguistic Convention Errors
[No-error]

Style Errors
[Major]: Awkward expression - The phrasing ""There cannot be another option, like updating the Infob file at the same time as updating the man manual"" is awkward and could be improved.

Locale Conventions Errors
[No-error]

Audience Appropriateness Errors
[No-error]

Design and Markup Errors
[No-error]"
5,"如果需要完整和最新的文档, 请查阅Info 文件'gee' 或Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) 手册.二者均来自Texinfo 原文件gee. texinfo.","For the full and up-to-date documentation, please see the Info file 'gee' or the Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) manual. Both are from the Texinfo source gee. texinfo.","MQM annotations:

Accuracy Errors
[Minor]: Omission - The translation omits the phrase ""二者均来自Texinfo 原文件gee. texinfo.""

Terminology Errors
[No-error]

Linguistic Convention Errors
[No-error]

Style Errors
[Minor]: Awkward expression - The phrase ""ft&/HAIZE#H GNU CC 2.0"" is an awkward and unnatural expression in the translation.

Locale Conventions Errors
[No-error]

Audience Appropriateness Errors
[No-error]

Design and Markup Errors
[No-error]"
6,"描述(DESCRIPTION) C 和C++ 编译器是集成的.他们都要用四个步骤中的一个或多个处理输入文件: 预处理(preprocessing), Hii(compilation), (assembly) MERE (linking) .","DESCRIPTION C and C++ compilers are integrated. They all handle the input file in one or more of four steps: preprocessing, compilation, assembly, and linking.","MQM annotations:

Accuracy Errors
[Minor]: Omission - The translation omits the word ""都"" (all) from the original text.

Linguistic Convention Errors
[Minor]: Grammar - The translation uses ""they"" to refer to ""C and C++ compilers"", which is grammatically incorrect as the compilers are not plural entities.

Style Errors
[Minor]: Awkward expression - The phrase ""handle the input file in one or more of four steps"" is a bit awkward and could be rephrased more naturally.

No-error"
7,"源文件后级名标识源文件的语言, 但是对编译器来说, 后绥名控制着缺省设定:","The suffix name of the source file identifies the language of the source file, but for the compiler, the suffix name controls the default setting:","MQM annotations:

Accuracy Errors
[Minor]: Mistranslation - The translation ""The suffix name of the source file identifies the language of the source file"" does not fully capture the meaning of the original Chinese text, which states that the suffix name indicates the default settings for the compiler, not just the language of the source file.

Terminology Errors
[No-error]

Linguistic Convention Errors
[No-error] 

Style Errors
[Minor]: Awkward expressions - The phrase ""but for the compiler, the suffix name controls the default setting"" sounds a bit awkward and could be rephrased more naturally.

Locale Conventions Errors
[No-error]

Audience Appropriateness Errors
[No-error]

Design and Markup Errors
[No-error]"
8,"gcc 认为预处理后的文件(.i) 是c 文件, 并且设定c 形式的连接，","gcc considers the preprocessed file ((.i) to be a c file, and sets the connection to the form c,","MQM annotations:

Accuracy Errors
[Major]: Mistranslation - The translation ""gcc considers the preprocessed file ((.i) to be a c file, and sets the connection to the form c"" does not accurately convey the meaning of the original Chinese text, which states that gcc treats the preprocessed file (.i) as a C file and sets the connection in the C form.

Linguistic Convention Errors
[Minor]: Grammar - The translation uses the phrase ""sets the connection to the form c"" which is grammatically awkward. A more natural phrasing would be ""sets the connection in the C form"".

Style Errors
[Minor]: Awkward expression - The phrase ""sets the connection to the form c"" is an awkward and unnatural way to express the meaning of the original text.

No-error"
9,"g++ 认为预处理后的文件(.i) 是c++ 文件,并且设定c++ 形式的连接.",g++ considers the preprocessed file (.i) to be a c++ file and sets the connection to the c++ form.,"MQM annotations:

Accuracy Errors
[Minor]: Mistranslation - The translation ""considers the preprocessed file (.i) to be a c++ file"" does not fully capture the meaning of the original Chinese text, which is that g++ treats the preprocessed file as a C++ file and sets the linker to the C++ form.

Terminology Errors
[No-error]

Linguistic Convention Errors
[No-error]

Style Errors
[Minor]: Awkward expression - The phrase ""sets the connection to the c++ form"" is a bit awkward and could be rephrased more naturally.

Locale Conventions Errors
[No-error]

Audience Appropriateness Errors
[No-error]

Design and Markup Errors
[No-error]

No-error"
10,源文件后级名指出语言种类以及后期的操作:,The post-level name of the source file indicates the language type and subsequent operations:,"MQM annotations:

Accuracy Errors
[Major]: Mistranslation - The translation ""The post-level name of the source file indicates the language type and subsequent operations"" does not fully capture the meaning of the original Chinese text, which is more focused on how the file name indicates the language and subsequent processing steps.

Terminology Errors
[Minor]: Missing glossary application - The translation does not use the same terminology as the source text (e.g. ""post-level name"" instead of ""后级名"").

Linguistic Convention Errors
[Minor]: Grammar mistake - The phrase ""post-level name"" is not standard English grammar.

Style Errors
[Minor]: Awkward expression - The phrasing ""post-level name of the source file"" is somewhat awkward and could be rephrased more naturally.

No-error"
