index,source,target,annotation
1,"本手册页内容摘自GNU C 编译器的完整文档,仅限于解释选项的含义.","This manual page is taken from the full documentation of the GNU C compiler, and is limited to explaining the meaning of the options.","MQM annotations:

Accuracy Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/error_subcategory] - None  

Terminology Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/error_subcategory] - None  

Linguistic Convention Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/error_subcategory] - None  

Style Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/error_subcategory] - None  

Locale Conventions Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/error_subcategory] - None  

Audience Appropriateness Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/error_subcategory] - None  

Design and Markup Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/error_subcategory] - None  

No-error"
2,"除非有人自愿维护, EURo文件，Info文件是权威文档.",EURo and Info documents are authoritative unless someone volunteers to maintain them.,"MQM annotations:

Accuracy Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [over-translation] - The inclusion of ""EURo and Info documents"" as separate entities might suggest a distinction not present in the source text, which could be interpreted as ""EURo文件，Info文件"" being a single authoritative document type.  

Terminology Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/error_subcategory] - None  

Linguistic Convention Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [punctuation errors] - The comma after ""EURo文件"" in the source text is not represented in the translation, which might affect the intended emphasis or separation of items.  

Style Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [unnatural flow] - The phrase ""unless someone volunteers to maintain them"" could be rephrased for smoother readability, such as ""unless someone volunteers to take over their maintenance.""  

Locale Conventions Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/error_subcategory] - None  

Audience Appropriateness Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/error_subcategory] - None  

Design and Markup Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/error_subcategory] - None  

No-error"
3,"如果发现手册页和软件之间有所矛盾,请查对Info","If you find a discrepancy between the manual pages and the software, please consult Info","MQM annotations:

Accuracy Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/error_subcategory] - None  

Terminology Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/error_subcategory] - None  

Linguistic Convention Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/error_subcategory] - None  

Style Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/error_subcategory] - None  

Locale Conventions Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/error_subcategory] - None  

Audience Appropriateness Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/error_subcategory] - None  

Design and Markup Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/error_subcategory] - None  

No-error"
4,"如果我们发觉本手册页的内容由于过时而导致明显的混乱和抱怨时,我们就停止发布它.不可能有其他选择,象更新Info文件同时更新man 手册, 因为其他维护Gnu cc 的工作没有留给我们时间做这个.GNU 工程认为man 手册是过时产物, 应该把时间用到别的地方.","If we find that the content of this manual page is causing obvious confusion or complaints due to its obsolescence, we will stop publishing it. There cannot be another option, like updating the Infob file at the same time as updating the man manual, because other maintenance jobs for Gnu cc have not left us time to do this. The GNU engineering considers the man manual to be obsolete and should spend time elsewhere.","MQM annotations:

Accuracy Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/omission] - The translation omits ""Info文件"" which should be translated as ""Info file"".  
[Minor]: [error/mistranslation] - The phrase ""Infob file"" is incorrect; it should be ""Info file"".  

Terminology Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/incorrect term choice] - ""man manual"" should be ""man page"" as ""man page"" is the correct term for manual pages in Unix/Linux systems.  
[Minor]: [error/error_subcategory] - None  

Linguistic Convention Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/typographical issues] - The phrase ""Infob file"" contains a typographical error; it should be ""Info file"".  

Style Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/awkward expressions] - The phrase ""like updating the Infob file at the same time as updating the man manual"" is awkward and could be rephrased for clarity.  
[Minor]: [error/overly literal phrasing] - The translation is somewhat literal and could be more naturally phrased in English.  

Locale Conventions Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/error_subcategory] - None  

Audience Appropriateness Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/overly technical terms for general audiences] - The use of ""Gnu cc"" might be too technical for general audiences; it should be clarified as ""GNU Compiler Collection (GCC)"".  
[Minor]: [error/error_subcategory] - None  

Design and Markup Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/error_subcategory] - None"
5,"如果需要完整和最新的文档, 请查阅Info 文件'gee' 或Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) 手册.二者均来自Texinfo 原文件gee. texinfo.","For the full and up-to-date documentation, please see the Info file 'gee' or the Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) manual. Both are from the Texinfo source gee. texinfo.","MQM annotations:

Accuracy Errors  
[Critical]: [error/mistranslation] - The phrase ""(ft&/HAIZE#H GNU CC 2.0)"" appears to be a mistranslation or encoding error, as it does not correspond to any meaningful content in the source text.  
[Major]: [error/omission] - None  
[Minor]: [error/over-translation] - None  

Terminology Errors  
[Critical]: [error/incorrect term choice] - None  
[Major]: [error/missing glossary application] - None  
[Minor]: [error/incorrect term choice] - None  

Linguistic Convention Errors  
[Critical]: [error/grammar mistakes] - None  
[Major]: [error/punctuation errors] - None  
[Minor]: [error/typographical issues] - None  

Style Errors  
[Critical]: [error/unnatural flow] - None  
[Major]: [error/awkward expressions] - None  
[Minor]: [error/overly literal phrasing] - The phrase ""Both are from the Texinfo source gee. texinfo."" could be phrased more naturally as ""Both originate from the Texinfo source file 'gee.texinfo'.""  

Locale Conventions Errors  
[Critical]: [error/wrong format] - None  
[Major]: [error/incorrect symbols] - None  
[Minor]: [error/incorrect symbols] - None  

Audience Appropriateness Errors  
[Critical]: [error/overly technical terms for general audiences] - None  
[Major]: [error/offensive wording] - None  
[Minor]: [error/overly technical terms for general audiences] - None  

Design and Markup Errors  
[Critical]: [error/missing markup] - None  
[Major]: [error/broken text formatting] - None  
[Minor]: [error/layout inconsistencies] - The formatting of ""gee. texinfo"" should be ""gee.texinfo"" to maintain consistency.  

No-error"
6,"描述(DESCRIPTION) C 和C++ 编译器是集成的.他们都要用四个步骤中的一个或多个处理输入文件: 预处理(preprocessing), Hii(compilation), (assembly) MERE (linking) .","DESCRIPTION C and C++ compilers are integrated. They all handle the input file in one or more of four steps: preprocessing, compilation, assembly, and linking.","MQM annotations:

Accuracy Errors  
[Critical]: [error/mistranslation] - The term ""Hii"" is mistranslated and should be ""compilation"".  
[Major]: [error/omission] - The translation omits the Chinese term ""MERE"" which should be ""assembly"".  
[Minor]: [error/over-translation] - None  

Terminology Errors  
[Critical]: [error/incorrect term choice] - None  
[Major]: [error/missing glossary application] - None  
[Minor]: [error/incorrect term choice] - None  

Linguistic Convention Errors  
[Critical]: [error/grammar mistakes] - None  
[Major]: [error/punctuation errors] - None  
[Minor]: [error/typographical issues] - None  

Style Errors  
[Critical]: [error/unnatural flow] - None  
[Major]: [error/awkward expressions] - None  
[Minor]: [error/overly literal phrasing] - None  

Locale Conventions Errors  
[Critical]: [error/wrong format] - None  
[Major]: [error/incorrect symbols] - None  
[Minor]: [error/incorrect symbols] - None  

Audience Appropriateness Errors  
[Critical]: [error/overly technical terms for general audiences] - None  
[Major]: [error/offensive wording] - None  
[Minor]: [error/offensive wording] - None  

Design and Markup Errors  
[Critical]: [error/missing markup] - None  
[Major]: [error/broken text formatting] - None  
[Minor]: [error/layout inconsistencies] - None  

No-error"
7,"源文件后级名标识源文件的语言, 但是对编译器来说, 后绥名控制着缺省设定:","The suffix name of the source file identifies the language of the source file, but for the compiler, the suffix name controls the default setting:","MQM annotations:

Accuracy Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/mistranslation] - The term ""后级名"" is mistranslated as ""suffix name,"" which should be ""suffix"" or ""file extension.""  
[Minor]: [error/error_subcategory] - None  

Terminology Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/incorrect term choice] - The translation uses ""suffix name,"" which is not the correct technical term; ""file extension"" is more appropriate.  
[Minor]: [error/error_subcategory] - None  

Linguistic Convention Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/punctuation errors] - The comma usage in the translation could be improved for better readability.  

Style Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/overly literal phrasing] - The phrase ""suffix name"" is a literal translation and sounds awkward in English.  
[Minor]: [error/error_subcategory] - None  

Locale Conventions Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/error_subcategory] - None  

Audience Appropriateness Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/overly technical terms for general audiences] - The term ""suffix name"" might be confusing for general audiences; ""file extension"" is more commonly understood.  
[Minor]: [error/error_subcategory] - None  

Design and Markup Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/error_subcategory] - None  

```"
8,"gcc 认为预处理后的文件(.i) 是c 文件, 并且设定c 形式的连接，","gcc considers the preprocessed file ((.i) to be a c file, and sets the connection to the form c,","MQM annotations:

Accuracy Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/mistranslation] - The phrase ""设定c 形式的连接"" is mistranslated as ""sets the connection to the form c,"" which is not clear. A more accurate translation would be ""sets the linkage to C style.""  
[Minor]: [error/over-translation] - The extra parenthesis around "".i"" in the translation is unnecessary.

Terminology Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/incorrect term choice] - The term ""connection"" is not the correct technical term in this context; ""linkage"" would be more appropriate.  
[Minor]: [error/error_subcategory] - None  

Linguistic Convention Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/punctuation errors] - The extra parenthesis around "".i"" is a punctuation error.

Style Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/awkward expressions] - The phrase ""sets the connection to the form c"" is awkward and unclear.  
[Minor]: [error/overly literal phrasing] - The translation is overly literal and could be more naturally expressed.

Locale Conventions Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/error_subcategory] - None  

Audience Appropriateness Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/overly technical terms for general audiences] - The term ""linkage"" might be too technical for a general audience without context.  
[Minor]: [error/error_subcategory] - None  

Design and Markup Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/error_subcategory] - None  

```"
9,"g++ 认为预处理后的文件(.i) 是c++ 文件,并且设定c++ 形式的连接.",g++ considers the preprocessed file (.i) to be a c++ file and sets the connection to the c++ form.,"MQM annotations:

Accuracy Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/mistranslation] - The term ""连接"" is mistranslated as ""connection"" instead of ""linking,"" which is the correct term in the context of compiling and linking in programming.  
[Minor]: [error/error_subcategory] - None  

Terminology Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/incorrect term choice] - The translation uses ""connection"" instead of the correct technical term ""linking"" in the context of C++ compilation.  
[Minor]: [error/error_subcategory] - None  

Linguistic Convention Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/punctuation errors] - The term ""C++"" should be consistently capitalized as ""C++"" instead of ""c++"" in the translation.  

Style Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/awkward expressions] - The phrase ""sets the connection to the c++ form"" is awkward and could be more naturally expressed as ""uses C++ style linking.""  
[Minor]: [error/error_subcategory] - None  

Locale Conventions Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/error_subcategory] - None  

Audience Appropriateness Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/overly technical terms for general audiences] - The term ""preprocessed file (.i)"" might be too technical for general audiences without a programming background.  

Design and Markup Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/error_subcategory] - None  

```"
10,源文件后级名指出语言种类以及后期的操作:,The post-level name of the source file indicates the language type and subsequent operations:,"MQM annotations:

Accuracy Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/over-translation] - The phrase ""post-level"" is an unnecessary addition and could be simplified to ""extension"" or ""suffix"" for clarity.

Terminology Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/incorrect term choice] - The term ""post-level name"" is not a standard term for file extensions and could lead to confusion.  
[Minor]: [error/error_subcategory] - None  

Linguistic Convention Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/punctuation errors] - The colon at the end of the sentence is unnecessary and should be replaced with a period.

Style Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/awkward expressions] - The phrase ""post-level name"" is awkward and could be rephrased for better readability.  
[Minor]: [error/overly literal phrasing] - The translation is a bit too literal and could be more naturally expressed as ""The file extension indicates the language type and subsequent operations.""

Locale Conventions Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/error_subcategory] - None  

Audience Appropriateness Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/overly technical terms] - The term ""post-level name"" might be too technical for a general audience.

Design and Markup Errors  
[Critical]: [error/error_subcategory] - None  
[Major]: [error/error_subcategory] - None  
[Minor]: [error/error_subcategory] - None  

No-error"
