index,ranking
0,"maats,single_agent,zero_shot"
1,"single_agent,zero_shot,maats"
2,"maats,single_agent,zero_shot"
3,"single_agent,maats,zero_shot"
4,"zero_shot,maats,single_agent"
5,"single_agent,maats,zero_shot"
6,"maats,single_agent,zero_shot"
7,"single_agent,zero_shot,maats"
8,"zero_shot,maats,single_agent"
9,"single_agent,zero_shot,maats"
10,"single_agent,maats,zero_shot"
11,"zero_shot,maats,single_agent"
12,"maats,zero_shot,single_agent"
13,"maats,single_agent,zero_shot"
14,"zero_shot,maats,single_agent"
15,"single_agent,maats,zero_shot"
16,"zero_shot,single_agent,maats"
17,"single_agent,zero_shot,maats"
18,"zero_shot,maats,single_agent"
19,"maats,single_agent,zero_shot"
20,"maats,single_agent,zero_shot"
21,"single_agent,zero_shot,maats"
22,"maats,single_agent,zero_shot"
23,"zero_shot,single_agent,maats"
24,"maats,zero_shot,single_agent"
25,"zero_shot,single_agent,maats"
26,"zero_shot,maats,single_agent"
27,"single_agent,zero_shot,maats"
28,"zero_shot,maats,single_agent"
29,"zero_shot,single_agent,maats"
30,"maats,zero_shot,single_agent"
31,"maats,single_agent,zero_shot"
32,"single_agent,zero_shot,maats"
33,"single_agent,zero_shot,maats"
34,"maats,single_agent,zero_shot"
35,"zero_shot,single_agent,maats"
36,"maats,zero_shot,single_agent"
37,"single_agent,maats,zero_shot"
38,"maats,zero_shot,single_agent"
39,"zero_shot,maats,single_agent"
40,"zero_shot,maats,single_agent"
41,"single_agent,zero_shot,maats"
42,"single_agent,zero_shot,maats"
43,"maats,zero_shot,single_agent"
44,"single_agent,zero_shot,maats"
45,"single_agent,maats,zero_shot"
46,"maats,zero_shot,single_agent"
47,"zero_shot,maats,single_agent"
48,"single_agent,zero_shot,maats"
49,"zero_shot,maats,single_agent"
50,"single_agent,zero_shot,maats"
51,"single_agent,zero_shot,maats"
52,"maats,zero_shot,single_agent"
52,"maats,zero_shot,single_agent"
54,"single_agent,zero_shot,maats"
55,"zero_shot,maats,single_agent"
56,"maats,zero_shot,single_agent"
57,"maats,single_agent,zero_shot"
58,"maats,single_agent,zero_shot"
59,"zero_shot,single_agent,maats"
60,"single_agent,maats,zero_shot"
61,"zero_shot,maats,single_agent"
62,"single_agent,zero_shot,maats"
63,"maats,zero_shot,single_agent"
64,"single_agent,zero_shot,maats"
65,"single_agent,maats,zero_shot"
66,"single_agent,zero_shot,maats"
67,"maats,zero_shot,single_agent"
68,"single_agent,zero_shot,maats"
69,"maats,single_agent,zero_shot"
70,"zero_shot,maats,single_agent"
71,"single_agent,maats,zero_shot"
72,"single_agent,maats,zero_shot"
73,"single_agent,zero_shot,maats"
74,"single_agent,zero_shot,maats"
75,"zero_shot,single_agent,maats"
76,"zero_shot,single_agent,maats"
77,"maats,single_agent,zero_shot"
78,"zero_shot,single_agent,maats"
79,"single_agent,zero_shot,maats"
80,"maats,single_agent,zero_shot"
81,"maats,zero_shot,single_agent"
81,"maats,zero_shot,single_agent"
83,"maats,zero_shot,single_agent"
84,"zero_shot,single_agent,maats"
85,"zero_shot,maats,single_agent"
86,"maats,single_agent,zero_shot"
86,"single_agent,maats,zero_shot"
88,"single_agent,zero_shot,maats"
89,"zero_shot,maats,single_agent"
90,"zero_shot,maats,single_agent"
90,"zero_shot,maats,single_agent"
92,"maats,single_agent,zero_shot"
93,"maats,zero_shot,single_agent"
94,"single_agent,maats,zero_shot"
95,"single_agent,maats,zero_shot"
96,"zero_shot,maats,single_agent"
97,"single_agent,zero_shot,maats"
98,"single_agent,maats,zero_shot"
99,"zero_shot,maats,single_agent"
100,"zero_shot,maats,single_agent"
101,"zero_shot,maats,single_agent"
102,"single_agent,zero_shot,maats"
103,"single_agent,maats,zero_shot"
104,"single_agent,maats,zero_shot"
105,"single_agent,zero_shot,maats"
106,"zero_shot,single_agent,maats"
107,"maats,single_agent,zero_shot"
107,"maats,single_agent,zero_shot"
109,"single_agent,zero_shot,maats"
110,"single_agent,zero_shot,maats"
111,"maats,zero_shot,single_agent"
112,"single_agent,maats,zero_shot"
113,"single_agent,maats,zero_shot"
114,"single_agent,zero_shot,maats"
115,"maats,zero_shot,single_agent"
116,"single_agent,maats,zero_shot"
117,"single_agent,maats,zero_shot"
118,"single_agent,zero_shot,maats"
119,"zero_shot,maats,single_agent"
119,"zero_shot,maats,single_agent"
121,"maats,zero_shot,single_agent"
122,"maats,single_agent,zero_shot"
123,"maats,single_agent,zero_shot"
124,"zero_shot,single_agent,maats"
125,"maats,single_agent,zero_shot"
126,"zero_shot,single_agent,maats"
127,"maats,zero_shot,single_agent"
128,"maats,single_agent,zero_shot"
129,"single_agent,zero_shot,maats"
130,"maats,zero_shot,single_agent"
131,"zero_shot,single_agent,maats"
132,"zero_shot,maats,single_agent"
133,"single_agent,maats,zero_shot"
134,"single_agent,zero_shot,maats"
135,"single_agent,zero_shot,maats"
136,"maats,single_agent,zero_shot"
137,"zero_shot,single_agent,maats"
138,"single_agent,maats,zero_shot"
139,"zero_shot,maats,single_agent"
140,"single_agent,zero_shot,maats"
141,"maats,single_agent,zero_shot"
142,"single_agent,maats,zero_shot"
143,"maats,zero_shot,single_agent"
144,"zero_shot,maats,single_agent"
144,"zero_shot,maats,single_agent"
146,"maats,zero_shot,single_agent"
147,"maats,single_agent,zero_shot"
148,"zero_shot,single_agent,maats"
149,"maats,single_agent,zero_shot"
150,"single_agent,maats,zero_shot"
