index,source,zero_shot,maats,single_agent,reference
0,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",一些事实，例如关于亚原子粒子的事实，只能通过实验得出，而这些实验本身只有在资本主义中才有可能，因为它们需要太多的资源、太多的组织、太多的强制，否则无法实现。,一些事实，例如关于亚原子粒子的事实，只能通过实验得出，而这些实验只有在资本主义制度下才可能实现，因为它们需要大量的资源、组织和强制手段，否则无法实现。,一些事实，例如关于亚原子粒子的事实，只能通过实验得出，而这些实验本身只有在资本主义中才有可能，因为它们需要太多的资源、太多的组织、太多的强制，否则难以实现。,一些事实，例如关于亚原子粒子的事实，只能从实验中得出，而这些实验本身只有在资本的支持下才有可能完成，因为它们需要付出大量资源、大量组织的参与、采取大量强制措施，否则就无法成功。
1,Picking this up this weekend.,这个周末去拿。,这个周末去拿这个。,这个周末就去拿这个。,我这个周末来取它。
2,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我在寻找一辆好的第一辆车，而且我真的很喜欢80年代的美学。,我在寻找一辆适合车迷的新手车，而且我真的很喜欢80年代风格。,我在寻找一辆适合车迷的第一辆车；而且我真的很喜欢80年代的美学。,我正在寻找将与我朝夕相处的第一辆车；我确实非常喜欢 80 年代的审美观。
3,I know they're not fast compared,我知道它们相比之下不快。,我知道他们与其他相比速度不快，,我知道它们不快。,我知道相比之下它们的速度并不是很快
4,#Venting into the Fediverse time.,#在联邦宇宙中发泄时间。,#在Fediverse上发泄一下,#在联邦宇宙中倾诉。,#在 Fediverse 中发泄。
5,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,我和伴侣今晚去酒铺买了一些啤酒和一瓶香槟。,我和对象今晚去酒铺买啤酒和一瓶起泡酒。,我和伴侣今晚去酒铺买了一些啤酒和一瓶bub。,我和我的同居伙伴今晚去酒类专卖店买了些啤酒和一瓶起泡酒。
6,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,她脸上如释重负的微笑是一种很棒的感觉，但她一开始感到害怕真是太糟糕了，我讨厌这种感觉。,她脸上如释重负的微笑让人感觉很棒，但她一开始感到害怕真是糟透了，我非常讨厌这种感觉。,她脸上如释重负的微笑是一种很棒的感觉，但她一开始感到害怕真是他妈的糟糕，我讨厌这样。,她脸上出现了如释重负的笑容，感觉很好，但她第一次遇到的恐惧真他妈的糟糕，我再也不想遇到那样的事。
7,This is the stupidest timeline and I hate it dot com.,这是最愚蠢的时间线，我讨厌它.com。,这是最愚蠢的时间轴，我讨厌它 dot com。,这是最愚蠢的时代，我讨厌它.com。,这次经历真蠢，我再也不想遇到它。
8,But he can't pardon himself out of state prison.,但他无法通过赦免自己逃脱州监狱。,但他无法通过赦免来逃避州监狱的刑罚。,但他无法通过赦免自己免于州立监狱的刑罚。,而他无法大赦自己离开州立监狱。
9,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.",我们建议，情境依赖的交流是一种多层次的现象，受到环境特性（如情境分布）的重要影响。,我们认为，情境依赖的交流是一种具有多层次特征的现象，受到环境特性（如情境分布）的重要影响。,我们建议，情境依赖的交流是一种多层次的现象，受到环境特性（如情境的分布方式）的重要影响。,我们认为，依赖语境的通信是一种情景化的多层次现象，受到环境属性如语境分布的重要影响。
10,Thousands of trees have been established and farmers have seen increased crop yields through a range of interventions from support with equipment purchases to training.,成千上万的树木已经种植，农民通过一系列干预措施（从设备采购支持到培训）看到作物产量增加。,已经成活了成千上万的树木，农民通过一系列干预措施（从设备采购支持到培训）看到了作物产量的增加。,成千上万的树木已经种植，农民通过一系列干预措施（从设备采购支持到培训）看到了作物产量的增加。,种植了成千上万棵树，通过从购买设备到培训的一系列干预措施，农户见证了作物增产。
11,The UPS store near me won't allow me to write a label or write on the box.,我附近的UPS商店不允许我写标签或在箱子上写字。,我附近的UPS商店不让我在标签或箱子上写字。,我附近的UPS商店不允许我写标签或在箱子上书写。,我附近的 UPS 商店不允许我手写标签或写产品盒上。
12,They won't allow me to tell them the address it's going to and who is shipping it.,他们不允许我告诉他们它要寄去的地址和谁在寄。,他们不允许我告诉他们寄送地址和寄件人信息。,他们不允许我告诉他们它要寄去的地址和由谁寄送。,他们不允许我告诉他们商品的收货地址和承运人。
13,"It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media.",这是一场公愤，就像一个象征性的1月6日反民主的谎言和不满节日，由美国媒体自我毁灭地举办。,这是一场令人震惊的事件，象征性的1月6日反民主谎言和不满的“Festivus”，由美国媒体以自我毁灭式的方式举办。,这是一场公愤，就像一个象征性的 1 月 6 日反民主的谎言与不满的讽刺节日，由美国媒体自毁地举办。,这真是骇人听闻，就像 1 月 6 日反民主节日，一个象征性的谎言和表达不满的节日，而这是由美国媒体近乎自我毁灭地把持。
14,Licht AGREED to an all Republican audience!,Licht同意了全共和党观众！,莱希特同意面对共和党观众发言！,Licht同意了一个共和党的听众！,利希特“赞同”所有共和党观众的观点！
15,The ratings--seeking delusional irresponsibility of it all.,这一切都是追求收视率的妄想和不负责任。,这一切都是为了收视率而表现出的荒唐不负责任。,这一切都是为了追求收视率而表现出的妄想和不负责任。,为追求收视率而进行的不负责任的妄想。
16,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.",我的地下室有很多缝隙，这基本上意味着会有很多啮齿动物来避难。,我的地下室非常不密封，这基本上意味着会有很多啮齿动物在这里栖息。,我的地下室非常通风，这基本上意味着会有很多啮齿动物来避难。,我有一间通风非常好的地下室，这意味着可能会让许多老鼠在此避难。
17,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.",昨晚我终于受够了这种日常，把所有捕鼠器上的花生酱清理掉，并用强力胶把开心果粘在上面。,昨晚我终于对这种情况感到厌烦，把所有捕鼠器上的花生酱清理掉，并用强力胶把一个开心果粘在上面。,昨晚我终于受够了这种日常，把所有陷阱上的花生酱清理掉，并用强力胶把开心果粘在上面。,昨晚我终于放弃了这种套路，把所有花生酱都清理了，还用强力胶粘了一颗开心果在上面。
18,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.",仅供参考，我几乎尝试了市场上所有“人道”的捕鼠器，但成功率很低。,仅供参考，我几乎尝试了市场上所有「人道」的陷阱，但效果不佳。,仅供参考，我几乎尝试了市场上所有“人道”的捕鼠器，但几乎没有成功。,（顺便说一句，我几乎试过了市场上所有的“人道”陷阱，但收效甚微。
19,I'm tired of conservative parties and governments wrapping themselves in the brand of pro-business.,我厌倦了保守党派和政府以亲商业的名义包装自己。,我厌倦了保守党派和政府打着亲商的旗号包装自己。,我厌倦了保守党派和政府将自己与亲商业品牌联系在一起。,我厌倦了保守派政党和政府打着亲商的旗号包装自己。
20,"Discovered the hard way that in 2023, local TV station web sites are the absolute worst experience on the internet.",在2023年，我通过惨痛的教训发现，本地电视台的网站是互联网上最糟糕的体验。,在二〇二三年，我发现本地电视台的网站是互联网上最糟糕的体验。,在2023年，我通过艰难的方式发现，本地电视台的网站是互联网上最糟糕的体验。,我发现，在 2023 年，地方电视台网站带给我的绝对是互联网上最糟糕的体验。
