Index,source,zero_shot,maats,single_agent,reference
0,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","对我来说,这是一个相当大的假设,因为它只使用了Direct3D对象,而不是Direct3D3对象来创建视口。","对我来说,这是一个相当大的假设,因为它只使用了Direct3D对象来创建视口,而不是更高级的Direct3D 3对象。","对我来说,这是一个相当大的假设,因为它只使用了Direct3D对象而不是Direct3D3对象来创建视口。",于我而言，这是一个非常大胆的假设，因为它仅使用 Direct3D 对象创建视口，而非使用 Direct3D3 对象。
1,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","一些事实,例如关于亚原子粒子的事实,只能通过实验来获得,而这些实验本身只有在资本主义体系下才能进行,因为它们需要太多的资源、太多的组织和太多的强制手段才能完成。","一些事实,比如关于亚原子粒子的事实,只有在资本主义体制下才能通过实验获得,因为这需要大量的资源、组织和强制手段。","一些事实,例如关于亚原子粒子的事实,只能通过实验来获得,而这些实验本身只有在资本主义环境下才能进行,因为它们需要太多的资源、太多的组织和太多的强制手段才能完成。",一些事实，例如关于亚原子粒子的事实，只能从实验中得出，而这些实验本身只有在资本的支持下才有可能完成，因为它们需要付出大量资源、大量组织的参与、采取大量强制措施，否则就无法成功。
2,Picking this up this weekend.,这个周末拿到它。,我会在这个周末拿到它。,这个周末我会去拿它。,我这个周末来取它。
3,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我正在寻找一辆好的初级汽车;我真的很喜欢80年代的美学。,"我正在寻找一辆有80年代风格的初级汽车,这正是我的心仪之选。",我正在寻找一辆适合初次购车者的好车;我真的很喜欢80年代的车型设计。,我正在寻找将与我朝夕相处的第一辆车；我确实非常喜欢 80 年代的审美观。
4,I know they're not fast compared,我知道他们相比之下不快。,我知道他们的速度并不太快。,他们的速度并不快。,我知道相比之下它们的速度并不是很快
5,#Venting into the Fediverse time.,#向联邦宇宙发泄时间。,向联邦宇宙发泄情绪。,#在联邦社交网络上发表自己的想法。,#在 Fediverse 中发泄。
6,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,我和同居伴侣今晚去了酒店买了一些啤酒和一瓶起泡酒。,我和同居伴侣今晚去了酒类商店买了一些啤酒和一瓶起泡酒。,我和同居伴侣今晚去了酒类商店买了一些啤酒和一瓶起泡酒。,我和我的同居伙伴今晚去酒类专卖店买了些啤酒和一瓶起泡酒。
7,"When we went to check out, the cashier is a fairly obvious #trans woman.","当我们去结账时,收银员显然是一位跨性别女性。","当我们去结账时,收银员看起来是一位变性人。","当我们去结账时,收银员明显是一位跨性别女性。",我们去结账的时候，发现收银员明显是一位#跨性别女性。
8,And then we just... paid for our stuff.,然后我们就...付了钱。,然后我们就付了我们的物品费用。,然后我们就付了我们的钱。,然后我们就...为我们买的商品结了账。
9,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,"她脸上的解脱微笑是一种很好的感觉,但她先前感到害怕的事实真他妈的糟糕,我讨厌它。","她脸上的宽慰微笑让人感到很好,但她先前感到害怕的事实实在太糟糕了,我真的很讨厌。","她脸上的解脱微笑虽然很好,但她先前的恐惧真让人感到沮丧,我真的很讨厌这种感觉。",她脸上出现了如释重负的笑容，感觉很好，但她第一次遇到的恐惧真他妈的糟糕，我再也不想遇到那样的事。
10,This is the stupidest timeline and I hate it dot com.,"这是最愚蠢的时间线,我讨厌它。","这是最愚蠢的时间线,我讨厌这个网站。","这个时间线真是太蠢了,我真讨厌它。",这次经历真蠢，我再也不想遇到它。
11,But he can't pardon himself out of state prison.,但是他不能赦免自己脱离州监狱。,他无法获得赦免从州监狱出狱。,但是他无法自行获得州监狱的赦免。,而他无法大赦自己离开州立监狱。
12,It takes the state's governor.,州长需要。,州长需要处理此事。,州长负责此事。,因为这一点需要州长同意。
13,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.","我们建议,依情境而定的交流是一种多层面的现象,受环境特性(如情境分布)的关键影响。","我们认为,依情境而定的交流是一种多层面的现象,其关键受环境属性(如情境分布)的影响。","我们认为,情境相关的交流是一种位于特定环境中的多层现象,受诸如情境分布等环境特性的关键影响。",我们认为，依赖语境的通信是一种情景化的多层次现象，受到环境属性如语境分布的重要影响。
14,Communities gain the knowledge to embed and support their own development.,社区获得嵌入和支持自身发展的知识。,社区掌握了融入和支持自身发展的知识。,社区获得知识来融入和支持自身发展。,社区人员学习了知识，并将这些知识用于支持自身的发展。
15,Thousands of trees have been established and farmers have seen increased crop yields through a range of interventions from support with equipment purchases to training.,"通过各种干预措施,从设备购买支持到培训,已经建立了数千棵树,农民看到了作物产量的增加。","农民通过购买农具和接受培训等支持措施,种植了数千棵树,并看到了农产品产量的增加。","通过各种支持措施,从设备购买援助到培训,已经建立了数千棵树,农民看到了作物产量的增加。",种植了成千上万棵树，通过从购买设备到培训的一系列干预措施，农户见证了作物增产。
16,The UPS store near me won't allow me to write a label or write on the box.,附近的UPS商店不允许我在标签或箱子上写字。,附近的 UPS 商店不允许我在包裹上写字。,附近的UPS商店不允许我在标签或包裹上写字。,我附近的 UPS 商店不允许我手写标签或写产品盒上。
17,They won't allow me to tell them the address it's going to and who is shipping it.,他们不会允许我告诉他们它要去的地址和谁在发货。,他们不会允许我透露发货的地址和发货人。,他们不允许我告诉他们这个货物要发往哪里以及是谁在发货。,他们不允许我告诉他们商品的收货地址和承运人。
