index,source,zero_shot,single_agent,maats,reference
0,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.",对我来说，这是一个相当大的假设，因为它只是用一个Direct3D对象创建视口，而不是Direct3D3对象。,对我来说，这是一个相当大的假设，因为它仅仅是使用Direct3D对象创建视口，而不是Direct3D3对象。,依我看，这个假设相当大胆，因为它仅仅是用Direct3D对象创建视口，而不是Direct3D 3对象。,于我而言，这是一个非常大胆的假设，因为它仅使用 Direct3D 对象创建视口，而非使用 Direct3D3 对象。
1,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",某些事实，例如关于亚原子粒子的事实，只能通过在资本主义下才有可能进行的实验才能产生，因为这些实验需要过多的资源、过多的组织和过多的强制力，否则无法完成。,某些事实，例如关于亚原子粒子的研究，只能通过在资本主义制度下才有可能实现的实验获得，因为这些实验需要耗费大量的资源，需要精密的组织和强大的执行力，否则根本无法完成。,某些关于亚原子粒子的发现，只有在资本主义制度下才有可能实现的实验中才能获得，因为这些实验需要大量的资源、组织和协作才能完成。,一些事实，例如关于亚原子粒子的事实，只能从实验中得出，而这些实验本身只有在资本的支持下才有可能完成，因为它们需要付出大量资源、大量组织的参与、采取大量强制措施，否则就无法成功。
2,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我在找一辆不错的入门级“男人味”汽车，而且我真的很喜欢80年代的审美。,我在找一辆适合新手的好车，而且我真的很喜欢80年代的风格。,我在寻找一辆适合新手且具有80年代风格的汽车，我非常喜欢那个年代的审美。,我正在寻找将与我朝夕相处的第一辆车；我确实非常喜欢 80 年代的审美观。
3,I know they're not fast compared,我知道和别人比起来，它们不算快。,我知道它们比起来不算快。,我知道它们不算快。,我知道相比之下它们的速度并不是很快
4,#Venting into the Fediverse time.,在联邦宇宙倒苦水时间。,在联邦宇宙发泄一下。,在联邦宇宙社区发泄一下。,#在 Fediverse 中发泄。
5,"When we went to check out, the cashier is a fairly obvious #trans woman.",当我们去结账时，收银员是一位相当明显的跨性别女性。,当我们去结账时，收银员是一位很明显的跨性别女性。,当我们去结账时，收银员看起来很明显是位跨性女。,我们去结账的时候，发现收银员明显是一位#跨性别女性。
6,And then we just... paid for our stuff.,然后我们就...付了钱。,然后我们就...付了我们的东西。,然后我们就付了钱了。,然后我们就...为我们买的商品结了账。
7,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,她脸上露出如释重负的笑容让人感觉很好，但她之前感到害怕这件事他妈的太糟糕了，我讨厌它。,她脸上如释重负的笑容让人感到欣慰，但她之前感到害怕这件事真是太糟糕了，我真讨厌。,看到她脸上如释重负的笑容，我感到欣慰，但之前她所经历的恐惧真是太糟糕了，我对此深恶痛绝。,她脸上出现了如释重负的笑容，感觉很好，但她第一次遇到的恐惧真他妈的糟糕，我再也不想遇到那样的事。
8,This is the stupidest timeline and I hate it dot com.,这是最蠢的时间线，我讨厌它点com。,这是最愚蠢的时间线，我讨厌它点com。,这是最糟糕的时间线，我讨厌死了.com。,这次经历真蠢，我再也不想遇到它。
9,But he can't pardon himself out of state prison.,但他无法特赦自己出州立监狱。,但他无法通过特赦让自己出州立监狱。,但他无法通过赦免让自己离开州立监狱。,而他无法大赦自己离开州立监狱。
10,It takes the state's governor.,需要州长。,这需要州长的批准。,这取决于州长的决定。,因为这一点需要州长同意。
11,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.",我们认为语境依赖型交流是一种情境化的多层现象，其受到环境属性（如语境分布）的重大影响。,我们认为，语境依赖型交流是一种情境化的多层现象，受到环境属性（如语境分布）的重要影响。,我们认为上下文相关的交流是一种情境化的多层现象，它受到环境特征（如上下文的分布）的重大影响。,我们认为，依赖语境的通信是一种情景化的多层次现象，受到环境属性如语境分布的重要影响。
12,Communities gain the knowledge to embed and support their own development.,社区获得知识，从而能够扎根并支持自身发展。,社区掌握相关知识，从而能够扎根并支持自身发展。,社区获得知识，从而能够融入并支持自身发展。,社区人员学习了知识，并将这些知识用于支持自身的发展。
13,Thousands of trees have been established and farmers have seen increased crop yields through a range of interventions from support with equipment purchases to training.,通过一系列干预措施，从支持设备购买到培训，数千棵树木已经种植成活，农民的作物产量也得到了提高。,数千棵树木已经种植，通过一系列干预措施，包括支持设备购买和培训，农民的作物产量也得到了提高。,通过一系列干预措施，从支持设备购买到培训，数千棵树木已经种植，农民的作物产量也得到了提高。,种植了成千上万棵树，通过从购买设备到培训的一系列干预措施，农户见证了作物增产。
14,They won't allow me to tell them the address it's going to and who is shipping it.,他们不允许我告诉他们寄往的地址和是谁寄的。,他们不允许我告诉他们货物的寄送地址和寄件人。,他们不允许我告诉他们收货地址和是谁寄的。,他们不允许我告诉他们商品的收货地址和承运人。
15,"It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media.",这是一场暴行，就像一场象征性的1月6日反民主谎言和委屈节，由美国媒体自取灭亡地举办。,这是一场令人愤慨的闹剧，犹如象征着1月6日事件的反民主谎言与不满的大杂烩，由美国媒体自掘坟墓般地促成。,这是一场暴行，就像一场象征性的1月6日事件反民主谎言和抱怨节，由美国媒体搬起石头砸自己的脚地举办。,这真是骇人听闻，就像 1 月 6 日反民主节日，一个象征性的谎言和表达不满的节日，而这是由美国媒体近乎自我毁灭地把持。
16,Licht AGREED to an all Republican audience!,利希特同意面对全体共和党观众！,利希特同意參加僅限共和黨人士的觀眾活動！,利希特同意只面对共和党观众！,利希特“赞同”所有共和党观众的观点！
