index,source,zero_shot,single_agent,maats,reference
0,本文件按照 GB/T 1.1 一 202 久标准化工作导则第工部分:标准化文件的结构和起草规则的规定起惠。,This document is drafted in accordance with the provisions of Part 1 of the GB/T 1.1-202X Standardization Work Guidelines: Structure and Drafting Rules of Standardization Documents.,This document is drafted in accordance with the provisions of Part 1 of the GB/T 1.1-201X Standardization Work Guidelines: Structure and Drafting Rules of Standardization Documents.,"This document is drafted following the rules of the GB/T 1.1—2029 Standardization Work Guidelines, Part 1: Work Section, which covers the structure and drafting rules of standardization documents.","The rules in GB/T 1.1-202 are the establishment for this record, rules for Long-Term Standardization Work Segment II: Guidelines Record Structure and Composing Rules."
1,"在四字节编码区更改了18 个 GB/T 13000 代码位置(见附录 D,2005 年版的附录D);","18 GB/T 13000 code positions in the four-byte encoding area have been changed (see Appendix D, Appendix D of the 2005 edition);",18 GB/T 13000 code positions in the four-byte encoding area have been changed (see Appendix D of the 2005 edition).,"18, GB/T 13000 code positions in the four-octet encoding area have been changed (see Appendix D of the 2005 edition).","Within the four-byte coding range, 18 GB/T 13000 code places have changed (see Reference section D, Reference section D of the 2005 version);"
2,请注意本文件的某些内容可能涉及专利。 本文件的发布机构不承担识别专利的责任。,Please note that some content in this document may involve patents. The publishing organization of this document does not assume responsibility for identifying patents.,Please note that some content in this document may involve patents. The publishing organization of this document does not assume responsibility for identifying patents.,Please note that some content in this document may involve patents. The organization publishing this document does not assume responsibility for identifying patents.,Please be aware that this text may include references to patents in some places. This document's issuing agency disclaims any liability related to patent identification.
3,本文件及其所代替文件的历次版本发布情况为 :,The release history of this document and its previous versions is as follows:,The release history of this document and the documents it replaces is listed below:,"The release situation of this document and the documents it has replaced, along with their previous versions, is as follows:",The following describes the release status of earlier iterations of this document and the ones it replaces:
4,信息扩术 ”中文编码字符集,Information Expansion: Chinese Character Encoding Set,Information Technology: Chinese Character Encoding Standard,Expanding Information: The Chinese Encoded Character Set,Chinese CCC is an info expansion method
5,"本文件适用于为具备中文和其他文字图形字符信息化处理及交换功能的技术类产品,包括但不限于以输入法、光学字符识别 (OCR)、编辑 校对、机融翻诺、语音合成、文字转写、乔能写作等为代表的软件产品 , 以及以计算机、通信终端设备、电子书阅读毅、学习机等为代表的便件产品 。","This document applies to technical products with the capability to process and exchange information in Chinese and other written graphic characters. This includes, but is not limited to, software products such as input methods, optical character recognition (OCR), editing and proofreading, machine translation, speech synthesis, text transcription, and intelligent writing. It also includes hardware products such as computers, communication terminal devices, e-book readers, and learning machines.","This document applies to technical products with the capability to process and exchange information in Chinese and other written graphic characters, including, but not limited to, software products such as input methods, optical character recognition (OCR), editing and proofreading, machine translation and conversion, speech synthesis, text transcription, and intelligent writing, as well as hardware products such as computers, communication terminal devices, e-book readers, and learning machines.","This document applies to technical products with the capability to process and exchange information in Chinese and other written graphic characters. This encompasses, but is not limited to, software products such as input methods, optical character recognition (OCR), editing and proofreading, machine-aided translation, speech synthesis, text transcription, and intelligent writing, as well as portable hardware products including computers, communication terminal devices, e-book readers and educational devices.","This document covers technical products that process and exchange information in Chinese and other characters, including OCR, editing, translation, speech synthesis, and computer and communication equipment."
6,GB/T 2312 一 1980 ”信息交换用汉字编码字符集 ”基本集,"GB/T 2312-1980 ""Character Set for Information Exchange in Chinese"" Basic Set","GB/T 2312 1980 ""Character Set for Encoding Chinese Characters for Information Exchange"" Basic Set","GB/T 2312 – 1980 ""Chinese Character Encoding Character Set for Information Exchange"" Basic Set","Chinese character coded character set for information exchange, basic set, GB/T 2312-1980"
7,GB/I 11383 一 1989 信息 处理 ”信息交换用八位代码结构和编码规则,GB/T 11383-1989 Information Processing - 8-Bit Code Structure and Encoding Rules for Information Exchange,"GB/I 11383-1989 Information Processing ""8-bit code structure and encoding rules for information exchange""",GB/I 11383-1989 information processing - 8-bit code structure and encoding rules for information exchange,"Eight-bit code structure and coding guidelines for information sharing according to GB/I 11383-1989, ""Information processing"""
8,3.1 字符 character,3.1 字符 character,3.1 Character,3.1 Character.,3.1 Character character
9,使用符合本文件的产品的使用者可以自行规定的区域。,Users of products that comply with this document can designate their own specified areas.,Users of products that comply with this document can designate self-specified areas.,Users of products that comply with this document can specify their own self-designated areas.,a region that the user of a product that complies with this document may specify.
