index,source,zero_shot,single_agent,maats,reference
0,本文件按照 GB/T 1.1 一 202 久标准化工作导则第工部分:标准化文件的结构和起草规则的规定起惠。,This document is drafted in accordance with the rules given in Part 1 of the Standardization Guideline GB/T 1.1-202X: Structure and drafting of standardized documents.,This document was drafted in accordance with the rules given in GB/T 1.1-2020 Directives for standardization — Part 1: Structure and drafting rules for standardization documents.,This document was drafted in accordance with GB/T 1.1-2020 Directives for standardization — Part 1: Structure and drafting rules for standardization documents.,"The rules in GB/T 1.1-202 are the establishment for this record, rules for Long-Term Standardization Work Segment II: Guidelines Record Structure and Composing Rules."
1,"在四字节编码区更改了18 个 GB/T 13000 代码位置(见附录 D,2005 年版的附录D);","18 GB/T 13000 code positions have been changed in the four-byte encoding area (see Appendix D, Appendix D of the 2005 edition).","18 GB/T 13000 code positions were changed in the four-byte encoding area (see Appendix D, Appendix D of the 2005 edition).",18 GB/T 13000 code positions were changed in the four-byte encoding area (see Appendix D of the 2005 edition).,"Within the four-byte coding range, 18 GB/T 13000 code places have changed (see Reference section D, Reference section D of the 2005 version);"
2,请注意本文件的某些内容可能涉及专利。 本文件的发布机构不承担识别专利的责任。,Please note that some content of this document may involve patents. The issuing body of this document is not responsible for identifying patents.,Please note that some content of this document may be the subject of patent rights. The publishing organization of this document assumes no responsibility for identifying any or all such patent rights.,Please note that some content of this document may be the subject of patent rights. The publisher of this document assumes no responsibility for identifying any such patent rights.,Please be aware that this text may include references to patents in some places. This document's issuing agency disclaims any liability related to patent identification.
3,本文件及其所代替文件的历次版本发布情况为 :,The document and its superseded versions were released as follows:,The release history of previous versions of this document and the documents it supersedes is as follows:,The release history of this document and those it supersedes is as follows:,The following describes the release status of earlier iterations of this document and the ones it replaces:
4,信息扩术 ”中文编码字符集,"Information Expansion Technique ""Chinese Coded Character Set""",Information Technology Chinese Encoding Character Set,Information Technology - Chinese Encoding Character Set,Chinese CCC is an info expansion method
5,"本文件适用于为具备中文和其他文字图形字符信息化处理及交换功能的技术类产品,包括但不限于以输入法、光学字符识别 (OCR)、编辑 校对、机融翻诺、语音合成、文字转写、乔能写作等为代表的软件产品 , 以及以计算机、通信终端设备、电子书阅读毅、学习机等为代表的便件产品 。","This document applies to technical products with Chinese and other text and graphic character information processing and exchange capabilities, including but not limited to software products represented by input methods, Optical Character Recognition (OCR), editing and proofreading, machine translation, speech synthesis, text transcription, and intelligent writing, as well as hardware products represented by computers, communication terminal equipment, e-book readers, and learning machines.","This document applies to technical products equipped with capabilities for information processing and exchange of Chinese and other text and graphic characters, including but not limited to software products such as input methods, optical character recognition (OCR), editing and proofreading, machine translation, speech synthesis, text transcription, and intelligent writing, as well as hardware products such as computers, communication terminal equipment, e-book readers, and learning machines.","This document applies to technical products equipped with capabilities for information processing and exchange of Chinese and other text characters and graphics, including but not limited to software products such as input methods, optical character recognition (OCR), editing and proofreading, machine translation, speech synthesis, text transcription, and intelligent writing, as well as hardware products such as computers, communication terminal equipment, e-book readers, and learning machines.","This document covers technical products that process and exchange information in Chinese and other characters, including OCR, editing, translation, speech synthesis, and computer and communication equipment."
6,GB/T 2312 一 1980 ”信息交换用汉字编码字符集 ”基本集,"GB/T 2312-1980 ""Information exchange Chinese character coded character set"" Basic Set","GB/T 2312-1980 ""Coded Chinese Character Set for Information Interchange"" Basic Set","GB/T 2312-1980 ""Coded Chinese Character Set for Information Interchange"" Basic Set","Chinese character coded character set for information exchange, basic set, GB/T 2312-1980"
7,GB/I 11383 一 1989 信息 处理 ”信息交换用八位代码结构和编码规则,GB/T 11383-1989 Information Processing – Structure and rules for encoding of eight-bit coded character sets for information interchange,GB/I 11383—1989 Information processing — 8-bit code structure and coding rules for information interchange,GB/I 11383-1989 Information processing — 8-bit code structure and coding rules for information interchange,"Eight-bit code structure and coding guidelines for information sharing according to GB/I 11383-1989, ""Information processing"""
8,3.1 字符 character,character,3.1 字符 character,3.1 character,3.1 Character character
9,使用符合本文件的产品的使用者可以自行规定的区域。,Areas definable by the user of products conforming to this document.,Areas that users of products conforming to this document can specify themselves.,Users of products conforming to this document can specify their own areas.,a region that the user of a product that complies with this document may specify.
