index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
0,Diego Cocca will become the new national team trainer for Mexico,Diego Cocca becomes the new national coach of Mexico.,Diego Cocca will become the new national coach of Mexico.,Diego Cocca becomes the new national coach of Mexico.,0.1244,0.59,0.1244,0.5453,0.6413,0.5453,0.8367,0.8529,0.8367,0.9175,0.9291,0.9175
3,"Franko Stein (Environmental Services, left) and Friedhelm Ringe (Nature and Biodiversity Conservation Union) place the plant signs in the beds in the pedestrian zone.","Franko Stein (FD Umwelt, left) and Friedhelm Ringe (Nabu) are setting up the plant signs in the flowerbeds of the pedestrian zone.","Franko Stein (FD Umwelt, left) and Friedhelm Ringe (Nabu) are setting up the plant signs in the flowerbeds of the pedestrian zone.","Franko Stein (Environmental Department, left) and Friedhelm Ringe (Nature and Biodiversity Conservation Union) are placing plant signs in the pedestrian zone's flowerbeds.",0.4335,0.4335,0.6345,0.5622,0.5622,0.7482,0.5848,0.5848,0.7653,0.7479,0.7479,0.8684
6,"Explanatory plaques about the plants are put in place to ensure that the endeavor gains enough momentum to impact private gardens, instead of remaining a campaign limited to environmental activists and the municipal specialized environmental services. There are approximately 50 signs to date. This way, passers-by can learn about what beautiful plants are currently in bloom. The hope is for hobby gardeners to specifically plant them at home.","The text you provided is actually in German, not Hebrew. Here is the translation from German to English:

""In order for the endeavor not to remain just an action by conservationists and the city's environmental service, but to extend into private gardens and reach a wide audience, explanatory signs about the plants are repeatedly placed. There are about 50 signs so far. Passersby should be able to find out what is currently blooming so beautifully here. The hope is that hobby gardeners will deliberately replant at home.""","To ensure the endeavor does not remain solely an initiative by conservationists and the city's environmental service but extends into private gardens and reaches a wide audience, explanatory signs about the plants are regularly placed. So far, there are about 50 signs. This way, passersby can find out what is currently blooming so beautifully here. The hope is that hobby gardeners will intentionally replant at home.","""In order for the endeavor not to remain just an action by conservationists and the city's Fachdienst Umwelt, but to extend into private gardens and spread widely, explanatory signs about the plants are regularly placed. There are about 50 signs so far. Passersby should be able to easily discover what is currently blooming beautifully here. The hope is that Hobbygärtner will deliberately replant at home.""",0.0939,0.1447,0.119,0.3342,0.3537,0.2816,0.6245,0.708,0.5801,0.7669,0.8377,0.756
7,Common hazel already came into season in the first week of January,"The text you provided is actually in German, not Hebrew. Here is the translation to English:

""In the first week of January, the season had already started for the wild hazel.""","""In the first week of January, the season had already started for the wild hazel trees.""","In the first week of January, the wild hazel tree season had already started.",0.1051,0.2016,0.2575,0.4118,0.4617,0.5174,0.5817,0.6572,0.6511,0.6622,0.7968,0.8302
8,"Recently, shrubs such as winter honeysuckle and arrowwood have been placed in the beds in the pedestrian zone. They have been in the soil of the containers found on Bergedorer Straße for the past year, and although they do not yet have leaves, the first delicate white and pink blossoms have appeared, and were recently furnished with a new sign. ""The winter honeysuckle is a very broadly bushy shrub and may grow up to two meters tall and three meters wide,"" among other information, can be found on the sign, which has been put in a suitable location for reading.","The text you provided is actually in German, not Hebrew. Here is the translation to English:

""Of more recent date are shrubs like winter honeysuckle and winter viburnum in the flower beds of the pedestrian zone. They have been in the soil of the containers on Bergedorfer Straße for a year now, currently showing the first delicate blossoms in white and pink without leaves, and have recently been provided with additional signs. 'The winter honeysuckle is a very broad-bushy shrub and can grow between two meters high and three meters wide,' can be read there along with further information about the suitable location.""","""Recently planted are shrubs like winter honeysuckle and winter viburnum in the flower beds of the pedestrian zone. They have been in the soil of the containers on Bergedorfer Straße for a year now, currently showing the first delicate blossoms in white and pink without leaves, and have recently been provided with additional signs. 'The winter honeysuckle is a very broad-bushy shrub and can grow between two meters high and three meters wide,' can be read there along with further information about the suitable location.""","Recently added shrubs include winter honeysuckle and winter viburnum in the flower beds of the pedestrian zone. They have been in the soil of the containers on Bergedorf Street for a year now, currently showing their first delicate white and pink blossoms, despite being leafless, and have recently been labeled with additional signs. ""The winter honeysuckle is a very broad-bushy shrub and can grow between two meters high and three meters wide,"" can be read there along with further information about the suitable location.",0.2526,0.2523,0.3016,0.4662,0.457,0.447,0.5382,0.6038,0.6261,0.7826,0.8085,0.8119
9,"Friedhelm Ringe emphasizes that not only the plants in the beds are now in bloom. Common hazel came into season during the first week of January. It is particularly abundantly in bloom on the steep hill on Richtweg, on Gutenbergstraße, Wilhelm-Holert-Straße, Fahrendofer Weg, and in numerous hedgerows.","The text you provided is actually in German, not Hebrew. Here is the translation to English:

""Friedhelm Ringe emphasizes that not only the cultivated plants are now showing flowers. In the first week of January, the wild hazel already started its season. It blooms particularly abundantly on Richtweg near the incline, in Gutenbergstraße, Wilhelm-Holert-Straße, Fahrendofer Weg, and many hedgerows.""","Friedhelm Ringe emphasizes that not only the cultivated plants are now showing flowers. In the first week of January, the common hazel already started its season. It blooms particularly abundantly on Richtweg near the incline, in Gutenbergstraße, Wilhelm-Holert-Straße, Fahrendofer Weg, and many hedgerows.","Friedhelm Ringe emphasizes that not only the beet plants are now in bloom. In the first week of January, the wild hazel already began its blooming season. It blooms particularly abundantly on Richtweg near the incline, in Gutenbergstraße (Gutenberg Street), Wilhelm-Holert-Straße (Wilhelm-Holert Street), Fahrendofer Weg, and many hedgerows.",0.2722,0.3609,0.3239,0.5658,0.6195,0.5886,0.5975,0.6794,0.6706,0.7476,0.8266,0.8096
12,"That is where three women meet for vigorous tap dancing at 3 pm on the dot at the ""Mandolin Motion Show Academy"" - unbelievably, their combined age is 277 years old, or should I say young!","Every Monday at exactly 3 PM, three ladies meet at the ""Mandolin Motion Show Academy"" for lively tap dancing - together they are an incredible 277 years old, or rather, young!","Every Monday at exactly 3 PM, three ladies meet at the ""Mandolin Motion Show Academy"" for lively tap dancing - together they are an incredible 277 years old, or rather, young, pardon!","Every Monday at exactly 3 PM, three ladies meet there at the ""Mandolin Motion Show Academy"" for lively tap dancing—together they are an incredible 277 years old, or should we say, young!",0.2995,0.2942,0.3184,0.4962,0.474,0.474,0.7091,0.696,0.725,0.8112,0.7826,0.817
13,"The oldest of them is Ernestine Stauchner, who recently celebrated her 102nd birthday.","The oldest of them is Ernestine Stauchner, she recently celebrated her 102nd birthday.",The oldest of them is Ernestine Stauchner; she recently celebrated her 102nd birthday.,"The oldest of them is Ernestine Stauchner, and she recently celebrated her 102nd birthday.",0.8003,0.7242,0.7448,0.9209,0.8436,0.9139,0.8739,0.8972,0.8725,0.9379,0.9409,0.9424
14,"Monday is THE highlight of the week for the native Munichite (15 January 1921) from Schwanthalerhöhe. ""Dancing and tap dancing is my life, I can't imagine it without them.""","The text you provided is actually in German, not Hebrew. Here is the translation to English:

""For the native of Munich (January 15, 1921) from Schwanthaler Höhe, Monday is the highlight of the week. 'Dancing and tap dancing is my life, I can't imagine it without.'""","For the native of Munich (January 15, 1921) from Schwanthaler Höhe, Monday is the highlight of the week: ""Dancing and tap dancing is my life; I can't imagine life without it.""","For the native of Munich (January 15, 1921) from the Schwanthaler Höhe district, Monday is the highlight of the week. ""Dancing and tap dancing is my life; I can't imagine my life without it.""",0.2943,0.3646,0.3659,0.6306,0.6675,0.6455,0.6693,0.779,0.7626,0.7556,0.8519,0.8632
17,"At 79 years old, Elfriede Widmann is the spring chicken among these tap dancing women. ""We simply have fun here with our dance teacher, Sissy Engl,"" she says.","At 79 years old, Elfriede Widmann is something like the youngster in the group of tap dancers. She says, ""We just have fun here with our dance teacher Sissy Engl.""","At 79 years old, Elfriede Widmann is something like the youngster in the group of tap dancers. She says, ""We just have fun here with our dance teacher Sissy Engl.""","At 79 years old, Elfriede Widmann is the baby of the group of tap dancers. She says, ""We just have fun here with our dance teacher Sissy Engl.""",0.4065,0.4065,0.4469,0.6195,0.6195,0.624,0.7182,0.7182,0.6903,0.8275,0.8275,0.8167
