index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
1,رسومات سيسو عن الأرض والمية في معرضه الجديد,تصويرات سيسو للأرض والماء محور معرض جديد في صالة عرض.,تصويرات سيسو للأراضي والمسطحات المائية محور معرض جديد في قاعة عرض.,تُعد تصويرات سيسو للأرض والماء محور معرض فني جديد.,0.0224,0.0203,0.0211,0.122,0.1205,0.0617,0.606,0.6224,0.718,0.8665,0.8072,0.8772
6,بنتأقلم مع القديم ونواكب الجديد علشان نحل المشكلة,تكييف القديم، استيعاب الجديد لحل المشكلة.,تكييف القديم واستيعاب الجديد لحل المشكلة.,لحل المشكلة، يجب تكييف القديم واستيعاب الجديد.,0.0341,0.0377,0.033,0.0641,0.1282,0.0633,0.4303,0.4772,0.496,0.7266,0.7304,0.7382
8,لازم نظام التخطيط بتاعنا يتغير، ومايبقاش مخططين الحارات اللي ضد التغيير هم الوحيدين اللي بيتحكموا في شكل مستقبل حاراتنا. حل من الحلول الممكنة هو يكون عندنا هيئة مستقلة لاتخاذ القرارات، تشجع على تصميم بيوت شيك فيها شجر وغرف معيشة للعيلة، وبلكونات كبيرة، وحدايق عامة. ممكن كمان الدور ده يبقى مع كبير المهندسين المعماريين في حكومة نيو ساوث ويلز اللي يشتغل بقانون واضح ومتظبط.,يحتاج نظام التخطيط لدينا أيضًا إلى التكيف بحيث لا يكون المخططون في المجالس المحلية بالضواحي، الذين يبدو أنهم أقل دعمًا للتغيير، هم المحددون الوحيدون للشكل المستقبلي لضواحيهم. قد يكون الحل هو وجود هيئة مستقلة لصنع القرار تناصر التصميم الجيد طالما أنه يقع تحت قمم الأشجار ويتضمن الحياة الأسرية والشرفات الكبيرة والحدائق المشتركة ويقدم مظهرًا ودودًا. يمكن أن يكون هذا دور المهندس المعماري الحالي لحكومة نيو ساوث ويلز الذي يعمل ضمن قانون امتثال مصمم بعناية.,يحتاج نظام التخطيط لدينا أيضًا إلى التكيّف لضمان ألّا يكون المخططون في المجالس المحلية بالضواحي، والذين يبدو أنهم أقل دعمًا للتغيير، هم المحددّين الوحيدين للشكل المستقبلي لضواحيهم. قد يكمن الحل في إنشاء هيئة مستقلة لصنع القرار تتبنى التصميم الجيد طالما أنه لا يتجاوز مستوى قمم الأشجار، ويراعي الحياة الأسرية والشرفات الواسعة والحدائق المشتركة، ويتميز بمظهر جذاب. يمكن أن يضطلع بهذه المهمة المهندس المعماري الحالي لحكومة نيو ساوث ويلز من خلال العمل ضمن إطار قانون امتثال مُصمم بعناية.,يحتاج نظام التخطيط لدينا أيضًا إلى التكيف بحيث لا يكون المخططون في المجالس المحلية بالضواحي، الذين يبدو أنهم أقل دعمًا للتغيير، هم المحددون الوحيدون للشكل المستقبلي لضواحيهم؛ يمكن أن يكون الحل في إنشاء هيئة مستقلة لصنع القرار، تدعم التصميم الجيد بشرط ألا يتجاوز ارتفاعه مستوى الأشجار ويتضمن الحياة الأسرية والشرفات الكبيرة والحدائق المشتركة ويقدم مظهرًا مقبولًا. ويمكن أن يضطلع بهذه المهمة المهندس المعماري الحالي لحكومة نيو ساوث ويلز، والذي يعمل وفقًا لقانون امتثال مصمم بعناية.,0.0204,0.0203,0.0103,0.1495,0.1684,0.129,0.2292,0.1274,0.1675,0.7821,0.7849,0.7958
9,في آخر 10 سنين حياتنا اتغيرت كتير بسبب التكنولوجيا. دلوقتي فيه ناس كتير بتشتغل من البيت، وسيدني بقت عندها شبكة مترو وأنظمة قطارات خفيفة ممتازة. كمان الشرا أونلاين غير طريقة تسوقنا، والتواصل على الموبايلات خلّى الأهل والأصحاب أقرب. نفس التغيرات دي ممكن تحصل في المباني لو بدأنا نركز على إعادة استخدام المباني القديمة بدل ما نبقى متمسكين بالمباني التراثية بس.,على مدى العقد الماضي، تغيرت حياتنا من خلال التكنولوجيا، مع عمل الكثيرين من المنزل، واكتسبت سيدني شبكة رائعة من أنظمة المترو والقطارات الخفيفة. لقد غيرت قدرتنا على الشراء عبر الإنترنت طريقة تسوقنا، ويبدو الأصدقاء والعائلة أقرب بسبب التواصل عبر الهواتف الذكية. يمكن أن تحدث كل هذه التكيفات من نظام إلى آخر أيضًا في بيئتنا المبنية من خلال تركيز التخطيط على إعادة الاستخدام التكيفي بدلاً من تفضيل الحفاظ على التراث.,على مدى العقد الماضي، غيّرت التكنولوجيا أسلوب حياتنا، إذ يعمل الكثيرون من المنزل، واكتسبت سيدني شبكة رائعة من أنظمة المترو والقطارات الخفيفة. كما غيّرت قدرتنا على الشراء عبر الإنترنت طريقة تسوقنا، وبات الأهل والأصدقاء أقرب بفضل التواصل عبر الهواتف الذكية. ويمكن أن تحدث كل هذه التغيرات من نظام إلى آخر في بيئتنا العمرانية من خلال التركيز في التخطيط على إعادة الاستخدام التكيفي بدلًا من إعطاء الأولوية للحفاظ على التراث.,على مدى العقد الماضي، غيّرت التكنولوجيا أسلوب حياتنا، إذ يعمل الكثيرون من المنزل، وشهدت سيدني تطور شبكة رائعة من أنظمة المترو والقطارات الخفيفة. كما غيّر التسوق عبر الإنترنت طريقة شرائنا، وأصبح الأهل والأصدقاء أقرب بفضل التواصل عبر الهواتف الذكية. ويمكن أن تحدث كل هذه التكيفات في بيئتنا المبنية أيضًا، وذلك من خلال التركيز على التخطيط لإعادة الاستخدام التكيفي بدلًا من إعطاء الأولوية للحفاظ على التراث.,0.0105,0.0108,0.005,0.1128,0.1212,0.0579,0.3677,0.3015,0.2693,0.7884,0.8262,0.8262
13,معهد التمويل الدولي بيجهز لإطلاق خطة هدفها تدي فرص اقتصادية وحقوق أكتر للبنات والستات بحلول سنة 2030. الخطة بتركز على تحسين الشمولية والمرونة، عن طريق توفير التمويل، والابتكارات التكنولوجية، وتغيير القوانين والسياسات العامة.,تستعد المؤسسة المالية الدولية لإطلاق استراتيجية تهدف إلى تحقيق تقدم كبير في حقوق وفرص الفتيات والنساء الاقتصادية بحلول عام 2030. وتركز الخطة على تحسين الشمولية والمرونة من خلال الوصول إلى التمويل والابتكار التكنولوجي والتغييرات في السياسات والقوانين العامة.,تستعد المؤسسة المالية الدولية لإطلاق استراتيجية تهدف إلى تحقيق تقدم كبير في مجال حقوق الفتيات والنساء وتعزيز فرصهن الاقتصادية بحلول عام 2030. وتركز الخطة على تحسين الشمولية والمرونة من خلال الوصول إلى التمويل والابتكار التكنولوجي وإدخال تغييرات في السياسات والقوانين العامة.,تستعد المؤسسة المالية الدولية لإطلاق استراتيجية تهدف إلى تعزيز حقوق الفتيات والنساء وفرصهن الاقتصادية بشكل كبير بحلول عام 2030. وتركز الخطة على تحسين الشمولية والقدرة على التكيف من خلال توفير فرص الحصول على التمويل والابتكار التكنولوجي وإدخال تغييرات في السياسات والقوانين العامة.,0.0376,0.0349,0.0355,0.2055,0.2036,0.2026,0.6958,0.6583,0.6612,0.8759,0.884,0.8753
15,"التحول الفكري صعب يتقاس زي عدد قروض البنوك للستات في الريف أو عدد البنات اللي بيروحوا مدارس. بس في أدلة كتير إن الجمعيات النسائية تقدر تحقق المستحيل. في إيران، مثلاً، الستات عملوا أخطر تهديد للحكومة الإسلامية من 40 سنة لمجرد إنهم رفضوا يلتزموا بقوانين الحجاب.
 وفي بلاد تانية، زي الهند اللي بتفرض نسبة تمثيل أدنى للستات في الحكومة، بدأت مقاومة الرجالة لتصويت الستات ونشاطهم السياسي تقِلّ.",تغييرات الفكر أصعب في القياس الكمي من القروض المصرفية للنساء الريفيات أو التحاق الفتيات بالمدارس. ومع ذلك، هناك الكثير من الأدلة على أن تمكين المرأة يمكن أن يحرك الجبال. ففي إيران، على سبيل المثال، قادت النساء أكبر تهديد للحكومة الإسلامية منذ 40 عامًا بمجرد رفضهن الامتثال للقوانين التي تجبرهن على تغطية شعرهن. وفي بعض الدول الـ 130 التي لديها حصص دنيا للتمثيل النسائي في الحكومة، مثل الهند، خفت مقاومة الذكور للتصويت النسائي والنشاط السياسي.,تغييرات الفكر يصعب قياسها كميًا أكثر من القروض المصرفية الممنوحة للنساء الريفيات أو تسجيل الفتيات في المدارس، ومع ذلك، هناك الكثير من الأدلة على أن تمكين المرأة قادر على تحريك الجبال. ففي إيران، على سبيل المثال، شكلت النساء أكبر تهديد للحكومة الإسلامية منذ 40 عامًا، وذلك بمجرد رفضهن الامتثال للقوانين التي تفرض عليهن تغطية شعرهن. وفي بعض البلدان من أصل 130 دولة لديها حد أدنى من الحصص للتمثيل النسائي في الحكومة، مثل الهند، تراجعت مقاومة الذكور لتصويت المرأة ونشاطها السياسي.,تغييرات الفكر أصعب قياسًا من القروض المصرفية المقدمة للنساء الريفيات أو معدلات التحاق الفتيات بالمدارس، ومع ذلك، ثمة أدلة وفيرة على أن القدرة النسائية قادرة على تحريك الجبال؛ ففي إيران، على سبيل المثال، مثلت النساء أكبر تهديد للحكومة الإسلامية منذ 40 عامًا، وذلك بمجرد رفضهن الامتثال للقوانين التي تجبرهن على تغطية شعرهن، وفي بعض الدول الـ 130 التي لديها حد أدنى من الحصص للتمثيل النسائي في الحكومة، مثل الهند، تراجعت مقاومة الذكور للتصويت النسائي والنشاط السياسي.,0.0211,0.0201,0.0196,0.1417,0.1573,0.1583,0.1921,0.212,0.1937,0.7766,0.8362,0.8222
16,في بعض القرى الإفريقية، منظمات المجتمع المدني بتحاول تتخلص من العادات الضارة باستخدام التوعية الصحية. واحد من البرامج دي كان ساعد زعيم قبيلة الماساي في كينيا، كاماندا تيمايو، إنه يغير رأيه عن موضوع ختان البنات. الراجل ده قال في تصريح لصحيفة لاموند إنه اتعلم وفهم أكتر، وإنه خلاص مش هيعمل الممارسات دي تاني.,"في بعض المجتمعات الريفية الأفريقية، تحل منظمات المجتمع المدني محل طقوس عبور ضارة بالتثقيف الصحي. ساعد أحد هذه البرامج كاماندا تيمايو، زعيم قرية ماساي في ماباراشا بكينيا، على تغيير رأيه بشأن ختان الإناث. صرح لصحيفة لوموند بأنه ""خرج من الجهل"" وأنه سيتخلى عن هذه الممارسة.","في بعض المجتمعات الريفية الأفريقية، تستبدل منظمات المجتمع المدني طقوس العبور الضارة بالتثقيف الصحي. وساعد أحد هذه البرامج كاماندا تيمايو، وهو زعيم قرية ماساي في ماباراشا بكينيا، على تغيير رأيه بشأن ختان الإناث. وقد صرح لصحيفة لوموند بأنه ""خرج من غياهب الجهل"" وأنه سيتخلى عن هذه الممارسة.","في بعض المجتمعات الريفية الأفريقية، تستبدل منظمات المجتمع المدني طقوس العبور الضارة ببرامج للتثقيف الصحي. وقد ساعد أحد هذه البرامج كاماندا تيمايو، زعيم قرية ماساي في ماباراشا بكينيا، على تغيير رأيه بشأن ختان الإناث. وصرح لصحيفة لوموند بأنه ""خرج من الجهل"" وأنه سيتخلى عن هذه الممارسة.",0.0304,0.0305,0.0308,0.2243,0.2235,0.2343,0.3556,0.364,0.3323,0.809,0.8341,0.8359
20,سواقين القطارات والمزارعين الألمان عاملين قلق لرؤساء الشركات في ألمانيا,المزارعون وسائقو القطارات الألمان يخيفون رؤساء ألمانيا.,المزارعون وسائقو القطارات في ألمانيا يثيرون قلق رؤساء الشركات الألمانية.,يثير المزارعون الألمان وسائقو القطارات الألمان قلق رؤساء الشركات في ألمانيا.,0.0285,0.0501,0.1003,0.1031,0.372,0.3683,0.539,0.7629,0.7476,0.8127,0.9022,0.883
21,"في ألمانيا، اللي بيشتغل فيها العمال والمديرين جنب بعض، الإضرابات الكبيرة حاجة نادرة جدًا. بس دلوقتي الوضع اتغير، والبلد اللي متعودة على قرارات مشتركة بقت قدام ""أسبوع صعب"" بسبب سلسلة إضرابات: المزارعين اللي قفلوا الطرق بالجرارات، وعمال السكك الحديدية اللي أضربوا 3 أيام، والأطباء اللي وقفوا العمليات بين الكريسماس وراس السنة.
 الناس مسميين الموضوع ده ""حشد المذراة"" وبيقولوا إنه هيختبر علاقات الشغل في ألمانيا السنة الجاية.","في ألمانيا، حيث يدير العمال والرؤساء العديد من الشركات بشكل مشترك، يُعتبر الإضراب الكبير أمرًا غير معتاد. أما موجة الإضرابات الكبيرة فهي شبه غير مسموعة. في الوقت الحالي، تواجه دولة ""التشارك في الإدارة"" في وقت واحد ""أسبوع عمل"" لمدة ثمانية أيام من قبل المزارعين الغاضبين، الذين أغلقوا الطرق بالجرارات، وإضراب لمدة ثلاثة أيام لعمال السكك الحديدية، وفوق ذلك، إضراب وشيك للأطباء، الذين أغلقوا بالفعل العيادات بين عيد الميلاد ورأس السنة الجديدة. هذه الـ ""Mistgabelmop"" (حشد المذراة)، كما بدأ البعض بتسميتها، ستختبر علاقات العمل المتناغمة في ألمانيا في العام المقبل.","في ألمانيا، حيث يشترك العمال والرؤساء في إدارة العديد من الشركات، يعتبر الإضراب الكبير أمرًا غير معتاد، أما موجة الإضرابات الكبيرة فهي نادرة الحدوث. تواجه دولة ""التشاركية"" حاليًا ""أسبوع عمل"" لمدة ثمانية أيام من قبل مزارعين غاضبين قطعوا الطرق بالجرارات، وإضرابًا لمدة ثلاثة أيام لعمال السكك الحديدية، وإضرابًا وشيكًا للأطباء الذين سبق لهم إغلاق العيادات بين عيد الميلاد ورأس السنة. هذا ""الحشد الغاضب"" أو ""حشد المذراة"" كما يطلق عليه البعض، سيختبر علاقات العمل المتناغمة في ألمانيا في العام القادم.","في ألمانيا، حيث يشترك العمال والرؤساء في إدارة العديد من الشركات، يُعد الإضراب الكبير أمرًا غير معتاد، بينما تكاد موجة الإضرابات الكبيرة تكون غير مسبوقة. وتواجه دولة ""الإدارة المشتركة"" الآن ""أسبوع احتجاجي"" لمدة ثمانية أيام من قبل المزارعين الغاضبين الذين أغلقوا الطرق بالجرارات، وإضرابًا لمدة ثلاثة أيام لعمال السكك الحديدية، بالإضافة إلى إضراب وشيك للأطباء الذين سبق لهم إغلاق العيادات بين عيد الميلاد ورأس السنة الجديدة. وهذا الحشد الغاضب أو الـ ""Mistgabelmop"" كما يطلق عليه البعض، سيختبر علاقات العمل المتناغمة في ألمانيا في العام المقبل.",0.0109,0.0515,0.0111,0.1481,0.1821,0.149,0.2057,0.2753,0.2104,0.7385,0.7732,0.7771
22,الاحتجاجات زادت لما الحكومة قررت توقف دعم السولار اللي المزارعين بيستخدموه في شغلهم وكمان تشيل الإعفاء الضريبي بتاع العربيات الزراعية. القرارات دي خلت المزارعين يغضبوا جدًا، وضمت ليهم عمال تانيين بيعانوا من التضخم والركود. في يوم 9 يناير، سواقين القطارات سواء للشحن أو الركاب عملوا إضراب عشان ساعات العمل والمرتبات.,أُطلِقت الاحتجاجات ظاهريًا بسبب قرار الحكومة إنهاء الدعم عن وقود الديزل المستخدم في الزراعة وتقليص الإعفاء من ضريبة السيارات للمركبات الزراعية. دفعت هذه الإجراءات المزارعين إلى حافة الهاوية. كما حشدت عمالًا غاضبين آخرين، كانوا يعانون بالفعل تحت ضغط التضخم والركود والتقشف الذي فرضته الحكومة على نفسها. في التاسع من يناير، بدأ سائقو قطارات الشحن والركاب في دويتشه بان، وهي شركة السكك الحديدية الوطنية، إضرابًا بسبب ساعات العمل والأجور.,أُطلِقت الاحتجاجات ظاهريًا بسبب قرار الحكومة بإنهاء دعم وقود الديزل المستخدم في الزراعة وتقليص الإعفاء الضريبي على المركبات الزراعية. وقد أدت هذه الإجراءات إلى إثارة غضب المزارعين. كما حشدت عمالًا غاضبين آخرين، كانوا يعانون أصلًا من ضغوط التضخم والركود والتقشف الذي تفرضه الحكومة على نفسها. وفي التاسع من يناير، بدأ سائقو قطارات الشحن والركاب في شركة دويتشه بان، وهي السكك الحديدية الوطنية، إضرابًا للمطالبة بتحسين ساعات العمل والأجور.,أُطلِقت الاحتجاجات ظاهريًا بسبب قرار الحكومة إنهاء الدعم عن وقود الديزل المستخدم في الزراعة وتقليص الإعفاء من ضريبة السيارات للمركبات الزراعية، مما دفع المزارعين إلى نقطة الغليان. كما حشدت عمالًا غاضبين آخرين كانوا يعانون بالفعل تحت ضغط التضخم والركود والتقشف الحكومي. في التاسع من يناير، بدأ سائقو قطارات الشحن والركاب في دويتشه بان التابعة لشركة السكك الحديدية الوطنية إضرابًا بسبب ساعات العمل والأجور.,0.0127,0.0131,0.0127,0.1424,0.1749,0.1339,0.2547,0.2344,0.2298,0.8338,0.8342,0.823
