index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
1,رسومات سيسو عن الأرض والمية في معرضه الجديد,سيسو تصوير الأرض والماء يركز على معرض جديد للمعرض,صور سيسو للأرض والماء تُركّز على معرض جديد,المعرض الجديد يركز على تصوير الفنان سيسو للأرض والماء,0.0285,0.0278,0.0285,0.1235,0.0625,0.1235,0.4994,0.5845,0.7782,0.7067,0.8199,0.8782
6,بنتأقلم مع القديم ونواكب الجديد علشان نحل المشكلة,تكيف القديم، استوعب الجديد لحل المشكلة.,تكيّف مع القديم، واستوعب الجديد لحل المشكلة.,تكيف مع القديم، واستوعب الجديد لحل المشكلة.,0.0341,0.0366,0.0366,0.0641,0.1266,0.1266,0.5089,0.6672,0.6984,0.7197,0.8386,0.8322
8,لازم نظام التخطيط بتاعنا يتغير، ومايبقاش مخططين الحارات اللي ضد التغيير هم الوحيدين اللي بيتحكموا في شكل مستقبل حاراتنا. حل من الحلول الممكنة هو يكون عندنا هيئة مستقلة لاتخاذ القرارات، تشجع على تصميم بيوت شيك فيها شجر وغرف معيشة للعيلة، وبلكونات كبيرة، وحدايق عامة. ممكن كمان الدور ده يبقى مع كبير المهندسين المعماريين في حكومة نيو ساوث ويلز اللي يشتغل بقانون واضح ومتظبط.,نظام التخطيط لدينا بحاجة أيضًا إلى التكيف بحيث لا يكون المخططون في المجالس الفرعية، الذين يبدون أقل دعمًا للتغيير، هم المحددون الوحيدون لشكل المستقبل لضواحيهم. قد يكون طريق المضي قدمًا هو إنشاء هيئة اتخاذ قرار مستقلة تدافع عن تصميم عالي الجودة طالما أنه يتناسب أقل من قمم الأشجار ويتضمن العيش العائلي والشرفات الكبيرة والحدائق المشتركة وتقديم مظهر ودي. قد يكون هذا دور المهندس المعماري الحالي للحكومة في نيو ساوث ويلز يعمل ضمن مدونة امتثال محكمة الصياغة.,هنالك حاجة لتكييف نظام التخطيط لدينا بحيث لا يكون المخططون في المجالس البلدية للضواحي، الذين يبدون أقل دعمًا للتغيير، هم المحددون الوحيدون لشكل المستقبل لضواحيهم. قد يكون الحل هو إنشاء هيئة مستقلة لاتخاذ القرارات تعمل على تعزيز التصميم عالي الجودة طالما أنه يتناسب مع ارتفاع الأشجار ويتضمن العيش العائلي والشرفات الكبيرة والحدائق المشتركة والمظهر الودي. ويمكن أن يكون هذا دور المعماري الحكومي الحالي في نيو ساوث ويلز ضمن كود امتثال محكمة الصياغة.,نظام التخطيط لدينا بحاجة أيضًا إلى التكيف بحيث لا يكون المخططون في المجالس الفرعية، الذين يبدون أقل دعمًا للتغيير، هم المحددون الوحيدون لشكل المستقبل لضواحيهم. قد يكون طريق المضي قدمًا هو إنشاء هيئة اتخاذ قرار مستقلة تدافع عن تصميم عالي الجودة طالما أنه يتناسب مع قمم الأشجار ويتضمن العيش العائلي والشرفات الكبيرة والحدائق المشتركة وتقديم مظهر ودي. قد يكون هذا دور المهندس المعماري الحالي للحكومة في نيو ساوث ويلز يعمل ضمن مدونة امتثال محكمة الصياغة.,0.0194,0.028,0.0196,0.1649,0.2,0.1652,0.1846,0.1937,0.1915,0.6954,0.783,0.7355
9,في آخر 10 سنين حياتنا اتغيرت كتير بسبب التكنولوجيا. دلوقتي فيه ناس كتير بتشتغل من البيت، وسيدني بقت عندها شبكة مترو وأنظمة قطارات خفيفة ممتازة. كمان الشرا أونلاين غير طريقة تسوقنا، والتواصل على الموبايلات خلّى الأهل والأصحاب أقرب. نفس التغيرات دي ممكن تحصل في المباني لو بدأنا نركز على إعادة استخدام المباني القديمة بدل ما نبقى متمسكين بالمباني التراثية بس.,خلال العقد الماضي، تغيرت حياتنا من خلال التكنولوجيا، حيث يعمل العديد من الناس من المنزل، وحصلت سيدني على شبكة مترو وسكك حديدية خفيفة مвпечатляющая. لقد غيرت قدرتنا على الشراء عبر الإنترنت طريقة تسوقنا، ويبدو أن الأصدقاء والعائلة أقرب بسبب الاتصالات الهاتفية الذكية. يمكن أن تحدث جميع هذه التكيفات من نظام إلى آخر أيضًا في بيئتنا المبنية من خلال التركيز على إعادة الاستخدام التكيفي بدلاً من تفضيل الحفاظ على التراث.,هذا العقد الماضي، تغيرت حياتنا من خلال التكنولوجيا، حيث يعمل العديد من الناس من المنزل، وحصلت سيدني على شبكة مترو وسكك حديدية خفيفة متطورة. لقد غيرت قدرتنا على الشراء عبر الإنترنت طريقة تسوقنا، ويبدو أن الأصدقاء والعائلة أقرب بسبب الاتصالات الهاتفية. يمكن أن تحدث جميع هذه التكيفات من نظام إلى آخر أيضًا في بيئتنا المبنية من خلال التركيز على إعادة الاستخدام التكيفي بدلاً من التركيز على الحفاظ على التراث.,تغيرت حياتنا خلال العقد الماضي بفضل التكنولوجيا، إذ أصبح العديد يعملون من المنزل، وحصلت سيدني على شبكة متطورة من خطوط المترو والسكك الحديدية الخفيفة. كما غيّرت قدرتنا على الشراء عبر الإنترنت طريقة تسوقنا، وأصبح التواصل مع الأصدقاء والعائلة أسهل بفضل الهواتف الذكية. ويمكن أن تحدث هذه التكيفات أيضًا في بيئتنا المبنية من خلال التركيز على إعادة الاستخدام التكيفي بدلاً من الحفاظ على التراث.,0.012,0.012,0.0109,0.1488,0.1488,0.0968,0.2872,0.3516,0.3327,0.7138,0.7828,0.8384
13,معهد التمويل الدولي بيجهز لإطلاق خطة هدفها تدي فرص اقتصادية وحقوق أكتر للبنات والستات بحلول سنة 2030. الخطة بتركز على تحسين الشمولية والمرونة، عن طريق توفير التمويل، والابتكارات التكنولوجية، وتغيير القوانين والسياسات العامة.,المؤسسة المالية الدولية على وشك إطلاق استراتيجية تهدف إلى تعزيز حقوق وفرص اقتصادية كبيرة للفتيات والنساء بحلول عام 2030. تركز الخطة على تحسين الشمول والمرونة من خلال الوصول إلى التمويل والابتكار التكنولوجي والتغييرات في السياسات العامة والقانون.,المؤسسة المالية على وشك إطلاق استراتيجية تهدف إلى تعزيز بشكل كبير حقوق وفرص اقتصادية للفتيات والنساء بحلول عام 2030. تركز الخطة على تحسين الشمول والمرونة من خلال الوصول إلى التمويل والابتكار التكنولوجي والتغييرات في السياسات والقوانين العامة.,المؤسسة المالية الدولية على وشك إطلاق استراتيجية تهدف إلى تعزيز بشكل كبير حقوق وفرص اقتصادية للفتيات والنساء بحلول عام 2030. تركز الخطة على تحسين الشمول والمرونة من خلال الوصول إلى التمويل والابتكار التكنولوجي والتغييرات في السياسات العامة والقانون.,0.0178,0.0197,0.0174,0.1436,0.1593,0.1432,0.6549,0.6403,0.6512,0.8777,0.8729,0.8779
15,"التحول الفكري صعب يتقاس زي عدد قروض البنوك للستات في الريف أو عدد البنات اللي بيروحوا مدارس. بس في أدلة كتير إن الجمعيات النسائية تقدر تحقق المستحيل. في إيران، مثلاً، الستات عملوا أخطر تهديد للحكومة الإسلامية من 40 سنة لمجرد إنهم رفضوا يلتزموا بقوانين الحجاب.
 وفي بلاد تانية، زي الهند اللي بتفرض نسبة تمثيل أدنى للستات في الحكومة، بدأت مقاومة الرجالة لتصويت الستات ونشاطهم السياسي تقِلّ.",تغيرات في الفكر أصعب قياسًا من قروض البنوك للنساء الريفيات أو التسجيل المدرسي للفتيات. ومع ذلك، هناك الكثير من الأدلة على أن وكالة المرأة يمكن أن تنقل الجبال. في إيران، على سبيل المثال، قادت النساء أكبر تهديد للحكومة الإسلامية في 40 عامًا ببساطة برفضهن الامتثال للقوانين التي تجبرهن على تغطية شعرهن. في بعض من 130 دولة لديها حصص دنيا للتمثيل النسائي في الحكومة، مثل الهند، قد خف المقاومة الذكورية للتصويت النسائي والنشاط السياسي.,تتفاوت تغيرات الفكر في قابليتها للقياس أكثر من قروض البنوك للنساء الريفيات أو التسجيل المدرسي للفتيات. ومع ذلك، هناك أدلة كثيرة على أن قدرة المرأة على التأثير يمكن أن تُحدث تغييرات جذرية. ففي إيران على سبيل المثال، قادت النساء أكبر تهديد للحكومة الإسلامية في ٤٠ عامًا ببساطة برفضهن الامتثال للقوانين التي تجبرهن على تغطية شعورهن. وفي بعض من ١٣٠ دولة لديها حصص دنيا للتمثيل النسائي في الحكومة، مثل الهند، قد تراجعت المقاومة الذكورية للمشاركة السياسية للنساء والتصويت.,هناك تغييرات في الأفكار أصعب قياسًا من قروض البنوك للنساء الريفيات أو التسجيل المدرسي للفتيات. ومع ذلك، هناك الكثير من الأدلة على أن قدرة المرأة على التأثير يمكن أن تحدث تغييرات جذرية. ففي إيران على سبيل المثال، قادت النساء أكبر تهديد للحكومة الإسلامية في 40 عامًا ببساطة برفضهن الامتثال للقوانين التي تجبرهن على تغطية شعرهن. وفي بعض من 130 دولة لديها حصص دنيا للتمثيل النسائي في الحكومة، مثل الهند، قد خفت المقاومة الذكورية للمشاركة السياسية للنساء والتصويت.,0.0289,0.0215,0.0215,0.1716,0.1616,0.1616,0.1847,0.13,0.1806,0.7341,0.7833,0.7789
16,في بعض القرى الإفريقية، منظمات المجتمع المدني بتحاول تتخلص من العادات الضارة باستخدام التوعية الصحية. واحد من البرامج دي كان ساعد زعيم قبيلة الماساي في كينيا، كاماندا تيمايو، إنه يغير رأيه عن موضوع ختان البنات. الراجل ده قال في تصريح لصحيفة لاموند إنه اتعلم وفهم أكتر، وإنه خلاص مش هيعمل الممارسات دي تاني.,"في بعض المجتمعات الريفية الأفريقية ، تحل منظمات المجتمع المدني محل طقس انتقالي ضار بالتثقيف الصحي. ساعد برنامج من هذا القبيل كاماندا تيمايو ، زعيم قرية الماساي في ماباراشا ، كينيا ، على تغيير رأيه بشأن ختان الإناث. وقال لو موند إنه ""خرج من الجهل"" وسيتخلى عن الممارسة.","في بعض المجتمعات الريفية الأفريقية ، تحل منظمات المجتمع المدني محل طقوس انتقالية ضارة بالتثقيف الصحي. ساعد أحد هذه البرامج كاماندا تيمايو ، زعيم قرية الماساي في ماباراشا ، كينيا ، على تغيير رأيه بشأن ختان الإناث. وقال إنه ""تخلص من الجهل"" وسيتخلى عن هذه الممارسة.","في بعض المجتمعات الريفية الأفريقية ، تحل منظمات المجتمع المدني محل طقوس الانتقال الضارة بالتثقيف الصحي. ساعد برنامج من هذا القبيل كاماندا تيمايو ، زعيم قرية الماساي في ماباراشا ، كينيا ، في تغيير رأيه بشأن ختان الإناث. وقال لصحيفة ""لوموند"" إنه ""تخلص من الجهل"" وسيتخلى عن هذه الممارسة.",0.0305,0.0304,0.0316,0.2027,0.2035,0.2723,0.3088,0.2935,0.3225,0.7547,0.7986,0.8325
20,سواقين القطارات والمزارعين الألمان عاملين قلق لرؤساء الشركات في ألمانيا,المزارعون الألمان وسائقو القطارات يخيفون رؤساء ألمانيا.,المزارعون والسائقون الألمان يثيرون قلق كبار رجال الأعمال في ألمانيا.,المزارعون والسائقون الألمان يخيفون رؤساء ألمانيا.,0.0285,0.0474,0.0256,0.1031,0.15,0.0521,0.5651,0.7761,0.471,0.8215,0.8778,0.7947
21,"في ألمانيا، اللي بيشتغل فيها العمال والمديرين جنب بعض، الإضرابات الكبيرة حاجة نادرة جدًا. بس دلوقتي الوضع اتغير، والبلد اللي متعودة على قرارات مشتركة بقت قدام ""أسبوع صعب"" بسبب سلسلة إضرابات: المزارعين اللي قفلوا الطرق بالجرارات، وعمال السكك الحديدية اللي أضربوا 3 أيام، والأطباء اللي وقفوا العمليات بين الكريسماس وراس السنة.
 الناس مسميين الموضوع ده ""حشد المذراة"" وبيقولوا إنه هيختبر علاقات الشغل في ألمانيا السنة الجاية.","في ألمانيا، حيث يدير العمال والمديرون العديد من الشركات بشكل مشترك، فإن الإضراب الكبير أمر غير عادي. موجة الإضرابات الكبيرة أمر نادر الحدوث تقريبًا. في الوقت الحالي، تواجه دولة ""التحديد المشترك"" في نفس الوقت أسبوع ""عمل"" مدته ثمانية أيام من قبل المزارعين الغاضبين، الذين قاموا بحجب الطرق بالجرارات، وإضراب لمدة ثلاثة أيام لعمال السكك الحديدية، وفوق ذلك، إضراب وشيك للأطباء، الذين أغلقوا العيادات بالفعل بين عيد الميلاد ورأس السنة الجديدة. سيختبر هذا ""الحشد المنحرف بالشوكة"" (الحشد المسلح بالشوك)، كما أطلق عليه البعض، العلاقات العمالية المنسجمة في ألمانيا في العام المقبل.",في ألمانيا، حيث يشارك العمال والمديرون في إدارة الشركات بشكل مشترك، فإن الإضرابات الكبيرة أمر نادر الحدوث. في الوقت الحالي، تواجه البلاد موجة من الاحتجاجات، حيث قام المزارعون الغاضبون بحجب الطرق بالجرارات لمدة 8 أيام، وأضرب عمال السكك الحديدية لمدة 3 أيام، وهناك إضراب وشيك للأطباء الذين أغلقوا عياداتهم بين عيد الميلاد ورأس السنة. هذه الاحتجاجات الواسعة النطاق ستختبر العلاقات العمالية المنسجمة في ألمانيا خلال العام المقبل.,"في ألمانيا، حيث يشارك العمال والمديرون في إدارة العديد من الشركات، فإن الإضرابات الكبيرة أمر نادر الحدوث. في الوقت الحالي، تواجه دولة ""التحديد المشترك"" في آن واحد إضرابًا لمدة ثمانية أيام من قبل المزارعين الغاضبين، الذين قاموا بحجب الطرق بالجرارات، وإضرابًا لمدة ثلاثة أيام لعمال السكك الحديدية، وإضرابًا وشيكًا للأطباء، الذين أغلقوا العيادات بالفعل بين عيد الميلاد ورأس السنة الجديدة. سيختبر هذا ""الحشد المسلح بالشوك""، كما أطلق عليه البعض، العلاقات العمالية المنسجمة في ألمانيا في العام المقبل.",0.0094,0.0139,0.0113,0.1325,0.1732,0.1351,0.2281,0.2873,0.2567,0.7345,0.7991,0.7799
22,الاحتجاجات زادت لما الحكومة قررت توقف دعم السولار اللي المزارعين بيستخدموه في شغلهم وكمان تشيل الإعفاء الضريبي بتاع العربيات الزراعية. القرارات دي خلت المزارعين يغضبوا جدًا، وضمت ليهم عمال تانيين بيعانوا من التضخم والركود. في يوم 9 يناير، سواقين القطارات سواء للشحن أو الركاب عملوا إضراب عشان ساعات العمل والمرتبات.,تم إطلاق الاحتجاجات ظاهريًا بسبب قرار الحكومة بإنهاء الإعانات على وقود الديزل المستخدم في الزراعة وإلغاء الإعفاء من ضريبة السيارات للمركبات الزراعية. دفعت هذه التدابير المزارعين إلى الحافة. كما حشدت أيضًا عمال غاضبين آخرين، يعانون بالفعل من ضغط التضخم والركود والتقشف الذاتي للحكومة. في 9 يناير، بدأ سائقو قطارات البضائع والركاب في Deutsche Bahn، السكك الحديدية الوطنية، إضرابًا بسبب ساعات العمل والأجور.,تم إطلاق الاحتجاجات بسبب قرار الحكومة بإنهاء الإعانات على الوقود المستخدم في الزراعة وإلغاء الإعفاء من ضريبة السيارات للمركبات الزراعية. أثارت هذه التدابير غضب المزارعين بشدة. كما حشدت أيضًا عمال آخرين غاضبين، يعانون بالفعل من ضغط التضخم والركود والتقشف الذاتي للحكومة. في 9 يناير، بدأ سائقو قطارات البضائع والركاب في الشركة الحديدية الألمانية إضرابًا بسبب ساعات العمل والأجور.,تم إطلاق الاحتجاجات بسبب قرار الحكومة بإنهاء إعانات وقود الديزل المستخدم في الزراعة وإلغاء الإعفاء من ضريبة السيارات للمركبات الزراعية، مما دفع المزارعين إلى الانفجار. كما حشدت هذه التدابير أيضًا عمالاً غاضبين آخرين، يعانون بالفعل من ضغط التضخم والركود والتقشف الذاتي للحكومة. في 9 يناير، بدأ سائقو قطارات البضائع والركاب في Deutsche Bahn، السكك الحديدية الوطنية، إضرابًا بسبب ساعات العمل والأجور.,0.0151,0.0161,0.0143,0.1873,0.1888,0.1669,0.276,0.3084,0.2671,0.8071,0.84,0.8222
