index,reference,zero_shot_translation,improved_agent_translation,single_translation,bleu_zero_shot,bleu_single_agent,bleu_improved,meteor_zero_shot,meteor_single_agent,meteor_improved,bleurt_zero_shot,bleurt_single_agent,bleurt_improved,comet_zero_shot,comet_single_agent,comet_improved
1,"Der Vorfall ereignet sich, nachdem sich die Zahl der Flüchtlinge und Asylbewerber, die den Ärmelkanal nach Großbritannien in Booten überqueren, ansteigt. Die Polizei hat 15 Menschen verhaftet, nachdem Anti-Flüchtlingsdemonstrationen vor einem Hotel in der Nähe der englischen Stadt Liverpool, das verwendet wird, um Asylbewerber unterzubringen, gewalttätig wurden. Laut dem Polizeirevier von Merseyside erlitten ein Polizeibeamter und zwei Zivilisten während des Tumults am Freitagabend in Knowsley leichte Verletzungen. Die Polizei gab bekannt, dass einige Demonstranten Gegenstände warfen und einen Polizeiwagen anzündeten. Die verhafteten Menschen, die zwischen 13 und 54 Jahren alt waren, wurden „aufgrund von gewalttätigen Ausschreitungen“ inhaftiert. Die Polizeikommissarin von Merseyside Emily Spurrell äußerte gegenüber Radio City, „Es war unglaublich gefährlich und es gab einige Verletzte unter den Polizeibeamten.“","Der Vorfall ereignet sich nach einem Anstieg der Zahl von Flüchtlingen und Asylsuchenden, die den Ärmelkanal in Booten nach Großbritannien überqueren. Die Polizei hat 15 Personen festgenommen, nachdem eine fremdenfeindliche Demonstration vor einem Hotel, das zur Unterbringung von Asylsuchenden genutzt wird, in der Nähe der englischen Stadt Liverpool gewalttätig geworden war. Die Polizeibehörde von Merseyside teilte mit, dass ein Polizist und zwei Zivilisten bei der Störung am Freitagabend in Knowsley leichte Verletzungen erlitten hätten. Die Polizei sagte, einige Demonstranten hätten Gegenstände geworfen und einen Polizeiwagen in Brand gesetzt. Die Festgenommenen, die zwischen 13 und 54 Jahre alt sind, wurden ""nach gewalttätigen Ausschreitungen"" festgenommen. Emily Spurrell, Polizeibeauftragte von Merseyside, sagte gegenüber Radio City: ""Es war unglaublich gefährlich und es gab ein paar Verletzungen unter den Polizeibeamten.""","Der Vorfall ereignete sich im Zuge eines Anstiegs der Anzahl von Flüchtlingen und Asylsuchenden, die in Booten über den Ärmelkanal nach Großbritannien gelangen. Die Polizei hat 15 Personen festgenommen, nachdem eine fremdenfeindliche Demonstration vor einem Hotel, das zur Unterbringung von Asylsuchenden genutzt wird, in der Nähe der englischen Stadt Liverpool gewalttätig geworden war. Laut der Polizeibehörde Merseyside wurden bei den Ausschreitungen am Freitagabend in Knowsley ein Polizist und zwei Zivilisten leicht verletzt. Die Polizei gab an, dass einige Demonstranten Gegenstände warfen und ein Polizeiauto anzündeten. Die Festgenommenen im Alter von 13 bis 54 Jahren wurden „nach gewalttätigen Ausschreitungen“ festgenommen. Emily Spurrell, Polizeibeauftragte von Merseyside, äußerte sich gegenüber Radio City: „Es war äußerst gefährlich, und mehrere Polizisten wurden verletzt.“","Der Vorfall ereignete sich nach einem Anstieg der Zahl von Flüchtlingen und Asylsuchenden, die den Ärmelkanal in Booten nach Großbritannien überqueren. Die Polizei hat 15 Personen festgenommen, nachdem eine fremdenfeindliche Demonstration vor einem Hotel, das zur Unterbringung von Asylsuchenden genutzt wird, in der Nähe der englischen Stadt Liverpool gewalttätig geworden war. Die Polizeibehörde von Merseyside teilte mit, dass ein Polizist und zwei Zivilisten bei der Störung am Freitagabend in Knowsley leichte Verletzungen erlitten. Die Polizei sagte, einige Demonstranten hätten Gegenstände geworfen und einen Polizeiwagen in Brand gesetzt. Die Festgenommenen im Alter von 13 bis 54 Jahren wurden ""nach gewalttätigen Ausschreitungen"" festgenommen. Emily Spurrell, Polizeibeauftragte von Merseyside, sagte gegenüber Radio City: ""Es war unglaublich gefährlich, und es gab einige Verletzte unter den Polizeibeamten.""",0.2884,0.251,0.2652,0.5289,0.4649,0.4912,0.7335,0.7428,0.739,0.8894,0.8868,0.8885
3,"Mehr als 45.000 Menschen haben 2022 Großbritannien auf diesem Weg erreicht und die meisten haben einen Asylantrag gestellt. Das System, das Asylanträge bearbeitet, hat sich aufgrund politischer Unruhen und bürokratischer Verzögerungen stark verlangsamt, was dazu führte, dass viele Asylbewerber in Hotels und vorübergehenden Unterkünften feststecken. Die Überquerungen des Ärmelkanals sind zu einem politischen Thema geworden, die konservative Regierungen verspricht hierbei „die Boote zu stoppen“ und verfolgt einen Plan, jene Asylbewerber nach Ruanda zu schicken. Gegner haben der Regierung vorgeworfen, verzweifelte Menschen, die vor Krieg und Armut fliehen, zu dämonisieren.","Über 45.000 Menschen erreichten das Vereinigte Königreich im Jahr 2022 über diese Route, und die meisten beantragten Asyl. Das System zur Prüfung von Asylanträgen hat sich aufgrund politischer Turbulenzen und bürokratischer Verzögerungen stark verlangsamt, wodurch viele Asylsuchende in Hotels oder anderen Notunterkünften festsitzen. Die Kanalüberquerungen sind zu einem politischen Thema geworden, wobei die konservative Regierung verspricht, ""die Boote zu stoppen"", und einen Plan verfolgt, solche Asylsuchenden nach Ruanda zu schicken. Gegner haben die Regierung beschuldigt, verzweifelte Menschen, die vor Krieg und Armut fliehen, zu dämonisieren.","Über diesen Weg erreichten im Jahr 2022 mehr als 45.000 Menschen das Vereinigte Königreich, und die meisten beantragten Asyl. Das System zur Prüfung von Asylanträgen hat sich aufgrund politischer Turbulenzen und bürokratischer Verzögerungen stark verlangsamt, wodurch viele Asylsuchende in Hotels oder anderen Notunterkünften festsitzen. Die Überquerungen des Ärmelkanals sind zu einem politischen Thema geworden, wobei die konservative Regierung verspricht, ""die Boote aufzuhalten"", und einen Plan verfolgt, solche Asylsuchenden nach Ruanda zu schicken. Gegner haben die Regierung beschuldigt, verzweifelte Menschen, die vor Krieg und Armut fliehen, zu dämonisieren.","Über 45.000 Menschen erreichten das Vereinigte Königreich im Jahr 2022 über diese Route, und die meisten stellten einen Asylantrag. Das System zur Prüfung von Asylanträgen hat sich aufgrund politischer Turbulenzen und bürokratischer Verzögerungen stark verlangsamt, wodurch viele Asylsuchende in Hotels oder anderen Notunterkünften festsitzen. Die Kanalüberquerungen sind zu einem politischen Thema geworden, wobei die konservative Regierung verspricht, ""die Boote zu stoppen"" und einen Plan verfolgt, diese Asylsuchenden nach Ruanda zu schicken. Gegner werfen der Regierung vor, verzweifelte Menschen, die vor Krieg und Armut fliehen, zu dämonisieren.",0.3833,0.4216,0.3797,0.5403,0.5903,0.5549,0.737,0.7545,0.732,0.8802,0.8831,0.8785
5,Derry-Mittelfeldspieler Adam Reilly blockt Lee Grace in Brandywell,Derry-Mittelfeldspieler Adam Reilly engt Lee Grace im Brandywell ein.,Derrys Mittelfeldspieler Adam Reilly bedrängt Lee Grace im Brandywell-Stadion.,Derry-Mittelfeldspieler Adam Reilly bedrängt Lee Grace im Brandywell.,0.1375,0.0631,0.1562,0.6944,0.463,0.605,0.6777,0.7317,0.7715,0.8279,0.7213,0.8265
9,"Das Heimatschutzministerium hat eine außenstehende Anwaltskanzlei – Debevoise & Plimpton – engagiert, um beim möglichen Amtsenthebungsverfahren gegen Minister Alejandro Mayorkas zu helfen, da er sich womöglich gegenüber Republikanern bezüglich seines Umgangs mit der südlichen Grenze verantworten muss. „Das Heimatschutzministerium hat Beratung von außen hinzugezogen, um dabei zu helfen sicherzustellen, dass die wichtige Aufgabe des Ministeriums nicht von beispiellosen, ungerechtfertigten und parteiischen Bemühungen einiger Kongressmitglieder eine Amtsenthebung einzuleiten, wofür bereits Schritte eingeleitet wurden, unterbrochen wird“, so ein DHS-Sprecher in einer Stellungnahme am Freitag. „Das DHS wird weiterhin seine Arbeit, unser Land vor Terrorismus zu schützen, auf Naturkatastrophen zu reagieren und unsere Grenzen zu wahren, priorisieren, während es angemessen auf die über 70 Kongressausschüsse und -unterausschüsse, die Kontrolle über das DHS haben, reagiert.“ Ein DHS-Beamter sagte gegenüber CBS News, dass das Ministerium die Kanzlei für Vertragsarbeit für den Zeitraum der Kongressermittlung engagiert hat. Debevoise wurde aufgrund ihrer Expertise im Bereich Amtsenthebung und überparteilicher Erfahrung in der Arbeit mit dem Kongress an Überwachung ausgewählt.","Das Ministerium für Innere Sicherheit hat die externe Anwaltskanzlei Debevoise & Plimpton beauftragt, bei möglichen Amtsenthebungsverfahren gegen Minister Alejandro Mayorkas zu helfen, da ihm möglicherweise Anklagen von Republikanern im Repräsentantenhaus wegen seines Umgangs mit der Südgrenze drohen. ""Das Ministerium für Innere Sicherheit hat externen Rechtsbeistand hinzugezogen, um sicherzustellen, dass die lebenswichtige Mission des Ministeriums nicht durch die beispiellosen, ungerechtfertigten und parteiischen Amtsenthebungsbemühungen einiger Kongressabgeordneter unterbrochen wird, die bereits Schritte zur Einleitung von Verfahren unternommen haben"", sagte ein Sprecher des DHS am Freitag in einer Erklärung. ""Das DHS wird seine Arbeit zum Schutz unseres Landes vor Terrorismus, zur Reaktion auf Naturkatastrophen und zur Sicherung unserer Grenzen weiterhin priorisieren und gleichzeitig angemessen auf die über 70 Kongress-Ausschüsse und Unterausschüsse reagieren, die die Aufsicht über das DHS haben."" Ein Beamter des DHS teilte CBS News mit, dass das Ministerium die Kanzlei für Vertragsarbeit für die Dauer der Kongressuntersuchung eingestellt hat. Debevoise wurde aufgrund seiner Expertise im Bereich Amtsenthebung und seiner überparteilichen Erfahrung in der Zusammenarbeit mit dem Kongress im Bereich der Aufsicht ausgewählt.","Das Heimatschutzministerium hat die externe Anwaltskanzlei Debevoise & Plimpton beauftragt, bei möglichen Amtsenthebungsverfahren gegen Minister Alejandro Mayorkas zu unterstützen, da ihm möglicherweise Anklagen von Republikanern im US-Repräsentantenhaus wegen seines Umgangs mit der Südgrenze drohen. „Das Heimatschutzministerium hat externen Rechtsbeistand hinzugezogen, um sicherzustellen, dass die lebenswichtige Mission des Ministeriums nicht durch die beispiellosen, ungerechtfertigten und parteiischen Amtsenthebungsbemühungen einiger Mitglieder des Kongresses unterbrochen wird, die bereits Schritte zur Einleitung von Verfahren unternommen haben“, sagte ein Sprecher des DHS am Freitag in einer Erklärung. „Das DHS wird weiterhin seine Arbeit zum Schutz unseres Landes vor Terrorismus, zur Reaktion auf Naturkatastrophen und zur Sicherung unserer Grenzen priorisieren und gleichzeitig angemessen auf die über 70 Ausschüsse und Unterausschüsse des Kongresses reagieren, die die Aufsicht über das DHS haben.“ Ein Beamter des DHS teilte CBS News mit, dass das Ministerium die Kanzlei für Vertragsarbeit für die Dauer der Untersuchung des Kongresses eingestellt hat. Debevoise wurde aufgrund seiner Expertise im Bereich Amtsenthebung und seiner überparteilichen Erfahrung in der Zusammenarbeit mit dem Kongress im Bereich der Aufsicht ausgewählt.","Das Ministerium für Innere Sicherheit hat die externe Anwaltskanzlei Debevoise & Plimpton beauftragt, um in möglichen Amtsenthebungsverfahren gegen Minister Alejandro Mayorkas zu unterstützen, dem möglicherweise Anklagen von Republikanern im Repräsentantenhaus wegen seines Umgangs mit der Südgrenze drohen. ""Das Ministerium für Innere Sicherheit hat externen Rechtsbeistand hinzugezogen, um sicherzustellen, dass die lebenswichtige Aufgabe des Ministeriums nicht durch die beispiellosen, ungerechtfertigten und parteiischen Amtsenthebungsbemühungen einiger Kongressabgeordneter behindert wird, die bereits Schritte zur Einleitung von Verfahren unternommen haben"", sagte ein Sprecher des DHS am Freitag in einer Erklärung. ""Das DHS wird seine Arbeit zum Schutz unseres Landes vor Terrorismus, zur Reaktion auf Naturkatastrophen und zur Sicherung unserer Grenzen weiterhin priorisieren und gleichzeitig angemessen auf die über 70 Kongressausschüsse und Unterausschüsse reagieren, die die Aufsicht über das DHS ausüben."" Ein Beamter des DHS teilte CBS News mit, dass das Ministerium die Kanzlei im Rahmen eines Werkvertrags für die Dauer der Kongressuntersuchung eingestellt hat. Debevoise wurde aufgrund seiner Expertise in Amtsenthebungsverfahren und seiner parteiübergreifenden Erfahrung in der Zusammenarbeit mit dem Kongress in Aufsichtsfragen ausgewählt.",0.2726,0.3039,0.2332,0.5124,0.5415,0.4773,0.6979,0.7263,0.6985,0.8709,0.8733,0.8718
10,"Das Justizministerium riet neulich an, dass der Vertrag mit Debevoise sich als angemessene Ausgabe des DHS qualifiziert. Das DHS versucht, sicherzustellen, dass sein Ziel nicht von überparteilichen Angriffen untergraben wird und dass Verfahren gegen Mayorkas von Menschen mit angemessener Expertise bearbeitet werden. Mayorkas hat diese Entwicklung nicht kommentiert, aber hat letzten Donnerstag nach dem Antrag auf Amtsenthebung gefragt, sagte er Reportern, „Wir werden mit diesem Kongress kooperieren, genauso wie wir es mit dem letzten Kongress getan haben. Ich glaube, das ist unsere Pflicht.“ Er räumte ein, dass „es dauern wird“, den Ermittlungen des Repräsentantenhauses nachzukommen. „Ich werde diese Zeit genauso wie andere nutzen und wir werden die Zeit, die wir damit verbracht haben, unser Ziel zu erreichen, nicht infrage stellen.“ Ein leitender Beamter des DHS bestätigte, dass Mayorkas sich bisher nicht mit seinem neuen, externen Anwalt getroffen hat. Nur ein Kabinettsmitglied wurde bisher je des Amtes enthoben, Kriegsminister William Belknap. 1876 wurde Belknap, der unter der Regierung von Präsident Ulysses S. Grant arbeitete, beschuldigt, Bestechungsgelder anzunehmen, wurde letztendlich aber vom Senat freigesprochen.","Das Justizministerium hat kürzlich mitgeteilt, dass der Vertrag mit Debevoise als angemessene Ausgabe für das DHS gilt. Das DHS versucht sicherzustellen, dass seine Mission nicht durch parteiische Angriffe untergraben wird und dass Verfahren gegen Mayorkas von Personen mit der entsprechenden Expertise geführt werden. Mayorkas hat sich zu dieser Entwicklung nicht geäußert, aber auf die Frage nach dem Amtsenthebungsverfahren am vergangenen Donnerstag sagte er Reportern: ""Wir werden mit diesem Kongress zusammenarbeiten, so wie wir es mit dem letzten Kongress getan haben. Ich denke, das ist unsere Verantwortung."" Er räumte ein, dass es ""Zeit brauchen wird"", um der Untersuchung des Repräsentantenhauses nachzukommen. ""Ich werde diese Zeit verbringen, so wie es auch andere tun werden, und wir werden auch die Zeit, die wir mit der Erfüllung unserer Mission verbringen, nicht beeinträchtigen."" Ein hochrangiger DHS-Beamter bestätigte, dass Mayorkas sich noch nicht mit seinem neuen externen Anwalt getroffen hat. Nur ein Kabinettsmitglied wurde jemals angeklagt, Kriegsminister William Belknap. Im Jahr 1876 wurde Belknap, der in der Regierung von Präsident Ulysses S. Grant diente, beschuldigt, Bestechungsgelder angenommen zu haben, wurde aber letztendlich vom Senat freigesprochen.","Das Justizministerium hat kürzlich mitgeteilt, dass der Vertrag mit Debevoise als angemessene Ausgabe für das DHS gilt. Das DHS versucht sicherzustellen, dass seine Mission nicht durch parteiische Angriffe untergraben wird und dass Verfahren gegen Mayorkas von Personen mit der entsprechenden Expertise geführt werden. Mayorkas hat sich zu dieser Entwicklung nicht geäußert, aber auf die Frage nach dem Amtsenthebungsverfahren am vergangenen Donnerstag sagte er Reportern: ""Wir werden mit diesem Kongress zusammenarbeiten, so wie mit dem letzten. Ich denke, das ist unsere Verantwortung."" Er räumte ein, dass es ""Zeit brauchen wird"", um der Untersuchung des Repräsentantenhauses nachzukommen. ""Ich werde diese Zeit verbringen, so wie es auch andere tun werden, und wir werden auch die Zeit, die wir mit der Erfüllung unserer Mission verbringen, nicht beeinträchtigen."" Ein hochrangiger DHS-Beamter bestätigte, dass Mayorkas sich noch nicht mit seinem neuen externen Anwalt getroffen hat. Nur ein Kabinettsmitglied wurde jemals angeklagt, verteidigungsminister William Belknap. Im Jahr 1876 wurde Belknap, der in der Regierung von Präsident Ulysses S. Grant diente, beschuldigt, Bestechungsgelder angenommen zu haben, wurde aber letztendlich vom Senat freigesprochen.","Das Justizministerium hat kürzlich mitgeteilt, dass der Vertrag mit Debevoise als eine angemessene Ausgabe für das DHS gilt. Das DHS versucht sicherzustellen, dass seine Mission nicht durch parteiische Angriffe untergraben wird und dass Verfahren gegen Mayorkas von Personen mit der entsprechenden Expertise geführt werden. Mayorkas hat sich zu dieser Entwicklung nicht geäußert, aber auf die Frage nach dem Amtsenthebungsverfahren am vergangenen Donnerstag sagte er Reportern: ""Wir werden mit diesem Kongress zusammenarbeiten, so wie wir es mit dem letzten Kongress getan haben. Ich denke, das ist unsere Verantwortung."" Er räumte ein, dass es ""Zeit brauchen wird"", um der Untersuchung des Repräsentantenhauses nachzukommen. ""Ich werde diese Zeit investieren, wie auch andere, und wir werden auch die Zeit, die wir für die Erfüllung unserer Mission aufwenden, nicht beeinträchtigen."" Ein hochrangiger DHS-Beamter bestätigte, dass Mayorkas sich noch nicht mit seinem neuen externen Anwalt getroffen hat. Nur gegen ein Kabinettsmitglied wurde jemals ein Amtsenthebungsverfahren eingeleitet, gegen Kriegsminister William Belknap. Im Jahr 1876 wurde Belknap, der in der Regierung von Präsident Ulysses S. Grant diente, beschuldigt, Bestechungsgelder angenommen zu haben, wurde aber letztendlich vom Senat freigesprochen.",0.3923,0.3519,0.3731,0.6492,0.6071,0.638,0.6729,0.6688,0.6396,0.8708,0.8669,0.8729
11,"Vier Teenagerinnen verurteilt nach Angriff auf 14-Jährige, die an Suizid starb, nachdem Prügelvideo online gestellt wurde","Vier Jugendliche wegen Angriffs auf einen 14-Jährigen angeklagt, der Selbstmord beging, nachdem ein Video der Schlägerei online gestellt wurde.","vier Heranwachsende wurden wegen des Angriffs auf einen 14-Jährigen angeklagt, der Selbstmord beging, nachdem ein Video der Schlägerei im Internet veröffentlicht wurde.","Vier Jugendliche wegen eines Angriffs auf einen 14-Jährigen angeklagt, der Selbstmord beging, nachdem ein Video der Schlägerei, die zu seinem Tod führte, online gestellt wurde.",0.0608,0.0201,0.0484,0.3136,0.1901,0.3387,0.7043,0.7142,0.678,0.7995,0.8285,0.7885
12,"Der Vater sagt, die Tochter nahm sich das Leben, nachdem sie in einer Schule in New Jersey gemobbt wurde","Vater sagt, Tochter nahm sich nach Mobbing an Schule in NJ das Leben.","Der Vater sagt, seine Tochter beging Selbstmord, nachdem sie in einer Schule in New Jersey gemobbt wurde.","Vater sagt, seine Tochter habe sich nach Mobbing an einer Schule in New Jersey das Leben genommen.",0.0927,0.6171,0.2624,0.4076,0.6872,0.4987,0.6595,0.8104,0.7703,0.8728,0.9191,0.9046
14,"Adriana Kuch, 14, wurde am 3. Februar, zwei Tage nachdem das verstörende Video des Angriffs in der Central Regional High School online gestellt wurde, tot in ihrem Zuhause in Bayville aufgefunden. Das Video zeigte, wie Mädchen ein Getränk nach der Teenagerin warfen, sie dann traten und den Schulkorridor entlangschleiften. Sie schubsten Adriana in die roten Spinde, die den Schulkorridore säumen, und eins der Mädchen in einem pinken Shirt schlug Kuch wiederholt.","Adriana Kuch, 14 Jahre alt, wurde am 3. Februar tot in ihrem Zuhause in Bayville aufgefunden, zwei Tage nachdem das verstörende Video des Angriffs an der Central Regional High School online gestellt worden war. Das Video zeigte Mädchen, die ein Getränk auf den Teenager warfen und sie dann traten und die Schulflure entlang zerrten. Sie schubsten Adriana gegen rote Spinde, die die Schulflure säumten, und eines der Mädchen in einem rosafarbenen Hemd schlug Kuch wiederholt.","Die 14-jährige Adriana Kuch wurde am 3. Februar tot in ihrem Zuhause in Bayville aufgefunden, zwei Tage nachdem ein verstörendes Video des Angriffs an der Central Regional High School online gestellt wurde. Das Video zeigte, wie Mädchen ein Getränk auf den Teenager warfen, sie traten und die Schulflure entlangzerrten. Sie schubsten Adriana gegen rote Spinde, die entlang der Schulflure standen, und eines der Mädchen in einem rosafarbenen Hemd schlug Kuch wiederholt.","Adriana Kuch, 14 Jahre alt, wurde am 3. Februar tot in ihrem Zuhause in Bayville aufgefunden, zwei Tage nachdem das verstörende Video des Angriffs an der Central Regional High School online veröffentlicht worden war. Das Video zeigte, wie Mädchen ein Getränk auf den Teenager warfen, sie traten und durch die Schulflure zerrten. Sie stießen Adriana gegen rote Spinde, die die Schulflure säumten, und eines der Mädchen in einem rosafarbenen Hemd schlug Kuch wiederholt.",0.4709,0.4584,0.4908,0.6779,0.7116,0.6913,0.6751,0.6907,0.6416,0.8202,0.8117,0.8144
23,"2. Ruhen Sie sich aus, wenn sie es brauchen: Zwei Jobs zu haben, als Schlafforscher und als Algorithmenentwickler, und das alles, während er sich um ein Neugeborenes kümmert, hätte Raphael Vallat bestimmt in den Burnout getrieben, wenn er sich nicht ausgeruht hätte, sagt er. „Wenn ich dabei bin, auszubrennen, fühlt sich im Gründe jede Aufgabe wie ein Berg an, den man besteigen muss, und sie fühlt sich extrem dringend und wichtig an“, sagt Vallat. In diesen Momenten „muss man sich wirklich eine Auszeit nehmen und realisieren, dass diese Aufgaben warten können.“ Normalerweise findet Vallat Momente im Laufe seines Tags, in denen er eine Pause machen und Zeit in der Natur verbringen kann, um sich zu erden, bevor er zur Arbeit zurückkehrt.","2. Ruhe dich aus, wenn du es brauchst: Zwei Jobs als Schlafforscher und Algorithmus-Ingenieur, während er sich gleichzeitig um ein neues Baby kümmert, hätte Raphael Vallat definitiv in einen Burnout getrieben, wenn er sich nicht ausgeruht hätte, sagt er. ""Ich habe das Gefühl, dass, wenn ich kurz vor dem Burnout stehe, sich im Grunde jede Aufgabe wie ein Berg anfühlt, den man erklimmen muss, und sie sich super dringend und wichtig anfühlt"", sagt Vallat. In diesen Momenten ""muss man sich wirklich eine Auszeit nehmen und sich bewusst machen, dass diese Aufgaben warten können."" Typischerweise findet Vallat Momente in seinem Tag, in denen er eine Pause einlegen und Zeit in der Natur verbringen kann, um sich zu erden, bevor er zur Arbeit zurückkehrt.","2. Mach eine Pause, wenn du sie brauchst: Die Doppelbelastung als Schlafforscher und Algorithmus-Ingenieur, während er sich um ein Neugeborenes kümmert, hätte Raphael Vallat ohne Pausen definitiv in einen Burnout getrieben, sagt er. „Ich habe das Gefühl, kurz vor dem Burnout erscheint jede Aufgabe wie ein unbezwingbarer Berg, super dringend und wichtig“, so Vallat. In solchen Momenten „muss man sich wirklich eine Auszeit gönnen und erkennen, dass diese Aufgaben warten können.“ Vallat findet im Laufe des Tages Momente, in denen er innehalten und Zeit in der Natur verbringen kann, um sich zu erden, bevor er wieder an die Arbeit geht.","2. Ruhen Sie sich aus, wenn Sie es brauchen: Zwei Jobs als Schlafforscher und Algorithmus-Ingenieur, während er sich gleichzeitig um ein neues Baby kümmert, hätten Raphael Vallat definitiv in einen Burnout getrieben, wenn er sich nicht ausgeruht hätte, sagt er. ""Ich habe das Gefühl, dass sich im Grunde jede Aufgabe wie ein Berg anfühlt, den man erklimmen muss, wenn ich kurz vor dem Burnout stehe, und sie sich super dringend und wichtig anfühlt"", sagt Vallat. In diesen Momenten ""muss man sich wirklich eine Auszeit nehmen und sich bewusst machen, dass diese Aufgaben warten können."" Vallat findet typischerweise Momente im Laufe des Tages, in denen er eine Pause einlegen und Zeit in der Natur verbringen kann, um sich zu erden, bevor er wieder an die Arbeit geht.",0.488,0.3658,0.4783,0.695,0.517,0.7147,0.7271,0.7068,0.7378,0.8663,0.8472,0.8655
24,"3. Machen Sie das, was Sie tun, leidenschaftlich und erinnern Sie sich an Ihren Zweck: Bis zum Frühling 2022 arbeitete die Fachärztin für Infektiologie Céline Gounder 100 Stunden die Woche an 7 Tagen die Woche. Da sie während der Pandemie an vorderster Front stand, nahm das fast all ihre Zeit in Anspruch, aber sie vermied einen Burnout, indem sie sich daran erinnerte, warum ihre Arbeit wichtig sei. „Ich finde nicht, dass sich Arbeit wie Arbeit anfühlt, wenn man sich so fühlt, als könnte man etwas ausrichten“, sagt Gounder. „Wenn man eine verrückte Stundenzahl für etwas arbeitet, das für einen keine Bedeutung hat, denke ich, dass man wirklich Abstand gewinnen und in Frage stellen muss, was man tut.“","3. Sei mit Leidenschaft bei der Sache und erinnere dich an dein Ziel: Bis zum Frühjahr 2022 arbeitete die Infektiologin Céline Gounder 100 Stunden pro Woche, sieben Tage die Woche. Ihr Einsatz an vorderster Front während der Pandemie beanspruchte fast ihre gesamte Zeit, aber sie vermied Burnout, indem sie sich immer wieder daran erinnerte, warum ihre Arbeit wichtig ist. ""Ich glaube, Arbeit fühlt sich nicht wie Arbeit an, wenn man das Gefühl hat, etwas zu bewirken"", sagt Gounder. ""Wenn man wahnsinnig viele Stunden mit etwas verbringt, das keine Bedeutung für einen hat, dann muss man wirklich innehalten und hinterfragen, was man tut.""","3. Sei begeistert von dem, was du tust, und vergiss dein Ziel nicht: Bis zum Frühjahr 2022 arbeitete die Infektiologin Céline Gounder 100 Stunden pro Woche, sieben Tage die Woche. Ihr Einsatz an der vordersten Front während der Pandemie nahm fast ihre ganze Zeit in Anspruch, aber sie vermied Burnout, indem sie sich immer wieder daran erinnerte, warum ihre Arbeit wichtig ist. ""Ich glaube, Arbeit fühlt sich nicht wie Arbeit an, wenn man das Gefühl hat, etwas zu bewirken"", sagt Gounder. ""Wenn du wahnsinnig viele Stunden mit etwas verbringst, das dir nichts bedeutet, solltest du wirklich innehalten und hinterfragen, was du tust.""","Sei mit Leidenschaft bei der Sache und erinnere dich an dein Ziel: Bis zum Frühjahr 2022 arbeitete die Spezialistin für Infektionskrankheiten, Céline Gounder, 100 Stunden pro Woche, sieben Tage die Woche. Ihr Einsatz an vorderster Front während der Pandemie beanspruchte fast ihre gesamte Zeit, aber sie vermied ein Burnout, indem sie sich immer wieder daran erinnerte, warum ihre Arbeit wichtig ist. ""Ich glaube, Arbeit fühlt sich nicht wie Arbeit an, wenn man das Gefühl hat, etwas zu bewirken"", sagt Gounder. ""Wenn man wahnsinnig viele Stunden mit etwas verbringt, das keine Bedeutung für einen hat, dann muss man wirklich innehalten und hinterfragen, was man tut.""",0.2024,0.2136,0.1909,0.4516,0.4039,0.4414,0.7108,0.6549,0.7119,0.8743,0.8717,0.8745
