index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
1,"Der Vorfall ereignet sich, nachdem sich die Zahl der Flüchtlinge und Asylbewerber, die den Ärmelkanal nach Großbritannien in Booten überqueren, ansteigt. Die Polizei hat 15 Menschen verhaftet, nachdem Anti-Flüchtlingsdemonstrationen vor einem Hotel in der Nähe der englischen Stadt Liverpool, das verwendet wird, um Asylbewerber unterzubringen, gewalttätig wurden. Laut dem Polizeirevier von Merseyside erlitten ein Polizeibeamter und zwei Zivilisten während des Tumults am Freitagabend in Knowsley leichte Verletzungen. Die Polizei gab bekannt, dass einige Demonstranten Gegenstände warfen und einen Polizeiwagen anzündeten. Die verhafteten Menschen, die zwischen 13 und 54 Jahren alt waren, wurden „aufgrund von gewalttätigen Ausschreitungen“ inhaftiert. Die Polizeikommissarin von Merseyside Emily Spurrell äußerte gegenüber Radio City, „Es war unglaublich gefährlich und es gab einige Verletzte unter den Polizeibeamten.“","Der Vorfall kommt nach einem Anstieg der Zahl von Flüchtlingen und Asylbewerbern, die in Booten den Ärmelkanal in Richtung Großbritannien überqueren. Die Polizei hat 15 Personen nach einer gewalttätigen anti-Flüchtlings-Demonstration außerhalb eines Hotels, das zur Unterbringung von Asylbewerbern genutzt wird, in der Nähe der englischen Stadt Liverpool festgenommen. Das Merseyside-Polizeidepartement erklärte, dass ein Polizeibeamter und zwei Zivilisten bei der Störung am Freitagabend in Knowsley leichte Verletzungen erlitten. Die Polizei teilte mit, dass einige Demonstranten Gegenstände warfen und einen Polizeiwagen in Brand setzten. Die Festgenommenen im Alter von 13 bis 54 Jahren wurden ""nach gewalttätigen Ausschreitungen"" in Gewahrsam genommen. Die Polizeikommissarin von Merseyside, Emily Spurrell, sagte gegenüber Radio City: ""Es war unglaublich gefährlich und es gab ein paar Verletzungen unter den Polizeibeamten.""","Die Polizei hat 15 Personen nach einer gewalttätigen Demonstration von Gegnern der Aufnahme von Flüchtlingen außerhalb eines Hotels, das zur Unterbringung von Asylbewerbern genutzt wird, in der Nähe der Stadt Liverpool festgenommen. Ein Polizeibeamter und zwei Zivilisten erlitten bei dem Vorfall am Freitagabend in Knowsley leichte Verletzungen. Einige Demonstranten warfen Gegenstände und setzten einen Polizeiwagen in Brand. Die Festgenommenen im Alter von 13 bis 54 Jahren wurden wegen gewalttätiger Ausschreitungen in Gewahrsam genommen.","Der Vorfall erfolgte nach einem Anstieg der Zahl von Flüchtlingen und Asylbewerbern, die in Booten den Ärmelkanal in Richtung Großbritannien überqueren. Die Polizei hat 15 Personen im Alter von 13 bis 54 Jahren nach einer gewalttätigen Demonstration gegen Flüchtlinge außerhalb eines Hotels, das zur Unterbringung von Asylbewerbern genutzt wird, in der Nähe der englischen Stadt Liverpool festgenommen. Das Merseyside-Polizeidepartement erklärte, dass ein Polizeibeamter und zwei Zivilisten bei der Störung am Freitagabend in Knowsley leichte Verletzungen erlitten. Die Polizei teilte mit, dass einige Demonstranten Gegenstände warfen und einen Polizeiwagen in Brand setzten. Die Festgenommenen wurden ""nach gewalttätigen Ausschreitungen"" in Gewahrsam genommen. Die Polizeikommissarin von Merseyside, Emily Spurrell, sagte gegenüber Radio City: ""Es war unglaublich gefährlich und es gab ein paar Verletzungen unter den Polizeibeamten.""",0.3116,0.1018,0.308,0.4651,0.3008,0.4694,0.738,0.5848,0.7385,0.8938,0.8245,0.8907
3,"Mehr als 45.000 Menschen haben 2022 Großbritannien auf diesem Weg erreicht und die meisten haben einen Asylantrag gestellt. Das System, das Asylanträge bearbeitet, hat sich aufgrund politischer Unruhen und bürokratischer Verzögerungen stark verlangsamt, was dazu führte, dass viele Asylbewerber in Hotels und vorübergehenden Unterkünften feststecken. Die Überquerungen des Ärmelkanals sind zu einem politischen Thema geworden, die konservative Regierungen verspricht hierbei „die Boote zu stoppen“ und verfolgt einen Plan, jene Asylbewerber nach Ruanda zu schicken. Gegner haben der Regierung vorgeworfen, verzweifelte Menschen, die vor Krieg und Armut fliehen, zu dämonisieren.","Mehr als 45.000 Menschen erreichten 2022 auf dieser Route das Vereinigte Königreich, und die meisten beantragten Asyl. Das System zur Prüfung von Asylanträgen ist aufgrund politischer Turbulenzen und bürokratischer Verzögerungen zum Erliegen gekommen, was dazu führt, dass viele Asylsuchende in Hotels oder anderen Übergangswohnungen festsitzen. Die Überquerungen des Ärmelkanals sind zu einem politischen Thema geworden, wobei die konservative Regierung verspricht, ""die Boote zu stoppen"" und einen Plan verfolgt, solche Asylsuchende nach Ruanda zu schicken. Gegner haben der Regierung vorgeworfen, verzweifelte Menschen, die vor Krieg und Armut fliehen, zu dämonisieren.","Mehr als 45.000 Menschen erreichten 2022 das Vereinigte Königreich auf verschiedenen Routen, und die meisten von ihnen beantragten Asyl. Aufgrund politischer Turbulenzen und bürokratischer Verzögerungen ist das System zur Prüfung von Asylanträgen zum Erliegen gekommen, was dazu führt, dass viele Asylsuchende in Hotels oder anderen Übergangswohnungen festsitzen müssen. Die Überquerungen des Ärmelkanals sind zu einem politischen Thema geworden, wobei die konservative Regierung verspricht, ""die Boote zu stoppen"" und einen Plan verfolgt, solche Asylsuchende nach Ruanda zu schicken. Gegner haben der Regierung vorgeworfen, verzweifelte Menschen, die vor Krieg und Armut fliehen, zu dämonisieren.","Mehr als 45.000 Menschen erreichten 2022 auf dieser Route das Vereinigte Königreich, und die meisten beantragten Asyl. Das System zur Prüfung von Asylanträgen ist aufgrund politischer Turbulenzen und bürokratischer Verzögerungen zum Erliegen gekommen, was dazu führt, dass viele Asylsuchende in Hotels oder anderen Übergangswohnungen festsitzen. Die Überquerungen des Ärmelkanals sind zu einem politischen Thema geworden, wobei die konservative Regierung plant, Asylsuchende nach Ruanda zu schicken, um die Zahl der Überquerungen zu reduzieren. Gegner haben der Regierung vorgeworfen, verzweifelte Menschen, die vor Krieg und Armut fliehen, zu dämonisieren.",0.47,0.4444,0.422,0.6286,0.6265,0.5725,0.7383,0.7692,0.745,0.8857,0.887,0.8743
5,Derry-Mittelfeldspieler Adam Reilly blockt Lee Grace in Brandywell,Derry-Mittelfeldspieler Adam Reilly deckt Lee Grace am Brandywell ab.,Derry-Mittelfeldspieler Adam Reilly stellt Lee Grace im Brandywell unter Druck.,Derry-Mittelfeldspieler Adam Reilly stellt Lee Grace am Brandywell unter Druck.,0.1375,0.1228,0.1228,0.6944,0.686,0.686,0.7053,0.7334,0.6982,0.8568,0.8723,0.87
9,"Das Heimatschutzministerium hat eine außenstehende Anwaltskanzlei – Debevoise & Plimpton – engagiert, um beim möglichen Amtsenthebungsverfahren gegen Minister Alejandro Mayorkas zu helfen, da er sich womöglich gegenüber Republikanern bezüglich seines Umgangs mit der südlichen Grenze verantworten muss. „Das Heimatschutzministerium hat Beratung von außen hinzugezogen, um dabei zu helfen sicherzustellen, dass die wichtige Aufgabe des Ministeriums nicht von beispiellosen, ungerechtfertigten und parteiischen Bemühungen einiger Kongressmitglieder eine Amtsenthebung einzuleiten, wofür bereits Schritte eingeleitet wurden, unterbrochen wird“, so ein DHS-Sprecher in einer Stellungnahme am Freitag. „Das DHS wird weiterhin seine Arbeit, unser Land vor Terrorismus zu schützen, auf Naturkatastrophen zu reagieren und unsere Grenzen zu wahren, priorisieren, während es angemessen auf die über 70 Kongressausschüsse und -unterausschüsse, die Kontrolle über das DHS haben, reagiert.“ Ein DHS-Beamter sagte gegenüber CBS News, dass das Ministerium die Kanzlei für Vertragsarbeit für den Zeitraum der Kongressermittlung engagiert hat. Debevoise wurde aufgrund ihrer Expertise im Bereich Amtsenthebung und überparteilicher Erfahrung in der Arbeit mit dem Kongress an Überwachung ausgewählt.","Das Heimatschutzministerium hat eine externe Anwaltskanzlei - Debevoise & Plimpton - eingestellt, um bei möglichen Amtsenthebungsverfahren gegen Sekretär Alejandro Mayorkas zu unterstützen, da er möglicherweise Anschuldigungen der Republikaner im Repräsentantenhaus wegen seiner Handhabung der Südgrenze gegenübersteht. ""Das Heimatschutzministerium hat externe Rechtsberater eingestellt, um sicherzustellen, dass die lebenswichtige Mission des Ministeriums nicht durch die beispiellosen, ungerechtfertigten und parteiischen Amtsenthebungsbemühungen einiger Mitglieder des Kongresses unterbrochen wird, die bereits Schritte zur Einleitung von Verfahren unternommen haben"", sagte ein Sprecher des Heimatschutzministeriums in einer Erklärung am Freitag. ""Das Heimatschutzministerium wird weiterhin seine Arbeit priorisieren, um unser Land vor Terrorismus zu schützen, auf Naturkatastrophen zu reagieren und unsere Grenzen zu sichern, während es angemessen auf die über 70 Kongressausschüsse und Unterausschüsse reagiert, die die Aufsicht über das Heimatschutzministerium haben."" Ein Beamter des Heimatschutzministeriums teilte CBS News mit, dass das Ministerium die Kanzlei für Vertragsarbeiten für die Dauer der Kongressuntersuchung eingestellt hat. Debevoise wurde ausgewählt, da es über Expertise in Amtsenthebungsverfahren und biparteiische Erfahrung in der Zusammenarbeit mit dem Kongress bei der Aufsicht verfügt.","Das Heimatschutzministerium hat eine externe Anwaltskanzlei - Debevoise & Plimpton - eingestellt, um bei möglichen Amtsenthebungsverfahren gegen Heimatschutzminister Alejandro Mayorkas zu unterstützen, da er möglicherweise Anschuldigungen der Republikaner im Repräsentantenhaus wegen seiner Handhabung der Südgrenze gegenübersteht. ""Das Heimatschutzministerium hat externe Rechtsberater eingestellt, um sicherzustellen, dass die lebenswichtige Arbeit des Ministeriums nicht durch die beispiellosen, ungerechtfertigten und parteiischen Amtsenthebungsbemühungen einiger Mitglieder des Kongresses unterbrochen wird"", sagte ein Sprecher des Heimatschutzministeriums in einer Erklärung am Freitag. ""Das Heimatschutzministerium wird weiterhin seine Arbeit priorisieren, um unser Land vor Terrorismus zu schützen, auf Naturkatastrophen zu reagieren und unsere Grenzen zu sichern, während es angemessen auf die über 70 Kongressausschüsse und Unterausschüsse reagiert, die die Aufsicht über das Heimatschutzministerium haben."" Ein Beamter des Heimatschutzministeriums teilte CBS News mit, dass das Ministerium die Kanzlei für Vertragsarbeiten für die Dauer der Kongressuntersuchung eingestellt hat. Debevoise wurde ausgewählt, da es über Expertise in Amtsenthebungsverfahren und biparteiische Erfahrung in der Zusammenarbeit mit dem Kongress bei der Aufsicht verfügt.","Das Ministerium für Innere Sicherheit hat die renommierte Anwaltskanzlei Debevoise & Plimpton beauftragt, um Sekretär Alejandro Mayorkas bei möglichen Amtsenthebungsverfahren zu unterstützen, da er möglicherweise Anschuldigungen der Republikaner im Repräsentantenhaus wegen seiner Handhabung der Südgrenze gegenübersteht. ""Das Ministerium für Innere Sicherheit hat externe Rechtsberater eingestellt, um sicherzustellen, dass die wichtige Arbeit des Ministeriums nicht durch die beispiellosen, ungerechtfertigten und parteiischen Amtsenthebungsbemühungen einiger Mitglieder des Parlaments unterbrochen wird, die bereits Schritte zur Einleitung von Verfahren unternommen haben"", sagte ein Sprecher des Ministeriums am Freitag. ""Das Ministerium für Innere Sicherheit wird weiterhin Priorität auf den Schutz unseres Landes vor Terrorismus, die Reaktion auf Naturkatastrophen und die Sicherung unserer Grenzen legen, während es angemessen auf die über 70 Parlamentsausschüsse und -unterausschüsse reagiert, die die Aufsicht über das Ministerium haben."" Ein Beamter des Ministeriums teilte CBS News mit, dass das Ministerium die Kanzlei Debevoise & Plimpton für die Dauer der parlamentarischen Untersuchung beauftragt hat. Debevoise & Plimpton wurde ausgewählt, da es über Expertise in Amtsenthebungsverfahren und biparteiische Erfahrung in der Zusammenarbeit mit dem Parlament bei der Aufsicht verfügt.",0.3085,0.3155,0.1733,0.5171,0.5041,0.396,0.6608,0.6518,0.6557,0.8732,0.8708,0.8649
10,"Das Justizministerium riet neulich an, dass der Vertrag mit Debevoise sich als angemessene Ausgabe des DHS qualifiziert. Das DHS versucht, sicherzustellen, dass sein Ziel nicht von überparteilichen Angriffen untergraben wird und dass Verfahren gegen Mayorkas von Menschen mit angemessener Expertise bearbeitet werden. Mayorkas hat diese Entwicklung nicht kommentiert, aber hat letzten Donnerstag nach dem Antrag auf Amtsenthebung gefragt, sagte er Reportern, „Wir werden mit diesem Kongress kooperieren, genauso wie wir es mit dem letzten Kongress getan haben. Ich glaube, das ist unsere Pflicht.“ Er räumte ein, dass „es dauern wird“, den Ermittlungen des Repräsentantenhauses nachzukommen. „Ich werde diese Zeit genauso wie andere nutzen und wir werden die Zeit, die wir damit verbracht haben, unser Ziel zu erreichen, nicht infrage stellen.“ Ein leitender Beamter des DHS bestätigte, dass Mayorkas sich bisher nicht mit seinem neuen, externen Anwalt getroffen hat. Nur ein Kabinettsmitglied wurde bisher je des Amtes enthoben, Kriegsminister William Belknap. 1876 wurde Belknap, der unter der Regierung von Präsident Ulysses S. Grant arbeitete, beschuldigt, Bestechungsgelder anzunehmen, wurde letztendlich aber vom Senat freigesprochen.","Das Justizministerium hat kürzlich empfohlen, dass der Vertrag mit Debevoise als angemessene Ausgabe für das DHS gilt. Das DHS versucht sicherzustellen, dass seine Mission nicht durch parteiische Angriffe untergraben wird und dass die Verfahren gegen Mayorkas von Personen mit der entsprechenden Expertise behandelt werden. Mayorkas hat sich zu dieser Entwicklung nicht geäußert, sagte aber auf Nachfrage zur Amtsenthebungsuntersuchung am letzten Donnerstag zu Reportern: ""Wir werden mit diesem Kongress zusammenarbeiten, so wie wir es auch mit dem letzten Kongress getan haben. Ich denke, das ist unsere Verantwortung."" Er räumte ein, dass es ""Zeit in Anspruch nehmen wird"", den Untersuchungen des Repräsentantenhauses nachzukommen. ""Ich werde diese Zeit aufwenden, wie auch andere, und wir werden auch nicht die Zeit kompromittieren, die wir damit verbringen, unsere Mission zu erfüllen."" Ein hochrangiger DHS-Beamter bestätigte, dass Mayorkas sich noch nicht mit seinem neuen Anwalt außerhalb des Hauses getroffen hat. Nur ein Kabinettsmitglied wurde jemals des Amtes enthoben, nämlich Kriegsminister William Belknap. 1876 wurde Belknap, der in der Regierung von Präsident Ulysses S. Grant diente, beschuldigt, Bestechungsgelder angenommen zu haben, wurde aber letztendlich vom Senat freigesprochen.","Das Justizministerium hat kürzlich empfohlen, dass der Vertrag mit Debevoise eine angemessene Ausgabe für das DHS darstellt. Das DHS versucht sicherzustellen, dass seine Mission nicht durch parteiische Angriffe untergraben wird und dass die Verfahren gegen Mayorkas von Personen mit der entsprechenden Expertise behandelt werden. Mayorkas hat sich zu dieser Entwicklung nicht geäußert, sagte aber auf Nachfrage zur Amtsenthebungsuntersuchung am letzten Donnerstag zu Reportern: ""Wir werden mit diesem Kongress zusammenarbeiten, so wie wir es auch mit dem letzten Kongress getan haben. Ich denke, das ist unsere Verantwortung."" Er räumte ein, dass es ""Zeit in Anspruch nehmen wird"", den Untersuchungen des Repräsentantenhauses nachzukommen. ""Ich werde diese Zeit aufwenden, wie auch andere, und wir werden auch nicht die Zeit kompromittieren, die wir damit verbringen, unsere Mission zu erfüllen."" Ein hochrangiger DHS-Beamter bestätigte, dass Mayorkas sich noch nicht mit seinem neuen Anwalt außerhalb des Hauses getroffen hat. Nur ein Kabinettsmitglied, nämlich Kriegsminister William Belknap, wurde jemals des Amtes enthoben. 1876 wurde Belknap, der in der Regierung von Präsident Ulysses S. Grant diente, beschuldigt, Bestechungsgelder angenommen zu haben, wurde aber letztendlich vom Senat freigesprochen.","Das Justizministerium hat kürzlich empfohlen, dass der Vertrag mit Debevoise & Plimpton als angemessene Ausgabe für das DHS gilt. Das DHS versucht sicherzustellen, dass seine Mission nicht durch parteiische Angriffe untergraben wird und dass die Verfahren gegen Mayorkas von Personen mit der entsprechenden Expertise behandelt werden. Mayorkas hat sich zu dieser Entwicklung nicht geäußert. Auf Nachfrage zur Untersuchung des Repräsentantenhauses am letzten Donnerstag sagte er zu Reportern: ""Wir werden mit diesem Kongress zusammenarbeiten, so wie wir es auch mit dem letzten Kongress getan haben. Ich denke, das ist unsere Verantwortung."" Er räumte ein, dass es ""Zeit in Anspruch nehmen wird"", den Untersuchungen nachzukommen. ""Ich werde diese Zeit aufwenden, wie auch andere, und wir werden auch nicht die Zeit kompromittieren, die wir damit verbringen, unsere Mission zu erfüllen."" Ein hochrangiger DHS-Beamter bestätigte, dass Mayorkas sich noch nicht mit seinem neuen externen Rechtsbeistand getroffen hat. Bisher wurde nur ein Kabinettsmitglied, nämlich Verteidigungsminister William Belknap, beschuldigt, Bestechungsgelder angenommen zu haben, aber letztendlich vom Senat freigesprochen.",0.3708,0.346,0.2803,0.6576,0.6275,0.5498,0.6042,0.6128,0.5639,0.8758,0.8762,0.8563
11,"Vier Teenagerinnen verurteilt nach Angriff auf 14-Jährige, die an Suizid starb, nachdem Prügelvideo online gestellt wurde","Vier Jugendliche angeklagt wegen Angriffs auf einen 14-Jährigen, der nach der Veröffentlichung eines Videos über seine Misshandlung Suizid beging.","Vier Jugendliche wurden angeklagt, weil sie einen 14-Jährigen geschlagen haben. Der 14-Jährige beging Suizid, nachdem ein Video seiner Misshandlung online veröffentlicht wurde.","Vier Teenager wurden wegen des Angriffs auf einen 14-Jährigen angeklagt, der nach der Veröffentlichung eines Videos über seine Misshandlung Suizid begangen hat.",0.0137,0.0217,0.0118,0.2282,0.0904,0.2241,0.6083,0.662,0.5958,0.8106,0.8107,0.8028
12,"Der Vater sagt, die Tochter nahm sich das Leben, nachdem sie in einer Schule in New Jersey gemobbt wurde","Vater sagt, Tochter hat Selbstmord begangen, nachdem sie in einer Schule in New Jersey gemobbt wurde.","Vater sagt, dass seine Tochter nach Mobbing an einer Schule in New Jersey Suizid begangen hat.","Vater sagt, dass seine Tochter Suizid begangen hat, nachdem sie in einer Schule in New Jersey gemobbt worden ist.",0.5646,0.2344,0.4849,0.6367,0.4165,0.6266,0.76,0.7609,0.7914,0.9018,0.8628,0.8974
14,"Adriana Kuch, 14, wurde am 3. Februar, zwei Tage nachdem das verstörende Video des Angriffs in der Central Regional High School online gestellt wurde, tot in ihrem Zuhause in Bayville aufgefunden. Das Video zeigte, wie Mädchen ein Getränk nach der Teenagerin warfen, sie dann traten und den Schulkorridor entlangschleiften. Sie schubsten Adriana in die roten Spinde, die den Schulkorridore säumen, und eins der Mädchen in einem pinken Shirt schlug Kuch wiederholt.","Adriana Kuch, 14, wurde am 3. Februar tot in ihrem Zuhause in Bayville aufgefunden, zwei Tage nachdem das verstörende Video des Angriffs an der Central Regional High School online gestellt wurde. Das Video zeigte Mädchen, die der Jugendlichen einen Drink an den Kopf warfen, sie dann traten und durch die Schulflure schleppten. Sie stießen Adriana in rote Spinde an den Schulfluren und eine der Mädchen in einem rosa Hemd schlug Kuch wiederholt.","Adriana Kuch, 14, wurde am 3. Februar tot in ihrem Zuhause in Bayville gefunden, zwei Tage nachdem das verstörende Video des Angriffs an der Central Regional High School online gestellt wurde. Das Video zeigte Mädchen, die der Jugendlichen einen Drink an den Kopf warfen, sie dann traten und durch die Schulflure schleppten. Sie stießen Adriana in die roten Spinde, die die Schulflure säumten, und eine der Mädchen in einem rosa Hemd schlug Kuch wiederholt.","Adriana Kuch, 14 Jahre alt, wurde am 3. Februar tot in ihrem Wohnhaus in Bayville aufgefunden, zwei Tage nachdem das verstörende Video des Angriffs an der Central Regional High School online gestellt wurde. Das Video zeigte Mädchen, die der Jugendlichen einen Getränk an den Kopf warfen, sie dann traten und durch die Schulflure schleppten. Sie stießen Adriana in die roten Spinde, die die Schulflure säumten, und eines der Mädchen in einem rosa T-Shirt schlug Kuch.",0.5141,0.5414,0.4721,0.7082,0.7206,0.6693,0.64,0.6567,0.6501,0.7788,0.7969,0.8003
23,"2. Ruhen Sie sich aus, wenn sie es brauchen: Zwei Jobs zu haben, als Schlafforscher und als Algorithmenentwickler, und das alles, während er sich um ein Neugeborenes kümmert, hätte Raphael Vallat bestimmt in den Burnout getrieben, wenn er sich nicht ausgeruht hätte, sagt er. „Wenn ich dabei bin, auszubrennen, fühlt sich im Gründe jede Aufgabe wie ein Berg an, den man besteigen muss, und sie fühlt sich extrem dringend und wichtig an“, sagt Vallat. In diesen Momenten „muss man sich wirklich eine Auszeit nehmen und realisieren, dass diese Aufgaben warten können.“ Normalerweise findet Vallat Momente im Laufe seines Tags, in denen er eine Pause machen und Zeit in der Natur verbringen kann, um sich zu erden, bevor er zur Arbeit zurückkehrt.","2. Ruhen Sie, wenn Sie es brauchen: Zwei Jobs als Schlafforscher und Algorithmeningenieur zu arbeiten, während man sich um ein Neugeborenes kümmert, hätte Raphael Vallat definitiv in einen Burnout getrieben, wenn er sich nicht ausgeruht hätte, sagt er. ""Ich habe das Gefühl, dass wenn ich kurz vor einem Burnout stehe, sich jede Aufgabe wie ein Berg anfühlt, den man erklimmen muss, und sie extrem dringend und wichtig erscheint"", sagt Vallat. In solchen Momenten ""muss man sich wirklich Zeit nehmen und erkennen, dass diese Aufgaben warten können."" Normalerweise findet Vallat Momente in seinem Tag, in denen er innehalten und Zeit in der Natur verbringen kann, um sich zu erden, bevor er zur Arbeit zurückkehrt.","2. Ruhen Sie, wenn Sie es brauchen: Raphael Vallat sagt, dass er definitiv in einen Burnout geraten wäre, wenn er sich nicht ausgeruht hätte, während er zwei Jobs als Schlafforscher und Algorithmeningenieur ausübte und sich gleichzeitig um ein Neugeborenes kümmerte. ""Wenn ich kurz vor einem Burnout stehe, fühlt sich jede Aufgabe wie ein Berg an, den ich erklimmen muss, und sie erscheint extrem dringend und wichtig"", erklärt Vallat. In solchen Momenten ""muss man sich wirklich Zeit nehmen und erkennen, dass diese Aufgaben warten können."" Normalerweise findet Vallat Momente in seinem Tag, in denen er innehalten und Zeit in der Natur verbringen kann, um sich zu erden, bevor er zur Arbeit zurückkehrt.","Lass dich ausruhen, wenn du es brauchst: Zwei Jobs als Schlafexperte und Algorithmenentwickler auszuüben, während du dich um ein Neugeborenes kümmerst, hätte Raphael Vallat definitiv in einen Burnout getrieben, wenn er sich nicht erholt hätte, sagt er. ""Ich habe das Gefühl, dass wenn ich kurz vor einem Burnout stehe, sich jede Aufgabe wie ein Berg anfühlt, den man erklimmen muss, und sie extrem dringend und wichtig erscheint"", sagt Vallat. In solchen Momenten ""musst du dir wirklich Zeit nehmen und erkennen, dass diese Aufgaben warten können."" Normalerweise findet Vallat Momente in seinem Tag, in denen er innehalten und Zeit in der Natur verbringen kann, um sich zu erden, bevor er zur Arbeit zurückkehrt.",0.48,0.4051,0.3816,0.6865,0.6403,0.5888,0.6749,0.7328,0.6768,0.8638,0.8647,0.8602
24,"3. Machen Sie das, was Sie tun, leidenschaftlich und erinnern Sie sich an Ihren Zweck: Bis zum Frühling 2022 arbeitete die Fachärztin für Infektiologie Céline Gounder 100 Stunden die Woche an 7 Tagen die Woche. Da sie während der Pandemie an vorderster Front stand, nahm das fast all ihre Zeit in Anspruch, aber sie vermied einen Burnout, indem sie sich daran erinnerte, warum ihre Arbeit wichtig sei. „Ich finde nicht, dass sich Arbeit wie Arbeit anfühlt, wenn man sich so fühlt, als könnte man etwas ausrichten“, sagt Gounder. „Wenn man eine verrückte Stundenzahl für etwas arbeitet, das für einen keine Bedeutung hat, denke ich, dass man wirklich Abstand gewinnen und in Frage stellen muss, was man tut.“","3. Sei leidenschaftlich bei dem, was du tust, und erinnere dich an deinen Zweck: Bis zum Frühjahr 2022 arbeitete die Infektionskrankheitsspezialistin Céline Gounder 100 Stunden pro Woche an sieben Tagen pro Woche. Die Arbeit an der Front während der Pandemie nahm fast ihre gesamte Zeit in Anspruch, aber sie vermied einen Burnout, indem sie sich daran erinnerte, warum ihre Arbeit wichtig ist. ""Ich denke nicht, dass die Arbeit wie Arbeit erscheint, wenn du das Gefühl hast, dass du etwas bewirken kannst"", sagt Gounder. ""Wenn du verrückte Stunden damit verbringst, etwas zu tun, das für dich keine Bedeutung hat, dann denke ich, dass du wirklich einen Schritt zurücktreten und hinterfragen musst, was du tust.""","3. Sei leidenschaftlich bei dem, was du tust, und erinnere dich an deinen Zweck: Bis zum Frühjahr 2022 arbeitete die Infektionskrankheitsspezialistin Céline Gounder 100 Stunden pro Woche an sieben Tagen pro Woche. Die Arbeit an der Front während der Pandemie nahm fast ihre gesamte Zeit in Anspruch, aber sie vermied einen Burnout, indem sie sich daran erinnerte, wie wichtig ihre Arbeit ist. ""Ich denke nicht, dass die Arbeit sich wie Arbeit anfühlt, wenn du das Gefühl hast, dass du etwas bewirken kannst"", sagt Gounder. ""Wenn du verrückte Stunden damit verbringst, etwas zu tun, das für dich keine Bedeutung hat, dann denke ich, dass du wirklich einen Schritt zurücktreten und hinterfragen musst, was du tust.""","Sei leidenschaftlich bei deiner Arbeit und erinnere dich an den Grund dafür: Bis zum Frühjahr 2022 arbeitete die Infektionskrankheitsexpertin Céline Gounder 100 Stunden pro Woche, sieben Tage die Woche. Ihre Tätigkeit an vorderster Front während der Pandemie nahm fast ihre gesamte Zeit in Anspruch, aber sie vermied einen Burnout, indem sie sich daran erinnerte, warum ihre Arbeit wichtig ist. ""Ich denke nicht, dass die Arbeit wie Arbeit erscheint, wenn du das Gefühl hast, etwas zu bewirken"", sagt Gounder. ""Wenn du extrem lange Stunden damit verbringst, etwas zu tun, das für dich keine Bedeutung hat, dann solltest du wirklich darüber nachdenken, was du tust.""",0.3094,0.2952,0.2835,0.5459,0.5417,0.4734,0.7024,0.6998,0.7199,0.8673,0.8688,0.8614
