index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
1,"Der Vorfall ereignet sich, nachdem sich die Zahl der Flüchtlinge und Asylbewerber, die den Ärmelkanal nach Großbritannien in Booten überqueren, ansteigt. Die Polizei hat 15 Menschen verhaftet, nachdem Anti-Flüchtlingsdemonstrationen vor einem Hotel in der Nähe der englischen Stadt Liverpool, das verwendet wird, um Asylbewerber unterzubringen, gewalttätig wurden. Laut dem Polizeirevier von Merseyside erlitten ein Polizeibeamter und zwei Zivilisten während des Tumults am Freitagabend in Knowsley leichte Verletzungen. Die Polizei gab bekannt, dass einige Demonstranten Gegenstände warfen und einen Polizeiwagen anzündeten. Die verhafteten Menschen, die zwischen 13 und 54 Jahren alt waren, wurden „aufgrund von gewalttätigen Ausschreitungen“ inhaftiert. Die Polizeikommissarin von Merseyside Emily Spurrell äußerte gegenüber Radio City, „Es war unglaublich gefährlich und es gab einige Verletzte unter den Polizeibeamten.“","Der Vorfall ereignet sich nach einem Anstieg der Zahl von Flüchtlingen und Asylsuchenden, die in Booten den Ärmelkanal nach Großbritannien überqueren. Die Polizei hat 15 Personen festgenommen, nachdem eine Anti-Flüchtlings-Demonstration vor einem Hotel, das zur Unterbringung von Asylsuchenden genutzt wird, in der Nähe der englischen Stadt Liverpool gewalttätig wurde. Die Polizeibehörde von Merseyside teilte mit, dass ein Polizeibeamter und zwei Zivilisten während der Unruhen am Freitagabend in Knowsley leichte Verletzungen erlitten. Die Polizei erklärte, einige Demonstranten hätten Gegenstände geworfen und einen Polizeiwagen in Brand gesetzt. Die festgenommenen Personen, die im Alter von 13 bis 54 Jahren waren, wurden ""wegen gewalttätiger Unruhen"" in Gewahrsam genommen. Die Polizeikommissarin von Merseyside, Emily Spurrell, sagte gegenüber Radio City: ""Es war unglaublich gefährlich und es gab ein paar Verletzungen unter den Polizeibeamten.""","Der Vorfall ereignet sich nach einem Anstieg der Zahl von Flüchtlingen und Asylsuchenden, die in Booten den Ärmelkanal nach Großbritannien überqueren. Die Polizei hat 15 Personen festgenommen, nachdem eine Anti-Flüchtlings-Demonstration vor einem Hotel, das zur Unterbringung von Asylsuchenden genutzt wird, in der Nähe der englischen Stadt Liverpool gewalttätig wurde. Die Polizeibehörde von Merseyside teilte mit, dass ein Polizeibeamter und zwei Zivilisten während der Unruhen am Freitagabend in Knowsley leichte Verletzungen erlitten. Die Polizei erklärte, einige Demonstranten hätten Gegenstände geworfen und einen Polizeiwagen in Brand gesetzt. Die festgenommenen Personen, die im Alter von 13 bis 54 Jahren waren, wurden ""wegen gewalttätiger Unruhen"" in Gewahrsam genommen. Die Polizeikommissarin von Merseyside, Emily Spurrell, sagte gegenüber Radio City: ""Es war unglaublich gefährlich und es gab ein paar Verletzungen unter den Polizeibeamten.""","Der Vorfall ereignet sich nach einem Anstieg der Zahl von Flüchtlingen und Asylsuchenden, die in Booten den Ärmelkanal nach Großbritannien überqueren. Die Polizei hat 15 Personen festgenommen, nachdem eine Anti-Flüchtlings-Demonstration vor einem Hotel, das zur Unterbringung von Asylsuchenden genutzt wird, in der Nähe der englischen Stadt Liverpool gewalttätig wurde. Die Merseyside-Polizei berichtete, dass ein Polizeibeamter und zwei Zivilisten während der Unruhen am Freitagabend in Knowsley leichte Verletzungen erlitten. Die Polizei erklärte, einige Demonstranten hätten Gegenstände geworfen und einen Polizeiwagen in Brand gesetzt. Die festgenommenen Personen, die im Alter von 13 bis 54 Jahren waren, wurden ""wegen gewalttätiger Unruhen"" in Gewahrsam genommen. Emily Spurrell, die Polizeikommissarin von Merseyside, erklärte gegenüber Radio City: ""Es war unglaublich gefährlich und es gab ein paar Verletzungen unter den Polizeibeamten.""",0.3017,0.3017,0.2928,0.5333,0.5333,0.5294,0.7506,0.7506,0.7518,0.8978,0.8978,0.8983
3,"Mehr als 45.000 Menschen haben 2022 Großbritannien auf diesem Weg erreicht und die meisten haben einen Asylantrag gestellt. Das System, das Asylanträge bearbeitet, hat sich aufgrund politischer Unruhen und bürokratischer Verzögerungen stark verlangsamt, was dazu führte, dass viele Asylbewerber in Hotels und vorübergehenden Unterkünften feststecken. Die Überquerungen des Ärmelkanals sind zu einem politischen Thema geworden, die konservative Regierungen verspricht hierbei „die Boote zu stoppen“ und verfolgt einen Plan, jene Asylbewerber nach Ruanda zu schicken. Gegner haben der Regierung vorgeworfen, verzweifelte Menschen, die vor Krieg und Armut fliehen, zu dämonisieren.","Mehr als 45.000 Menschen erreichten im Jahr 2022 auf diesem Weg das Vereinigte Königreich, und die meisten beantragten Asyl. Das System zur Bearbeitung von Asylanträgen ist aufgrund politischer Turbulenzen und bürokratischer Verzögerungen zum Erliegen gekommen, wodurch viele Asylsuchende in Hotels oder anderen provisorischen Unterkünften feststecken. Die Überquerungen des Ärmelkanals sind zu einem politischen Thema geworden, wobei die konservative Regierung verspricht, die ""Boote zu stoppen"" und einen Plan verfolgt, solche Asylsuchenden nach Ruanda zu schicken. Gegner haben der Regierung vorgeworfen, verzweifelte Menschen, die vor Krieg und Armut fliehen, zu dämonisieren.","Mehr als 45.000 Menschen erreichten im Jahr 2022 auf diesem Weg das Vereinigte Königreich, und die meisten beantragten Asyl. Das System zur Bearbeitung von Asylanträgen ist aufgrund politischer Turbulenzen und bürokratischer Verzögerungen zum Erliegen gekommen, wodurch viele Asylsuchende in Hotels oder anderen provisorischen Unterkünften feststecken. Die Überquerungen des Ärmelkanals sind zu einem politischen Thema geworden, wobei die konservative Regierung verspricht, die ""Boote zu stoppen"" und einen Plan verfolgt, solche Asylsuchenden nach Ruanda zu schicken. Gegner haben der Regierung vorgeworfen, verzweifelte Menschen, die vor Krieg und Armut fliehen, zu dämonisieren.","Mehr als 45.000 Menschen erreichten im Jahr 2022 auf diesem Weg das Vereinigte Königreich, und die meisten beantragten Asyl. Das System zur Bearbeitung von Asylanträgen ist aufgrund politischer Turbulenzen und bürokratischer Verzögerungen stark verlangsamt worden, was dazu führt, dass viele Asylsuchende in Hotels oder anderen provisorischen Unterkünften festsitzen. Die Überquerungen des Ärmelkanals sind zu einem politischen Thema geworden, wobei die konservative Regierung verspricht, die ""Boote zu stoppen"" und einen Plan verfolgt, solche Asylsuchenden nach Ruanda zu schicken. Gegner haben der Regierung vorgeworfen, verzweifelte Menschen, die vor Krieg und Armut fliehen, zu dämonisieren.",0.4737,0.4737,0.4817,0.622,0.622,0.653,0.7395,0.7395,0.766,0.8782,0.8782,0.8838
5,Derry-Mittelfeldspieler Adam Reilly blockt Lee Grace in Brandywell,Der Derry-Mittelfeldspieler Adam Reilly macht Lee Grace im Brandywell dicht.,Der Derry-Mittelfeldspieler Adam Reilly setzt Lee Grace im Brandywell unter Druck.,Der Derry-Mittelfeldspieler Adam Reilly schließt Lee Grace im Brandywell ein.,0.1228,0.1109,0.1228,0.686,0.6777,0.686,0.5977,0.7326,0.7217,0.6961,0.8438,0.6945
9,"Das Heimatschutzministerium hat eine außenstehende Anwaltskanzlei – Debevoise & Plimpton – engagiert, um beim möglichen Amtsenthebungsverfahren gegen Minister Alejandro Mayorkas zu helfen, da er sich womöglich gegenüber Republikanern bezüglich seines Umgangs mit der südlichen Grenze verantworten muss. „Das Heimatschutzministerium hat Beratung von außen hinzugezogen, um dabei zu helfen sicherzustellen, dass die wichtige Aufgabe des Ministeriums nicht von beispiellosen, ungerechtfertigten und parteiischen Bemühungen einiger Kongressmitglieder eine Amtsenthebung einzuleiten, wofür bereits Schritte eingeleitet wurden, unterbrochen wird“, so ein DHS-Sprecher in einer Stellungnahme am Freitag. „Das DHS wird weiterhin seine Arbeit, unser Land vor Terrorismus zu schützen, auf Naturkatastrophen zu reagieren und unsere Grenzen zu wahren, priorisieren, während es angemessen auf die über 70 Kongressausschüsse und -unterausschüsse, die Kontrolle über das DHS haben, reagiert.“ Ein DHS-Beamter sagte gegenüber CBS News, dass das Ministerium die Kanzlei für Vertragsarbeit für den Zeitraum der Kongressermittlung engagiert hat. Debevoise wurde aufgrund ihrer Expertise im Bereich Amtsenthebung und überparteilicher Erfahrung in der Arbeit mit dem Kongress an Überwachung ausgewählt.","Das Ministerium für Innere Sicherheit hat eine externe Anwaltskanzlei - Debevoise & Plimpton - beauftragt, um bei möglichen Amtsenthebungsverfahren gegen Minister Alejandro Mayorkas zu unterstützen, da er möglicherweise von den Republikanern im Repräsentantenhaus wegen seines Umgangs mit der Südgrenze angeklagt wird. ""Das Ministerium für Innere Sicherheit hat externe Rechtsberatung in Anspruch genommen, um sicherzustellen, dass die wichtige Mission des Ministeriums nicht durch die beispiellosen, ungerechtfertigten und parteiischen Amtsenthebungsbemühungen einiger Kongressmitglieder unterbrochen wird, die bereits Schritte zur Einleitung von Verfahren unternommen haben"", sagte ein Sprecher des Ministeriums am Freitag in einer Erklärung. ""Das Ministerium wird weiterhin seine Arbeit zur Terrorismusbekämpfung, zur Reaktion auf Naturkatastrophen und zur Sicherung unserer Grenzen priorisieren, während es angemessen auf die über 70 Kongressausschüsse und Unterausschüsse reagiert, die die Aufsicht über das Ministerium haben."" Ein Beamter des Ministeriums sagte CBS News, dass das Ministerium die Kanzlei für vertragliche Arbeiten während der gesamten","Das Ministerium für Innere Sicherheit hat eine externe Anwaltskanzlei - Debevoise & Plimpton - beauftragt, um bei möglichen Amtsenthebungsverfahren gegen Minister Alejandro Mayorkas zu unterstützen, da er möglicherweise von den Republikanern im Repräsentantenhaus wegen seines Umgangs mit der Südgrenze angeklagt wird. ""Das Ministerium für Innere Sicherheit hat externe Rechtsberatung in Anspruch genommen, um sicherzustellen, dass die wichtige Mission des Ministeriums nicht durch die beispiellosen, ungerechtfertigten und parteiischen Amtsenthebungsbemühungen einiger Kongressmitglieder unterbrochen wird, die bereits Schritte zur Einleitung von Verfahren unternommen haben"", sagte ein Sprecher des Ministeriums am Freitag in einer Erklärung. ""Das Ministerium wird weiterhin seine Arbeit zur Terrorismusbekämpfung, zur Reaktion auf Naturkatastrophen und zur Sicherung unserer Grenzen priorisieren, während es angemessen auf die über 70 Kongressausschüsse und Unterausschüsse reagiert, die die Aufsicht über das Ministerium haben."" Ein Beamter des Ministeriums sagte CBS News, dass das Ministerium die Kanzlei für vertragliche Arbeiten während der gesamten Dauer der Kongressuntersuchung beauftragt hat.","Das Heimatschutzministerium hat eine externe Anwaltskanzlei - Debevoise & Plimpton - beauftragt, um bei möglichen Amtsenthebungsverfahren gegen Minister Alejandro Mayorkas zu unterstützen, da er möglicherweise von den Republikanern im Repräsentantenhaus wegen seines Umgangs mit der Südgrenze angeklagt wird. ""Das Heimatschutzministerium hat externe Rechtsberatung in Anspruch genommen, um sicherzustellen, dass die wichtige Mission des Ministeriums nicht durch die beispiellosen, ungerechtfertigten und parteiischen Amtsenthebungsbemühungen einiger Kongressmitglieder unterbrochen wird, die bereits Schritte zur Einleitung von Verfahren unternommen haben"", sagte ein Sprecher des Ministeriums am Freitag in einer Erklärung. ""Das Ministerium wird weiterhin seine Arbeit zur Terrorismusbekämpfung, zur Reaktion auf Naturkatastrophen und zur Sicherung unserer Grenzen priorisieren, während es angemessen auf die über 70. Kongressausschüsse und Unterausschüsse reagiert, die die Aufsicht über das Ministerium haben."" Ein Beamter des Ministeriums sagte CBS News, dass das Ministerium die Kanzlei für vertragliche Arbeiten während der gesamten Dauer der Kongressuntersuchung beauftragt hat. Debevoise wurde aufgrund seiner Expertise in Amtsenthebungsverfahren und seiner parteiübergreifenden Erfahrung in der Zusammenarbeit mit dem Kongress bei der Aufsicht ausgewählt.",0.2512,0.2551,0.2856,0.4449,0.4514,0.525,0.6928,0.6937,0.6735,0.8452,0.8607,0.8722
10,"Das Justizministerium riet neulich an, dass der Vertrag mit Debevoise sich als angemessene Ausgabe des DHS qualifiziert. Das DHS versucht, sicherzustellen, dass sein Ziel nicht von überparteilichen Angriffen untergraben wird und dass Verfahren gegen Mayorkas von Menschen mit angemessener Expertise bearbeitet werden. Mayorkas hat diese Entwicklung nicht kommentiert, aber hat letzten Donnerstag nach dem Antrag auf Amtsenthebung gefragt, sagte er Reportern, „Wir werden mit diesem Kongress kooperieren, genauso wie wir es mit dem letzten Kongress getan haben. Ich glaube, das ist unsere Pflicht.“ Er räumte ein, dass „es dauern wird“, den Ermittlungen des Repräsentantenhauses nachzukommen. „Ich werde diese Zeit genauso wie andere nutzen und wir werden die Zeit, die wir damit verbracht haben, unser Ziel zu erreichen, nicht infrage stellen.“ Ein leitender Beamter des DHS bestätigte, dass Mayorkas sich bisher nicht mit seinem neuen, externen Anwalt getroffen hat. Nur ein Kabinettsmitglied wurde bisher je des Amtes enthoben, Kriegsminister William Belknap. 1876 wurde Belknap, der unter der Regierung von Präsident Ulysses S. Grant arbeitete, beschuldigt, Bestechungsgelder anzunehmen, wurde letztendlich aber vom Senat freigesprochen.","Das Justizministerium hat kürzlich mitgeteilt, dass der Vertrag mit Debevoise als angemessene Ausgabe für das DHS qualifiziert ist. Das DHS versucht sicherzustellen, dass seine Mission nicht durch parteiische Angriffe untergraben wird und dass Verfahren gegen Mayorkas von Personen mit der entsprechenden Expertise behandelt werden. Mayorkas hat sich zu dieser Entwicklung nicht geäußert, aber auf die Frage nach der Amtsenthebungsuntersuchung letzten Donnerstag sagte er Reportern: „Wir werden mit diesem Kongress kooperieren, so wie wir es mit dem letzten Kongress getan haben. Ich denke, das ist unsere Verantwortung.“ Er räumte ein, dass es „Zeit brauchen wird“, um der Untersuchung des Repräsentantenhauses nachzukommen. „Ich werde diese Zeit aufwenden, ebenso wie andere, und wir werden auch nicht die Zeit gefährden, die wir für die Erfüllung unserer Mission aufwenden.“ Ein hochrangiger DHS-Beamter bestätigte, dass Mayorkas sich noch nicht mit seinem neuen externen Anwalt getroffen hat. Bisher wurde nur ein Kabinettsmitglied jemals angeklagt, Kriegsminister William Belknap. Im Jahr 1876","Das Justizministerium hat kürzlich mitgeteilt, dass der Vertrag mit Debevoise als angemessene Ausgabe für das DHS qualifiziert ist. Das DHS versucht sicherzustellen, dass seine Mission nicht durch parteiische Angriffe untergraben wird und dass Verfahren gegen Mayorkas von Personen mit der entsprechenden Expertise behandelt werden. Mayorkas hat sich zu dieser Entwicklung nicht geäußert, aber auf die Frage nach der Amtsenthebungsuntersuchung letzten Donnerstag sagte er Reportern: „Wir werden mit diesem Kongress kooperieren, so wie wir es mit dem letzten Kongress getan haben. Ich denke, das ist unsere Verantwortung.“ Er räumte ein, dass es „Zeit brauchen wird“, um der Untersuchung des Repräsentantenhauses nachzukommen. „Ich werde diese Zeit aufwenden, ebenso wie andere, und wir werden auch nicht die Zeit gefährden, die wir für die Erfüllung unserer Mission aufwenden.“ Ein hochrangiger DHS-Beamter bestätigte, dass Mayorkas sich noch nicht mit seinem neuen externen Anwalt getroffen hat. Bisher wurde nur ein Kabinettsmitglied jemals angeklagt, Kriegsminister William Belknap. Im Jahr 1876 wurde Belknap, der in der Regierung von Präsident Ulysses S. Grant diente, beschuldigt, Bestechungsgelder angenommen zu haben, aber schließlich vom Senat freigesprochen.","Das Justizministerium hat kürzlich mitgeteilt, dass der Vertrag mit Debevoise als angemessene Ausgabe für das Heimatschutzministerium qualifiziert ist. Das Heimatschutzministerium versucht sicherzustellen, dass seine Mission nicht durch parteiische Angriffe untergraben wird und dass Verfahren gegen Mayorkas von Personen mit der entsprechenden Expertise behandelt werden. Mayorkas hat sich zu dieser Entwicklung nicht geäußert, aber auf die Frage nach der Amtsenthebungsuntersuchung letzten Donnerstag sagte er Reportern: „Wir werden mit diesem Kongress kooperieren, so wie wir es mit dem letzten Kongress getan haben. Ich denke, das ist unsere Verantwortung.“ Er räumte ein, dass es „Zeit brauchen wird“, um der Untersuchung des Repräsentantenhauses nachzukommen. „Ich werde diese Zeit aufwenden, ebenso wie andere, und wir werden auch nicht die Zeit beeinträchtigen, die wir für die Erfüllung unserer Mission aufwenden.“ Ein hochrangiger Beamter des Heimatschutzministeriums bestätigte, dass Mayorkas sich noch nicht mit seinem neuen externen Anwalt getroffen hat. Bisher wurde nur ein Kabinettsmitglied jemals angeklagt, Kriegsminister William Belknap. Im Jahr 1876 wurde Belknap, der in der Regierung von Präsident Ulysses S. Grant diente, beschuldigt, Bestechungsgelder angenommen zu haben, aber letztendlich vom Senat freigesprochen.",0.3513,0.421,0.4104,0.5753,0.6571,0.6608,0.6312,0.6376,0.6134,0.8438,0.8717,0.861
11,"Vier Teenagerinnen verurteilt nach Angriff auf 14-Jährige, die an Suizid starb, nachdem Prügelvideo online gestellt wurde","Vier Jugendliche angeklagt wegen Angriff auf 14-Jährigen, der Suizid beging, nachdem das Prügelvideo online gestellt wurde.","Vier Jugendliche angeklagt wegen Angriff auf 14-Jährigen, der Suizid beging, nachdem das Prügelvideo online gestellt wurde.","Vier Jugendliche angeklagt wegen Angriff auf einen 14-Jährigen; dieser beging Selbstmord, nachdem das Prügelvideo online gestellt wurde.",0.1854,0.1854,0.1668,0.439,0.439,0.3942,0.7059,0.7059,0.7263,0.8541,0.8541,0.8532
12,"Der Vater sagt, die Tochter nahm sich das Leben, nachdem sie in einer Schule in New Jersey gemobbt wurde","Vater sagt, Tochter nahm sich das Leben, nachdem sie an der Schule in NJ gemobbt wurde.","Vater sagt, Tochter nahm sich das Leben, nachdem sie an der Schule in New Jersey gemobbt wurde.","Der Vater sagt, dass seine Tochter Selbstmord beging, nachdem sie an der Schule in NJ gemobbt wurde.",0.4493,0.6197,0.2052,0.6754,0.7903,0.4078,0.7464,0.7757,0.8118,0.9212,0.9317,0.8963
14,"Adriana Kuch, 14, wurde am 3. Februar, zwei Tage nachdem das verstörende Video des Angriffs in der Central Regional High School online gestellt wurde, tot in ihrem Zuhause in Bayville aufgefunden. Das Video zeigte, wie Mädchen ein Getränk nach der Teenagerin warfen, sie dann traten und den Schulkorridor entlangschleiften. Sie schubsten Adriana in die roten Spinde, die den Schulkorridore säumen, und eins der Mädchen in einem pinken Shirt schlug Kuch wiederholt.","Adriana Kuch, 14, wurde am 3. Februar tot in ihrem Haus in Bayville aufgefunden, zwei Tage nachdem das verstörende Video des Angriffs an der Central Regional High School online gestellt worden war. Das Video zeigte, wie Mädchen ein Getränk auf die Jugendliche warfen, sie dann traten und durch die Schulflure zogen. Sie stießen Adriana gegen rote Spinde, die die Schulflure säumten, und eines der Mädchen in einem rosa Hemd schlug Kuch wiederholt.","Adriana Kuch, 14, wurde am 3. Februar tot in ihrem Haus in Bayville aufgefunden, zwei Tage nachdem das verstörende Video des Angriffs an der Central Regional High School online gestellt worden war. Das Video zeigte, wie Mädchen ein Getränk auf die Jugendliche warfen, sie dann traten und durch die Schulflure zogen. Sie stießen Adriana gegen rote Spinde, die die Schulflure säumten, und eines der Mädchen in einem rosa Hemd schlug Kuch wiederholt.","Adriana Kuch, 14, wurde am 03.02. tot in ihrem Haus in Bayville aufgefunden, zwei Tage nachdem das verstörende Video des Angriffs an der Central Regional High School online gestellt worden war. Das Video zeigte, wie Mädchen ein Getränk auf die Jugendliche warfen, sie dann traten und durch die Schulflure zogen. Sie stießen Adriana gegen rote Spinde entlang der Schulflure, und eines der Mädchen in einem rosa Hemd schlug Kuch wiederholt.",0.5271,0.5271,0.4795,0.7162,0.7162,0.706,0.6667,0.6667,0.6698,0.8114,0.8114,0.8088
23,"2. Ruhen Sie sich aus, wenn sie es brauchen: Zwei Jobs zu haben, als Schlafforscher und als Algorithmenentwickler, und das alles, während er sich um ein Neugeborenes kümmert, hätte Raphael Vallat bestimmt in den Burnout getrieben, wenn er sich nicht ausgeruht hätte, sagt er. „Wenn ich dabei bin, auszubrennen, fühlt sich im Gründe jede Aufgabe wie ein Berg an, den man besteigen muss, und sie fühlt sich extrem dringend und wichtig an“, sagt Vallat. In diesen Momenten „muss man sich wirklich eine Auszeit nehmen und realisieren, dass diese Aufgaben warten können.“ Normalerweise findet Vallat Momente im Laufe seines Tags, in denen er eine Pause machen und Zeit in der Natur verbringen kann, um sich zu erden, bevor er zur Arbeit zurückkehrt.","2. Ruhen Sie sich aus, wenn Sie es brauchen: Zwei Jobs als Schlafforscher und Algorithmus-Ingenieur zu arbeiten und gleichzeitig ein neues Baby zu versorgen, hätte Raphael Vallat definitiv in ein Burnout geführt, wenn er sich nicht ausgeruht hätte, sagt er. ""Ich habe das Gefühl, dass, wenn ich kurz vor einem Burnout stehe, im Grunde jede Aufgabe wie ein Berg wirkt, den man erklimmen muss, und super dringend und wichtig erscheint"", sagt Vallat. In diesen Momenten ""muss man wirklich eine Auszeit nehmen und sich klar machen, dass diese Aufgaben warten können."" Typischerweise findet Vallat im Laufe seines Tages Momente, in denen er innehalten und Zeit in der Natur verbringen kann, um sich zu erden, bevor er zur Arbeit zurückkehrt.","2. Ruhen Sie sich aus, wenn Sie es brauchen: Zwei Jobs als Schlafforscher und Algorithmus-Ingenieur zu arbeiten und gleichzeitig ein neues Baby zu versorgen, hätte Raphael Vallat definitiv in ein Burnout geführt, wenn er sich nicht ausgeruht hätte, sagt er. ""Ich habe das Gefühl, dass, wenn ich kurz vor einem Burnout stehe, im Grunde jede Aufgabe wie ein Berg wirkt, den man erklimmen muss, und super dringend und wichtig erscheint"", sagt Vallat. In diesen Momenten ""muss man wirklich eine Auszeit nehmen und sich klar machen, dass diese Aufgaben warten können."" Typischerweise findet Vallat im Laufe seines Tages Momente, in denen er innehalten und Zeit in der Natur verbringen kann, um sich zu erden, bevor er zur Arbeit zurückkehrt.","2. Ruhen Sie sich aus, wenn Sie es brauchen: Während er gleichzeitig zwei Jobs als Schlafforscher und Algorithmus-Ingenieur ausübt und sich um ein neues Baby kümmert, hätte Raphael Vallat definitiv ein Burnout erlitten, wenn er sich nicht ausgeruht hätte, sagt er. ""Ich habe das Gefühl, kurz vor einem Burnout zu stehen, wenn im Grunde jede Aufgabe wie ein Berg erscheint, den man erklimmen muss und der super dringend und wichtig wirkt"", sagt Vallat. In diesen Momenten ""muss man wirklich eine Auszeit nehmen und erkennen, dass diese Aufgaben warten können."" Typischerweise findet Vallat im Laufe seines Tages Momente, in denen er innehalten und Zeit in der Natur verbringen kann, um sich zu erden, bevor er zur Arbeit zurückkehrt.",0.4618,0.4618,0.452,0.6818,0.6818,0.6889,0.7026,0.7026,0.7065,0.8632,0.8632,0.868
24,"3. Machen Sie das, was Sie tun, leidenschaftlich und erinnern Sie sich an Ihren Zweck: Bis zum Frühling 2022 arbeitete die Fachärztin für Infektiologie Céline Gounder 100 Stunden die Woche an 7 Tagen die Woche. Da sie während der Pandemie an vorderster Front stand, nahm das fast all ihre Zeit in Anspruch, aber sie vermied einen Burnout, indem sie sich daran erinnerte, warum ihre Arbeit wichtig sei. „Ich finde nicht, dass sich Arbeit wie Arbeit anfühlt, wenn man sich so fühlt, als könnte man etwas ausrichten“, sagt Gounder. „Wenn man eine verrückte Stundenzahl für etwas arbeitet, das für einen keine Bedeutung hat, denke ich, dass man wirklich Abstand gewinnen und in Frage stellen muss, was man tut.“","3. Seien Sie leidenschaftlich bei dem, was Sie tun, und erinnern Sie sich an Ihren Zweck: Bis zum Frühjahr 2022 arbeitete die Infektionskrankheitsspezialistin Céline Gounder 100 Stunden pro Woche, sieben Tage die Woche. An vorderster Front während der Pandemie zu stehen, nahm fast all ihre Zeit in Anspruch, aber sie vermied Burnout, indem sie sich daran erinnerte, warum ihre Arbeit wichtig ist. ""Ich glaube nicht, dass sich Arbeit wie Arbeit anfühlt, wenn man das Gefühl hat, einen Einfluss zu haben"", sagt Gounder. ""Wenn Sie verrückte Stunden mit etwas verbringen, das für Sie keine Bedeutung hat, müssen Sie wirklich einen Schritt zurücktreten und hinterfragen, was Sie tun.""","3. Seien Sie leidenschaftlich bei dem, was Sie tun, und erinnern Sie sich an Ihren Zweck: Bis zum Frühjahr 2022 arbeitete die Infektionskrankheitsspezialistin Céline Gounder 100 Stunden pro Woche, sieben Tage die Woche. An vorderster Front während der Pandemie zu stehen, nahm fast all ihre Zeit in Anspruch, aber sie vermied Burnout, indem sie sich daran erinnerte, warum ihre Arbeit wichtig ist. ""Ich glaube nicht, dass sich Arbeit wie Arbeit anfühlt, wenn man das Gefühl hat, einen Einfluss zu haben"", sagt Gounder. ""Wenn Sie verrückte Stunden mit etwas verbringen, das für Sie keine Bedeutung hat, müssen Sie wirklich einen Schritt zurücktreten und hinterfragen, was Sie tun.""","3. Seien Sie leidenschaftlich bei dem, was Sie tun, und erinnern Sie sich an Ihren Zweck: Bis zum Frühjahr 2022 arbeitete die Infektionskrankheitsspezialistin Céline Gounder 100 Stunden pro Woche, sieben Tage die Woche. Die Arbeit an vorderster Front während der Pandemie beanspruchte fast all ihre Zeit, aber sie vermied Burnout, indem sie sich daran erinnerte, warum ihre Arbeit wichtig ist. ""Ich glaube nicht, dass sich Arbeit wie Arbeit anfühlt, wenn man das Gefühl hat, einen Einfluss zu haben"", sagt Gounder. ""Wenn Sie verrückte Stunden mit etwas verbringen, das für Sie keine Bedeutung hat, müssen Sie wirklich einen Schritt zurücktreten und hinterfragen, was Sie tun.""",0.4103,0.4103,0.3805,0.5772,0.5772,0.5513,0.6683,0.6683,0.6923,0.8793,0.8793,0.8792
