index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
2,"בעיני, זו הנחה די רצינית מכיוון שהיא רק יוצרת את התצוגה באמצעות אובייקט Direct3D, לא אובייקט Direct3D3.","לדעתי, זו הנחה גדולה למדי מכיוון שהיא יוצרת את אזור התצוגה באמצעות אובייקט Direct3D בלבד, לא אובייקט Direct3D3.","לדעתי, זו הנחה גדולה למדי מכיוון שהיא יוצרת את אזור התצוגה באמצעות אובייקט Direct3D בלבד, ולא אובייקט Direct3D3.","לדעתי, זו הנחה גדולה למדי מכיוון שהיא יוצרת את אזור התצוגה באמצעות אובייקט Direct3D בלבד, ולא אובייקט Direct3D 3.",0.3854,0.2476,0.2023,0.6764,0.6131,0.5451,0.9035,0.9104,0.8916,0.8735,0.8702,0.8602
3,"עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל קבוצת-על מתאימה של IDirectXObject, ללא חתימות פונקציה שהשתנתה ושיטות חדשות שנוספו רק לסוף.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל קבוצה עילית ממשית של IDirectXObject, בלי שינויים בחתימות הפונקציות, ורק שיטות חדשות נוספות בסוף.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל סופר-סט אמיתי של IDirectXObject, ללא שינויים בחתימות הפונקציות, ושיטות חדשות נוספות רק בסוף.","עכשיו, אני מבין שבפועל, IDirectXObject2 היא בדרך כלל קבוצה על של IDirectXObject, בלי שינויים בחתימות הפונקציות, ורק שיטות חדשות נוספות בסוף.",0.3964,0.4779,0.303,0.516,0.6589,0.461,0.8068,0.7271,0.8022,0.8208,0.8178,0.8231
6,"נניח, לצורך הטענה, שהמדע מורכב לפחות בחלקו מרשימות של הצהרות עובדתיות אובייקטיביות לגבי העולם, שהן נכונות מלבד כל תיאוריה שהן עשויות לתמוך בה.","נניח לצורך הדיון שמדע, לפחות בחלקו, מורכב מרשימות של הצהרות עובדתיות אובייקטיביות על העולם, נכונות ללא קשר לכל תיאוריה שהן עשויות לתמוך בה.","נניח, לצורך הדיון, שלפחות חלק מהמדע מורכב מרשימות של טענות עובדתיות ואובייקטיביות על העולם, הנכונות בלי קשר לתיאוריה כלשהי שהן עשויות לתמוך בה.","נניח, לצורך הדיון, שמדע, לפחות בחלקו, מורכב מרשימות של הצהרות עובדתיות אובייקטיביות על העולם, שהן נכונות בלי קשר לתיאוריה כלשהי שהן עשויות לתמוך בהן.",0.3722,0.2185,0.2959,0.619,0.4395,0.6286,0.8729,0.8876,0.8867,0.9136,0.9018,0.919
9,"הניסויים אינם יוצרים את העובדות בניתוח זה, אלא הבחירה של הניסויים שמתבצעים שולטת בעובדות המתגלות.","ניסויים לא יוצרים את העובדות לפי קריאה זו, אבל הבחירה אילו ניסויים לערוך שולטת באילו עובדות יתגלו.","ניסויים אינם יוצרים את העובדות לפי גישה זו, אלא הבחירה אילו ניסויים לערוך מכתיבה אילו עובדות יתגלו.","ניסוי לא יוצר את העובדות בגישה זו, אבל הבחירה אילו ניסויים לערוך שולטת באילו עובדות יתגלו.",0.0623,0.1895,0.0301,0.2934,0.3874,0.209,0.8093,0.8525,0.8711,0.8594,0.845,0.8588
10,"עובדות מסוימות, כמ אלו על חלקיקים תת-אטומיים, יכולות לנבוע מניסויים שהם בעצמם ניתנים לביצוע בקפיטליזם מאחר שהם מחייבים משאבים רבים מאוד, ארגון ואילוץ רב כדי להתבצע.","ישנן עובדות מסוימות, למשל בנוגע לחלקיקים תת-אטומיים, שיכולות לנבוע רק מניסויים שאפשריים רק בקפיטליזם משום שהם דורשים יותר מדי משאבים, יותר מדי ארגון, יותר מדי כפייה, כדי להוציאם לפועל אחרת.","ישנן עובדות מסוימות, למשל בנוגע לחלקיקים תת-אטומיים, שיכולות לנבוע רק מניסויים המתאפשרים רק במסגרת הקפיטליזם, מכיוון שהם מצריכים משאבים רבים מדי, ארגון מורכב מדי ואכיפה רבה מדי, כדי שניתן יהיה לבצעם בדרך אחרת.","ישנן עובדות מסוימות, למשל, בנוגע לחלקיקים תת-אטומיים, שיכולות לנבוע רק מניסויים שאפשריים רק בקפיטליזם משום שהם דורשים יותר מדי משאבים, יותר מדי ארגון ויותר מדי כפייה, כדי לבצע אותם בדרך אחרת.",0.0415,0.0434,0.0403,0.2015,0.2787,0.2204,0.7236,0.8145,0.719,0.8606,0.869,0.8655
11,זהו תיאור קצר מאוד של הטענה השגויה שתיאוריות של קפיטליזם משפיעות על התוכן של המדע התואם לתיאוריות המאששות את הקיום של עובדות מדעיות אובייקטיביות.,"זהו תרשים תמציתי מאוד של טיעון סביר, לפיו תיאוריות על השפעת הקפיטליזם על התוכן הממשי של המדע עולות בקנה אחד עם תיאוריות המצביעות על קיומן של עובדות מדעיות אובייקטיביות.","זהו תרשים תמציתי מאוד של טיעון משכנע, לפיו תיאוריות בדבר השפעת הקפיטליזם על התוכן הממשי של המדע עולות בקנה אחד עם תיאוריות המצביעות על קיומן של עובדות מדעיות אובייקטיביות.","זהו תרשים תמציתי מאוד של טיעון סביר, שלפיו תיאוריות על השפעת הקפיטליזם על התוכן הממשי של המדע תואמות לתיאוריות המצביעות על קיומן של עובדות מדעיות אובייקטיביות.",0.1607,0.1607,0.1826,0.3911,0.3911,0.4224,0.8271,0.8383,0.8636,0.863,0.8726,0.8598
13,זה עומד להיות פרויקט הרכב הראשון שלי.,אמור להיות רכב הפרויקט הראשון שלי.,יהיה רכב הפרויקט הראשון שלי.,זה הולך להיות רכב הפרויקט הראשון שלי.,0.1523,0.1448,0.1562,0.3704,0.2757,0.4509,0.677,0.5855,0.7812,0.9053,0.8914,0.9528
14,אני אאסוף אותו בסוף השבוע.,אוסף את זה בסוף השבוע.,אני אוסף את זה בסוף השבוע.,אני אאסוף את זה בסוף השבוע.,0.2021,0.1757,0.2056,0.375,0.5011,0.7353,0.6261,0.8003,0.8985,0.7222,0.8124,0.936
16,כבר מעדיף coil על גובה נסיעה נמוך.,כבר עם קוילאוברים והנמכת גובה נסיעה.,כבר עם קוילאוברים והנמכת גובה הנסיעה.,כבר הותקנו קוילאוברים והונמך גובה הנסיעה.,0.072,0.0377,0.0377,0.1449,0.1449,0.1449,0.3614,0.3676,0.4724,0.4912,0.4812,0.5258
20,#יציאה לזמן הפדיברס.,פורק עול ברשת החברתית הפדרטיבית.,זמן לפרוק תסכולים בפדverse.,מוציא קיטור בפדראציה.#,0.0408,0.0537,0.0626,0.0,0.0,0.0,0.164,0.192,0.2453,0.458,0.4906,0.551
