index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
2,"בעיני, זו הנחה די רצינית מכיוון שהיא רק יוצרת את התצוגה באמצעות אובייקט Direct3D, לא אובייקט Direct3D3.","בשבילי, זו הנחה די גדולה כי זה רק יוצר את תצוגת המבט באמצעות אובייקט Direct3D, לא אובייקט Direct3D3.","בשבילי, זו הנחה די גדולה מכיוון שהיא יוצרת את התצוגה באמצעות אובייקט Direct3D, ולא אובייקט Direct3D3.","בשבילי, זו הנחה די גדולה מכיוון שהיא יוצרת את תצוגת המבט באמצעות אובייקט Direct3D ולא אובייקט Direct3D 3.",0.4651,0.5086,0.2201,0.6278,0.758,0.5482,0.7334,0.892,0.7842,0.8189,0.8691,0.8215
3,"עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל קבוצת-על מתאימה של IDirectXObject, ללא חתימות פונקציה שהשתנתה ושיטות חדשות שנוספו רק לסוף.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל על-קבוצה תקינה של IDirectXObject, ללא חתימות פונקציה ששונו, ושיטות חדשות נוספות רק בסוף.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא על-קבוצה תקינה של IDirectXObject, ללא שינויים בחתימות הפונקציות, וכאשר שיטות חדשות נוספו רק בסוף.","עכשיו, אני מבין שבפועל, ה־IDirectXObject2 הוא בדרך כלל על-קבוצה של ה־IDirectXObject, ללא שינויים בחתימות הפונקציות, וכך רק נוספו שיטות חדשות בסוף.",0.5628,0.3924,0.2661,0.756,0.5137,0.4813,0.7502,0.7698,0.7844,0.8184,0.8362,0.8316
6,"נניח, לצורך הטענה, שהמדע מורכב לפחות בחלקו מרשימות של הצהרות עובדתיות אובייקטיביות לגבי העולם, שהן נכונות מלבד כל תיאוריה שהן עשויות לתמוך בה.","נניח לצורך הדיון שמדע, לפחות בחלקו, מורכב מרשימות של אמירות עובדתיות אובייקטיביות על העולם, נכונות בנפרד מכל תיאוריה שהן עשויות לתמוך בה.","נניח לצורך הטיעון שמדע, לפחות בחלקו, מורכב מרשימות של אמירות עובדתיות אובייקטיביות על העולם, נכונות בנפרד מכל תיאוריה שהן עשויות לתמוך בה.","נניח שמדע, לפחות בחלק ממנו, מורכב מרשימות של קביעות עובדתיות אובייקטיביות על המציאות, שנכונות בפני עצמן ללא קשר לתיאוריות שהן עשויות לתמוך בהן.",0.268,0.268,0.0604,0.5543,0.5543,0.3578,0.8649,0.8763,0.9151,0.904,0.8999,0.889
9,"הניסויים אינם יוצרים את העובדות בניתוח זה, אלא הבחירה של הניסויים שמתבצעים שולטת בעובדות המתגלות.","הניסויים אינם יוצרים את העובדות על פי קריאה זו, אך הבחירה באילו ניסויים לערוך קובעת אילו עובדות יתגלו.","הניסויים אינם יוצרים את העובדות, אך הבחירה באילו ניסויים לערוך קובעת מה עובדות יתגלו.","על פי קריאה זו, הניסויים אינם יוצרים את העובדות, אלא הבחירה באילו ניסויים לערוך היא שקובעת אילו עובדות יתגלו.",0.2016,0.2419,0.2227,0.3676,0.2993,0.3653,0.8553,0.8844,0.8494,0.863,0.8622,0.8731
10,"עובדות מסוימות, כמ אלו על חלקיקים תת-אטומיים, יכולות לנבוע מניסויים שהם בעצמם ניתנים לביצוע בקפיטליזם מאחר שהם מחייבים משאבים רבים מאוד, ארגון ואילוץ רב כדי להתבצע.","להלן התרגום לעברית:

ישנן עובדות, למשל לגבי חלקיקים תת-אטומיים, שיכולות להיות תוצאה רק של ניסויים שאפשריים רק בקפיטליזם, מכיוון שהם דורשים יותר מדי משאבים, יותר מדי ארגון, יותר מדי כפייה, מכדי להתממש אחרת.","חלקיקים תת-אטומיים ניתן להבין רק באמצעות ניסויים שאפשריים רק בקפיטליזם, מכיוון שהם דורשים יותר מדי משאבים, ארגון וכפייה כדי להתממש אחרת.","להלן התרגום המשופר לעברית:

ישנן עובדות, למשל לגבי חלקיקים תת-אטומיים, שניתן להגיע אליהן רק באמצעות ניסויים שאפשריים רק בקפיטליזם, מכיוון שהם דורשים יותר מדי משאבים, יותר מדי ארגון ויותר מדי כפייה כדי להתבצע בדרך אחרת.",0.0308,0.0232,0.0356,0.0957,0.0784,0.1383,0.7643,0.6304,0.8427,0.8456,0.8213,0.84
11,זהו תיאור קצר מאוד של הטענה השגויה שתיאוריות של קפיטליזם משפיעות על התוכן של המדע התואם לתיאוריות המאששות את הקיום של עובדות מדעיות אובייקטיביות.,"להלן תרגום מאנגלית לעברית של המשפט שסיפקת, ללא טקסט נוסף:

זהו תיאור תמציתי ביותר של טיעון סביר לפיו תאוריות של הקפיטליזם המשפיעות על התוכן בפועל של המדע עקביות עם תאוריות הטוענות לקיומן של עובדות מדעיות אובייקטיביות.","להלן תרגום מתוקן של המשפט מאנגלית לעברית:

זהו תיאור קצר וסביר של טיעון שלפיו תאוריות של הקפיטליזם המשפיעות על התוכן המדעי עקביות עם תאוריות הטוענות לקיומן של עובדות מדעיות אובייקטיביות.",תאוריות של קפיטליזם המשפיעות על תוכן המדע עקביות עם תאוריות המציינות קיום של עובדות מדעיות אובייקטיביות.,0.129,0.1704,0.1638,0.4464,0.4573,0.3027,0.7551,0.8163,0.6779,0.8228,0.8411,0.8141
13,זה עומד להיות פרויקט הרכב הראשון שלי.,הולך להיות הפרויקט הראשון שלי לרכב.,זה יהיה המכונית הראשונה שאני משפץ.,זה יהיה הפרויקט הראשון שלי לרכב.,0.072,0.0341,0.072,0.1449,0.0725,0.1449,0.7243,0.521,0.811,0.8633,0.778,0.8812
14,אני אאסוף אותו בסוף השבוע.,מרים את זה בסוף השבוע.,לקחת את זה בסוף השבוע.,אלקח את זה בסוף השבוע.,0.2021,0.2021,0.2021,0.375,0.375,0.375,0.2747,0.436,0.5091,0.5278,0.5468,0.6001
16,כבר מעדיף coil על גובה נסיעה נמוך.,כבר על קפיצים ומורידים את גובה הנסיעה.,כבר מותקנים מתלים מותאמים אישית והרכב הופחת.,כבר מותקנים קפיצים מתכווננים והרכב הונמך.,0.0393,0.033,0.0341,0.2143,0.0714,0.0725,0.2399,0.2659,0.303,0.4922,0.4575,0.4759
20,#יציאה לזמן הפדיברס.,#התפרצות_לפדיברס_הגיע_הזמן.,#זמן_לפרוק_לתוך_הפדרציה.,#זה הזמן להתפרק בפדיברס.,0.0694,0.0694,0.0485,0.0,0.0,0.0,0.479,0.4054,0.472,0.6009,0.6017,0.674
