index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
2,"בעיני, זו הנחה די רצינית מכיוון שהיא רק יוצרת את התצוגה באמצעות אובייקט Direct3D, לא אובייקט Direct3D3.","עבורי, זו הנחה די גדולה כי היא יוצרת את חלון התצוגה רק באמצעות אובייקט Direct3D, ולא אובייקט Direct3D3.",לדעתי זו הנחה די גדולה מכיוון שהיא יוצרת את חלון התצוגה רק באמצעות אובייקט Direct3D ולא אובייקט Direct3D3.,"עבורי, זו הנחה די גדולה כי היא יוצרת את חלון התצוגה רק באמצעות אובייקט Direct3D, ולא אובייקט Direct3D3.",0.3114,0.1331,0.3114,0.6579,0.7009,0.6579,0.836,0.8626,0.836,0.8183,0.8837,0.8183
3,"עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל קבוצת-על מתאימה של IDirectXObject, ללא חתימות פונקציה שהשתנתה ושיטות חדשות שנוספו רק לסוף.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל על-קבוצה נכונה של IDirectXObject, ללא שינוי חתימות פונקציות, ורק שיטות חדשות נוספות בסוף.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל על-קבוצה נכונה של IDirectXObject. ללא שינוי בחתימות הפונקציות ורק שיטות חדשות נוספות בסוף.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל על-קבוצה נכונה של IDirectXObject, ללא שינוי בחתימות הפונקציות, ורק שיטות חדשות נוספות בסוף.",0.4618,0.4078,0.4549,0.61,0.5112,0.567,0.6726,0.7411,0.7483,0.8051,0.8037,0.8059
6,"נניח, לצורך הטענה, שהמדע מורכב לפחות בחלקו מרשימות של הצהרות עובדתיות אובייקטיביות לגבי העולם, שהן נכונות מלבד כל תיאוריה שהן עשויות לתמוך בה.","נניח לצורך הדיון שהמדע לפחות בחלקו מורכב מרשימות של הצהרות עובדתיות אובייקטיביות על העולם, נכונות ללא קשר לכל תיאוריה שהן עשויות לתמוך בה.","נניח לצורך הדיון שהמדע לפחות בחלקו מורכב מרשימות של הצהרות עובדתיות אובייקטיביות על העולם, שהן נכונות באופן עצמאי מכל תיאוריה שהן עשויות לתמוך בה.","נניח לצורך הדיון שהמדע לפחות בחלקו מורכב מרשימות של הצהרות עובדתיות אובייקטיביות על העולם, נכונות ללא קשר לכל תיאוריה שהן עשויות לתמוך בה.",0.3684,0.4332,0.3684,0.7006,0.7563,0.7006,0.8601,0.8659,0.8601,0.9149,0.9162,0.9149
9,"הניסויים אינם יוצרים את העובדות בניתוח זה, אלא הבחירה של הניסויים שמתבצעים שולטת בעובדות המתגלות.","הניסויים לא יוצרים את העובדות בקריאה זו, אך הבחירה באילו ניסויים לערוך שולטת באילו עובדות מתגלות.","הניסויים לא יוצרים את העובדות לפי הבנה זו, אך הבחירה באילו ניסויים לערוך קובעת אילו עובדות יתגלו.","הניסויים לא יוצרים את העובדות בקריאה זו, אך הבחירה באילו ניסויים לערוך שולטת באילו עובדות מתגלות.",0.0683,0.0623,0.0683,0.3385,0.2934,0.3385,0.7844,0.9058,0.7844,0.8727,0.8778,0.8727
10,"עובדות מסוימות, כמ אלו על חלקיקים תת-אטומיים, יכולות לנבוע מניסויים שהם בעצמם ניתנים לביצוע בקפיטליזם מאחר שהם מחייבים משאבים רבים מאוד, ארגון ואילוץ רב כדי להתבצע.","כמה עובדות, למשל על חלקיקים תת-אטומיים, יכולות לנבוע רק מניסויים שאפשריים רק בקפיטליזם, משום שהם דורשים יותר מדי משאבים, יותר מדי ארגון, יותר מדי כפייה, כדי להצליח בדרך אחרת.","כמה עובדות, למשל על חלקיקים תת-אטומיים, יכולות לנבוע רק מניסויים שאפשריים רק בקפיטליזם, משום שהם דורשים יותר מדי משאבים, יותר מדי ארגון ויותר מדי כפייה, מכדי לבצע בדרך אחרת.","כמה עובדות, למשל על חלקיקים תת-אטומיים, יכולות לנבוע רק מניסויים שאפשריים רק בקפיטליזם, משום שהם דורשים יותר מדי משאבים, יותר מדי ארגון, יותר מדי כפייה, כדי להצליח בדרך אחרת.",0.1614,0.1636,0.1614,0.2852,0.2852,0.2852,0.6498,0.7391,0.6498,0.8492,0.8599,0.8492
11,זהו תיאור קצר מאוד של הטענה השגויה שתיאוריות של קפיטליזם משפיעות על התוכן של המדע התואם לתיאוריות המאששות את הקיום של עובדות מדעיות אובייקטיביות.,זהו תיאור קצר מאוד של טיעון סביר לפיו תיאוריות של קפיטליזם המשפיעות על התוכן הממשי של המדע עולות בקנה אחד עם תיאוריות הטוענות לקיומם של עובדות מדעיות אובייקטיביות.,זהו תיאור קצר של טיעון מתקבל על הדעת שמראה שתיאוריות של קפיטליזם המשפיעות על התוכן הממשי של המדע עולות בקנה אחד עם תיאוריות הטוענות לקיומם של עובדות מדעיות אובייקטיביות.,זהו תיאור קצר מאוד של טיעון סביר לפיו תיאוריות של קפיטליזם המשפיעות על התוכן הממשי של המדע עולות בקנה אחד עם תיאוריות הטוענות לקיומן של עובדות מדעיות אובייקטיביות.,0.2934,0.2221,0.2934,0.6034,0.5927,0.6034,0.8259,0.8473,0.8297,0.8705,0.8679,0.8715
13,זה עומד להיות פרויקט הרכב הראשון שלי.,יהיה רכב הפרויקט הראשון שלי.,זה הולך להיות רכב הפרויקט הראשון שלי.,הרכב הזה הולך להיות רכב הפרויקט הראשון שלי.,0.1448,0.1562,0.1349,0.2757,0.4509,0.4445,0.5855,0.7812,0.8148,0.8914,0.9528,0.9496
14,אני אאסוף אותו בסוף השבוע.,אאסוף את זה בסוף השבוע.,אני אאסוף את זה שישי ושבת.,אאסוף את זה בסוף השבוע הקרוב.,0.2171,0.0773,0.0831,0.5111,0.3676,0.1961,0.8038,0.6272,0.808,0.9081,0.8567,0.9032
16,כבר מעדיף coil על גובה נסיעה נמוך.,כבר על קוילאוברים והנמכת גובה נסיעה.,כבר מותקנים בולמי זעזועים מתכווננים והנמכת גובה נסיעה.,כבר על מתלים מתכווננים והנמכת גובה נסיעה.,0.0761,0.0603,0.0739,0.2174,0.1408,0.2143,0.3549,0.4177,0.3566,0.45,0.5733,0.4447
20,#יציאה לזמן הפדיברס.,#משחרר קיטור לפדיברס זמן.,#משחרר קיטור בפדיברס עכשיו.,#זמן לפרוק רגשות בפדיברס.,0.0485,0.0485,0.0485,0.0,0.0,0.0,0.282,0.3148,0.3681,0.6072,0.6328,0.6926
