index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
1,そのバージョンでは、IDirect3D::CreateViewport() を呼び出すと、IDirect3DViewport3が返ってくると仮定されていたことがわかり、やってみたけどIDirect3DViewportと比べると、最後にIDirect3DViewport3メソッドが追加されている。,実は、IDirect3D::CreateViewport() を呼び出すと IDirect3DViewport ではなく、IDirect3DViewport にメソッドを追加した IDirect3DViewport3 が返ってくると思い込んでいた。私が実装したのは IDirect3DViewport だった。,実は、ＩDirect3D::CreateViewport()を呼び出すと、私が実装したＩDirect3DViewportではなく、それにメソッドを追加したＩDirect3DViewport3が返されると思い込んでいた。,実は、IDirect3D::CreateViewport() を呼び出すと、IDirect3DViewport ではなく、IDirect3DViewport にメソッドが追加された IDirect3DViewport3 が返されると想定していたことが判明しました。私が実装したのは IDirect3DViewport でした。,0.6542,0.4694,0.6551,0.727,0.5872,0.7628,0.4992,0.5269,0.5391,0.8792,0.8748,0.884
4,ただし、これは例外なく当てはまるものではなく、こういったケースでは、問題のオブジェクトを作るのに、どのインターフェイスを使っているかが重要となる。,しかし、これは普遍的に正しいわけではなく、該当のオブジェクトを生成する際に使用しているインターフェースによって事情が変わる場合がある。,しかし、これは必ずしもそうではなく、該当のオブジェクトを生成するインターフェースによって事情が異なる場合がある。,しかし、これは普遍的に当てはまるわけではなく、該当のオブジェクトを生成するために使用しているインターフェースによって状況が異なる場合があります。,0.2986,0.2789,0.342,0.4439,0.4458,0.4875,0.6469,0.686,0.7123,0.9335,0.9076,0.9339
6,議論の仮定上の話として、科学とは、少なくとも部分的には、万象についての客観的事実に基づく記述の羅列で構成され、それが裏付ける可能性のある理論とは完全に分けられるものだ。,議論のために仮に、科学が少なくとも部分的には、世界に関する客観的に事実な記述のリストで構成され、それらが支持するかもしれないいかなる理論とも無関係に真であると仮定しよう。,とりあえず、科学が少なくとも部分的には、世界に関する客観的に事実な記述のリストから成り、理論に関係なく真であると仮定しよう。,議論のために、科学が少なくとも部分的には、世界に関する客観的な事実の記述のリストから成り立ち、それらの記述は支持する可能性のあるいかなる理論からも独立して真であると仮定してみよう。,0.3158,0.1954,0.2871,0.523,0.3889,0.532,0.6,0.5604,0.6629,0.8462,0.8461,0.9006
7,科学にそのような事実が本当に存在すると仮定しても、科学的事実が理論に裏打ちされたものだと議論する余地はある。,科学にそのような事実が存在するというのが真実だとしても、科学的事実が理論負荷的であると主張することは依然として可能だ。,科学にそのような事実が存在するのが真実だとしても、科学的事実は理論含意的であると主張することは依然として可能だ。,科学にそのような事実が存在するのが真実だとしても、科学的事実が理論に依存していると主張することは依然として可能である。,0.4462,0.4143,0.4621,0.5863,0.5895,0.6464,0.6902,0.6751,0.7294,0.924,0.9042,0.935
9,実験が結果によって事実を生み出すのではなく、どの実験を行うかの選択が、どのような事実が発見されるのかコントロールするのである。,この解釈では、実験が事実を作り出すのではなく、どの実験を行うかの選択が、どの事実が発見されるかを左右する。,この見方では、実験が事実を作り出すのではなく、どの実験を行うかの選択が、どの事実が発見されるかを左右する。,この解釈では、実験は事実を作り出すのではなく、どの実験を実施するかという選択が、どの事実が発見されるかを決定する。,0.5198,0.5198,0.4249,0.6254,0.6254,0.5524,0.7898,0.7785,0.7989,0.9405,0.9409,0.9342
10,例えば、素粒子に関する事実の中には、資本主義下での実験からのみ結果が得られるものがあるが、それ以外で成功させるには多大な資源、組織、強制力がかかるからである。,亜原子粒子に関する事実など、資本主義においてのみ可能な実験からしか得られない事実がある。なぜなら、そのような実験はあまりに多くの資源、組織、そして強制力を必要とし、資本主義以外では実現不可能だからだ。,たとえば、亜原子粒子に関する研究など、非常に多くの資源、組織、そして実行力が必要な実験の中には、資本主義体制下でのみ実現可能なものがある。,亜原子粒子に関する事実など、資本主義下でのみ可能な実験によってのみ得られる事実がある。なぜなら、そのような実験には膨大な資源、組織力、そして実行するための強制力が必要であり、資本主義以外では実現不可能だからだ。,0.2489,0.3262,0.2911,0.4909,0.4905,0.5448,0.6926,0.6692,0.6825,0.9233,0.8986,0.921
14,今週末、引き取りに行く。,週末に引き取ります。,週末に取りに行きます。,週末にこれを受け取ります。,0.2748,0.2738,0.0967,0.6356,0.6303,0.4224,0.6559,0.5801,0.5464,0.9011,0.9025,0.7853
16,既にコイルオーバーは付いていて、車高は下げられている。,車高調済み、ローダウン済み。,車高調が入っていて、車高も下がっています。,車高調とローダウン済み。,0.0282,0.2,0.0231,0.1447,0.3667,0.1238,0.4019,0.4252,0.2911,0.5203,0.6067,0.4657
17,自分でも少しリサーチはしてみたんだけど、もし誰かこの車について何か情報を持ってたら是非。,少し調べてみたのですが、もしこの車について何か情報をお持ちの方がいらっしゃいましたら教えていただけると嬉しいです。,少し調べてみたのですが、もしこの車について何かご存知の方がいらっしゃいましたら教えていただけると嬉しいです。,少し調べてみたのですが、もしこの車について何か情報をお持ちの方がいらっしゃいましたら、ぜひ教えていただきたいです。,0.2801,0.2295,0.2738,0.5641,0.465,0.5186,0.7441,0.7431,0.7344,0.924,0.9212,0.9308
18,個人的な体験談で？,個人的な経験？,個人的なご経験ですか？,個人的な経験についてですか？,0.3419,0.2699,0.2045,0.6392,0.6899,0.6681,0.6651,0.7521,0.7283,0.9461,0.9321,0.9503
19,比べると、そんなに速くないことは分かってる,それに比べて速くないのは分かっています。,速くないのは分かっています。,それに比べて速くないことは承知しています。,0.3237,0.2701,0.3289,0.5914,0.4351,0.5147,0.7882,0.5577,0.7532,0.9121,0.8652,0.8993
23,自分はというと、ボードショーツを穿いた妻虐待者で、ザ・ドメスティック・パートナーはというと、全身タトゥーで新しいヘアスタイルは本人曰く「ネオナチみたい」。,俺はボードショーツにランニングシャツ姿、そして連れ合いは全身タトゥーで、自分で「ネオナチみたい」って言ってた新しい髪型。,俺はボードショーツにランニングシャツ姿、連れ合いは全身にタトゥーがあり、自分で「ネオナチみたい」と言っていた新しい髪型だった。,俺は短パンにランニングシャツ姿、連れ合いは全身タトゥーに身を固め、自分で「ネオナチみたいだ」と言っていた新しい髪型。,0.2782,0.2493,0.1887,0.388,0.3943,0.3627,0.3598,0.3556,0.3286,0.7207,0.7467,0.7026
36,罪を償わせるにはニューヨークが一番期待できる,ニューヨークこそが説明責任を果たすための最良の希望だ。,ニューヨークこそが説明責任を期待できる最良の場所だ。,ニューヨークこそが説明責任を果たすための最良の希望だ。,0.1837,0.3269,0.1837,0.3462,0.5719,0.3462,0.3802,0.4697,0.3802,0.9052,0.9316,0.9052
