index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
1,そのバージョンでは、IDirect3D::CreateViewport() を呼び出すと、IDirect3DViewport3が返ってくると仮定されていたことがわかり、やってみたけどIDirect3DViewportと比べると、最後にIDirect3DViewport3メソッドが追加されている。,それが IDirect3DViewport3 を返すと推定していたことが判明しましたが、実際に実装しているのは IDirect3DViewport で、その末尾にはさらにメソッドが追加されています。,実は、IDirect3D::CreateViewport()を呼び出すと IDirect3DViewport3 が返されると推定していたが、実際に実装しているのは IDirect3DViewport で、その末尾にはさらにメソッドが追加されているということが判明した。,IDirect3D::CreateViewport() を呼び出すと IDirect3DViewport3 が返されると想定していましたが、実際に実装しているのは IDirect3DViewport で、そちらのメソッドが追加されています。,0.3126,0.5809,0.535,0.4849,0.6855,0.6668,0.5653,0.6852,0.662,0.7762,0.8713,0.8643
4,ただし、これは例外なく当てはまるものではなく、こういったケースでは、問題のオブジェクトを作るのに、どのインターフェイスを使っているかが重要となる。,しかし、これは必ずしも当てはまるわけではない。問題のオブジェクトを作成するために使用するインターフェイスによって、状況が異なる。,しかし、これは必ずしも当てはまるわけではなく、問題のオブジェクトを作成する際に使用するインターフェイスによって状況が異なる。,オブジェクトの作成に使用するインターフェースによって、状況は異なることがあります。,0.3788,0.4127,0.1357,0.583,0.582,0.3561,0.7098,0.7163,0.6508,0.9303,0.9321,0.8358
6,議論の仮定上の話として、科学とは、少なくとも部分的には、万象についての客観的事実に基づく記述の羅列で構成され、それが裏付ける可能性のある理論とは完全に分けられるものだ。,仮に議論のために、科学は少なくとも部分的に、理論を支持するかどうかに関わらず真実である、客観的な事実に関する一覧表で構成されているとする。,もし仮に、科学が少なくとも部分的に、理論に関係なく真実である客観的な事実の一覧表で構成されているとしたら。,仮に科学が、理論に関わらず真実である客観的な事実の集まりであるとすれば、,0.2151,0.1813,0.0223,0.3924,0.3973,0.2279,0.5327,0.488,0.426,0.8515,0.8502,0.8098
7,科学にそのような事実が本当に存在すると仮定しても、科学的事実が理論に裏打ちされたものだと議論する余地はある。,科学的事実は理論に依存していると主張することは可能である。,科学的事実が存在するとしても、それらが理論に依存していると主張することは可能である。,科学的事実は理論に依存しているとみなすことは可能である。,0.1053,0.2663,0.0998,0.356,0.471,0.3357,0.6382,0.6584,0.6117,0.8345,0.8944,0.7775
9,実験が結果によって事実を生み出すのではなく、どの実験を行うかの選択が、どのような事実が発見されるのかコントロールするのである。,実験は、この読み取りの事実を作り出すのではなく、どの実験を行うかを選択することで、発見される事実を制御する。,実験の選択によって、発見される事実が決まるのであって、実験自体が事実を生み出すわけではない。,実験の選択によって発見される事実が制御される。,0.3689,0.2807,0.0694,0.5118,0.4989,0.2908,0.67,0.711,0.6799,0.8664,0.9272,0.8108
10,例えば、素粒子に関する事実の中には、資本主義下での実験からのみ結果が得られるものがあるが、それ以外で成功させるには多大な資源、組織、強制力がかかるからである。,一部の事実(例えば、サブアトミック粒子に関するものなど)は、資源、組織、強制力が十分でなければ実現できない実験からしか得られません。そのような実験は資本主義体制でなければ不可能です。,一部の事実(例えば、微小粒子に関するものなど)は、資本主義体制でなければ実現できない、膨大な資源、組織、強制力を必要とする実験からしか得られません。,一部の事実(例えば、サブアトミック粒子に関するものなど)は、資本主義体制でなければ実現できない、膨大な資源や組織、強制力を必要とする実験からしか得られません。,0.2812,0.3489,0.307,0.4685,0.5284,0.4932,0.6085,0.6804,0.6186,0.907,0.916,0.9117
14,今週末、引き取りに行く。,この週末に取り上げる。,この週末に取り上げます。,この週末に手に入れようと思います。,0.1071,0.106,0.0544,0.4295,0.4259,0.2525,0.5627,0.5585,0.564,0.7433,0.7485,0.8293
16,既にコイルオーバーは付いていて、車高は下げられている。,エアサスペンションに変更し、車高を下げています。,車高を下げるためにコイルオーバーを装着しています。,コイルオーバーに変更し、車高を下げた。,0.0809,0.3273,0.2787,0.3082,0.5813,0.5222,0.4456,0.7398,0.6523,0.8088,0.8467,0.8081
17,自分でも少しリサーチはしてみたんだけど、もし誰かこの車について何か情報を持ってたら是非。,少し調べましたが、この車に関する情報があれば教えていただきたいです。,私はすでにいくつか調べましたが、この車に関する情報があれば教えていただきたいです。,車についてもっと情報がありましたら教えていただけますか。,0.0828,0.0815,0.1118,0.307,0.315,0.3247,0.6767,0.7041,0.5889,0.8917,0.9008,0.8099
18,個人的な体験談で？,個人的な経験,個人的な経験ですか?,個人的な経験ですか?,0.3259,0.2907,0.2907,0.5563,0.6181,0.6181,0.4009,0.7235,0.7235,0.8824,0.9495,0.9495
