index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
1,そのバージョンでは、IDirect3D::CreateViewport() を呼び出すと、IDirect3DViewport3が返ってくると仮定されていたことがわかり、やってみたけどIDirect3DViewportと比べると、最後にIDirect3DViewport3メソッドが追加されている。,判明したのは、IDirect3D::CreateViewport()を呼び出すと、IDirect3DViewport3が返されると仮定していたことです。これは、IDirect3DViewportと比較して、末尾に追加のメソッドが付加されているもので、私が実装したものです。,判明したのは、IDirect3D::CreateViewport()を呼び出すと、IDirect3DViewport3が返されると仮定していたことです。これは、IDirect3DViewportと比較して、末尾に追加のメソッドがあるもので、私が実装したのはIDirect3DViewportです。,判明したのは、IDirect3D::CreateViewport()を呼び出すと、IDirect3DViewport3が返されると考えていたことです。これは、IDirect3DViewportと比較して、末尾に追加のメソッドが付加されているもので、私が実装したものです。,0.6091,0.6862,0.5969,0.6894,0.7951,0.6771,0.6445,0.6097,0.6193,0.8704,0.8848,0.8651
4,ただし、これは例外なく当てはまるものではなく、こういったケースでは、問題のオブジェクトを作るのに、どのインターフェイスを使っているかが重要となる。,しかし、これは普遍的に当てはまるわけではありません。その場合、問題のオブジェクトを作成するために使用しているインターフェースが重要です。,しかし、これは普遍的に当てはまるわけではありません。その場合、問題のオブジェクトを作成するために使っている特定のインターフェースが重要です。,しかし、これは普遍的に当てはまるわけではありません。その場合、問題のオブジェクトを作成するために使用しているインターフェースが重要です。,0.3689,0.412,0.3689,0.5064,0.5429,0.5064,0.7488,0.7613,0.7488,0.9416,0.9418,0.9416
6,議論の仮定上の話として、科学とは、少なくとも部分的には、万象についての客観的事実に基づく記述の羅列で構成され、それが裏付ける可能性のある理論とは完全に分けられるものだ。,議論のために、科学が少なくとも一部は世界についての客観的な事実のリストから成り立っており、それらが支持するかもしれない理論とは無関係に真実であると仮定しましょう。,議論の仮定として、科学が少なくとも一部は世界についての客観的な事実のリストから成り立っており、それらが支持する理論に関係なく真実であると仮定しましょう。,議論のために、科学が少なくとも一部は世界についての客観的な事実のリストから成り立っており、それらが支持するかもしれない理論とは無関係に真実であると仮定しましょう。,0.2273,0.2709,0.2273,0.4075,0.4136,0.4075,0.5624,0.5999,0.5624,0.8745,0.8988,0.8745
7,科学にそのような事実が本当に存在すると仮定しても、科学的事実が理論に裏打ちされたものだと議論する余地はある。,たとえそのような事実が科学に存在することが真実であっても、科学的事実は理論に依存していると主張することは依然として可能です。,たとえそのような事実が科学に存在することが真実であっても、科学的事実は理論に基づいていると依然として主張することが可能です。,たとえそのような事実が科学に存在することが真実であっても、科学的事実は理論に依存していると主張することは依然として可能です。,0.3446,0.3446,0.3446,0.544,0.571,0.544,0.75,0.7198,0.75,0.9187,0.9016,0.9187
9,実験が結果によって事実を生み出すのではなく、どの実験を行うかの選択が、どのような事実が発見されるのかコントロールするのである。,この解釈では、実験が事実を生み出すのではなく、どの実験を行うかの選択がどの事実が発見されるかを制御します。,この解釈において、実験が事実を生み出すのではなく、どの実験を行うかの選択がどの事実が発見されるかを決定します。,この解釈では、実験が事実を生み出すのではなく、どの実験を行うかの選択がどの事実が発見されるかを決定します。,0.5336,0.5393,0.5336,0.6081,0.6163,0.6081,0.7965,0.796,0.8021,0.9396,0.9405,0.9417
10,例えば、素粒子に関する事実の中には、資本主義下での実験からのみ結果が得られるものがあるが、それ以外で成功させるには多大な資源、組織、強制力がかかるからである。,いくつかの事実、例えば素粒子については、資本主義においてのみ可能な実験の結果としてしか得られません。なぜなら、それらの実験は、他の方法では成し遂げることができないほど多くの資源、多くの組織、多くの強制を必要とするからです。,いくつかの事実、例えば素粒子については、資本主義でのみ可能な実験の結果としてしか得られません。なぜなら、それらの実験は、他の方法では成し遂げることができないほど多くの資源、多くの組織、多くの協力を必要とするからです。,いくつかの事実、例えば素粒子については、資本主義においてのみ可能な実験の結果としてしか得られません。なぜなら、それらの実験は、他の方法では成し遂げることができないほど多くの資源、あまりにも多くの組織、あまりにも多くの強制を必要とするからです。,0.1692,0.1724,0.1576,0.581,0.5592,0.6027,0.7136,0.691,0.7041,0.9205,0.9193,0.9141
14,今週末、引き取りに行く。,今週末にこれを受け取ります。,今週末にこれを取りに行きます。,今週末にこれを取りに行きます。,0.1446,0.2534,0.2534,0.5202,0.6996,0.6996,0.6501,0.6893,0.6893,0.8633,0.8809,0.8809
16,既にコイルオーバーは付いていて、車高は下げられている。,すでに車高調を装着し、車高を下げています。,すでにコイルオーバーが装着され、車高が下がっています。,すでに車高調を装着し、車高を下げています。,0.0795,0.3396,0.0795,0.3117,0.577,0.3117,0.5346,0.7992,0.5346,0.6402,0.8593,0.6402
17,自分でも少しリサーチはしてみたんだけど、もし誰かこの車について何か情報を持ってたら是非。,少し調べましたが、この車について何か情報があれば教えてください。,少し調べましたが、この車についての情報があれば教えていただけると嬉しいです。,少し調べましたが、この車について何か情報があればぜひ教えてください。,0.2497,0.1835,0.2541,0.4009,0.3769,0.399,0.6758,0.7074,0.6971,0.901,0.9033,0.9157
18,個人的な体験談で？,個人的な経験？,個人的な体験はありますか？,個人的な経験？,0.3419,0.3955,0.3419,0.6392,0.736,0.6392,0.6651,0.62,0.6651,0.9461,0.9214,0.9461
