index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
0,"Взломанная версия Jedi Knight вылетала из-за того, что вызывала функцию с конца виртуальной таблицы.",Взломанная версия Jedi Knight вылетала из-за вызова функции за пределами vtable.,"Взломанная версия Jedi Knight вылетала из-за того, что вызывала функцию за пределами таблицы виртуальных методов.",Взломанная версия Jedi Knight вылетала из-за вызова функции за пределами таблицы виртуальных методов.,0.3107,0.6362,0.3259,0.4369,0.7089,0.4307,0.6837,0.66,0.6786,0.8609,0.905,0.8802
4,"Но это не всегда верно; в этих случаях важно, какой интерфейс вы используете для создания рассматриваемого объекта.","Но это не всегда так; в таких случаях имеет значение, какой интерфейс вы используете для создания рассматриваемого объекта.","Но это не всегда верно; для таких случаев важно, какой интерфейс вы используете для создания соответствующего объекта.","Но это не всегда так, в этих случаях важно, какой интерфейс вы используете для создания рассматриваемого объекта.",0.5923,0.6151,0.8032,0.8092,0.76,0.9403,0.8888,0.8865,0.9118,0.9618,0.9502,0.961
5,"Так или иначе, поскольку в данном случае произошло именно это, чтобы все исправить, мне пришлось расширить реализацию области просмотра и добавить методы IDirect3DViewport3, чтобы новый вызов работал.","В общем, поскольку здесь это действительно так, чтобы это исправить, мне пришлось расширить мою реализацию окна просмотра, чтобы она содержала методы IDirect3DViewport3, чтобы вызов новой версии был действительным.","В общем, поскольку это здесь справедливо, для исправления мне пришлось расширить реализацию области просмотра, добавив методы IDirect3DViewport3, чтобы вызов новой версии был корректным.","В общем, поскольку это здесь работает, для исправления мне пришлось расширить реализацию видового экрана, добавив методы IDirect3DViewport3, чтобы вызов нового интерфейса был корректным.",0.2162,0.2549,0.1763,0.3989,0.3941,0.3524,0.669,0.7131,0.6062,0.8465,0.8506,0.8084
6,"Давайте в рамках дискуссии предположим, что по крайней мере частично, научное знание представляет собой списки объективно соответствующих действительности утверждений о мире, которые истинны независимо от того, верность какой теории они подтверждают.","Предположим, ради аргументации, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных вне зависимости от какой-либо теории, которую они могли бы подтверждать.","Предположим, для аргументации, что наука, по крайней мере частично, состоит из перечней объективно фактических утверждений о мире, истинных вне зависимости от какой-либо теории, которую они могли бы подтвердить.","Предположим, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных вне зависимости от какой-либо теории, которую они могли бы подтверждать.",0.1951,0.1951,0.1946,0.3521,0.3521,0.3689,0.7054,0.6549,0.7249,0.8871,0.8684,0.8912
9,"Эксперименты не формируют факты, но при этом то, какие именно факты будут получены, зависит от выбора проводимых экспериментов.","Согласно этой интерпретации, эксперименты не создают факты, но выбор того, какие эксперименты проводить, определяет, какие факты будут обнаружены.","Согласно этой интерпретации, эксперименты не создают факты, а выбор того, какие эксперименты проводить, определяет, какие факты будут обнаружены.","Согласно этому пониманию, эксперименты не создают факты, но выбор того, какие эксперименты проводить, определяет, какие факты станут известны.",0.0629,0.0321,0.057,0.318,0.2369,0.2369,0.7766,0.7671,0.7827,0.901,0.8954,0.8986
11,"Это лишь краткая версия вполне обоснованной аргументации в пользу того, что теории капитализма, влияющие на фактическое содержание научного знания, согласуются с теориями, утверждающими, что объективные научные факты в принципе существуют.","Это очень краткий набросок правдоподобного аргумента, что теории о влиянии капитализма на фактическое содержание науки согласуются с теориями, утверждающими существование объективных научных фактов.","Это очень краткий набросок правдоподобного аргумента в пользу того, что теории о влиянии капитализма на фактическое содержание науки согласуются с теориями, утверждающими существование объективных научных фактов.","Это краткий набросок правдоподобного аргумента, что теории о влиянии капитализма на содержание науки согласуются с теориями, утверждающими существование объективных научных фактов.",0.1609,0.2659,0.1349,0.2808,0.3652,0.2169,0.7202,0.7592,0.7247,0.8923,0.9099,0.8868
13,Это будет мой первый опыт тюнинга машины.,Будет моей первой машиной для проекта.,Будет моей первой машиной для тюнинга.,Это будет мой первый проект.,0.0286,0.0341,0.385,0.0725,0.0725,0.5836,0.3934,0.6887,0.7102,0.6786,0.8682,0.7694
16,Она уже с койловерами и занижена.,Уже на койловерах и с заниженным клиренсом.,Уже установлены койловеры и занижен клиренс.,Уже установлены койловеры и занижена высота посадки.,0.0366,0.0393,0.065,0.2459,0.1667,0.1639,0.491,0.661,0.6351,0.5903,0.6245,0.5549
20,#Время выговориться на Fediverse.,Время поныть в Федивселенную.,Время поныть во Федівсесвіті.,время пожаловаться в Федивселенной.,0.0523,0.0523,0.044,0.0,0.0,0.0,0.3044,0.3437,0.3214,0.4144,0.3754,0.4911
22,За кассой была очевидная #транс-женщина.,"Когда мы пошли рассчитываться, кассир была довольно очевидной транс-женщиной.","Когда мы пошли рассчитываться, кассир была довольно очевидной трансгендерной женщиной.","Когда мы пошли рассчитываться, кассир была вполне заметной трансгендерной женщиной.",0.0224,0.0203,0.0203,0.0926,0.0909,0.0909,0.5502,0.7235,0.7591,0.8795,0.8706,0.8683
24,"Она сразу напряглась, в глазах появился испуг.","Ее тело мгновенно напряглось, и в глазах появился страх.","Ее тело мгновенно напряглось, и в глазах появился испуг.","Она мгновенно напряглась, и в глазах у нее появился страх.",0.106,0.3672,0.0586,0.409,0.5512,0.5096,0.8435,0.8613,0.882,0.9115,0.9344,0.9376
25,А потом мы просто... заплатили за наши покупки.,А потом мы просто... заплатили за свои вещи.,А потом мы просто... заплатили за наши покупки.,А потом мы просто... заплатили за покупки.,0.6606,1.0,0.7189,0.7483,0.999,0.8757,0.8394,0.9937,0.8884,0.9486,0.9876,0.9776
