index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
0,"Взломанная версия Jedi Knight вылетала из-за того, что вызывала функцию с конца виртуальной таблицы.","Взломанная версия Jedi Knight падала, потому что она вызывала функцию за пределами vtable.","Взломанная версия Jedi Knight аварийно завершалась, потому что она обращалась к функции за пределами таблицы виртуальных функций.","Взломанная версия Jedi Knight аварийно завершалась, потому что она вызывала функцию за пределами таблицы виртуальных функций.",0.2026,0.1507,0.1817,0.4838,0.3385,0.4736,0.6168,0.565,0.6209,0.8187,0.8286,0.869
4,"Но это не всегда верно; в этих случаях важно, какой интерфейс вы используете для создания рассматриваемого объекта.","Но это не является универсально верным; для этих случаев имеет значение, какой интерфейс вы используете для создания объекта в вопросе.","Но это не является универсально верным; для таких случаев важно, какой интерфейс вы используете для создания соответствующего объекта.","Но это не всегда так; в таких случаях важно, какой интерфейс вы используете для создания этого объекта.",0.3412,0.4298,0.5882,0.6206,0.6368,0.8139,0.8017,0.8299,0.88,0.9036,0.9341,0.9517
5,"Так или иначе, поскольку в данном случае произошло именно это, чтобы все исправить, мне пришлось расширить реализацию области просмотра и добавить методы IDirect3DViewport3, чтобы новый вызов работал.","Так или иначе, поскольку это действительно верно здесь, чтобы исправить это, мне пришлось расширить реализацию моего viewport до включения методов IDirect3DViewport3, чтобы вызов к новому был действителен.","Итак, поскольку это действительно верно здесь, чтобы исправить ситуацию, мне пришлось расширить реализацию моего окна просмотра, включив методы IDirect3DViewport3, чтобы вызов к новому был корректным.","Чтобы исправить это, мне пришлось расширить реализацию моего графического окна, включив методы IDirect3DViewport3, чтобы вызов к новому методу был корректным.",0.2933,0.2306,0.2041,0.4578,0.3498,0.3565,0.545,0.6262,0.712,0.793,0.8293,0.8593
6,"Давайте в рамках дискуссии предположим, что по крайней мере частично, научное знание представляет собой списки объективно соответствующих действительности утверждений о мире, которые истинны независимо от того, верность какой теории они подтверждают.","Предположим, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных независимо от любой теории, которую они могут поддерживать.","Предположим, что наука, по крайней мере частично, состоит из объективно фактических утверждений о мире, истинных независимо от любой теории, которую они могут поддерживать.","Предположим, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных независимо от любой теории, которую они могут поддерживать.",0.2019,0.2007,0.2019,0.408,0.4093,0.408,0.7011,0.6852,0.7011,0.9019,0.8959,0.9019
9,"Эксперименты не формируют факты, но при этом то, какие именно факты будут получены, зависит от выбора проводимых экспериментов.","Эксперименты не создают фактов в этом чтении, но выбор, какие эксперименты проводить, контролирует, какие факты будут обнаружены.","Эксперименты не создают фактов, но выбор, какие эксперименты проводить, определяет, какие факты будут обнаружены.","Эксперименты не порождают фактов в этом контексте, но выбор, какие эксперименты проводить, определяет, какие факты будут обнаружены.",0.0398,0.0389,0.0398,0.2679,0.2423,0.2679,0.5942,0.8267,0.7415,0.8553,0.9194,0.9087
11,"Это лишь краткая версия вполне обоснованной аргументации в пользу того, что теории капитализма, влияющие на фактическое содержание научного знания, согласуются с теориями, утверждающими, что объективные научные факты в принципе существуют.","Это очень краткий набросок правдоподобного аргумента, что теории капитализма, влияющие на фактическое содержание науки, согласуются с теориями, утверждающими существование объективных научных фактов.","Теории капитализма, влияющие на фактическое содержание науки, согласуются с теориями, утверждающими существование объективных научных фактов.","Это краткий очерк аргумента о том, что теории капитализма, влияющие на содержание науки, согласуются с теориями, утверждающими существование объективных научных фактов.",0.3421,0.208,0.2854,0.3677,0.3141,0.3222,0.7448,0.7187,0.7514,0.9024,0.8742,0.8948
13,Это будет мой первый опыт тюнинга машины.,Это будет моим первым проектным автомобилем.,Это будет моим первым автомобилем для тюнинга.,Это будет моим первым автомобилем-проектом.,0.067,0.0699,0.0685,0.2717,0.2679,0.2757,0.5031,0.7476,0.4425,0.7802,0.907,0.7472
16,Она уже с койловерами и занижена.,Уже на пружинных амортизаторах и с пониженной высотой подвески.,Уже установлены амортизаторы с пониженной посадкой.,Уже установлены амортизаторы с пружинами и понижена высота подвески.,0.0278,0.0393,0.0278,0.2381,0.1667,0.2381,0.4608,0.3881,0.552,0.4768,0.5158,0.5075
20,#Время выговориться на Fediverse.,#Выпускание пара в Федиверсум.,#Время поделиться мыслями в Федивёрсе.,#Время поделиться мыслями в Федивёрсе.,0.0485,0.0773,0.0773,0.0,0.122,0.122,0.2979,0.457,0.457,0.4352,0.7115,0.7115
22,За кассой была очевидная #транс-женщина.,"Когда мы пошли на кассу, кассир - довольно очевидная #trans женщина.","Когда мы пошли на кассу, кассир была очевидно трансгендерной женщиной.","Когда мы подошли к кассе, кассир была очевидно трансгендерной женщиной.",0.0334,0.0203,0.0203,0.0893,0.0909,0.0909,0.685,0.763,0.7498,0.8669,0.8837,0.8791
24,"Она сразу напряглась, в глазах появился испуг.","Её тело сразу же окаменело, и в её глазах появился страх.","Её тело сразу напряглось, и в её глазах появился страх.","Её тело сразу напряглось, и в её глазах появился испуганный взгляд.",0.0432,0.0474,0.0432,0.4265,0.4324,0.4265,0.7308,0.8675,0.8137,0.8335,0.9172,0.9171
25,А потом мы просто... заплатили за наши покупки.,И тогда мы просто... заплатили за наши вещи.,И тогда мы просто... расплатились.,И тогда мы просто оплатили свои покупки.,0.5373,0.1144,0.0647,0.6225,0.2435,0.1266,0.8106,0.7329,0.8574,0.9383,0.8799,0.9403
28,"Было здорово увидеть, как она с облегчением улыбнулась, но сам факт, что сначала она нас испугалась — это БЛЯДСКИЙ ОТСТОЙ, НЕНАВИЖУ ЭТУ ФИГНЮ.","Улыбка облегчения на ее лице была великим чувством, но тот факт, что она сначала испугалась, ЧЕРТОВСКИ ОТСТОЙ И Я НЕНАВИЖУ ЭТО.","Улыбка облегчения на ее лице была приятной, но тот факт, что она сначала испугалась, расстраивает и вызывает раздражение.","Улыбка облегчения на ее лице была замечательным чувством, но то, что она сначала испугалась, ЧЕРТОВСКИ УЖАСНО, и это меня бесит.",0.052,0.0489,0.0259,0.187,0.1653,0.1101,0.5462,0.5945,0.5932,0.6549,0.7201,0.7883
32,"Но он не сможет этого сделать, если будет сидеть в тюрьме штата.",Но он не может помиловать себя из государственной тюрьмы.,Но он не может выйти из государственной тюрьмы по помилованию.,Но он не может выйти из государственной тюрьмы по помилованию.,0.0752,0.0763,0.0763,0.2517,0.2495,0.2495,0.4813,0.5759,0.5759,0.6949,0.7689,0.7689
33,Для этого понадобится помилование от губернатора штата.,Это занимает у губернатора штата.,Губернатор штата занимается этим.,Это является обязанностью губернатора штата.,0.1448,0.0351,0.1448,0.2757,0.0,0.2757,0.3375,0.4689,0.6332,0.5247,0.7083,0.828
36,"Нью-Йорк — наш главный шанс добиться того, чтобы Трамп понес ответственность",Нью-Йорк - лучшая надежда на подотчетность.,Нью-Йорк является ключевым местом для обеспечения подотчетности.,Нью-Йорк - лучшая надежда на обеспечение подотчетности.,0.0162,0.0168,0.0168,0.0476,0.0472,0.0472,0.4054,0.4236,0.413,0.6241,0.7239,0.7007
37,"Имеются убедительные доказательства того, что реальная коммуникация не может быть сведена к отправке сигналов с контекстно-независимым значением.","Существует значительное свидетельство того, что реальное общение не может быть сведено к отправке сигналов с контекстно-независимым значением.","Существуют убедительные доказательства того, что реальное общение не может быть сведено к простой передаче сигналов с контекстно-независимым значением.","Реальное общение не может быть сведено к передаче контекстно-независимых сигналов, о чем свидетельствуют значительные данные.",0.4448,0.4285,0.0626,0.6405,0.6888,0.2232,0.8281,0.8644,0.7746,0.9343,0.9417,0.8668
40,"В то же время мы изучаем условия окружающей среды и когнитивные способности, которые позволяют исключить неоднозначность значений символов в зависимости от контекста.","В то же время мы изучаем экологические условия и когнитивные возможности, которые позволяют контекстуальную дезамбигуацию значений символов.","В то же время мы изучаем экологические условия и когнитивные возможности, которые позволяют понимать значения символов в контексте.","В то же время мы изучаем условия окружающей среды и когнитивные возможности, которые позволяют разрешать неоднозначность значений символов в контексте.",0.2952,0.2974,0.5909,0.5233,0.5847,0.7777,0.6346,0.7812,0.8246,0.8432,0.8485,0.9014
