index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
0,"Взломанная версия Jedi Knight вылетала из-за того, что вызывала функцию с конца виртуальной таблицы.","Взломанная версия Jedi Knight вылетала, потому что вызывала функцию за пределами vtable.","Изменённая версия Jedi Knight постоянно вылетала, потому что вызывала функцию за пределами виртуальной таблицы.","Взломанная версия Jedi Knight вылетала, потому что вызывала функцию за пределами vtable.",0.3259,0.1459,0.3259,0.5013,0.5564,0.5013,0.6792,0.7103,0.6792,0.8692,0.889,0.8692
4,"Но это не всегда верно; в этих случаях важно, какой интерфейс вы используете для создания рассматриваемого объекта.","Но это не всегда верно; в таких случаях имеет значение, какой интерфейс вы используете для создания данного объекта.","Но это не всегда верно; в таких случаях важно, какой интерфейс вы используете для создания рассматриваемого объекта.","Но это не всегда так; в таких случаях важно, какой интерфейс вы используете для создания данного объекта.",0.5923,0.8579,0.5882,0.8092,0.9403,0.8139,0.893,0.9426,0.8792,0.9606,0.972,0.9541
5,"Так или иначе, поскольку в данном случае произошло именно это, чтобы все исправить, мне пришлось расширить реализацию области просмотра и добавить методы IDirect3DViewport3, чтобы новый вызов работал.","Итак, поскольку это действительно так, чтобы исправить это, мне пришлось расширить реализацию моего окна просмотра, чтобы она содержала методы IDirect3DViewport3, чтобы вызов нового метода был допустим.","Итак, поскольку это действительно так, чтобы исправить это, мне пришлось расширить реализацию моего видового экрана, чтобы она содержала методы IDirect3DViewport3, чтобы можно было вызывать новый метод корректно.","Итак, в любом случае, поскольку это действительно так, чтобы исправить это, мне пришлось расширить реализацию моего окна просмотра, чтобы она содержала методы IDirect3DViewport3, чтобы вызов нового метода был корректным.",0.2365,0.2257,0.2146,0.3757,0.3743,0.3974,0.6987,0.6711,0.7034,0.8644,0.8303,0.8578
6,"Давайте в рамках дискуссии предположим, что по крайней мере частично, научное знание представляет собой списки объективно соответствующих действительности утверждений о мире, которые истинны независимо от того, верность какой теории они подтверждают.","Предположим, ради аргумента, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных независимо от любой теории, которую они могут поддерживать.","Допустим, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных независимо от того, какую теорию они могут поддерживать.","Предположим, ради аргумента, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных независимо от любой теории, которую они могут поддерживать.",0.2036,0.2481,0.2036,0.393,0.408,0.393,0.6298,0.7131,0.6298,0.8965,0.9046,0.8965
9,"Эксперименты не формируют факты, но при этом то, какие именно факты будут получены, зависит от выбора проводимых экспериментов.","Эксперименты не создают факты в этом прочтении, но выбор, какие эксперименты проводить, определяет, какие факты будут обнаружены.","Эксперименты не создают факты в данном контексте, но выбор, какие эксперименты проводить, контролирует, какие факты будут обнаружены.","Эксперименты не создают факты в этом прочтении, но выбор, какие эксперименты проводить, определяет, какие факты будут обнаружены.",0.0407,0.0398,0.0407,0.2679,0.2382,0.2679,0.6244,0.7318,0.6244,0.8766,0.9101,0.8766
11,"Это лишь краткая версия вполне обоснованной аргументации в пользу того, что теории капитализма, влияющие на фактическое содержание научного знания, согласуются с теориями, утверждающими, что объективные научные факты в принципе существуют.","Это очень краткий набросок правдоподобного аргумента о том, что теории капитализма, влияющие на фактическое содержание науки, согласуются с теориями, утверждающими существование объективных научных фактов.","Это краткий обзор правдоподобного аргумента о том, что теории капитализма, влияющие на фактическое содержание науки, согласуются с теориями, утверждающими существование объективных научных фактов.","Это очень краткий набросок правдоподобного аргумента о том, что теории капитализма, влияющие на фактическое содержание науки, согласуются с теориями, утверждающими существование объективных научных фактов.",0.3477,0.3452,0.3477,0.3652,0.3664,0.3652,0.7757,0.7838,0.7757,0.9137,0.913,0.9137
13,Это будет мой первый опыт тюнинга машины.,Станет моим первым проектным автомобилем.,Это будет моя первая проектная машина.,Станет моим первым проектным автомобилем.,0.0293,0.067,0.0293,0.0,0.2717,0.0,0.4884,0.6169,0.4884,0.7196,0.812,0.7196
16,Она уже с койловерами и занижена.,Уже на койловерах и с заниженной высотой дорожного просвета.,Уже установлены койловеры и занижена высота кузова.,Уже на койловерах и с заниженной высотой дорожного просвета.,0.0278,0.065,0.0278,0.2381,0.1639,0.2381,0.4814,0.7257,0.4814,0.5229,0.5538,0.5229
20,#Время выговориться на Fediverse.,#Выпуск пара в Федивёрс время.,#Время выпустить пар в Федиверс.,#Выплеск эмоций в Федивёрс.,0.0393,0.0773,0.0485,0.0,0.122,0.0,0.2781,0.3261,0.2755,0.4238,0.551,0.5939
22,За кассой была очевидная #транс-женщина.,"Когда мы пошли на кассу, кассиром оказалась довольно очевидная транс-женщина.","Когда мы подошли к кассе, кассиром была явно транс-женщина.","Когда мы пошли на кассу, кассиром оказалась довольно очевидная транс-женщина.",0.0399,0.0441,0.0399,0.0909,0.0926,0.0909,0.7033,0.7034,0.7033,0.8813,0.8809,0.8813
24,"Она сразу напряглась, в глазах появился испуг.","Её тело мгновенно напряглось, и в глазах появился страх.","Её тело мгновенно напряглось, и в её глазах появилось выражение страха.","Её тело мгновенно напряглось, и в глазах появился страх.",0.106,0.022,0.106,0.409,0.1351,0.409,0.8517,0.8246,0.8517,0.9103,0.9117,0.9103
25,А потом мы просто... заплатили за наши покупки.,А потом мы просто... заплатили за наши вещи.,А потом мы просто... оплатили наши покупки.,А потом мы просто... заплатили за наши вещи.,0.7825,0.5342,0.7825,0.8737,0.7454,0.8737,0.8355,0.8789,0.8355,0.9516,0.9693,0.9516
28,"Было здорово увидеть, как она с облегчением улыбнулась, но сам факт, что сначала она нас испугалась — это БЛЯДСКИЙ ОТСТОЙ, НЕНАВИЖУ ЭТУ ФИГНЮ.","Улыбка облегчения на её лице была замечательным чувством, но тот факт, что сначала она была напугана, ПРОСТО ОТВРАТИТЕЛЕН, И Я НЕНАВИЖУ ЭТО.","Её лицо озарила улыбка облегчения, но то, что сначала она была напугана, это просто ужасно, и я это ненавижу.","Улыбка облегчения на её лице была замечательным чувством, но тот факт, что сначала она была напугана, просто отвратителен, и я ненавижу это.",0.1612,0.1127,0.1612,0.2456,0.1973,0.2456,0.5908,0.5622,0.6039,0.8247,0.7327,0.7673
32,"Но он не сможет этого сделать, если будет сидеть в тюрьме штата.",Но он не может помиловать себя из тюрьмы штата.,Но он не может освободить себя из государственной тюрьмы с помощью помилования.,"Но он не может помиловать себя, чтобы выйти из тюрьмы штата.",0.088,0.0765,0.0937,0.3205,0.2454,0.3151,0.5041,0.6404,0.6281,0.7228,0.808,0.7693
33,Для этого понадобится помилование от губернатора штата.,Это зависит от губернатора штата.,Это требует участия губернатора штата.,Это требует участия губернатора штата.,0.3641,0.1448,0.1448,0.433,0.2757,0.2757,0.639,0.6961,0.6961,0.8518,0.852,0.852
36,"Нью-Йорк — наш главный шанс добиться того, чтобы Трамп понес ответственность",Нью-Йорк — лучшая надежда на привлечение к ответственности.,NY — наш лучший шанс на привлечение к ответственности.,Нью-Йорк — лучшая надежда на привлечение к ответственности.,0.0363,0.0404,0.0363,0.1752,0.2366,0.1752,0.5666,0.3887,0.5666,0.8336,0.79,0.8336
