index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
2,于我而言，这是一个非常大胆的假设，因为它仅使用 Direct3D 对象创建视口，而非使用 Direct3D3 对象。,对我来说，这是一个相当大的假设，因为它只是用一个Direct3D对象创建视口，而不是Direct3D3对象。,对我来说，这是一个相当大的假设，因为它仅仅是使用Direct3D对象创建视口，而不是Direct3D3对象。,依我看，这个假设相当大胆，因为它仅仅是用Direct3D对象创建视口，而不是Direct3D 3对象。,0.6538,0.7077,0.6055,0.7403,0.7738,0.7527,0.7667,0.7861,0.7924,0.8046,0.8379,0.8577
10,一些事实，例如关于亚原子粒子的事实，只能从实验中得出，而这些实验本身只有在资本的支持下才有可能完成，因为它们需要付出大量资源、大量组织的参与、采取大量强制措施，否则就无法成功。,某些事实，例如关于亚原子粒子的事实，只能通过在资本主义下才有可能进行的实验才能产生，因为这些实验需要过多的资源、过多的组织和过多的强制力，否则无法完成。,某些事实，例如关于亚原子粒子的研究，只能通过在资本主义制度下才有可能实现的实验获得，因为这些实验需要耗费大量的资源，需要精密的组织和强大的执行力，否则根本无法完成。,某些关于亚原子粒子的发现，只有在资本主义制度下才有可能实现的实验中才能获得，因为这些实验需要大量的资源、组织和协作才能完成。,0.3678,0.3223,0.2452,0.5918,0.616,0.5224,0.7273,0.7305,0.6451,0.8901,0.8873,0.8367
14,我这个周末来取它。,这个周末去取。,这个周末去取。,这个周末去拿吧。,0.3419,0.3419,0.3226,0.6392,0.6392,0.5438,0.7052,0.7052,0.7176,0.8948,0.8948,0.8289
15,我正在寻找将与我朝夕相处的第一辆车；我确实非常喜欢 80 年代的审美观。,我在找一辆不错的入门级“男人味”汽车，而且我真的很喜欢80年代的审美。,我在找一辆适合新手的好车，而且我真的很喜欢80年代的风格。,我在寻找一辆适合新手且具有80年代风格的汽车，我非常喜欢那个年代的审美。,0.2713,0.2107,0.2748,0.4442,0.3796,0.5518,0.609,0.5783,0.6919,0.7486,0.7759,0.8387
19,我知道相比之下它们的速度并不是很快,我知道和别人比起来，它们不算快。,我知道它们比起来不算快。,我知道它们不算快。,0.1209,0.1175,0.0998,0.4156,0.4257,0.3918,0.7821,0.7613,0.6939,0.7357,0.8366,0.772
20,#在 Fediverse 中发泄。,在联邦宇宙倒苦水时间。,在联邦宇宙发泄一下。,在联邦宇宙社区发泄一下。,0.031,0.0605,0.0627,0.061,0.1936,0.1913,0.178,0.4074,0.3795,0.3986,0.6784,0.7108
21,我和我的同居伙伴今晚去酒类专卖店买了些啤酒和一瓶起泡酒。,今晚我和我的同居伴侣去酒铺买了一些啤酒和一瓶香槟。,今晚我和我的同居伴侣去酒铺买了一些啤酒和一瓶香槟。,今晚我和伴侣去了酒类商店，买了一些啤酒和一瓶气泡酒。,0.3994,0.3994,0.2868,0.6769,0.6769,0.6745,0.6897,0.6897,0.8409,0.8849,0.8849,0.8859
22,我们去结账的时候，发现收银员明显是一位#跨性别女性。,当我们去结账时，收银员是一位相当明显的跨性别女性。,当我们去结账时，收银员是一位很明显的跨性别女性。,当我们去结账时，收银员看起来很明显是位跨性女。,0.4441,0.4442,0.2593,0.829,0.8322,0.6403,0.8151,0.8129,0.7756,0.9247,0.9256,0.9103
25,然后我们就...为我们买的商品结了账。,然后我们就...付了钱。,然后我们就...付了我们的东西。,然后我们就付了钱了。,0.3618,0.4286,0.1737,0.5123,0.6754,0.3163,0.7473,0.6007,0.6561,0.8836,0.8397,0.8595
28,她脸上出现了如释重负的笑容，感觉很好，但她第一次遇到的恐惧真他妈的糟糕，我再也不想遇到那样的事。,她脸上露出如释重负的笑容让人感觉很好，但她之前感到害怕这件事他妈的太糟糕了，我讨厌它。,她脸上如释重负的笑容让人感到欣慰，但她之前感到害怕这件事真是太糟糕了，我真讨厌。,看到她脸上如释重负的笑容，我感到欣慰，但之前她所经历的恐惧真是太糟糕了，我对此深恶痛绝。,0.3211,0.2016,0.2614,0.5683,0.458,0.5186,0.645,0.608,0.6972,0.8185,0.7854,0.8344
29,这次经历真蠢，我再也不想遇到它。,这是最蠢的时间线，我讨厌它点com。,这是最愚蠢的时间线，我讨厌它点com。,这是最糟糕的时间线，我讨厌死了.com。,0.0565,0.0533,0.0455,0.2632,0.2616,0.1925,0.263,0.2328,0.2277,0.4202,0.4271,0.4357
32,而他无法大赦自己离开州立监狱。,但他无法特赦自己出州立监狱。,但他无法通过特赦让自己出州立监狱。,但他无法通过赦免让自己离开州立监狱。,0.4073,0.3223,0.5399,0.7308,0.7063,0.8445,0.7716,0.7609,0.7824,0.9021,0.8529,0.872
33,因为这一点需要州长同意。,需要州长。,这需要州长的批准。,这取决于州长的决定。,0.1744,0.2367,0.0817,0.4283,0.4808,0.2675,0.5437,0.7658,0.7075,0.7645,0.9243,0.8827
