index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
2,于我而言，这是一个非常大胆的假设，因为它仅使用 Direct3D 对象创建视口，而非使用 Direct3D3 对象。,"对我来说,这是一个相当大的假设,因为它只使用了Direct3D对象,而不是Direct3D3对象来创建视口。","对我来说,这是一个相当大的假设,因为它只使用了Direct3D对象而不是Direct3D3对象来创建视口。","对我来说,这是一个相当大的假设,因为它只使用了Direct3D对象来创建视口,而不是更高级的Direct3D 3对象。",0.5017,0.5019,0.4819,0.6944,0.6956,0.6989,0.7765,0.7708,0.7542,0.8367,0.8333,0.8407
10,一些事实，例如关于亚原子粒子的事实，只能从实验中得出，而这些实验本身只有在资本的支持下才有可能完成，因为它们需要付出大量资源、大量组织的参与、采取大量强制措施，否则就无法成功。,"一些事实,例如关于亚原子粒子的事实,只能通过实验来获得,而这些实验本身只有在资本主义体系下才能进行,因为它们需要太多的资源、太多的组织和太多的强制手段才能完成。","一些事实,例如关于亚原子粒子的事实,只能通过实验来获得,而这些实验本身只有在资本主义环境下才能进行,因为它们需要太多的资源、太多的组织和太多的强制手段才能完成。","一些事实,比如关于亚原子粒子的事实,只有在资本主义体制下才能通过实验获得,因为这需要大量的资源、组织和强制手段。",0.389,0.389,0.2135,0.5953,0.5953,0.4431,0.738,0.7437,0.6989,0.8914,0.8921,0.8631
14,我这个周末来取它。,这个周末拿到它。,这个周末我会去拿它。,我会在这个周末拿到它。,0.3628,0.3247,0.29,0.6617,0.739,0.7309,0.6497,0.7465,0.7044,0.817,0.9077,0.8714
15,我正在寻找将与我朝夕相处的第一辆车；我确实非常喜欢 80 年代的审美观。,我正在寻找一辆好的初级汽车;我真的很喜欢80年代的美学。,我正在寻找一辆适合初次购车者的好车;我真的很喜欢80年代的车型设计。,"我正在寻找一辆有80年代风格的初级汽车,这正是我的心仪之选。",0.3051,0.304,0.2034,0.4874,0.4597,0.3785,0.5915,0.5905,0.6219,0.7841,0.845,0.8449
19,我知道相比之下它们的速度并不是很快,我知道他们相比之下不快。,他们的速度并不快。,我知道他们的速度并不太快。,0.221,0.251,0.3656,0.5682,0.4271,0.5943,0.6596,0.6406,0.7618,0.6165,0.7754,0.8575
20,#在 Fediverse 中发泄。,#向联邦宇宙发泄时间。,#在联邦社交网络上发表自己的想法。,向联邦宇宙发泄情绪。,0.062,0.0544,0.0563,0.1925,0.1857,0.1568,0.2758,0.3671,0.3588,0.5891,0.6528,0.621
21,我和我的同居伙伴今晚去酒类专卖店买了些啤酒和一瓶起泡酒。,我和同居伴侣今晚去了酒店买了一些啤酒和一瓶起泡酒。,我和同居伴侣今晚去了酒类商店买了一些啤酒和一瓶起泡酒。,我和同居伴侣今晚去了酒类商店买了一些啤酒和一瓶起泡酒。,0.4658,0.4792,0.4792,0.7751,0.807,0.807,0.8027,0.861,0.861,0.8991,0.9285,0.9285
22,我们去结账的时候，发现收银员明显是一位#跨性别女性。,"当我们去结账时,收银员显然是一位跨性别女性。","当我们去结账时,收银员明显是一位跨性别女性。","当我们去结账时,收银员看起来是一位变性人。",0.4182,0.5817,0.2342,0.7305,0.7781,0.5274,0.8616,0.8709,0.7109,0.9366,0.94,0.8432
25,然后我们就...为我们买的商品结了账。,然后我们就...付了钱。,然后我们就付了我们的钱。,然后我们就付了我们的物品费用。,0.3618,0.2225,0.2427,0.5123,0.5123,0.5434,0.7473,0.6584,0.664,0.8836,0.8462,0.8589
28,她脸上出现了如释重负的笑容，感觉很好，但她第一次遇到的恐惧真他妈的糟糕，我再也不想遇到那样的事。,"她脸上的解脱微笑是一种很好的感觉,但她先前感到害怕的事实真他妈的糟糕,我讨厌它。","她脸上的解脱微笑虽然很好,但她先前的恐惧真让人感到沮丧,我真的很讨厌这种感觉。","她脸上的宽慰微笑让人感到很好,但她先前感到害怕的事实实在太糟糕了,我真的很讨厌。",0.1688,0.0979,0.0599,0.4181,0.3227,0.3269,0.5267,0.6279,0.5987,0.8104,0.8076,0.7264
