index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
2,于我而言，这是一个非常大胆的假设，因为它仅使用 Direct3D 对象创建视口，而非使用 Direct3D3 对象。,对我来说，这是一个相当大的假设，因为它只是使用 Direct3D 对象创建视口，而不是 Direct3D3 对象。,对我来说，这是一个相当大的假设，因为它只是使用 Direct3D 对象创建视口，而不是使用 Direct3D3 对象。,对我来说，这是一个相当大的假设，因为它只是使用 Direct3D 对象创建视口，而不是 Direct3D3 对象。,0.6887,0.7134,0.6887,0.8263,0.8588,0.8263,0.7907,0.8042,0.7907,0.8722,0.8803,0.8722
10,一些事实，例如关于亚原子粒子的事实，只能从实验中得出，而这些实验本身只有在资本的支持下才有可能完成，因为它们需要付出大量资源、大量组织的参与、采取大量强制措施，否则就无法成功。,一些事实，例如关于亚原子粒子的事实，只能通过实验得出，而这些实验本身只有在资本主义中才有可能，因为它们需要太多的资源、太多的组织、太多的强制，否则无法实现。,一些事实，例如关于亚原子粒子的事实，只能通过实验得出，而这些实验只有在资本主义制度下才可能实现，因为它们需要大量的资源、组织和强制手段，否则无法实现。,一些事实，例如关于亚原子粒子的事实，只能通过实验得出，而这些实验本身只有在资本主义中才有可能，因为它们需要太多的资源、太多的组织、太多的强制，否则难以实现。,0.5273,0.4669,0.5206,0.7232,0.6785,0.7015,0.7522,0.7787,0.7467,0.8905,0.899,0.8905
14,我这个周末来取它。,这个周末去拿。,这个周末去拿这个。,这个周末就去拿这个。,0.3267,0.3156,0.2778,0.55,0.4956,0.4901,0.6243,0.7147,0.7467,0.8715,0.8128,0.8144
15,我正在寻找将与我朝夕相处的第一辆车；我确实非常喜欢 80 年代的审美观。,我在寻找一辆好的第一辆车，而且我真的很喜欢80年代的美学。,我在寻找一辆适合车迷的新手车，而且我真的很喜欢80年代风格。,我在寻找一辆适合车迷的第一辆车；而且我真的很喜欢80年代的美学。,0.3226,0.2065,0.358,0.499,0.4152,0.5267,0.6166,0.6223,0.6447,0.7399,0.7667,0.8065
19,我知道相比之下它们的速度并不是很快,我知道它们相比之下不快。,我知道他们与其他相比速度不快，,我知道它们不快。,0.2369,0.1376,0.0913,0.6354,0.531,0.3942,0.6782,0.7282,0.6321,0.7514,0.7901,0.5945
20,#在 Fediverse 中发泄。,#在联邦宇宙中发泄时间。,#在Fediverse上发泄一下,#在联邦宇宙中倾诉。,0.1292,0.6968,0.0605,0.3409,0.7645,0.1936,0.3092,0.7402,0.3295,0.6329,0.845,0.5821
21,我和我的同居伙伴今晚去酒类专卖店买了些啤酒和一瓶起泡酒。,我和伴侣今晚去酒铺买了一些啤酒和一瓶香槟。,我和对象今晚去酒铺买啤酒和一瓶起泡酒。,我和伴侣今晚去酒铺买了一些啤酒和一瓶bub。,0.2897,0.3739,0.2928,0.5145,0.5814,0.5127,0.6971,0.7467,0.7152,0.8626,0.8377,0.8308
22,我们去结账的时候，发现收银员明显是一位#跨性别女性。,当我们去结账时，收银员显然是一位跨性别女性。,当我们去结账时，收银员看起来是一位相当明显的跨性别女性。,当我们去结账时，收银员显然是一位跨性别女性。,0.4236,0.4098,0.4236,0.7645,0.8195,0.7645,0.8616,0.8174,0.8616,0.9366,0.9223,0.9366
25,然后我们就...为我们买的商品结了账。,然后我们就……付了钱。,然后我们就……付了我们东西的钱。,然后我们就……付了钱。,0.1844,0.2387,0.1844,0.3145,0.5013,0.3145,0.6875,0.6715,0.6875,0.8749,0.8541,0.8749
28,她脸上出现了如释重负的笑容，感觉很好，但她第一次遇到的恐惧真他妈的糟糕，我再也不想遇到那样的事。,她脸上如释重负的微笑是一种很棒的感觉，但她一开始感到害怕真是太糟糕了，我讨厌这种感觉。,她脸上如释重负的微笑让人感觉很棒，但她一开始感到害怕真是糟透了，我非常讨厌这种感觉。,她脸上如释重负的微笑是一种很棒的感觉，但她一开始感到害怕真是他妈的糟糕，我讨厌这样。,0.1554,0.1589,0.2698,0.4695,0.4305,0.5246,0.5914,0.5863,0.6227,0.8193,0.7742,0.8018
29,这次经历真蠢，我再也不想遇到它。,这是最愚蠢的时间线，我讨厌它.com。,这是最愚蠢的时间轴，我讨厌它 dot com。,这是最愚蠢的时代，我讨厌它.com。,0.0533,0.0478,0.0565,0.2616,0.2553,0.2632,0.2615,0.1997,0.3127,0.4885,0.4344,0.5859
32,而他无法大赦自己离开州立监狱。,但他无法通过赦免自己逃脱州监狱。,但他无法通过赦免来逃避州监狱的刑罚。,但他无法通过赦免自己免于州立监狱的刑罚。,0.1839,0.1131,0.2031,0.6209,0.459,0.6764,0.7697,0.697,0.7241,0.8657,0.8311,0.8384
33,因为这一点需要州长同意。,这需要州长。,这需要州长的参与。,这需要州长的参与。,0.2069,0.2367,0.2367,0.4934,0.4808,0.4808,0.651,0.7354,0.7354,0.8315,0.8854,0.8854
43,我们认为，依赖语境的通信是一种情景化的多层次现象，受到环境属性如语境分布的重要影响。,我们建议，情境依赖的交流是一种多层次的现象，受到环境特性（如情境分布）的重要影响。,我们认为，情境依赖的交流是一种具有多层次特征的现象，受到环境特性（如情境分布）的重要影响。,我们建议，情境依赖的交流是一种多层次的现象，受到环境特性（如情境的分布方式）的重要影响。,0.3744,0.4129,0.3489,0.7575,0.8062,0.7453,0.7552,0.7768,0.755,0.8652,0.8837,0.8726
