index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
8,It was also noted that less than 20 cheetahs were recorded in the last period in seven different districts of the country.,It was also noted that fewer than 20 cheetahs have been documented in seven different provinces of the country in recent times.,"It was also noted that recently, fewer than 20 cheetahs have been documented across seven different provinces in the country.",It was also noted that fewer than 20 cheetahs have been recorded in seven different provinces in the country recently.,0.3083,0.2856,0.3025,0.6113,0.5794,0.6169,0.7787,0.7854,0.7784,0.87,0.8672,0.8704
21,"A few weeks ago, I got an preliminary opportunity to try out the new product here in Israel, which is currently only available to individual testers in the US.","A few weeks ago, I received an initial opportunity to try the new product, which is currently only available to a few testers in the US, here in Israel.","A few weeks ago, I had the first chance to try out the new product, which is currently only available to a limited number of testers in the US, and here in Israel.","A few weeks ago, I had an early opportunity to try the new product, which is currently available only to a few testers in the United States, but I got to try it here in Israel.",0.5027,0.5009,0.3052,0.7112,0.6862,0.6181,0.7897,0.7885,0.7529,0.8823,0.9017,0.8743
23,"After two weeks of trying it, I came to understand how Car Thing could easily become an integral part of many people’s systems.","After two weeks of playing around, I realized how the Car Thing could easily become an integral part of many people's systems.","After two weeks of playing around with it, I realized how the Car Thing could easily become an integral part of many people's setups.","After two weeks of use, I realized how the car thing could easily become an integral part of many people's systems.",0.5163,0.5266,0.4327,0.7329,0.7311,0.7361,0.8106,0.781,0.7882,0.8907,0.8597,0.8553
26,"Somewhere in 2018, Spotify users began to receive an interesting offer in their email inbox—an opportunity to purchase a new device with voice control and 4th generation connectivity, which will make any old car system smart.","Sometime around 2018, Spotify users began receiving an interesting offer in their email inbox - the option to purchase a new device with voice control and 4G connectivity, that would turn any old car stereo into a smart one.","Somewhere around 2018, Spotify users began receiving an interesting offer in their email inboxes—the option to purchase a new device with voice control and 4G connectivity that would turn any old car stereo into a smart one.","In 2018, Spotify users began receiving an interesting offer in their email inboxes: the option to purchase a new device with voice control and 4G connectivity that would turn any old car stereo into a smart one.",0.4268,0.4551,0.4391,0.653,0.6566,0.6596,0.7841,0.7701,0.7658,0.8931,0.8947,0.8895
56,"The home screen is familiar to all users of the application, since like the smartphone application, it emphasizes the album images and playlists.","The home screen is familiar to all users of the app, as, like the application on a smartphone, it emphasizes album art and playlists.","The home screen is familiar to all users of the application because, like the smartphone app, it emphasizes album artwork and playlists.","The home screen is familiar to all application users, as, similar to the smartphone app, it emphasizes album art and playlists.",0.4656,0.555,0.358,0.6976,0.7369,0.5604,0.7958,0.8056,0.7806,0.8968,0.9005,0.8935
60,"Using it, you can play songs, playlists, albums and even search for podcasts.","Through it, you can play songs, playlists, albums, and even search for podcasts.","Using it, you can play songs, playlists, and albums, and even search for podcasts.","With it, you can play songs, playlists, and albums, and even search for podcasts.",0.7778,0.7444,0.6859,0.8436,0.9139,0.8372,0.8754,0.8956,0.8632,0.9354,0.9452,0.9344
72,"This question gets crucial when considering that iPhone and Android devices are much more powerful than Spotify’s device, and in most cases will supply the user with much more functionality.","This question becomes stronger when considering that iPhones and Android devices are much more powerful than Spotify's [device/app], and in most cases will provide the user with much more functionality.","This question becomes stronger when considering that iPhones and Android devices are much more powerful than Spotify devices, and in most cases will provide the user with much more functionality.","This question becomes more relevant when considering that iPhones and Android devices are much more powerful than Spotify itself, and in most cases offer the user much more functionality.",0.5685,0.5867,0.4728,0.8316,0.8316,0.7653,0.8242,0.8426,0.8338,0.8806,0.9072,0.9039
96,It’s not a secret—sharing and organization’s readiness |,It's no secret - organizational sharing and readiness.,It's no secret—organizational collaboration and preparedness.,It's no secret: the organization's cooperation and readiness.,0.0227,0.02,0.0241,0.0625,0.0641,0.0625,0.7461,0.7132,0.6862,0.8617,0.7915,0.7982
105,Curiosity promotes |,Curiosity advances.,Curiosity fosters.,Curiosity promotes progress.,0.1136,0.1136,0.1699,0.1724,0.1724,0.625,0.6611,0.6828,0.6739,0.6879,0.6393,0.8929
114,"The economic cost of not closing the coal-based power stations by the date set in June 2022 is estimated at about one billion NIS for the year 2022, according to a report by the Knesset’s Research and Information Center.","The economic cost due to the failure to close the coal-fired power plants by the date set in June 2022 is estimated at approximately one billion shekels for 2022, according to a report by the Knesset Research and Information Center.","The economic cost of not closing the coal-fired power plants by the scheduled date in June 2022 is estimated at approximately one billion shekels for 2022, according to a report by the Knesset Research and Information Center.","According to a report by the Knesset Research and Information Center, the economic cost for not closing the coal-fired power plant by the scheduled date in June 2022 is estimated at approximately one billion Israeli shekels (NIS 1,000,000,000) for the year 2022.",0.5257,0.5342,0.3711,0.7698,0.7971,0.7116,0.7481,0.7711,0.7478,0.8581,0.8724,0.8409
