index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
8,It was also noted that less than 20 cheetahs were recorded in the last period in seven different districts of the country.,"According to the report, fewer than 20 cheetahs were documented in the last period in seven different districts in the country.",It was documented that fewer than 20 cheetahs were recorded in the last period in seven different districts in the country.,"According to the report, fewer than 20 Bardalsim (a type of wild feline) were documented in the last period across seven different districts in the country.",0.4625,0.6348,0.1644,0.6141,0.7858,0.5859,0.8187,0.8164,0.6487,0.867,0.888,0.7647
21,"A few weeks ago, I got an preliminary opportunity to try out the new product here in Israel, which is currently only available to individual testers in the US.","A few weeks ago, I had an initial opportunity to try the new product, which is currently available only to a few testers in the US, here in Israel.","A few weeks ago, I received an initial opportunity to try the new product, which is currently available only to a few testers in the US.","The new product is currently available only to a select few beta users in the US, and I recently had the chance to try it out here in Israel.",0.4041,0.4183,0.0765,0.6609,0.6922,0.4027,0.7855,0.7698,0.7185,0.8821,0.9008,0.89
23,"After two weeks of trying it, I came to understand how Car Thing could easily become an integral part of many people’s systems.","After two weeks of playing around, I understood how the Car Thing can easily become an integral part of many people's system.","After two weeks of fooling around, I understood how the Car Thing can easily become an integral part of many people's system.","After two weeks of experimenting with it, I realized how the Car Thing could easily become an integral part of many people's lives.",0.3968,0.3968,0.5275,0.688,0.688,0.7343,0.7884,0.7597,0.8071,0.8882,0.8715,0.872
26,"Somewhere in 2018, Spotify users began to receive an interesting offer in their email inbox—an opportunity to purchase a new device with voice control and 4th generation connectivity, which will make any old car system smart.","Somewhere in 2018, Spotify users began receiving an interesting offer in their email inbox - an option to purchase a new device with voice control and 4G connectivity, which will turn any old system into a smart car.","Somewhere in 2018, Spotify users began receiving an interesting offer in their email - an option to purchase a new device with voice control and 4G connectivity, which will turn any old system into a smart vehicle.","Somewhere in 2018, Spotify users began receiving an interesting offer to purchase a new product with voice control and 4G connectivity, which will turn any old car system into a smart vehicle.",0.5256,0.535,0.4216,0.7559,0.758,0.6798,0.7842,0.7704,0.7596,0.8983,0.8957,0.8728
56,"The home screen is familiar to all users of the application, since like the smartphone application, it emphasizes the album images and playlists.","The home screen is available to all users of the app, as like the mobile app, it emphasizes album photos and playlists.","The home screen is familiar to all users of the app, as with the mobile app, it emphasizes album photos and playlists.","The home screen is familiar to all users of the app, as like the mobile app, it emphasizes the album photos and playlists.",0.3405,0.4694,0.5639,0.6365,0.6694,0.7783,0.7445,0.7846,0.805,0.8516,0.8897,0.9002
60,"Using it, you can play songs, playlists, albums and even search for podcasts.","You can use it to play songs, playlists, albums, and even search for podcasts.","Using it, you can play songs, playlists, albums, and even search for podcasts.","With the help of the provided annotations, here is an improved translation:

You can use this application to play tracks, music collections, albums, and even search for podcasts.",0.5596,0.8394,0.1669,0.8195,0.9209,0.5934,0.8639,0.9369,0.6874,0.9386,0.9541,0.7456
72,"This question gets crucial when considering that iPhone and Android devices are much more powerful than Spotify’s device, and in most cases will supply the user with much more functionality.","The question is strengthened by the fact that iPhone and Android devices are much stronger than Spotify, and in most cases will provide the user with much more functionality.","The question is strengthened when considering that iPhone and Android devices are much more powerful than music streaming services, and in most cases will offer users significantly more functionality.","The strength of smartphones like iPhone and Android often surpasses that of music streaming services like Spotify, providing users with greater functionality in most cases.",0.4893,0.5032,0.0533,0.6637,0.7181,0.2522,0.7807,0.74,0.7195,0.8772,0.8821,0.8386
96,It’s not a secret—sharing and organization’s readiness |,This is no secret - the organization's sharing and readiness.,The organization's sharing and preparedness is no secret.,This organization's collaboration and preparedness is no secret.,0.0224,0.0205,0.0205,0.061,0.0625,0.0625,0.7161,0.6321,0.6282,0.842,0.8215,0.7715
105,Curiosity promotes |,Curiosity promotes.,Curiosity promotes learning.,Curiosity furthers progress.,0.2403,0.1699,0.0803,0.1724,0.625,0.1667,0.8563,0.6365,0.557,0.9158,0.891,0.7767
114,"The economic cost of not closing the coal-based power stations by the date set in June 2022 is estimated at about one billion NIS for the year 2022, according to a report by the Knesset’s Research and Information Center.","The economic cost of not closing the coal-fired power stations by the date set in June 2022 is estimated at around one billion shekels for the year 2022, as revealed in a report by the Knesset Research and Information Center.","The economic cost of not closing the coal-fired power stations by the date set in June 2022 is estimated at approximately one billion shekels for the year 2022, as revealed in a report by the Knesset Research and Information Center.","The economic cost of not closing the coal-fired power plants by the June 2022 deadline is estimated at around 1 billion shekels for 2022, according to a report by the Knesset Research and Information Center.",0.639,0.639,0.4559,0.8658,0.838,0.7798,0.7725,0.775,0.7468,0.8701,0.8708,0.867
126,How much more expensive will the mortgage payment be?,The payment on the mortgage will increase by how much?,By how much will the mortgage payment increase?,How much will the mortgage payment increase?,0.0525,0.2956,0.3328,0.4088,0.6617,0.6692,0.7448,0.7033,0.7984,0.8893,0.8984,0.9389
132,"This rise, after the interest rate in the economy has been registered as close to zero for years.","This, after for years the interest rate in the economy was close to zero.",The interest rates in the economy had been close to zero for years.,"This, after the interest rate in the economy had been close to zero for years.",0.3614,0.305,0.6036,0.55,0.6804,0.73,0.6817,0.6725,0.7402,0.8697,0.8624,0.8916
137,By how much has the average mortgage become more expensive since the beginning of this year?,The average mortgage has increased by how much since the beginning of the year?,By how much has the average mortgage increased since the beginning of the year?,The average mortgage has increased by how much since the start of the year?,0.2253,0.5343,0.053,0.647,0.6841,0.647,0.7981,0.7993,0.7813,0.9163,0.931,0.9194
142,The index-linked variable interest rate (26.7% on this rate) will add up to a price increase of about 120 NIS.,The variable interest rate track linked to the index (26.7% in this track) will complete an increase of approximately 120 shekels.,The variable interest rate track linked to the index (26.7% in this track) will result in an increase of approximately 120 shekels.,The variable-rate mortgage index-linked track will increase by approximately 120 shekels.,0.0877,0.0842,0.0098,0.442,0.4398,0.1309,0.6356,0.6555,0.5047,0.7337,0.7667,0.7024
150,Regarding apartment purchasers from a contractor—Zror recommends to make early payments to the contractor in advance and to take out a mortgage now.,Regarding apartment buyers from a contractor - it is recommended to make advance payments to the contractor and take a mortgage now.,"For those buying apartments from a contractor, Tzror recommends making advance payments to the contractor and obtaining a mortgage at this time.",Contractors recommend making advance payments and taking out a Mortgage now when buying apartments.,0.2638,0.1473,0.021,0.6118,0.4385,0.3749,0.7241,0.7261,0.5927,0.8528,0.8642,0.7723
163,"Also, starting on August 10, another reduction of 0.5 NIS will be implemented, so that from this date the gasoline price per liter will be reduced by 1.0 NIS until November 15, 2022.","Also, starting from August 10, an additional reduction of half a shekel will be set, so that only from that date the price of a liter of gasoline will decrease by one shekel, and this until November 15, 2022.","Furthermore, starting from August 10, an additional reduction of half a shekel will be determined, so that the price of a liter of gasoline will decrease by one shekel per liter until November 15, 2022.","The price of gasoline will decrease by an additional half-shekel starting from August 10, so that the price per liter will drop by one shekel until November 15, 2022.",0.219,0.2295,0.2608,0.5463,0.5173,0.5263,0.7179,0.715,0.7234,0.8078,0.813,0.7996
172,"The price of fuel has a dramatic effect on the cost of living in the economy—because it affects both household expenses and business expenses, as well as public transportation and flights prices, transport costs, and more.","The price of fuel has a dramatic impact on the cost of living in the economy - as it affects both household expenses and business expenses, the prices of public transportation and flights, transportation costs, and more.","The price of fuel has a dramatic impact on the cost of living in the economy, as it affects both household expenses and business costs, as well as the prices of public transportation and air travel, transportation costs, and more.","The price of gasoline has a dramatic impact on household and business costs, as well as the prices of public transit, flights, and transportation logistics.",0.6175,0.5371,0.1401,0.7554,0.7814,0.4921,0.8635,0.8735,0.7634,0.8996,0.8916,0.8651
178,Ashdod is the friendliest city for small and medium businesses.,Ashdod is the most business-friendly city for small and medium-sized enterprises.,Ashdod is the most business-friendly city for small and medium-sized enterprises.,Ashdod is the city most friendly to small and medium-sized businesses.,0.317,0.317,0.1281,0.685,0.685,0.6284,0.8068,0.8068,0.8261,0.903,0.903,0.9251
181,"After these cities, ranked by order are: Ashkelon, Rishon Lezion, Tel Aviv-Yafo, Haifa, Ramat Gan, Holon, Beer Sheva, Jerusalem, Bat Yam, Netanya and Bnei Brak.","Ashkelon, Rishon LeZion, Tel Aviv-Jaffa, Haifa, Ramat Gan, Holon, Beersheba, Jerusalem, Bat Yam, Netanya, and Bnei Brak.","The cities are listed in order: Ashkelon, Rishon LeZion, Tel Aviv-Jaffa, Haifa, Ramat Gan, Holon, Beersheva, Jerusalem, Bat Yam, Netanya, and Bnei Brak.","The cities are listed in the following order: Ashkelon, Rishon LeZion, Tel Aviv-Jaffa, Haifa, Ramat Gan, Holon, Beersheba, Jerusalem, Bat Yam, Netanya, and Bnei Brak.",0.4398,0.4961,0.4957,0.5718,0.5579,0.5535,0.7231,0.7982,0.7973,0.7505,0.8518,0.8533
182,The agency compiles the index of local authorities.,The agency conducts the index of local authorities.,The agency conducted the index of local authorities.,The agency compiles the index of local authorities.,0.6606,0.6606,1.0,0.8648,0.8648,0.999,0.8304,0.8232,0.9769,0.8978,0.8699,0.9632
198,"The development of small businesses is the public interest for us all, but the local authority has a direct impact on the businesses located within local authority jurisdiction.","The development of small businesses is a public interest of all of us, but the local authority has a direct influence on the businesses located within it.","The development of small businesses is a shared public interest, but the local authority has a direct influence on the businesses within its jurisdiction.","The development of small businesses is a public interest that concerns us all, but the local government has a direct influence on the businesses within its jurisdiction.",0.5336,0.4648,0.4286,0.6842,0.6518,0.7231,0.7939,0.8202,0.8145,0.8834,0.8968,0.8952
199,"The Corona Virus emphasized the importance of local government and we saw that authorities that acted and encouraged promotion of small businesses and suggested creative solutions for them, became their primary governmental interface.""","The coronavirus has highlighted the importance of local government, and we have seen that authorities that have acted and encouraged the promotion of small businesses and found creative solutions for them have become the primary governmental interface for them.","""The coronavirus has highlighted the importance of local government, and we have seen that authorities that acted to encourage and promote small businesses, finding creative solutions for them, have become the primary governmental contact for them.""","""The coronavirus has highlighted the importance of local authorities, and we have seen that authorities that acted to promote small businesses and found creative solutions for them have become their primary government contact.""",0.3268,0.2706,0.2583,0.6564,0.4912,0.5556,0.7582,0.7529,0.7551,0.8445,0.8597,0.8584
200,"Ran Kivity, director of the Small and Medium Business Agency at the Ministry of Economy and Industry, adds: ""Local authorities play a central and essential part in the ability of businesses to thrive and succeed.","Ran Kfir, the director of the Small and Medium Business Agency at the Ministry of Economy and Industry, adds: ""Local authorities have a central and essential role in the ability of businesses within their jurisdiction to thrive and flourish.""","""Local authorities play a central and essential role in enabling businesses within their jurisdiction to thrive and flourish.""","Ran Koyti, the director of the Small and Medium Business Agency at the Ministry of Economy and Industry, notes: ""Local authorities play a central and essential role in enabling businesses within their jurisdiction to succeed and grow.""",0.6257,0.1694,0.5697,0.9031,0.388,0.7775,0.8076,0.6693,0.7952,0.8569,0.7113,0.8737
201,"In the previous two years, while coping with the Corona Virus crisis, the authorities have a greater influence in helping businesses to survive within their field and in general"".","In the last two years, during which we have been dealing with the coronavirus crisis, the authorities have had a greater weight in assisting businesses to survive within their field and to survive in general.","In the last two years, as we have grappled with the coronavirus crisis, the authorities have played a greater role in helping businesses to survive overall.","The authorities have played a greater role in helping businesses survive the coronavirus crisis, both within their respective domains and more broadly.",0.3323,0.2929,0.053,0.7537,0.5615,0.4515,0.7465,0.7501,0.6917,0.8302,0.8356,0.8107
217,"More packages arrived on December than any other month, probably following the November shopping holidays, such as Chinese Singles Day, Black Friday and Cyber Monday.","More packages arrived in December than in any other month, likely due to the November shopping holidays, such as Singles' Day in China, Black Friday, and Cyber Monday.","More packages arrived in December than in any other month, likely due to the November shopping holidays, such as the Chinese Singles' Day, Black Friday, and Cyber Monday.","Plus de colis sont arrivés en décembre que dans tout autre mois, probablement en raison des fêtes d'achat de novembre, comme le Jour des Célibataires en Chine, le Vendredi Noir et le Lundi Cyber.",0.3984,0.4394,0.0073,0.6983,0.7652,0.0193,0.8092,0.8305,0.284,0.912,0.9241,0.6455
220,"Many employees are entitled to receive funds from the state, that can reach tens of thousands of NIS •","For many employees, money from the state is due, which can amount to tens of thousands of shekels.","Many employees are entitled to receive substantial sums of money from the state, which can amount to tens of thousands of shekels.","Many employees are owed funds from the state, which can amount to tens of thousands of NIS.",0.1841,0.4011,0.4373,0.4354,0.6968,0.6718,0.6143,0.7064,0.7433,0.8027,0.86,0.8255
221,Have you changed place of work?,You changed your job?,Have you changed your workplace?,Did you change your place of work?,0.0428,0.1838,0.3656,0.3233,0.4991,0.7934,0.7412,0.8088,0.844,0.9375,0.9681,0.9614
223,Did you move from the city to a settlement?,You moved from the city to the settlement?,You moved from the city to the town?,Did you move from the city to the town?,0.3176,0.2824,0.6606,0.7131,0.632,0.7472,0.765,0.6633,0.7141,0.875,0.8143,0.8546
249,"100% of those who move to a qualifying settlement received a tax refund for the year of the move since confirmation of residency in a qualifying settlement is given only after 12 months from the day the resident became a qualified resident, therefor effectively the first year full tax is paid.","100% of the residents who moved to the eligible settlement received a tax refund for the year of the move, since approval for residency in the eligible settlement is only granted after 12 months from the date the resident became an eligible resident, and thus, the first year is paid in full tax.","100% of the residents who moved to a qualifying settlement received a tax refund for the year of their move, as approval for residency in a qualifying settlement is only granted after 12 months from the date the resident became a qualifying resident, and thus, the first year is actually paid in full tax.","The residents who moved to the qualifying community received a tax refund for the year of the move, as approval for residency in the qualifying community is only granted after 12 months, and thus the first year is actually paid in full tax.",0.3484,0.4417,0.2558,0.559,0.6598,0.3695,0.7705,0.794,0.6869,0.8556,0.8621,0.8265
253,The refund can amount as high as tens of thousands of NIS over 6 years.,The return rate can reach tens of thousands of shekels over 6 years.,The return rate can reach tens of thousands of shekels over a period of 6 years.,The potential financial benefit can amount to tens of thousands of shekels over a 6-year period.,0.3259,0.2264,0.1884,0.6541,0.4927,0.4967,0.673,0.6954,0.7255,0.8309,0.8393,0.8629
255,"CEO of Tax:On, Tal Carmon: ""The Corona Virus crisis has meant that the employed in Israel have become much more active.","""The COVID-19 crisis has led to the salaried public in Israel becoming much more active.""","""According to Tal Carmon, CEO of tax:on, the COVID-19 crisis has led the salaried public in Israel to become much more active.""","""The COVID-19 crisis has made the salaried public in Israel much more active, according to Tal Carmon, CEO of tax:on.""",0.1249,0.1945,0.0729,0.4034,0.5332,0.4891,0.4728,0.5867,0.5689,0.6819,0.775,0.7559
256,"They show interest, check and demand the refunds they deserve from the income tax.","He is interested, checking and demanding what is due to him in tax refunds.","He is interested, checking and assertively claiming what he is owed in tax refunds.","He is interested, checking and inquiring about the tax refunds he is entitled to.",0.0184,0.0184,0.0193,0.2103,0.1339,0.2254,0.6139,0.5619,0.6179,0.7595,0.713,0.6807
264,"According to the report, the job seekers were mainly interested in areas saturated with jobs such as administration and sales, for which 1,738,485 CVs were sent.","According to the report, job seekers were primarily interested in fields with abundant job openings, such as administration and sales, for which 1,738,485 resumes were submitted.","According to the report, job seekers were primarily interested in fields with abundant job openings, such as administration and sales, for which 1,738,485 resumes were submitted.","According to the report, job seekers were primarily interested in fields saturated with job openings, such as administrative work and sales, for which 1,738,485 resumes were submitted.",0.4584,0.4584,0.3574,0.7641,0.7641,0.8033,0.8266,0.8266,0.8196,0.9,0.9,0.9059
268,"The average monthly salary in the software field was 17,915 NIS, and in information systems analysis it was 17,140 NIS.","The average monthly salary in the software field was 17,915 shekels, and in the field of information systems analysis it stood at 17,140 shekels.","The average monthly salary in the software field was 17,915 shekels, and in the field of information systems it stood at 17,140 shekels.","The average monthly salary in the software field was ₪17,915, while in information systems analysis it was ₪17,140.",0.5054,0.4601,0.5959,0.7485,0.6601,0.7567,0.8228,0.7953,0.8616,0.8707,0.8514,0.8886
276,The largest offer was for jobs without experience—more than 58 thousand of them were on the site.,"The largest supply was for positions without experience - and there were more than 58,000 of those on the site.","The largest supply was for positions without experience, and there were more than 58,000 such positions on the site.","The largest supply was for entry-level jobs, with more than 58,000 such openings on the site.",0.17,0.1664,0.1921,0.5539,0.5186,0.4438,0.7754,0.7625,0.6881,0.858,0.8733,0.8534
286,"In other words, 193,000 unemployed in comparison to 180,300.","193,000 unemployed compared to 180.3 thousand.","In other words, there are 193,000 unemployed compared to 180.3 thousand.","193,000 unemployed compared to 180,300.",0.0469,0.2471,0.1104,0.2937,0.5556,0.436,0.7399,0.7937,0.8079,0.8256,0.8986,0.8859
289,"Of the labor force, 95.5%, which is 4,059,700, are employed and the rest are unemployed.","95.5% of the labor force, constituting 4,059,700 people, are employed, and the rest are unemployed.","Of the labor force, 95.5%, which amounts to 4,059,700 people, are employed, and the rest are unemployed.","95.5% of the כוח העבודה (labor force), totaling 4,059,700 people, are מועסקים (employed), with the remainder being בלתי מועסקים (unemployed).",0.4607,0.6169,0.0273,0.6577,0.7833,0.2036,0.8585,0.8894,0.7261,0.9283,0.926,0.8421
