index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
8,It was also noted that less than 20 cheetahs were recorded in the last period in seven different districts of the country.,It was also noted that fewer than 20 cheetahs have been documented in seven different districts in the country in recent times.,It was also noted that fewer than 20 cheetahs have been recorded recently across seven different provinces in the country.,It was also noted that fewer than 20 cheetahs have been recorded recently across seven different provinces in the country.,0.3494,0.2906,0.2906,0.6113,0.6169,0.6169,0.8018,0.7992,0.7992,0.878,0.8685,0.8685
21,"A few weeks ago, I got an preliminary opportunity to try out the new product here in Israel, which is currently only available to individual testers in the US.","A few weeks ago, I got an initial opportunity to try the new product, which is currently available only to a few testers in the U.S., here in Israel.","A few weeks ago, here in Israel, I received an initial opportunity to try the new product, which is currently available only to a few testers in the USA.","A few weeks ago, I received an initial opportunity to try the new product, which is currently available only to a few testers in the USA.",0.4384,0.3698,0.3442,0.7215,0.7368,0.6533,0.7876,0.8018,0.7611,0.882,0.912,0.8982
23,"After two weeks of trying it, I came to understand how Car Thing could easily become an integral part of many people’s systems.","After two weeks of experimenting, I realized how the Car Thing can easily become an integral part of many people's systems.","After two weeks of experimenting, I realized how the Car Thing could easily become an integral part of many people's systems.",After two weeks of playing around I realized how the Car Thing could easily become an integral part of many people's lives.,0.4098,0.5155,0.4845,0.6833,0.7361,0.6932,0.8247,0.8356,0.7725,0.8915,0.8899,0.8578
26,"Somewhere in 2018, Spotify users began to receive an interesting offer in their email inbox—an opportunity to purchase a new device with voice control and 4th generation connectivity, which will make any old car system smart.","Sometime in 2018, Spotify users began receiving an interesting offer in their email inbox - the option to purchase a new device with voice control and 4G connectivity, which would turn any old car system into a smart one.","Sometime in 2018, Spotify users began receiving an interesting offer in their email inboxes: the option to purchase a new device with voice control and 4G connectivity, which would turn any old car system into a smart one.","In 2018, Spotify users began receiving an interesting offer in their email inboxes: the option to purchase a new device with voice control and 4G connectivity that would turn any old car system into a smart one.",0.4951,0.4951,0.4663,0.7373,0.7394,0.6877,0.8043,0.7996,0.7865,0.9055,0.9041,0.8997
56,"The home screen is familiar to all users of the application, since like the smartphone application, it emphasizes the album images and playlists.","The home screen is familiar to all app users, as like the smartphone application, it emphasizes album images and playlists.","The home screen is familiar to all app users, as, like the smartphone application, it emphasizes album images and playlists.","The home screen is familiar to all app users as, like the smartphone application, it emphasizes album images and playlists.",0.591,0.5919,0.591,0.7324,0.7324,0.7696,0.8425,0.8453,0.8376,0.9044,0.9058,0.9038
60,"Using it, you can play songs, playlists, albums and even search for podcasts.","With it, you can play songs, playlists, albums, and even search for podcasts.","With it, you can play songs, playlists, albums, and even search for podcasts.","By using it, you can play songs, playlists, albums and even search for podcasts.",0.7778,0.7778,0.8782,0.8436,0.8436,0.9921,0.8899,0.8899,0.9175,0.941,0.941,0.9475
72,"This question gets crucial when considering that iPhone and Android devices are much more powerful than Spotify’s device, and in most cases will supply the user with much more functionality.","This question becomes more significant when considering that iPhone and Android devices are much more powerful than Spotify's, and most of the time will offer the user much more functionality.","This question becomes more significant when considering that iPhone and Android devices are much more powerful than Spotify's, and most of the time they will offer the user much more functionality.","This question becomes more significant when considering that iPhone and Android devices are much more powerful than Spotify's app, and will often offer the user much more functionality.",0.4908,0.4904,0.4855,0.7215,0.7191,0.6965,0.8375,0.8407,0.8403,0.9002,0.9003,0.9024
96,It’s not a secret—sharing and organization’s readiness |,It's no secret - the organization's sharing and readiness.,It's no secret - organizational sharing and readiness |,It's well-known: sharing and preparedness within the organization.,0.0241,0.0435,0.0227,0.0617,0.3155,0.0625,0.7173,0.7658,0.5944,0.8363,0.883,0.7779
105,Curiosity promotes |,Curiosity advances |,Curiosity drives progress.,Curiosity promotes progress.,0.1351,0.0803,0.1699,0.3333,0.1667,0.625,0.6861,0.5565,0.6739,0.7736,0.8565,0.8929
114,"The economic cost of not closing the coal-based power stations by the date set in June 2022 is estimated at about one billion NIS for the year 2022, according to a report by the Knesset’s Research and Information Center.","The economic cost of not closing the coal stations by the deadline set in June 2022 is estimated at about one billion shekels for the year 2022, as revealed by a report from the Knesset Research and Information Center.","The economic cost of not closing the coal stations by the deadline set in June 2022 is estimated to be around one billion shekels for the year 2022, according to a report by the Knesset's Research and Information Center.","The economic cost of not closing the coal stations by the June 2022 deadline is estimated to be around ₪1 billion for the year 2022, according to a report by the Knesset's Research and Information Center.",0.5566,0.6141,0.5261,0.8141,0.8436,0.7678,0.7404,0.751,0.7339,0.8636,0.8718,0.8641
