index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
1,Subsidized Tours - Club Tourism for Domestic Tourism Campaign!,Club Tourism for subsidized tours and prefectural resident discount travel!,Club Tourism for subsidized tours and travel discounts for prefectural resident discount programs!,Club Tourism: Subsidized tours and travel deals for prefectural residents!,0.1003,0.076,0.0453,0.4088,0.3957,0.3468,0.5,0.512,0.5381,0.7386,0.7235,0.8109
2,We provide tours that take advantage of subsidies in each prefecture.,Introducing tours that utilize subsidies from each prefecture.,Discover tours benefiting from subsidies available in each prefecture.,Introducing tours that leverage subsidies available in each prefecture.,0.1119,0.238,0.2658,0.4168,0.413,0.5208,0.7914,0.7973,0.8151,0.8977,0.9143,0.9024
6,【Comparison Table】Pharmacist Job Search Websites - Recommendations With Comparison Table,Pharmacist Job Change Sites Comparison Table - Recommended Introduction with a List Comparison Table,Pharmacist Job Search Sites Comparison Table - Recommended Introduction,Pharmacist Job Search Sites Comparison Table: Our Recommendations,0.0359,0.0679,0.0679,0.4915,0.5682,0.3221,0.6245,0.6346,0.7077,0.7557,0.777,0.8617
7,《Latest 2022 Version》Pharmacist Job Search Website Rankings.,(2022 Latest Edition) Pharmacist Job Change/転職 Site Ranking.,(2022 Latest Edition) Pharmacist Job-Change Site Ranking.,(2022 Latest Edition) Pharmacist Job Search Site Ranking.,0.0248,0.0251,0.0474,0.0704,0.0,0.2641,0.5888,0.5988,0.7185,0.8675,0.8652,0.9085
14,We also provide support for first-time freelancers who are worried about attracting customers or filing a tax return.,"We offer support for attracting clients and filing taxes, which can be anxieties for first-time freelancers.","We offer support for client acquisition and tax filing, addressing common concerns for first-time freelancers.","We also offer support for attracting clients and filing tax returns, addressing common concerns for first-time freelancers.",0.0715,0.0716,0.081,0.2395,0.2102,0.3527,0.7368,0.7532,0.776,0.8506,0.8608,0.8963
16,LUMIX Hair Removal Salon Referral Site - TOP 5 Ranking by Reservations,Lumix hair removal salon introduction site - Top 5 in booking ranking,Website for lumix hair removal salons - Top 5 in booking ranking,Lumix Hair Removal Salon Introduction Site - Top 5 Booking Rankings,0.0203,0.0203,0.1121,0.7361,0.6491,0.7423,0.6144,0.5675,0.6581,0.8157,0.816,0.8639
18,"Reservation sites for salons that use the fast, short, painless, heatless SHR method LUMIX hair removal","LUMIX hair removal salon reservation site using the fast, short-term, painless, and not-hot SHR method.","Lumix hair removal salon reservation site using the fast, painless, and gentle SHR method.","LUMIX hair removal salon reservation site using the fast, short-term, painless, and cool SHR method.",0.1255,0.1042,0.1255,0.6357,0.6397,0.6357,0.6442,0.6448,0.6666,0.7918,0.782,0.8233
19,Teeth Straightening From ￥1760/month - 【Official】We Smile Straightening,"Orthodontics from ¥1,760 per month - [Official] Wismile Orthodontics","Affordable teeth straightening: From JPY 1,760 per month - [Official] Wismile Orthodontics","Orthodontic treatment from ¥1,760 per month - [Official] WisSmile Orthodontics",0.0189,0.0157,0.017,0.1235,0.1786,0.122,0.4796,0.5196,0.4401,0.7614,0.8314,0.8135
20,【Starting at ￥1760】We Smile teeth-straightening for an affordable start,Starting from ¥1760 - Wismile Orthodontics if you're looking to start at a low price.,Start Wismile orthodontics from just JPY 1760 for a low-cost option.,Starting from JPY 1760 - Wismile Orthodontics if you're looking to start at a low price.,0.0137,0.017,0.0128,0.1042,0.1087,0.1031,0.5143,0.5159,0.516,0.7804,0.7653,0.7512
23,Now offering ￥1650 trial course.,Trial course available for 1650 yen.,We're offering a trial course for 1650 yen.,Trial course available for ¥1650.,0.0393,0.0531,0.0485,0.098,0.1887,0.1,0.8164,0.7931,0.8374,0.8762,0.9189,0.9263
25,"24 hour online reservations available, low-priced aligner teeth-straightening, ￥0 adjustments.",24-hour online booking available. Affordable aligner treatment. No adjustment fees.,24-hour online booking available; affordable clear aligners; no adjustment fees.,"24-hour online booking, affordable aligner treatment, and no adjustment fees.",0.022,0.0204,0.0232,0.1,0.1,0.1,0.6279,0.6222,0.6176,0.7624,0.6282,0.758
29,For Real Estate Matters Use the Association - Kitami Real Estate Association,"For real estate matters, it's Rengoutai - Kitami Real Estate Rengoutai.","For all your real estate needs, turn to Rengoutai – Kitami Real Estate Rengoutai.","If it's real estate, it's the Rengoutai - Kitami Real Estate Rengoutai.",0.188,0.0654,0.1619,0.5814,0.4611,0.4688,0.4844,0.5329,0.5034,0.595,0.6726,0.5439
31,"Rental apartments, apartment complexes, detached houses.","Rental apartments, condominiums, and detached houses.","Rental apartments, condos, and detached houses.","Rental apartments, condos, and detached houses.",0.2074,0.2074,0.2074,0.625,0.625,0.625,0.7933,0.7953,0.7953,0.9158,0.9095,0.9095
33,"Local-oriented, up to 30 pictures, also currently offering free property appraisals.",Locally focused - Up to 30 photos - Free property valuation available.,Local experts - See up to 30 photos - Free property valuation available.,"Locally focused, up to 30 photos, and free property valuation available.",0.0362,0.0803,0.2272,0.436,0.4321,0.44,0.7803,0.685,0.7866,0.8437,0.7635,0.8486
36,Unlimited express delivery.,Unlimited access to express delivery.,Unlimited use of express delivery.,Unlimited free express delivery.,0.2171,0.2171,0.2857,0.7986,0.7986,0.8244,0.7951,0.7205,0.7638,0.9334,0.9281,0.9635
40,"Earn points, smartphone app available, hundreds of millions of products.","Earn points, has a smartphone app, and offers hundreds of millions of products.","Earn points, use our smartphone app, and choose from millions of products.","Earn points, use our smartphone app, and choose from hundreds of millions of products.",0.4261,0.2723,0.3985,0.7562,0.5515,0.7489,0.7586,0.7742,0.7869,0.902,0.8965,0.909
45,Now is the time to read that popular manga in one go.,Now is the perfect time to binge-read that popular manga.,Now's a great time to read that popular manga all at once.,Now is the perfect time to binge-read that popular manga.,0.1531,0.376,0.1531,0.5699,0.4988,0.5699,0.7295,0.8087,0.7295,0.8494,0.8844,0.8494
46,"Free trial available for all titles, better value than buying.",Try before you buy with full previews - more value than buying!,Read full previews before you buy—a better value than purchasing!,Try full previews of all works - more value than buying!,0.0769,0.0852,0.0906,0.1838,0.2944,0.253,0.6467,0.653,0.6452,0.7884,0.7202,0.8528
50,Also full of informative reviews.,It's packed with word-of-mouth information.,It's full of word-of-mouth reviews.,It also includes plenty of user reviews.,0.033,0.0988,0.065,0.0,0.5111,0.2885,0.6268,0.6764,0.7379,0.6072,0.7011,0.877
51,Limited time sale and exclusive plans also available.,"Also, time-limited sales and exclusive plans.",Includes time-limited sales and exclusive plans.,Time-limited sales and exclusive plans are also available.,0.1304,0.132,0.1996,0.3775,0.3775,0.7361,0.7357,0.7638,0.8222,0.8854,0.8662,0.9354
52,"Reserve easily from home, wide range of business hotels, wide variety of plans, earn points by registering to become a member.","Easy booking from home, extensive selection of business hotels, wide variety of plans, earn points with membership registration.","Easy booking from home, a wide selection of business hotels, a wide range of plans, and earn points by registering for membership.","Easy booking from home, a wide selection of business hotels, a variety of plans, and earn points with membership registration.",0.4669,0.3071,0.2629,0.5298,0.657,0.5383,0.7924,0.7853,0.7806,0.9023,0.9072,0.8955
54,You can buy feed-through terminal blocks at these prices through the Monotaro site.,Terminal blocks (feed-through) available for purchase at this price on MonotaRO online store.,Feed-through terminal blocks available at this price on MonotaRO online store.,Terminal blocks (feed-through) available at this price on MonotaRO online store.,0.0174,0.0363,0.0202,0.2862,0.3993,0.2906,0.692,0.7208,0.6466,0.8219,0.8306,0.8173
56,Online shopping for feed-through terminal blocks.,"Terminal block, feed-through type, online shopping.",Online shopping for feed-through terminal blocks.,"Terminal block, feed-through, available online.",0.0316,1.0,0.033,0.25,0.9977,0.0847,0.5213,0.9706,0.5598,0.7245,0.9576,0.7412
59,Budget Hotels at Kii-Gobo Station 【Jalan】Official Site,Budget Hotels near Kii-Gobo Station - [Jalan] Official Website,Cheap hotels near Kii-Gobo Station - [Jalan] Official Website,Budget Hotels near Kii-Gobo Station - Jalan Official Website,0.0564,0.0399,0.0717,0.5208,0.3549,0.5208,0.7535,0.6836,0.7312,0.9135,0.8931,0.8571
62,Jalan for hotel or ryokan reservations near【Kii-Gobo Station】,"If you're booking a hotel or ryokan near Kii-Gobo Station, use Jalan.","For hotels and ryokan near Kii-Gobo Station, book with Jalan.net.","If you're looking to book a hotel or ryokan near Kii-Gobo Station, use Jalan.",0.0703,0.017,0.0612,0.3505,0.3117,0.3424,0.6586,0.6245,0.6685,0.7683,0.8351,0.7602
63,Wide range of Jalan-exclusive and discount plans also available.,Jalan exclusive - Plenty of affordable plans available!,Jalan exclusive - Many affordable plans are available.,Jalan-exclusive deals and budget-friendly plans are also available.,0.0282,0.0502,0.1263,0.1124,0.1124,0.418,0.7426,0.7286,0.7781,0.7707,0.7721,0.8756
