index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
6,"Competitions are individual while testing is by team, participants are athletes from teams of subjects of the Russian Federation, and men and women are placed together in age groups.","The competition is individual with a team classification, and features athletes from teams of the constituent entities of the Russian Federation, in one age group – men, women.","The competition is individual with team scoring, featuring male and female athletes from teams representing regions of the Russian Federation, all within the same age group.","The competition is individual with a team classification, with athletes from teams of Russian regions competing in one age group: men and women.",0.2267,0.17,0.1256,0.4392,0.3299,0.3536,0.6821,0.719,0.7068,0.7795,0.7717,0.7687
9,"There is no retesting of results for athletes who did not participate in the given competitions, and points for team testing are not counted.","Rescoring of results for athletes who did not participate in the competition is not carried out, and points are not awarded to the team standings.","Rescoring is not performed for athletes who did not participate in the competition, and points are not awarded for team standings.","Results will not be rescored for athletes who did not participate in the competition, and points are not awarded to the team standings.",0.424,0.3677,0.3484,0.5829,0.6212,0.5492,0.706,0.691,0.7356,0.8026,0.795,0.7933
14,"In the relay race, athletes may only participate for the team of a single territory.","In relay races, athletes can only compete for a team representing one territory.","In relay races, athletes may only compete for a team representing a single territory.","In relay races, athletes can only compete for a team from one region.",0.0435,0.3183,0.0356,0.2703,0.5987,0.2365,0.7998,0.8194,0.7731,0.8779,0.8883,0.8628
23,"Official training is conducted in the competition arena on February 14 from 16:00 to 19:00. On competition days, it is conducted outside of competition times.",Official training on the competition arena on February 14th from 4:00 PM to 7:00 PM. On competition days — outside of competition times.,"Official training on the competition arena will be held on February 14th from 4:00 PM to 7:00 PM. On competition days, training will be held outside of competition times.","Official training on the competition arena will be held on February 14th from 4:00 PM to 7:00 PM; on competition days, training is permitted outside of competition times.",0.3643,0.2933,0.2263,0.5855,0.5906,0.6221,0.6993,0.7925,0.7779,0.7649,0.8387,0.8228
26,SaI Koot will be located around the second bend near the section for shot-put.,"Sai Coote will be located after the second turn, next to the shot put sector.","Sai Coote will be located after the second turn, next to the shot put area.","Sai Coote will be located past the second turn, adjacent to the shot put area.",0.0779,0.0779,0.0779,0.4501,0.4501,0.4501,0.6292,0.6477,0.6599,0.7545,0.7577,0.7659
29,Participants are forbidden from exiting the competition area without the permission of a referee.,Participants are prohibited from leaving the competition venue without the referee's permission.,Participants are prohibited from leaving the competition venue without the referee’s permission.,Participants may not leave the competition venue without the judge's permission.,0.0553,0.055,0.0458,0.4599,0.4599,0.3255,0.8632,0.8649,0.8038,0.8846,0.8853,0.8465
35,The competitions for 60m run and 60m hurdles take place in 3 rounds. Qualification for the subsequent round is determined after ballots are submitted.,"In the 60m sprint and 60m hurdles, competitions are held in 3 rounds, and advancement to the next round will be determined after the entry deadline.","In the 60m sprint and 60m hurdles, competitions are held in 3 rounds; advancement to the next round will be determined after entries close.","In the 60m sprint and the 60m hurdles, competitions are held in 3 rounds, with advancement to the next round determined after the entry deadline.",0.0704,0.0759,0.0581,0.3745,0.4184,0.376,0.7313,0.7365,0.7227,0.8274,0.8385,0.8194
39,"For jumps and javelin throws, qualifying competitions are held (if there are over 16 announced athletes), as are final competitions, which athletes must pass qualification to compete in.","In jumping and throwing events, there are qualifying rounds (if there are more than 16 athletes entered) and final competitions, for participation in which it is necessary to qualify.","In jumping and throwing events, qualifying rounds are held (if more than 16 athletes are entered), followed by the final competitions, for which qualification is required.","In jumping and throwing events, there are qualifying rounds (if more than 16 athletes are entered) and final competitions, requiring athletes to meet qualification standards.",0.1248,0.1359,0.0503,0.3413,0.3815,0.3272,0.7106,0.732,0.7327,0.7843,0.8034,0.8001
57,The technical announcement of the chief panel of judges with the official team representatives will take place on February 14 at 18:00 in the conference hall of the Light-Athletic Football Complex CSKA.,The GSC technical meeting with official team representatives will be held on February 14th at 18:00 in the conference hall of the CSKA LFK arena.,The GSC technical meeting with official team representatives will be held on February 14th at 18:00 in the conference hall of the CSKA LFK arena.,the GSC technical meeting with official team representatives will be held on February 14th at 6:00 PM in the conference hall of the CSKA LFK sports complex.,0.3124,0.3124,0.2495,0.5582,0.5582,0.5116,0.6599,0.6599,0.5965,0.7488,0.7488,0.7498
59,"Traditionally, the July issue is submitted while the Moscow Film Festival is underway, which is, of course, quite tragic — having to proofread columns when your heart is yearning for Chabrol.","The July issue is traditionally submitted during the Moscow Film Festival, and it's, of course, very sad: to proofread pages when your soul is yearning for Chabrol.","The July issue is traditionally finalized during the Moscow Film Festival, which is, of course, very sad: having to proofread pages when your soul is yearning for Chabrol.","The July issue traditionally goes to press during the Moscow Film Festival, and it’s, of course, especially disheartening to proofread pages when you'd rather be engrossed in a Chabrol film.",0.289,0.4003,0.1594,0.5624,0.6375,0.3393,0.6767,0.7282,0.6434,0.7455,0.7768,0.7007
