index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
0,"The rules in GB/T 1.1-202 are the establishment for this record, rules for Long-Term Standardization Work Segment II: Guidelines Record Structure and Composing Rules.",This document is drafted in accordance with the rules given in Part 1 of the Standardization Guideline GB/T 1.1-202X: Structure and drafting of standardized documents.,This document was drafted in accordance with GB/T 1.1-2020 Directives for standardization — Part 1: Structure and drafting rules for standardization documents.,This document was drafted in accordance with the rules given in GB/T 1.1-2020 Directives for standardization — Part 1: Structure and drafting rules for standardization documents.,0.0215,0.0256,0.0286,0.285,0.2892,0.3913,0.4882,0.5088,0.5058,0.7685,0.7575,0.7676
4,"Within the four-byte coding range, 18 GB/T 13000 code places have changed (see Reference section D, Reference section D of the 2005 version);","18 GB/T 13000 code positions have been changed in the four-byte encoding area (see Appendix D, Appendix D of the 2005 edition).",18 GB/T 13000 code positions were changed in the four-byte encoding area (see Appendix D of the 2005 edition).,"18 GB/T 13000 code positions were changed in the four-byte encoding area (see Appendix D, Appendix D of the 2005 edition).",0.2238,0.2035,0.2201,0.5731,0.5118,0.5421,0.7175,0.6722,0.7092,0.8161,0.841,0.8186
8,Please be aware that this text may include references to patents in some places. This document's issuing agency disclaims any liability related to patent identification.,Please note that some content of this document may involve patents. The issuing body of this document is not responsible for identifying patents.,Please note that some content of this document may be the subject of patent rights. The publisher of this document assumes no responsibility for identifying any such patent rights.,Please note that some content of this document may be the subject of patent rights. The publishing organization of this document assumes no responsibility for identifying any or all such patent rights.,0.0119,0.011,0.01,0.1613,0.1969,0.1946,0.7533,0.7129,0.7194,0.8139,0.8305,0.8244
10,The following describes the release status of earlier iterations of this document and the ones it replaces:,The document and its superseded versions were released as follows:,The release history of this document and those it supersedes is as follows:,The release history of previous versions of this document and the documents it supersedes is as follows:,0.0251,0.1589,0.2391,0.2616,0.4231,0.5515,0.5932,0.7085,0.7477,0.7796,0.8074,0.8428
13,Chinese CCC is an info expansion method,"Information Expansion Technique ""Chinese Coded Character Set""",Information Technology - Chinese Encoding Character Set,Information Technology Chinese Encoding Character Set,0.024,0.033,0.0346,0.0714,0.0714,0.0725,0.5871,0.418,0.4433,0.559,0.496,0.48
16,"This document covers technical products that process and exchange information in Chinese and other characters, including OCR, editing, translation, speech synthesis, and computer and communication equipment.","This document applies to technical products with Chinese and other text and graphic character information processing and exchange capabilities, including but not limited to software products represented by input methods, Optical Character Recognition (OCR), editing and proofreading, machine translation, speech synthesis, text transcription, and intelligent writing, as well as hardware products represented by computers, communication terminal equipment, e-book readers, and learning machines.","This document applies to technical products equipped with capabilities for information processing and exchange of Chinese and other text characters and graphics, including but not limited to software products such as input methods, optical character recognition (OCR), editing and proofreading, machine translation, speech synthesis, text transcription, and intelligent writing, as well as hardware products such as computers, communication terminal equipment, e-book readers, and learning machines.","This document applies to technical products equipped with capabilities for information processing and exchange of Chinese and other text and graphic characters, including but not limited to software products such as input methods, optical character recognition (OCR), editing and proofreading, machine translation, speech synthesis, text transcription, and intelligent writing, as well as hardware products such as computers, communication terminal equipment, e-book readers, and learning machines.",0.0949,0.0921,0.0993,0.4936,0.4278,0.4791,0.6348,0.6358,0.6425,0.7759,0.7933,0.7947
20,"Chinese character coded character set for information exchange, basic set, GB/T 2312-1980","GB/T 2312-1980 ""Information exchange Chinese character coded character set"" Basic Set","GB/T 2312-1980 ""Coded Chinese Character Set for Information Interchange"" Basic Set","GB/T 2312-1980 ""Coded Chinese Character Set for Information Interchange"" Basic Set",0.3184,0.0362,0.0362,0.6303,0.5305,0.5305,0.6772,0.6984,0.6984,0.8909,0.8642,0.8642
21,"Eight-bit code structure and coding guidelines for information sharing according to GB/I 11383-1989, ""Information processing""",GB/T 11383-1989 Information Processing – Structure and rules for encoding of eight-bit coded character sets for information interchange,GB/I 11383-1989 Information processing — 8-bit code structure and coding rules for information interchange,GB/I 11383—1989 Information processing — 8-bit code structure and coding rules for information interchange,0.0287,0.1998,0.1859,0.3341,0.4513,0.4513,0.6354,0.7198,0.711,0.8384,0.8883,0.8876
25,3.1 Character character,character,3.1 character,3.1 字符 character,0.0241,0.1079,0.1351,0.1786,0.3448,0.3333,0.3234,0.7416,0.6179,0.8253,0.9229,0.7751
30,a region that the user of a product that complies with this document may specify.,Areas definable by the user of products conforming to this document.,Users of products conforming to this document can specify their own areas.,Areas that users of products conforming to this document can specify themselves.,0.0795,0.0328,0.0343,0.3501,0.3034,0.3894,0.6632,0.6298,0.6471,0.731,0.7701,0.7827
34,Area set aside for this document's future provisions.,Reserved for the future area stipulated in this document.,Reserved for the area specified in this document for future use.,Area reserved for future use as specified in this document.,0.0561,0.0453,0.0525,0.2469,0.241,0.2439,0.6219,0.6353,0.7507,0.7469,0.7361,0.8014
36,4 Vocabulary,Vocabulary,Vocabulary 4,Vocabulary 4,0.0654,0.1778,0.1778,0.2632,0.5,0.5,0.7962,0.9158,0.9158,0.8879,0.9232,0.9232
40,4.3 Double-byte part,Double-byte section,4.3 Double-byte section,4.3 Double-byte section,0.0907,0.2403,0.2403,0.6466,0.9815,0.9815,0.8243,0.8953,0.8953,0.9007,0.9491,0.9491
41,"All of the graphic characters in GB/T 2312-1980, CJK unified Chinese characters, and portions of the graphic characters in GB/T 13000 are included in the double-byte component.","The double-byte portion includes all graphic characters from GB/T 2312-1980, CJK Unified Ideographs from GB/T 13000, and some graphic characters.","The double-byte section includes all graphic characters from GB/T 2312-1980, as well as the CJK unified ideographs and some graphic characters from GB/T 13000.","The double-byte section includes all graphic characters from GB/T 2312-1980, as well as the CJK unified ideographs and some graphic characters from GB/T 13000.",0.1285,0.0607,0.0607,0.4353,0.451,0.451,0.6303,0.6907,0.6907,0.745,0.7929,0.7929
43,"Among these, the Appendix B requirements must be followed for the graphics, code places, and functions of ideographic descriptors.","Among them, the graphics, code positions, and functions of ideographic description characters shall comply with the provisions of Annex B.","The graphics, code positions, and functions of the ideographic character descriptors shall conform to the provisions of Appendix B.","Wherein, the graphics, code positions, and functions of the ideographic character descriptors shall conform to the provisions of Appendix B.",0.2849,0.186,0.2477,0.3604,0.3622,0.3604,0.7367,0.7095,0.7159,0.8378,0.8493,0.8405
45,"Chinese characters with distinctive abstract glyphs are given their own code positions, while characters with the same abstract glyph but from various sources are given a similar code position.",Characters with unique abstract glyph shapes are assigned individual code points; characters from different sources but with the same abstract glyph shape are assigned shared code points.,"Chinese characters with unique abstract glyphs are assigned separate code points, while those from different sources but with identical abstract glyphs share code points.",Chinese characters with unique abstract glyphs are assigned separate code points; Chinese characters from different sources but with identical abstract glyphs are assigned shared code points.,0.1504,0.0674,0.0642,0.5103,0.2632,0.3278,0.6756,0.7608,0.7434,0.827,0.8598,0.8487
47,4.4 Four-byte part,4.  4-byte portion,4.4 Four-byte section,4.4 Four-byte section,0.0,0.2403,0.2403,0.1667,0.9815,0.9815,0.8469,0.8749,0.8749,0.8252,0.9583,0.9583
48,"The text lists various Chinese characters in different standards, including GB/T 13000, .CJK unified character extensions A and C/D, and expansions.","The four-byte section includes 66 CJK Unified Ideographs from GB/T 13000 outside the aforementioned double-byte characters (9FA6 to 9FEF, excluding the 8 characters from 9FB4 to 9FBB), CJK Unified Ideographs Extension A, CJK Unified Ideographs Extension B, CJK Unified Ideographs Extension C, CJK Unified Ideographs Extension D, CJK Unified Ideographs Extension E, CJK Unified Ideographs Extension F, and characters of ethnic minority scripts already encoded in GB/T 13000.","The four-byte section includes, in addition to the aforementioned double-byte characters, 66 CJK Unified Ideographs from GB/T 13000 (9FA6–9FEF, excluding the 8 characters from 9FB4–9FBB), CJK Unified Ideographs Extension A, CJK Unified Ideographs Extension B, CJK Unified Ideographs Extension C, CJK Unified Ideographs Extension D, CJK Unified Ideographs Extension E, CJK Unified Ideographs Extension F, and characters for minority scripts already encoded in GB/T 13000.","The four-byte section includes, in addition to the aforementioned double-byte characters, 66 CJK Unified Ideographs from GB/T 13000 (9FA6–9FEF, excluding the 8 characters from 9FB4–9FBB), CJK Unified Ideographs Extension A, CJK Unified Ideographs Extension B, CJK Unified Ideographs Extension C, CJK Unified Ideographs Extension D, CJK Unified Ideographs Extension E, CJK Unified Ideographs Extension F, and characters for minority scripts already encoded in GB/T 13000.",0.0088,0.009,0.009,0.1751,0.1575,0.1575,0.4174,0.423,0.423,0.6072,0.6072,0.6072
52,"The appendix's codes are all expressed in hexadecimal, while decimal is used for all other values.","All encoded representations in the appendix are in hexadecimal, while all other numbers are in decimal.","In the appendix, all encoded representations are in hexadecimal, and all other numbers are represented in decimal.","In the appendix, all encoded representations are in hexadecimal, and all other numbers are represented in decimal.",0.1719,0.0713,0.0713,0.3945,0.2979,0.2979,0.7583,0.7554,0.7554,0.836,0.8412,0.8412
58,6 character character sort order,Permutation of 6 characters,Arrangement of 6 characters,Order of 6 characters,0.0626,0.0626,0.0626,0.2041,0.2041,0.3061,0.4116,0.5111,0.5785,0.5906,0.6494,0.7112
59,6.1 Character placement in single-character brushes: certain characters' order,6.1 Order of character arrangement when brushing single characters.,6.1 Arrangement order of some characters in single-character rendering.,6.1 Arrangement order of some characters in single-character display.,0.0227,0.0508,0.0508,0.1667,0.4133,0.4133,0.6758,0.5977,0.5655,0.6795,0.8032,0.7794
60,Certain characters in single-character remarks are organized in the same sequence as their GB/I 11383-1989 counterparts.,Single-character memory sections are arranged according to the order of corresponding characters in GB/I 11383-1989.,Characters in the single-character section are arranged according to the order of the corresponding characters in GB/I 11383-1989.,Characters in the single-character section are arranged according to the order of the corresponding characters in GB/I 11383-1989.,0.0397,0.0413,0.0413,0.1887,0.216,0.216,0.6556,0.6764,0.6764,0.7849,0.8029,0.8029
67,7 Code point allocation,7-bit code assignment,7 Code point allocation,7 Code point allocation,0.0,1.0,1.0,0.1282,0.9922,0.9922,0.3203,1.0111,1.0111,0.7089,0.9876,0.9876
71,Code distribution for double word section.,Double-character portion code point allocation,2. Code position assignment for two-character sequences.,2. Code position assignment for the two-character part.,0.0,0.0316,0.0278,0.0847,0.1639,0.1613,0.4791,0.4288,0.4591,0.6997,0.6727,0.7059
72,The double-byte part's code bit layout is split into two sections with a combined 23940 code bits each: 0x8140-0xFE7E and 0x8180-0xFEFE.,"The code point arrangement for the double-byte section is divided into two parts: 0x8140 to 0xFE7E and 0x8180 to 0xFEFE, totaling 23940 code points.","The code points of the double-byte section are divided into two parts: 0x8140-0xFE7E and 0x8180-0xFEFE, for a total of 23,940 code points.","The code points for the double-byte section are divided into two parts: 0x8140-0xFE7E and 0x8180-0xFEFE, for a total of 23,940 code points.",0.0269,0.1333,0.1333,0.389,0.3927,0.3927,0.7521,0.7627,0.767,0.8713,0.8737,0.8739
75,Dual-byte region 1: 846 code syllables,Double-byte Area 1: 846 code points,Double-byte Area 1: Code point 846,Double-byte Section 1: Code point 846,0.4111,0.0773,0.0773,0.6615,0.526,0.25,0.4967,0.5577,0.5429,0.7869,0.7304,0.6932
77,The first byte 0xA8~0xA9 double-byte area 5: 192 yards,"First byte 0xA8~0xA9, double-byte 5th area: 192 code points.","First byte 0xA8-0xA9, double-byte zone 5: 192 code points.","First byte 0xA8-0xA9, double-byte Zone 5: 192 code points.",0.0564,0.0958,0.0958,0.3507,0.4956,0.4956,0.6198,0.6226,0.5751,0.828,0.8327,0.8288
78,3. Double-word vegetable diagram of partial encoding space,Double-Character Vegetable Part Encoding Space Structure Diagram,3. Structure diagram of the encoding space for the two-character Shu part.,3. Structure diagram of the encoding space for the two-character vegetable part.,0.0,0.0523,0.0544,0.3995,0.531,0.6085,0.5055,0.4834,0.4995,0.6431,0.6031,0.7436
84,See 6.3 for the task of four-byte human code focuses not indicated in Table 3.,Four-byte character assignments not specified in Table 3 are defined in 6.3.,The allocation of four-byte code points not specified in Table 3 is given in 6.3.,The allocation of four-byte code points not specified in Table 3 is given in 6.3.,0.0726,0.0887,0.0887,0.1361,0.3197,0.3197,0.5334,0.5076,0.5076,0.7894,0.8109,0.8109
85,Table 3 Course of action of code focuses within the four-character news portion,Table 3. Code point arrangement for the Four-Corner Method section.,Table 3: Code point arrangement for the four-character block.,Table 3: Code point arrangement for the four-character section.,0.0367,0.047,0.047,0.1181,0.2505,0.2505,0.4223,0.4781,0.5069,0.6691,0.7003,0.717
88,Code digit count and range,Code point range code point number number of characters,"Code point range, number of code points, and number of characters","Code point range, number of code points, number of characters",0.0285,0.0204,0.0203,0.2778,0.2679,0.1818,0.4223,0.4934,0.4811,0.7492,0.7603,0.7612
91,Chars & Codes Explained,Explanations of 8 parts of characters and codes.,8 Explanation of certain characters and code,8 Explanation of some characters and code,0.0,0.0,0.0,0.0,0.1163,0.1163,0.55,0.5967,0.6123,0.7232,0.7935,0.8002
97,"Realize the single-byte coded parcel, double-season coded portion, and four-character subcoded parts of this record utilizing the CJK bound together Chinese characters (that is, 0x82358F33-0x82359636) and CJK bound together Chinese characters expanded A (that is, 0x8139EE39-0x82358738).","Implement Level 1 support for the single-byte encoded section, double-byte encoded section, and four-byte encoded section of CJK Unified Ideographs (i.e., 0x82358F33 - 0x82359636) and CJK Unified Ideographs Extension A (i.e., 0x8139EE39 - 0x82358738) as described in this document.","Implement Level 1 support for the CJK Unified Ideographs (i.e., 0x82358F33 - 0x82359636) and CJK Unified Ideographs Extension A (i.e., 0x8139EE39 - 0x82358738) within the single-byte, double-byte, and four-byte encoding schemes described in this document.","Implement Level 1 support for the CJK Unified Ideographs (i.e., 0x82358F33 - 0x82359636) and CJK Unified Ideographs Extension A (i.e., 0x8139EE39 - 0x82358738) within the single-byte, double-byte, and four-byte encoding parts of this document.",0.0373,0.0417,0.0547,0.205,0.1114,0.2078,0.5431,0.4796,0.5272,0.7418,0.7391,0.732
102,"The coded Chinese characters within the ""Common Detail Chinese Character Table,"" which are truant from the genuine level 1 execution, are moreover upheld.","In addition, Level 2 implementation should also support encoded Chinese characters in the ""Table of General Standard Chinese Characters"" that are not included in Level 1.","In addition, Implementation Level 2 also supports the encoded Chinese characters in the ""Table of General Standard Chinese Characters"" that are not included in Implementation Level 1.","In addition, Implementation Level 2 also supports the encoded Chinese characters in the ""Table of General Standard Chinese Characters"" that are not included in Implementation Level 1.",0.024,0.0237,0.0237,0.183,0.205,0.205,0.5023,0.5249,0.5249,0.7054,0.6998,0.6998
