index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
0,"The rules in GB/T 1.1-202 are the establishment for this record, rules for Long-Term Standardization Work Segment II: Guidelines Record Structure and Composing Rules.",This document is prepared in accordance with the provisions of Part 1: Structure and drafting rules of standardization documents in the Standardization Guide GB/T 1.1-2020.,This document follows the provisions of Part 1: Structure and drafting rules of standardization documents in the Standardization Guide GB/T 1.1-2020.,This document is prepared in accordance with the provisions of Part 1: Structure and Drafting Rules of Standardization Documents in the GB/T 1.1-2020 standard.,0.0215,0.0214,0.0215,0.2423,0.2464,0.2433,0.4855,0.475,0.5,0.7668,0.7661,0.7595
4,"Within the four-byte coding range, 18 GB/T 13000 code places have changed (see Reference section D, Reference section D of the 2005 version);","Changed 18 GB/T 13000 code positions in the four-byte encoding area (see Appendix D, 2005 edition of Appendix D).","The 18 GB/T 13000 code positions were changed in the four-byte encoding area (see Appendix D, 2005 edition).",The GB/T 13000 code positions were updated in the four-byte encoding area (see the 2005 edition of Appendix D).,0.1349,0.1314,0.0582,0.3931,0.3949,0.3641,0.6089,0.6594,0.6293,0.8213,0.8417,0.8202
8,Please be aware that this text may include references to patents in some places. This document's issuing agency disclaims any liability related to patent identification.,Please note that some content of this document may involve patents. The issuing organization does not assume responsibility for identifying patents.,Please note that some content of this document may involve patents. The issuing organization does not assume responsibility for identifying any patents.,Please note that some content of this document may involve patents. The issuing organization does not assume responsibility for identifying them.,0.0119,0.0122,0.0119,0.122,0.1417,0.122,0.7677,0.7744,0.7535,0.8363,0.8419,0.835
10,The following describes the release status of earlier iterations of this document and the ones it replaces:,The release history of this document and its previous versions is:,The release history of this document and its previous versions are:,The release history of this document and its previous versions is as follows:,0.1479,0.1479,0.1537,0.387,0.387,0.4231,0.648,0.6537,0.7012,0.7966,0.799,0.8219
13,Chinese CCC is an info expansion method,Character encoding.,Information dissemination and Chinese character encoding.,Chinese Character Encoding Standards,0.0,0.033,0.038,0.0,0.0725,0.0746,0.229,0.4337,0.3888,0.426,0.5656,0.4948
16,"This document covers technical products that process and exchange information in Chinese and other characters, including OCR, editing, translation, speech synthesis, and computer and communication equipment.","This document applies to technical products with the function of information processing and exchange of Chinese and other language graphic characters, including but not limited to software products represented by input methods, optical character recognition (OCR), editing and proofreading, machine translation, text-to-speech, text transcription, and intelligent writing, as well as hardware products represented by computers, communication terminal devices, e-book readers, and learning machines.","This document applies to technical products with the function of information processing and exchange of Chinese and other language graphic characters, including but not limited to software products represented by input methods, optical character recognition (OCR), editing and proofreading, machine translation, text-to-speech, text transcription, and intelligent writing, as well as computer, communication terminal, e-book reader, and learning device hardware products.","This document applies to technical products with the function of information processing and exchange of Chinese and other language graphic characters, including but not limited to software products such as input methods, optical character recognition (OCR), editing and proofreading, machine translation, text-to-speech, text transcription, and intelligent writing software, as well as hardware products such as computers, communication terminal devices, e-book readers, and learning devices.",0.0349,0.0367,0.0344,0.3758,0.3796,0.3745,0.612,0.613,0.6177,0.7721,0.7658,0.7769
20,"Chinese character coded character set for information exchange, basic set, GB/T 2312-1980","""Character set of the basic Chinese character set for information interchange"".","""GB/T 2312 - 1980 'Chinese Character Coded Character Set for Information Interchange'""","""GB/T 2312-1980: Character Encoding for Chinese Characters in Information Exchange""",0.2197,0.0157,0.0362,0.4727,0.4988,0.3153,0.54,0.63,0.5221,0.7244,0.7711,0.7829
21,"Eight-bit code structure and coding guidelines for information sharing according to GB/I 11383-1989, ""Information processing""",Information processing - Information interchange code structure and coding rules for 8-bit codes.,GB/T 11383-1989 Information Processing - Code Structure and Coding Rules for 8-bit Information Exchange Codes,GB/I 11383-1989 Standard for 8-Bit Information Exchange Coding Structure and Rules.,0.1651,0.0153,0.0275,0.3801,0.375,0.292,0.6009,0.6377,0.62,0.6546,0.8149,0.8262
25,3.1 Character character,character,Single character,字符 3.1,0.0241,0.0907,0.0907,0.1786,0.1724,0.1724,0.3234,0.3938,0.3338,0.8253,0.7611,0.5841
30,a region that the user of a product that complies with this document may specify.,The user can self-determine the area of use for products that comply with this document.,Users of products that comply with this document can determine the area of use for themselves.,Users can use the products in the areas they specify themselves.,0.0778,0.0704,0.0161,0.5486,0.6209,0.137,0.7018,0.685,0.5732,0.7823,0.7631,0.644
34,Area set aside for this document's future provisions.,The reserved area for the future as specified in this document.,The area reserved for the future as set forth in this document.,The area reserved for future use as specified in this document.,0.0453,0.0432,0.0453,0.241,0.2976,0.241,0.7083,0.7259,0.7292,0.7974,0.7872,0.7831
36,4 Vocabulary,Vocabulary.,4-word vocabulary.,四字词汇,0.1495,0.0,0.0,0.0,0.0,0.0,0.6003,0.7411,0.4371,0.8793,0.7969,0.6351
40,4.3 Double-byte part,Double-byte portion.,Section 4.3: Double-byte Characters.,Double-Byte Portion,0.1136,0.0485,0.0,0.1724,0.3226,0.6466,0.7444,0.5804,0.7143,0.8648,0.8196,0.6658
41,"All of the graphic characters in GB/T 2312-1980, CJK unified Chinese characters, and portions of the graphic characters in GB/T 13000 are included in the double-byte component.","The double-byte part includes all the graphic characters in GB/T 2312-1980 and the CJK Unified Ideographs in GB/T 13000, as well as some additional graphic characters.",The double-byte part includes all the graphic characters in GB/T 2312-1980 and the CJK Unified Ideographs in GB/T 13000.,"The double-byte part includes all the graphic characters in GB/T 2312-1980, the CJK Unified Ideographs in GB/T 13000, as well as some additional graphic characters.",0.2363,0.2034,0.2737,0.4149,0.4819,0.4572,0.667,0.6396,0.6781,0.7999,0.7793,0.7929
43,"Among these, the Appendix B requirements must be followed for the graphics, code places, and functions of ideographic descriptors.","The graphic, code position, and function of the ideographic character descriptor should comply with the provisions of Appendix B.","Among them, the graphic, code position, and function of the ideographic character descriptor must comply with the provisions of Appendix B.","The graphic, code position, and function of the ideographic character descriptors must adhere to the requirements set forth in Appendix B.",0.0354,0.0369,0.0358,0.28,0.331,0.3875,0.7008,0.7273,0.7309,0.8195,0.8497,0.8471
45,"Chinese characters with distinctive abstract glyphs are given their own code positions, while characters with the same abstract glyph but from various sources are given a similar code position.",The Chinese characters with unique abstract character forms are assigned individual code positions. Chinese characters with the same abstract character forms but different origins are assigned shared code positions.,"Chinese characters with unique abstract forms are assigned their own unique character encodings, while characters with the same abstract form but different origins are assigned shared character encodings.",Les caractères chinois ayant des formes de caractères abstraites uniques se voient attribuer des positions de code individuelles. Les caractères chinois ayant les mêmes formes de caractères abstraites mais des origines différentes se voient attribuer des positions de code partagées.,0.1856,0.2644,0.0062,0.4186,0.4927,0.0332,0.7178,0.7376,0.5726,0.8152,0.7989,0.6512
47,4.4 Four-byte part,16-bit integer,The four-byte portion.,Four-byte part,0.0,0.0,0.1918,0.0,0.1667,0.6466,0.24,0.7004,0.8935,0.6651,0.84,0.9089
48,"The text lists various Chinese characters in different standards, including GB/T 13000, .CJK unified character extensions A and C/D, and expansions.","The four-byte section includes 66 CJK unified Han characters (9FA6 - 9FEF, excluding 8 characters from 9FB4 to 9FBB) outside the above two-byte characters in GB/T 13000, CJK Unified Han Extensions A, CJK Unified Han Extensions B, CJK Unified Han Extensions C, CJK Unified Han Extensions D, CJK Unified Han Extensions E, CJK Unified Han Extensions F, and a few minority language characters that have already been encoded in GB/T 13000.","The four-byte section includes 66 CJK unified Han characters (9FA6 - 9FEF, excluding 8 characters from 9FB4 to 9FBB) outside the above two-byte characters in GB/T 13000, as well as CJK Unified Han Extensions A, B, C, D, and F, and a few minority language characters that have already been encoded in GB/T 13000.","Le fichier quatre octets comprend 66 caractères Han unifiés CJK (9FA6 - 9FEF, à l'exclusion de 8 caractères de 9FB4 à 9FBB) en dehors des caractères deux octets ci-dessus dans GB/T 13000, ainsi que les Extensions des caractères Han unifiés CJK A, B, C, D, E et F, et quelques caractères de langues minoritaires déjà codés dans GB/T 13000.",0.0184,0.0242,0.0161,0.2115,0.2469,0.0605,0.4304,0.4425,0.2492,0.6439,0.6902,0.6027
52,"The appendix's codes are all expressed in hexadecimal, while decimal is used for all other values.","The codes in the appendix are represented in hexadecimal, and other numbers are represented in decimal.","All codes in the appendix are represented in hexadecimal, and other numbers are represented in decimal.","The codes in the appendix are represented in hexadecimal (十六进制), while other numbers are represented in decimal (十进制).",0.0683,0.0666,0.0305,0.1875,0.2188,0.216,0.7696,0.7726,0.74,0.8467,0.856,0.7783
58,6 character character sort order,The order of arrangement of 6 characters.,The order of 6 letters.,The arrangement of 6 characters.,0.033,0.0485,0.0408,0.1923,0.2,0.1,0.4332,0.4432,0.4398,0.7278,0.634,0.6825
59,6.1 Character placement in single-character brushes: certain characters' order,character order,The arrangement of characters within a single character.,The order of character strokes,0.0017,0.0192,0.0162,0.1205,0.0562,0.1163,0.2757,0.4602,0.4278,0.5272,0.6434,0.595
60,Certain characters in single-character remarks are organized in the same sequence as their GB/I 11383-1989 counterparts.,Single character memorization of partial characters is arranged according to the corresponding character order in GB/T 11383-1989.,The characters are arranged according to the corresponding character order specified in GB/T 11383-1989.,单字记录按照 GB/I 11383-1989 中相应字符的顺序排列。,0.0162,0.0181,0.0066,0.0932,0.1266,0.1267,0.5541,0.5986,0.4197,0.7018,0.7484,0.6418
67,7 Code point allocation,7 digit allocation,7-digit code allocation,7-Digit Code Allocation,0.0968,0.0814,0.0814,0.2564,0.2564,0.2564,0.5261,0.5943,0.5697,0.6718,0.6975,0.7272
71,Code distribution for double word section.,Code point allocation for two-character components.,Code point allocation for the two-character components.,Allocation of code points for two-character components.,0.0435,0.0366,0.033,0.1667,0.1639,0.1639,0.4783,0.4925,0.4418,0.6025,0.6172,0.6113
72,The double-byte part's code bit layout is split into two sections with a combined 23940 code bits each: 0x8140-0xFE7E and 0x8180-0xFEFE.,"The arrangement of code positions for the double-byte part is divided into two parts, 0x8140 to 0xFE7E and 0x8180 to 0xFEFE, with a total of 23,940 code positions.","The arrangement of code positions for the double-byte part is divided into two ranges, 0x8140 to 0xFE7E and 0x8180 to 0xFEFE, totaling 23,940 code positions.","The arrangement of the double-byte character codes is divided into two parts, 0x8140 to 0xFE7F and 0x8180 to 0xFEFE, with a total of 23 940 character codes.",0.0263,0.0253,0.0229,0.4094,0.3216,0.3549,0.753,0.7274,0.7353,0.8587,0.8537,0.8611
75,Dual-byte region 1: 846 code syllables,"4,370 code points.",The 1st double-byte area has 846 code points.,"The 4,370 code points in the Double-Byte Area 1.",0.038,0.0507,0.0251,0.0877,0.4122,0.1587,0.3092,0.5866,0.4567,0.6038,0.7534,0.6411
77,The first byte 0xA8~0xA9 double-byte area 5: 192 yards,192 character positions,The code positions are in the range of 0xA8 to 0xA9 in the double-byte character set 5.,192 码位,0.011,0.0142,0.0027,0.0595,0.102,0.0602,0.31,0.4748,0.242,0.4773,0.6759,0.4598
78,3. Double-word vegetable diagram of partial encoding space,Dual-character vegetable part encoding space structure diagram.,Encoding space structure diagram for dual-character vegetable components.,Diagram of the Encoding Structure for Dual-Character Vegetable Components.,0.0652,0.0339,0.0251,0.3235,0.3945,0.3897,0.532,0.5103,0.4936,0.7274,0.7343,0.6222
84,See 6.3 for the task of four-byte human code focuses not indicated in Table 3.,The four-byte character code assignments not specified in Table 3 are given in 6.3.,The four-byte person code assignments not specified in Table 3 are in 6.3.,The four-byte character code assignments not specified in Table 3 are provided in Section 6.3.,0.0782,0.0783,0.0778,0.2013,0.2027,0.2,0.5546,0.5601,0.5741,0.819,0.776,0.8181
85,Table 3 Course of action of code focuses within the four-character news portion,Table 3 Arrangement of code positions for four-character radical components.,Table 3 Arrangement of code positions for four-character radical components.,Arrangement of Code Positions for Four-Character Radical Components in Table 3.,0.0497,0.0497,0.0367,0.3512,0.3512,0.2466,0.4769,0.4769,0.4835,0.6781,0.6781,0.5818
88,Code digit count and range,"Code point range, code point count, character count.","Code point range, number of code points, character count.",字符编码范围、字符编码数量、字符数,0.0248,0.0224,0.0,0.0943,0.1852,0.0,0.449,0.5474,0.1383,0.799,0.8274,0.6007
91,Chars & Codes Explained,8 parts of character and code description.,The 8 parts of character and code description.,Explanation of the 8 Characters and Codes,0.0,0.0,0.033,0.1163,0.1136,0.1163,0.4862,0.5196,0.6642,0.649,0.6574,0.83
