index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
0,"The rules in GB/T 1.1-202 are the establishment for this record, rules for Long-Term Standardization Work Segment II: Guidelines Record Structure and Composing Rules.",This document is drafted in accordance with the provisions of Part 1 of the GB/T 1.1-202X Standardization Work Guidelines: Structure and Drafting Rules of Standardization Documents.,"This document is drafted following the rules of the GB/T 1.1—2029 Standardization Work Guidelines, Part 1: Work Section, which covers the structure and drafting rules of standardization documents.",This document is drafted in accordance with the provisions of Part 1 of the GB/T 1.1-201X Standardization Work Guidelines: Structure and Drafting Rules of Standardization Documents.,0.0259,0.0189,0.0259,0.2626,0.2605,0.2626,0.511,0.5307,0.5176,0.7712,0.7827,0.7695
4,"Within the four-byte coding range, 18 GB/T 13000 code places have changed (see Reference section D, Reference section D of the 2005 version);","18 GB/T 13000 code positions in the four-byte encoding area have been changed (see Appendix D, Appendix D of the 2005 edition);","18, GB/T 13000 code positions in the four-octet encoding area have been changed (see Appendix D of the 2005 edition).",18 GB/T 13000 code positions in the four-byte encoding area have been changed (see Appendix D of the 2005 edition).,0.2524,0.1705,0.2272,0.5873,0.4618,0.5564,0.7336,0.6438,0.6734,0.8168,0.7992,0.8399
8,Please be aware that this text may include references to patents in some places. This document's issuing agency disclaims any liability related to patent identification.,Please note that some content in this document may involve patents. The publishing organization of this document does not assume responsibility for identifying patents.,Please note that some content in this document may involve patents. The organization publishing this document does not assume responsibility for identifying patents.,Please note that some content in this document may involve patents. The publishing organization of this document does not assume responsibility for identifying patents.,0.012,0.0119,0.012,0.1406,0.1411,0.1406,0.7643,0.776,0.7643,0.8502,0.8525,0.8502
10,The following describes the release status of earlier iterations of this document and the ones it replaces:,The release history of this document and its previous versions is as follows:,"The release situation of this document and the documents it has replaced, along with their previous versions, is as follows:",The release history of this document and the documents it replaces is listed below:,0.1537,0.1786,0.2533,0.4231,0.4974,0.5153,0.7012,0.6964,0.7069,0.8219,0.8336,0.8563
13,Chinese CCC is an info expansion method,"""Information Expansion: Chinese Character Encoding Set""",Expanding Information: The Chinese Encoded Character Set,"""Information Technology: Chinese Character Encoding Standard""",0.024,0.0278,0.024,0.0725,0.0714,0.0725,0.4898,0.5426,0.5429,0.6117,0.561,0.5356
16,"This document covers technical products that process and exchange information in Chinese and other characters, including OCR, editing, translation, speech synthesis, and computer and communication equipment.","This document applies to technical products with the capability to process and exchange information in Chinese and other written graphic characters. This includes, but is not limited to, software products such as input methods, optical character recognition (OCR), editing and proofreading, machine translation, speech synthesis, text transcription, and intelligent writing. It also includes hardware products such as computers, communication terminal devices, e-book readers, and learning machines.","This document applies to technical products with the capability to process and exchange information in Chinese and other written graphic characters. This encompasses, but is not limited to, software products such as input methods, optical character recognition (OCR), editing and proofreading, machine-aided translation, speech synthesis, text transcription, and intelligent writing, as well as portable hardware products including computers, communication terminal devices, e-book readers and educational devices.","This document applies to technical products with the capability to process and exchange information in Chinese and other written graphic characters, including, but not limited to, software products such as input methods, optical character recognition (OCR), editing and proofreading, machine translation and conversion, speech synthesis, text transcription, and intelligent writing, as well as hardware products such as computers, communication terminal devices, e-book readers, and learning machines.",0.157,0.1604,0.1549,0.5066,0.5066,0.487,0.6223,0.6237,0.6424,0.7928,0.789,0.7946
20,"Chinese character coded character set for information exchange, basic set, GB/T 2312-1980","GB/T 2312-1980 ""Character Set for Information Exchange in Chinese"" Basic Set","GB/T 2312 – 1980 ""Chinese Character Encoding Character Set for Information Exchange"" Basic Set","GB/T 2312 1980 ""Character Set for Encoding Chinese Characters for Information Exchange"" Basic Set",0.0362,0.0162,0.0162,0.4295,0.3931,0.3931,0.6425,0.6773,0.6362,0.8393,0.8032,0.8021
21,"Eight-bit code structure and coding guidelines for information sharing according to GB/I 11383-1989, ""Information processing""",GB/T 11383-1989 Information Processing - 8-Bit Code Structure and Encoding Rules for Information Exchange,GB/I 11383-1989 information processing - 8-bit code structure and encoding rules for information exchange,"GB/I 11383-1989 Information Processing ""8-bit code structure and encoding rules for information exchange""",0.0152,0.0807,0.0861,0.3248,0.3775,0.3801,0.6528,0.7178,0.7282,0.8448,0.8907,0.8894
25,3.1 Character character,3.1 字符 character,3.1 Character.,3.1 Character,0.1351,0.2403,0.1918,0.3333,0.1724,0.3448,0.6179,0.6048,0.7348,0.7751,0.9398,0.9549
30,a region that the user of a product that complies with this document may specify.,Users of products that comply with this document can designate their own specified areas.,Users of products that comply with this document can specify their own self-designated areas.,Users of products that comply with this document can designate self-specified areas.,0.0728,0.0756,0.0726,0.5327,0.5327,0.54,0.6683,0.6558,0.667,0.7731,0.7434,0.7475
