index,original,translated,locale_convention_annotation
0,Diego Cocca wird neuer Nationaltrainer von Mexiko,Diego Cocca will be the new head coach of Mexico.,"locale conventions:

MQM annotations:
Critical: no-error
Major: no-error
Minor: no-error"
3,"Franko Stein (FD Umwelt, links) und Friedhelm Ringe (Nabu) stellen die Pflanzenschilder in den Beeten der Fußgängerzone auf.","Franko Stein (FD Environment, left) and Friedhelm Ringe (Nabu) are placing the plant signs in the flowerbeds of the pedestrian zone.","locale conventions:

MQM annotations:"
6,"Damit das Unterfangen nicht nur eine Aktion von Naturschützern und dem Fachdienst Umwelt der Stadt bleibt, sondern bis in die privaten Gärten hinein weite Kreise zieht, werden immer wieder erklärende Tafeln zu den Pflanzen gestellt. Etwa 50 Schilder sind es bis jetzt. Passanten sollen sich auf diese Weise informieren können, was hier gerade so schön blüht. Die Hoffnung ist, dass Hobbygärtner zu Hause gezielt nachpflanzen.","To ensure that the undertaking doesn't remain solely an action by conservationists and the city's environmental department, but rather reaches a wide audience, extending even into private gardens, explanatory signs are repeatedly placed next to the plants. There are about 50 signs so far. Passersby should be able to find out in this way what is currently blooming so beautifully here. The hope is that amateur gardeners will specifically replant at home.","locale conventions:

MQM annotations:"
7,In der ersten Januarwoche war bereits Saisonstart bei der Wildhasel,The hazel catkins already started releasing pollen in the first week of January.,"locale conventions:

MQM annotations:
minor: accuracy/overly_literal - The translation focuses on the hazel catkins releasing pollen, which is implied but not explicitly stated in the source. A more direct translation could be ""The wild hazel season started in the first week of January"" or similar. However, it is not a major error."
8,"Jüngeren Datums sind Sträucher wie Winterduftheckenkirsche und Winterschneeball in den Beeten der Fußgängerzone. Sie stecken jetzt seit einem Jahr in der Erde der Kübel an der Bergedorer Straße, zeigen blätterlos gerade die ersten zarten Blüten in Weiß und Rosa und sind jüngst mit weiteren Schildern bedacht worden. ""Die Winterduftheckenkirsche ist ein sehr breitbuschiger Strauch und kann zwischen zwei Meter hoch und drei Meter breit werden"", ist dort unter weiteren Angaben etwa zum geeigneten Standort zu lesen.","Of more recent date are shrubs like fragrant honeysuckle and winter snowball in the pedestrian zone's flowerbeds. They have been in the soil of the containers on Bergedorer Straße for a year now, are showing their first delicate blossoms in white and pink without leaves, and have recently been provided with additional signs. ""The fragrant honeysuckle is a very broad bush and can grow to between two meters high and three meters wide,"" can be read there, along with further information about the suitable location.","locale conventions:

MQM annotations:"
9,"Friedhelm Ringe betont, dass aber nicht nur die Beetpflanzen nun Blüten zeigen. In der ersten Januarwoche war bereits Saisonstart bei der Wildhasel. Sie blüht besonders üppig am Richtweg bei der Steigung, in der Gutenbergstraße, Wilhelm-Holert-Straße, Fahrendofer Weg und vielen Knicks.","Friedhelm Ringe emphasizes that it is not only the bedding plants that are now showing flowers. The hazel catkins were already in season in the first week of January. They are flowering particularly abundantly on Richtweg at the incline, in Gutenbergstrasse, Wilhelm-Holert-Strasse, Fahrendofer Weg and many Knicks (hedgerows/field boundaries).","locale conventions:

MQM annotations:
minor: address format/street name - Gutenbergstrasse should be Gutenbergstraße.
minor: address format/street name - Wilhelm-Holert-Strasse should be Wilhelm-Holert-Straße."
12,"Immer montags treffen sich nämlich dort in der ""Mandolin Motion Show Academy"" um Punkt 15 Uhr drei Damen zum flotten Stepptanz - zusammen sind sie unglaubliche 277 Jahre alt, pardon jung!","Every Monday at 3 p.m., three ladies meet there at the ""Mandolin Motion Show Academy"" for a lively tap dance – together they are an incredible 277 years old, pardon, young!","locale conventions:

MQM annotations:
Minor: DATE/TIME FORMAT - The time is written as ""3 p.m."" instead of ""15:00"" or ""15 Uhr"" as in the source. This is not a major error as it is understandable, but it is a deviation from the source's level of formality and directness."
13,"Die Älteste von ihnen ist Ernestine Stauchner, sie feierte kürzlich ihren 102. Geburtstag.",The oldest of them is Ernestine Stauchner; she recently celebrated her 102nd birthday.,"locale conventions:

MQM annotations:"
14,"Für die gebürtige Münchnerin (15. Januar 1921) von der Schwanthaler Höh"" ist der Montag DER Höhepunkt der Woche. ""Tanzen und Steppen ist mein Leben, ohne kann ich mir nicht vorstellen"".","For the Munich native (born January 15, 1921) from the Schwanthaler Höhe district, Monday is THE highlight of the week. ""Dancing and tap dancing is my life, I can't imagine life without it.""","locale conventions:

MQM annotations:"
17,"Mit ihren 79 Jahren ist Elfriede Widmann so etwas wie das Küken in der Runde der Stepptänzerinnen. Sie sagt: ""Wir haben hier einfach Spaß mit unserer Tanzlehrerin Sissy Engl"".","At 79, Elfriede Widmann is something of the baby in the group of tap dancers. She says: ""We're just having fun here with our dance teacher Sissy Engl.""","locale conventions:

MQM annotations:
No Locale Convention Errors"
19,"Die 77-jährige Sissi Engl ist die gute Seele des Tanzstudios am Ostbahnhof. Sie ist Schauspielerin, Tänzerin und Choreografin. ""Wir sind eine große Familie, bei uns sind groß und klein, Alt und Jung willkommen"".","77-year-old Sissi Engl is the heart and soul of the dance studio at the Ostbahnhof (East Train Station). She is an actress, dancer, and choreographer. ""We are a big family; everyone is welcome here, young and old, big and small.""","```
locale conventions:

MQM annotations:
```"
22,Mit fortschreitender Digitalisierung wächst bei so manchen wieder die Lust auf analog,"As digitalization progresses, some people are experiencing a renewed interest in analog.","locale conventions:

MQM annotations:"
23,"Die Rasanz, mit der unser Alltag digital wurde, ließ uns kaum Zeit, Regeln für den Umgang damit aufzustellen und unsere Kommunikations- und Arbeitsweisen daran anzupassen, meint DNN-Kolumnistin Claudia Muntschick.","The speed at which our everyday life became digital barely left us time to establish rules for how to deal with it and adapt our communication and working methods accordingly, says DNN columnist Claudia Muntschick.","locale conventions:

MQM annotations:"
