index,original,translated,locale_convention_annotation
0,Diego Cocca wird neuer Nationaltrainer von Mexiko,Diego Cocca will be the new head coach of Mexico.,"```
MQM annotations:
Style error:
minor: style/unnatural flow - While grammatically correct, ""will be the new head coach of Mexico"" sounds slightly awkward. A more natural phrasing would be ""will become the new head coach of Mexico"" or ""is the new head coach of Mexico"".
```"
3,"Franko Stein (FD Umwelt, links) und Friedhelm Ringe (Nabu) stellen die Pflanzenschilder in den Beeten der Fußgängerzone auf.","Franko Stein (FD Environment, left) and Friedhelm Ringe (Nabu) are placing the plant signs in the flowerbeds of the pedestrian zone.","MQM annotations:
minor: style/unnatural flow - While grammatically correct, ""FD Environment"" sounds slightly unnatural. ""Environmental Department"" or ""Environmental Services"" might be more common."
6,"Damit das Unterfangen nicht nur eine Aktion von Naturschützern und dem Fachdienst Umwelt der Stadt bleibt, sondern bis in die privaten Gärten hinein weite Kreise zieht, werden immer wieder erklärende Tafeln zu den Pflanzen gestellt. Etwa 50 Schilder sind es bis jetzt. Passanten sollen sich auf diese Weise informieren können, was hier gerade so schön blüht. Die Hoffnung ist, dass Hobbygärtner zu Hause gezielt nachpflanzen.","To ensure that the undertaking doesn't remain solely an action by conservationists and the city's environmental department, but rather reaches a wide audience, extending even into private gardens, explanatory signs are repeatedly placed next to the plants. There are about 50 signs so far. Passersby should be able to find out in this way what is currently blooming so beautifully here. The hope is that amateur gardeners will specifically replant at home.","MQM annotations:
Style error:
minor: style/unnatural flow - ""Passersby should be able to find out in this way what is currently blooming so beautifully here"" sounds a bit unnatural and could be phrased more naturally."
7,In der ersten Januarwoche war bereits Saisonstart bei der Wildhasel,The hazel catkins already started releasing pollen in the first week of January.,"MQM annotations:
Minor: Style/Unnatural Flow - ""The hazel catkins already started releasing pollen"" sounds a bit awkward. A more natural phrasing would be ""The hazel catkins already began to release pollen"" or ""The hazel catkins were already releasing pollen."""
8,"Jüngeren Datums sind Sträucher wie Winterduftheckenkirsche und Winterschneeball in den Beeten der Fußgängerzone. Sie stecken jetzt seit einem Jahr in der Erde der Kübel an der Bergedorer Straße, zeigen blätterlos gerade die ersten zarten Blüten in Weiß und Rosa und sind jüngst mit weiteren Schildern bedacht worden. ""Die Winterduftheckenkirsche ist ein sehr breitbuschiger Strauch und kann zwischen zwei Meter hoch und drei Meter breit werden"", ist dort unter weiteren Angaben etwa zum geeigneten Standort zu lesen.","Of more recent date are shrubs like fragrant honeysuckle and winter snowball in the pedestrian zone's flowerbeds. They have been in the soil of the containers on Bergedorer Straße for a year now, are showing their first delicate blossoms in white and pink without leaves, and have recently been provided with additional signs. ""The fragrant honeysuckle is a very broad bush and can grow to between two meters high and three meters wide,"" can be read there, along with further information about the suitable location.","```
MQM annotations:
Style Errors:
minor: unnatural flow - ""Of more recent date are shrubs like fragrant honeysuckle and winter snowball in the pedestrian zone's flowerbeds."" sounds slightly unnatural in English. A more natural phrasing might be ""Shrubs like fragrant honeysuckle and winter snowball have recently been planted in the pedestrian zone's flowerbeds.""
minor: unnatural flow - ""They have been in the soil of the containers on Bergedorer Straße for a year now"" could be improved for flow, perhaps by rephrasing to ""They have been in the containers on Bergedorer Straße for a year now.""
minor: unnatural flow - ""are showing their first delicate blossoms in white and pink without leaves"" sounds a bit awkward. ""are showing their first delicate, leafless blossoms in white and pink"" would be more natural.
```"
9,"Friedhelm Ringe betont, dass aber nicht nur die Beetpflanzen nun Blüten zeigen. In der ersten Januarwoche war bereits Saisonstart bei der Wildhasel. Sie blüht besonders üppig am Richtweg bei der Steigung, in der Gutenbergstraße, Wilhelm-Holert-Straße, Fahrendofer Weg und vielen Knicks.","Friedhelm Ringe emphasizes that it is not only the bedding plants that are now showing flowers. The hazel catkins were already in season in the first week of January. They are flowering particularly abundantly on Richtweg at the incline, in Gutenbergstrasse, Wilhelm-Holert-Strasse, Fahrendofer Weg and many Knicks (hedgerows/field boundaries).","MQM annotations:
minor: unnatural flow - The phrase ""hazel catkins were already in season"" sounds slightly awkward. A more natural phrasing could be ""hazel catkins had already started appearing"".
minor: unnatural flow - ""They are flowering particularly abundantly on Richtweg at the incline"" sounds somewhat stilted. ""They are flowering particularly abundantly on the incline of Richtweg"" or ""Flowering abundantly can be seen on Richtweg at the incline"" may be more natural.
minor: do not translate - ""Gutenbergstrasse, Wilhelm-Holert-Strasse, Fahrendofer Weg"" should be ""Gutenbergstraße, Wilhelm-Holert-Straße, Fahrendofer Weg""
minor: unnatural flow - Using ""Knicks (hedgerows/field boundaries)"" sounds a little unnatural. Perhaps simply stating ""and along many Knicks (hedgerows)"" would be smoother."
12,"Immer montags treffen sich nämlich dort in der ""Mandolin Motion Show Academy"" um Punkt 15 Uhr drei Damen zum flotten Stepptanz - zusammen sind sie unglaubliche 277 Jahre alt, pardon jung!","Every Monday at 3 p.m., three ladies meet there at the ""Mandolin Motion Show Academy"" for a lively tap dance – together they are an incredible 277 years old, pardon, young!","```
MQM annotations:
Style Errors:
minor: unnatural flow - ""pardon, young!"" sounds slightly unnatural in this context. A more natural phrasing might be ""or rather, young!"" or ""actually, young!"".
```"
13,"Die Älteste von ihnen ist Ernestine Stauchner, sie feierte kürzlich ihren 102. Geburtstag.",The oldest of them is Ernestine Stauchner; she recently celebrated her 102nd birthday.,"```
MQM annotations:
Minor: Style/Unnatural Flow - The phrase ""she recently celebrated her 102nd birthday"" is grammatically correct but could be slightly more concise or idiomatic in English.
```"
14,"Für die gebürtige Münchnerin (15. Januar 1921) von der Schwanthaler Höh"" ist der Montag DER Höhepunkt der Woche. ""Tanzen und Steppen ist mein Leben, ohne kann ich mir nicht vorstellen"".","For the Munich native (born January 15, 1921) from the Schwanthaler Höhe district, Monday is THE highlight of the week. ""Dancing and tap dancing is my life, I can't imagine life without it.""","MQM annotations:
minor: style/Unnatural Flow - The phrase ""Munich native (born January 15, 1921) from the Schwanthaler Höhe district"" is grammatically correct, but sounds a bit awkward. A more natural phrasing could be something like ""Born in Munich on January 15, 1921, and a resident of the Schwanthaler Höhe district"".
minor: style/Unnatural Flow - The sentence """"Tanzen und Steppen ist mein Leben, ohne kann ich mir nicht vorstellen""."" can be improved. The original German sentence is a bit more emphatic and personal. The English translation is accurate, but reads a bit flat. A more natural English rendition might be something like, ""Dancing and tap-dancing *is* my life; I can't imagine living without it."""
17,"Mit ihren 79 Jahren ist Elfriede Widmann so etwas wie das Küken in der Runde der Stepptänzerinnen. Sie sagt: ""Wir haben hier einfach Spaß mit unserer Tanzlehrerin Sissy Engl"".","At 79, Elfriede Widmann is something of the baby in the group of tap dancers. She says: ""We're just having fun here with our dance teacher Sissy Engl.""","```
MQM annotations:
minor: style/Unnatural Flow - ""something of the baby"" is a slightly awkward translation of ""so etwas wie das Küken"". A more natural phrasing might be ""the youngest"" or ""the newbie.""
```"
