index,original,translated,locale_convention_annotation
0,Diego Cocca wird neuer Nationaltrainer von Mexiko,Diego Cocca becomes the new national coach of Mexico.,"MQM annotations:
audience appropriateness errors:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The term ""national coach"" may not be a commonly used phrase in the target culture, and ""national team manager"" or ""head coach of the national team"" may be more appropriate."
3,"Franko Stein (FD Umwelt, links) und Friedhelm Ringe (Nabu) stellen die Pflanzenschilder in den Beeten der Fußgängerzone auf.","Franko Stein (FD Umwelt, left) and Friedhelm Ringe (Nabu) are setting up the plant signs in the flower beds of the pedestrian zone.","MQM annotations:
audience appropriateness errors:
[Minor]: CULTURE-SPECIFIC REFERENCE - The use of the names ""Franko Stein"" and ""Friedhelm Ringe"" may not be familiar or easily recognizable to an English-speaking audience."
6,"Damit das Unterfangen nicht nur eine Aktion von Naturschützern und dem Fachdienst Umwelt der Stadt bleibt, sondern bis in die privaten Gärten hinein weite Kreise zieht, werden immer wieder erklärende Tafeln zu den Pflanzen gestellt. Etwa 50 Schilder sind es bis jetzt. Passanten sollen sich auf diese Weise informieren können, was hier gerade so schön blüht. Die Hoffnung ist, dass Hobbygärtner zu Hause gezielt nachpflanzen.","So that the undertaking is not just an action of nature conservationists and the environmental service of the city, but also reaches wide circles into private gardens, explanatory panels on the plants are set up again and again. There are about 50 signs so far. Passers-by should be able to inform themselves in this way about what is blooming so beautifully here. The hope is that hobby gardeners will deliberately replant at home.","MQM annotations:
audience appropriateness errors:
[minor]: culture-specific reference - The term ""Hobbygärtner"" (hobby gardeners) may not be a common or well-understood term for the target English-speaking audience."
7,In der ersten Januarwoche war bereits Saisonstart bei der Wildhasel,"In the first week of January, the wild hazelnut season had already started.","MQM annotations:
audience appropriateness errors:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The term ""wild hazelnut"" may not be a familiar concept for some target audiences, as hazelnut is a common ingredient but the ""wild"" variety may not be widely known."
8,"Jüngeren Datums sind Sträucher wie Winterduftheckenkirsche und Winterschneeball in den Beeten der Fußgängerzone. Sie stecken jetzt seit einem Jahr in der Erde der Kübel an der Bergedorer Straße, zeigen blätterlos gerade die ersten zarten Blüten in Weiß und Rosa und sind jüngst mit weiteren Schildern bedacht worden. ""Die Winterduftheckenkirsche ist ein sehr breitbuschiger Strauch und kann zwischen zwei Meter hoch und drei Meter breit werden"", ist dort unter weiteren Angaben etwa zum geeigneten Standort zu lesen.","Newer in date are shrubs like winter-scented honeysuckle and winter snowball in the flower beds of the pedestrian zone. They have been in the soil of the planters on Bergedorer Strasse for about a year now, showing their first delicate white and pink blossoms leaflessly, and have recently been provided with additional signs. ""The winter-scented honeysuckle is a very wide-growing shrub and can reach a height of two meters and a width of three meters,"" it says there among further information about the suitable location.","MQM annotations:
Audience Appropriateness Errors
[Minor]: culture-specific reference - The term ""Bergedorer Strasse"" may not be familiar to the target audience and could be replaced with a more general reference to the location, such as ""the street"" or ""the pedestrian zone"".
[Minor]: culture-specific reference - The mention of ""winter-scented honeysuckle"" and ""winter snowball"" as specific plant types may not be widely known to the target audience and could benefit from additional context or explanation."
9,"Friedhelm Ringe betont, dass aber nicht nur die Beetpflanzen nun Blüten zeigen. In der ersten Januarwoche war bereits Saisonstart bei der Wildhasel. Sie blüht besonders üppig am Richtweg bei der Steigung, in der Gutenbergstraße, Wilhelm-Holert-Straße, Fahrendofer Weg und vielen Knicks.","Friedhelm Ringe emphasizes that not only the bed plants are now showing flowers. In the first week of January, the wild hazel was already in season. It blooms particularly luxuriantly on the Richtweg at the slope, in the Gutenbergstraße, Wilhelm-Holert-Straße, Fahrendofer Weg and many hedgerows.","MQM annotations:
Audience Appropriateness Errors
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The reference to ""Richtweg"" and specific street names (Gutenbergstraße, Wilhelm-Holert-Straße, Fahrendofer Weg) may not be familiar or relevant to the target English-speaking audience."
12,"Immer montags treffen sich nämlich dort in der ""Mandolin Motion Show Academy"" um Punkt 15 Uhr drei Damen zum flotten Stepptanz - zusammen sind sie unglaubliche 277 Jahre alt, pardon jung!","Every Monday at exactly 3 o'clock, three ladies meet at the ""Mandolin Motion Show Academy"" for a lively tap dance - together they are an incredible 277 years old, pardon, young!","MQM annotations:
audience appropriateness errors:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The phrase ""pardon, young!"" may not be a natural or common way to refer to the ladies' age in the target English-speaking culture."
13,"Die Älteste von ihnen ist Ernestine Stauchner, sie feierte kürzlich ihren 102. Geburtstag.","Ernestine Stauchner, the oldest of them, recently celebrated her 102nd birthday.","MQM annotations:
audience appropriateness error:
[minor]: culture-specific reference - The term ""Ernestine Stauchner"" may not be familiar to the English-speaking audience, and the use of the full name without any additional context could be unusual."
14,"Für die gebürtige Münchnerin (15. Januar 1921) von der Schwanthaler Höh"" ist der Montag DER Höhepunkt der Woche. ""Tanzen und Steppen ist mein Leben, ohne kann ich mir nicht vorstellen"".","For the native Münchner (born January 15, 1921) from the Schwanthaler Höh"", Monday is THE highlight of the week. ""Dancing and tapping is my life, I can't imagine without it"".","MQM annotations:
audience appropriateness errors:
[Major]: CULTURE-SPECIFIC REFERENCE - The phrase ""Tanzen und Steppen ist mein Leben, ohne kann ich mir nicht vorstellen"" may not be easily understood by an English-speaking audience, as the concept of ""Steppen"" (tap dancing) is more culturally specific to German-speaking regions.
[Minor]: WRONG LANGUAGE VARIETY - The use of the term ""Montag"" (Monday) in the translation may not be the most appropriate choice for an English-speaking audience, as the more common term would be ""Monday""."
17,"Mit ihren 79 Jahren ist Elfriede Widmann so etwas wie das Küken in der Runde der Stepptänzerinnen. Sie sagt: ""Wir haben hier einfach Spaß mit unserer Tanzlehrerin Sissy Engl"".","""At 79 years old, Elfriede Widmann is something of a chick in the circle of tap dancers. She says: 'We're just having fun with our dance teacher Sissy Engl.'""","MQM annotations:
audience appropriateness errors:
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""chick"" used to refer to Elfriede Widmann may not be culturally appropriate or well-understood in the target audience, as it is a colloquial term that could be seen as disrespectful when applied to an elderly woman."
19,"Die 77-jährige Sissi Engl ist die gute Seele des Tanzstudios am Ostbahnhof. Sie ist Schauspielerin, Tänzerin und Choreografin. ""Wir sind eine große Familie, bei uns sind groß und klein, Alt und Jung willkommen"".","The 77-year-old Sissi Engl is the good soul of the dance studio at the Ostbahnhof. She is an actress, dancer, and choreographer. ""We are a big family, here both the old and young, big and small, are welcome.""","MQM annotations:
audience appropriateness errors:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The phrase ""big family"" may not be a common cultural reference in the target audience's context and could be perceived as unusual or unfamiliar."
22,Mit fortschreitender Digitalisierung wächst bei so manchen wieder die Lust auf analog,"With increasing digitalization, the desire for analog is growing again in some.","MQM annotations:
audience appropriateness errors:
[Minor]: CULTURE-SPECIFIC REFERENCE - The phrase ""the desire for analog"" may not be immediately clear to all target audiences, as the concept of ""analog"" technology may not be as familiar or relevant in some cultural contexts."
23,"Die Rasanz, mit der unser Alltag digital wurde, ließ uns kaum Zeit, Regeln für den Umgang damit aufzustellen und unsere Kommunikations- und Arbeitsweisen daran anzupassen, meint DNN-Kolumnistin Claudia Muntschick.","The speed with which our everyday life became digital left us little time to establish rules for dealing with it and to adapt our communication and work methods accordingly, says DNN columnist Claudia Muntschick.","MQM annotations:
audience appropriateness errors:
[Minor]: CULTURE-SPECIFIC REFERENCE - The term ""DNN"" may not be familiar to the target audience and could require additional context."
24,"Dresden. Wenn man im Jahr 1985 in Bautzen ein Telefongespräch führen wollte, gab es drei Möglichkeiten. Entweder gehörte man zu den sechs Prozent der Glücklichen, die über einen privaten Anschluss verfügten. Oder man gehörte zu denen, die Jemanden aus dieser exklusiven Gruppe in der Nachbarschaft hatten und dort für eine Flasche Radeberger mit der Verwandtschaft telefonieren konnten. Oder man suchte eine Telefonzelle auf. Unvergessen der Geruch des Plastehörers und das Klicken der Kleingeldmünzen im Automaten. Mein größter Traum war es, beim Anrufen auch das Gesicht des Anderen sehen zu können - Bildtelefonie, dachte ich, was wäre das für eine tolle Sache!","Dresden. If you wanted to make a phone call in Bautzen in 1985, there were three possibilities. Either you were one of the six percent of the lucky ones who had a private connection. Or you were one of those who had someone from this exclusive group in the neighborhood and could call the relatives there for a bottle of Radeberger. Or you looked for a public phone booth. The smell of the plastic receiver and the clicking of the coins in the machine were unforgettable. My biggest dream was to be able to see the face of the other person when making a call - video telephony, I thought, what a great thing that would be!","MQM annotations:
Accuracy Errors
[Major]: [culture-specific reference] - The reference to ""Radeberger"" beer may not be familiar or relevant to the target English-speaking audience.
[Minor]: [culture-specific reference] - The mention of ""Bildtelefonie"" (video telephony) may not be a familiar concept for the target audience, as it was an emerging technology at the time."
