index,original,zero_shot_translation,improved_translation
0,Diego Cocca wird neuer Nationaltrainer von Mexiko,Diego Cocca becomes the new national coach of Mexico.,Diego Cocca will become the new national coach of Mexico.
3,"Franko Stein (FD Umwelt, links) und Friedhelm Ringe (Nabu) stellen die Pflanzenschilder in den Beeten der Fußgängerzone auf.","Franko Stein (FD Umwelt, left) and Friedhelm Ringe (Nabu) are setting up the plant signs in the flower beds of the pedestrian zone.","Franko Stein (FD Environment, left) and Friedhelm Ringe (Nature and Biodiversity Conservation Union) are setting up the plant signs in the flower beds of the pedestrian zone."
6,"Damit das Unterfangen nicht nur eine Aktion von Naturschützern und dem Fachdienst Umwelt der Stadt bleibt, sondern bis in die privaten Gärten hinein weite Kreise zieht, werden immer wieder erklärende Tafeln zu den Pflanzen gestellt. Etwa 50 Schilder sind es bis jetzt. Passanten sollen sich auf diese Weise informieren können, was hier gerade so schön blüht. Die Hoffnung ist, dass Hobbygärtner zu Hause gezielt nachpflanzen.","So that the undertaking is not just an action of nature conservationists and the environmental service of the city, but also reaches wide circles into private gardens, explanatory panels on the plants are set up again and again. There are about 50 signs so far. Passers-by should be able to inform themselves in this way about what is blooming so beautifully here. The hope is that hobby gardeners will deliberately replant at home.","The undertaking aims to reach beyond just nature conservationists and the city's Environmental Service, inspiring hobby gardeners in private homes to replant the beautiful blooms. Informative signs have been placed around the area, allowing passersby to learn about the local flora. The hope is that these home gardeners will be motivated to cultivate the same plants in their own gardens."
7,In der ersten Januarwoche war bereits Saisonstart bei der Wildhasel,"In the first week of January, the wild hazelnut season had already started.",In der ersten Kalenderwoche des Januars begann bereits die Saison der Wildhäsel.
8,"Jüngeren Datums sind Sträucher wie Winterduftheckenkirsche und Winterschneeball in den Beeten der Fußgängerzone. Sie stecken jetzt seit einem Jahr in der Erde der Kübel an der Bergedorer Straße, zeigen blätterlos gerade die ersten zarten Blüten in Weiß und Rosa und sind jüngst mit weiteren Schildern bedacht worden. ""Die Winterduftheckenkirsche ist ein sehr breitbuschiger Strauch und kann zwischen zwei Meter hoch und drei Meter breit werden"", ist dort unter weiteren Angaben etwa zum geeigneten Standort zu lesen.","Newer in date are shrubs like winter-scented honeysuckle and winter snowball in the flower beds of the pedestrian zone. They have been in the soil of the planters on Bergedorer Strasse for about a year now, showing their first delicate white and pink blossoms leaflessly, and have recently been provided with additional signs. ""The winter-scented honeysuckle is a very wide-growing shrub and can reach a height of two meters and a width of three meters,"" it says there among further information about the suitable location.","The winter-scented honeysuckle and winter snowball are newer additions to the flower beds in the pedestrian zone. They have been planted in the planters on the street for about a year now, currently displaying their first delicate white and pink blossoms without leaves, and have recently been labeled with additional information. The winter-scented honeysuckle is a very wide-growing shrub that can reach a height of 2 m and a width of 3 m."
9,"Friedhelm Ringe betont, dass aber nicht nur die Beetpflanzen nun Blüten zeigen. In der ersten Januarwoche war bereits Saisonstart bei der Wildhasel. Sie blüht besonders üppig am Richtweg bei der Steigung, in der Gutenbergstraße, Wilhelm-Holert-Straße, Fahrendofer Weg und vielen Knicks.","Friedhelm Ringe emphasizes that not only the bed plants are now showing flowers. In the first week of January, the wild hazel was already in season. It blooms particularly luxuriantly on the Richtweg at the slope, in the Gutenbergstraße, Wilhelm-Holert-Straße, Fahrendofer Weg and many hedgerows.","The wild hazel is already in bloom, flowering particularly luxuriantly along the path, on Gutenbergstraße, Wilhelm-Holert-Straße, Fahrendofer Weg, and in many thickets, as Friedhelm Ringe emphasizes."
12,"Immer montags treffen sich nämlich dort in der ""Mandolin Motion Show Academy"" um Punkt 15 Uhr drei Damen zum flotten Stepptanz - zusammen sind sie unglaubliche 277 Jahre alt, pardon jung!","Every Monday at exactly 3 o'clock, three ladies meet at the ""Mandolin Motion Show Academy"" for a lively tap dance - together they are an incredible 277 years old, pardon, young!","Every Monday at exactly 3 o'clock, three ladies meet at the ""Mandolin Motion Show Akademie"" for a lively tap dance - together they are an incredible 277 years young!"
13,"Die Älteste von ihnen ist Ernestine Stauchner, sie feierte kürzlich ihren 102. Geburtstag.","Ernestine Stauchner, the oldest of them, recently celebrated her 102nd birthday.","Ernestine Stauchner, who is the oldest among them, recently celebrated her 102nd birthday."
14,"Für die gebürtige Münchnerin (15. Januar 1921) von der Schwanthaler Höh"" ist der Montag DER Höhepunkt der Woche. ""Tanzen und Steppen ist mein Leben, ohne kann ich mir nicht vorstellen"".","For the native Münchner (born January 15, 1921) from the Schwanthaler Höh"", Monday is THE highlight of the week. ""Dancing and tapping is my life, I can't imagine without it"".","For the native Münchnerin (born January 15, 1921) from the Schwanthaler Höh, Monday is the highlight of her week. ""Dancing and tap dancing is my life, I can't imagine living without it."""
17,"Mit ihren 79 Jahren ist Elfriede Widmann so etwas wie das Küken in der Runde der Stepptänzerinnen. Sie sagt: ""Wir haben hier einfach Spaß mit unserer Tanzlehrerin Sissy Engl"".","""At 79 years old, Elfriede Widmann is something of a chick in the circle of tap dancers. She says: 'We're just having fun with our dance teacher Sissy Engl.'""","At 79 years old, Elfriede Widmann is the youngest among the group of tap dancers. She says: ""We're simply enjoying ourselves with our dance teacher Sissy Engl."""
19,"Die 77-jährige Sissi Engl ist die gute Seele des Tanzstudios am Ostbahnhof. Sie ist Schauspielerin, Tänzerin und Choreografin. ""Wir sind eine große Familie, bei uns sind groß und klein, Alt und Jung willkommen"".","The 77-year-old Sissi Engl is the good soul of the dance studio at the Ostbahnhof. She is an actress, dancer, and choreographer. ""We are a big family, here both the old and young, big and small, are welcome.""","The 77-year-old Sissi Engl is the heart and soul of the dance studio at the East Train Station. She is an actress, dancer, and choreographer. ""We are a welcoming community, where young and old are all embraced."""
