index,original,zero_shot_translation,annotation
0,Diego Cocca wird neuer Nationaltrainer von Mexiko,Diego Cocca becomes the new national coach of Mexico.,"MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The translation ""becomes the new national coach of Mexico"" is a slightly more literal translation compared to the source text ""wird neuer Nationaltrainer von Mexiko"", which has a more idiomatic phrasing.

Fluency Errors
[None]

Locale Convention Errors
[None]

Style Errors
[None]

Terminology Errors
[None]

Non-Translation Errors
[None]

Other Errors
[None]"
3,"Franko Stein (FD Umwelt, links) und Friedhelm Ringe (Nabu) stellen die Pflanzenschilder in den Beeten der Fußgängerzone auf.","Franko Stein (FD Umwelt, left) and Friedhelm Ringe (Nabu) are setting up the plant signs in the flower beds of the pedestrian zone.","MQM annotations:
Accuracy Errors
[Minor]: [Mistranslation] - The German name ""Franko Stein"" is translated as ""Franko Stein"" instead of the more common English name ""Frankenstein"".

Fluency Errors
[Minor]: [Punctuation] - The translation is missing a period at the end of the sentence.

Locale Convention Errors
[No Error]

Style Errors
[No Error]

Terminology Errors
[No Error]

Non-Translation Errors
[No Error]

Other Errors
[No Error]

Overall, the translation is generally accurate and fluent, with only minor errors related to the translation of a proper name and the lack of a final punctuation mark. The translation conveys the meaning of the source text effectively."
6,"Damit das Unterfangen nicht nur eine Aktion von Naturschützern und dem Fachdienst Umwelt der Stadt bleibt, sondern bis in die privaten Gärten hinein weite Kreise zieht, werden immer wieder erklärende Tafeln zu den Pflanzen gestellt. Etwa 50 Schilder sind es bis jetzt. Passanten sollen sich auf diese Weise informieren können, was hier gerade so schön blüht. Die Hoffnung ist, dass Hobbygärtner zu Hause gezielt nachpflanzen.","So that the undertaking is not just an action of nature conservationists and the environmental service of the city, but also reaches wide circles into private gardens, explanatory panels on the plants are set up again and again. There are about 50 signs so far. Passers-by should be able to inform themselves in this way about what is blooming so beautifully here. The hope is that hobby gardeners will deliberately replant at home.","MQM annotations:
Accuracy Errors
[Minor]: [Mistranslation] - The German word ""Unterfangen"" is translated as ""undertaking"" in the English translation, which does not fully capture the meaning of the original word.

Fluency Errors
[Minor]: [Grammar] - The sentence ""Etwa 50 Schilder sind es bis jetzt"" is translated as ""There are about 50 signs so far"", which is grammatically correct but could be improved to ""There are approximately 50 signs so far"".

Locale Convention Errors
[No Errors]

Style Errors
[Minor]: [Awkward] - The phrase ""what is blooming so beautifully here"" could be rephrased in a more natural way, such as ""what is currently in bloom"".

Terminology Errors
[No Errors]

Non-Translation Errors
[No Errors]

Other Errors
[No Errors]

Overall, the translation is generally accurate and fluent, with only minor issues related to word choice, grammar, and style. The translation effectively conveys the meaning of the original German text."
7,In der ersten Januarwoche war bereits Saisonstart bei der Wildhasel,"In the first week of January, the wild hazelnut season had already started.","MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The German term ""Wildhasel"" refers to a type of hazelnut, not a ""wild hazelnut"" as translated.

Fluency Errors
[Minor]: [grammar] - The translation uses the passive voice (""had already started"") instead of the active voice (""started"") which would be more natural in English.

Locale Convention Errors
[No Error]

Style Errors
[No Error]

Terminology Errors
[No Error]

Non-Translation Errors
[No Error]

Other Errors
[No Error]

Overall, the translation is generally accurate and fluent, with only minor errors related to the specific terminology and grammar usage. The translation conveys the meaning of the original German text effectively."
8,"Jüngeren Datums sind Sträucher wie Winterduftheckenkirsche und Winterschneeball in den Beeten der Fußgängerzone. Sie stecken jetzt seit einem Jahr in der Erde der Kübel an der Bergedorer Straße, zeigen blätterlos gerade die ersten zarten Blüten in Weiß und Rosa und sind jüngst mit weiteren Schildern bedacht worden. ""Die Winterduftheckenkirsche ist ein sehr breitbuschiger Strauch und kann zwischen zwei Meter hoch und drei Meter breit werden"", ist dort unter weiteren Angaben etwa zum geeigneten Standort zu lesen.","Newer in date are shrubs like winter-scented honeysuckle and winter snowball in the flower beds of the pedestrian zone. They have been in the soil of the planters on Bergedorer Strasse for about a year now, showing their first delicate white and pink blossoms leaflessly, and have recently been provided with additional signs. ""The winter-scented honeysuckle is a very wide-growing shrub and can reach a height of two meters and a width of three meters,"" it says there among further information about the suitable location.","MQM annotations:
Accuracy Errors
[Minor]: [Mistranslation] - The translation ""winter-scented honeysuckle"" for ""Winterduftheckenkirsche"" is not accurate, as ""Winterduftheckenkirsche"" refers to a specific type of shrub, not honeysuckle.
[Minor]: [Mistranslation] - The translation ""winter snowball"" for ""Winterschneeball"" is not accurate, as ""Winterschneeball"" refers to a specific type of shrub, not a snowball.

Fluency Errors
[Minor]: [Grammar] - The sentence ""They have been in the soil of the planters on Bergedorer Strasse for about a year now, showing their first delicate white and pink blossoms leaflessly"" could be improved by using a more natural phrasing, such as ""They have been planted in the planters on Bergedorer Strasse for about a year now, and are now showing their first delicate white and pink blossoms without leaves.""

Locale Convention Errors
[No Errors]

Style Errors
[Minor]: [Awkward] - The phrase ""have recently been provided with additional signs"" could be rephrased in a more natural way, such as ""have recently been labeled with additional signs.""

Terminology Errors
[No Errors]

Non-translation Errors
[No Errors]

Other Errors
[No Errors]

Overall, the translation is generally accurate and fluent, with only minor errors related to terminology, grammar, and style. The translation conveys the meaning of the original text effectively."
9,"Friedhelm Ringe betont, dass aber nicht nur die Beetpflanzen nun Blüten zeigen. In der ersten Januarwoche war bereits Saisonstart bei der Wildhasel. Sie blüht besonders üppig am Richtweg bei der Steigung, in der Gutenbergstraße, Wilhelm-Holert-Straße, Fahrendofer Weg und vielen Knicks.","Friedhelm Ringe emphasizes that not only the bed plants are now showing flowers. In the first week of January, the wild hazel was already in season. It blooms particularly luxuriantly on the Richtweg at the slope, in the Gutenbergstraße, Wilhelm-Holert-Straße, Fahrendofer Weg and many hedgerows.","MQM annotations:
Accuracy Errors
[Minor]: [Mistranslation] - The German word ""Beetpflanzen"" is translated as ""bed plants"" instead of the more accurate ""flower beds"".
[Minor]: [Mistranslation] - The German word ""Knicks"" is translated as ""hedgerows"" instead of the more accurate ""hedges"".

Fluency Errors
[Minor]: [Grammar] - The sentence ""In the first week of January, the wild hazel was already in season"" could be improved to ""In the first week of January, the wild hazel was already in bloom"".

Locale Convention Errors
[Minor]: [Name] - The street names ""Gutenbergstraße"", ""Wilhelm-Holert-Straße"", and ""Fahrendofer Weg"" are not translated, which may be confusing for an English-speaking audience.

Overall, the translation is generally accurate and fluent, with only minor errors that do not significantly impact the comprehension of the text."
12,"Immer montags treffen sich nämlich dort in der ""Mandolin Motion Show Academy"" um Punkt 15 Uhr drei Damen zum flotten Stepptanz - zusammen sind sie unglaubliche 277 Jahre alt, pardon jung!","Every Monday at exactly 3 o'clock, three ladies meet at the ""Mandolin Motion Show Academy"" for a lively tap dance - together they are an incredible 277 years old, pardon, young!","MQM annotations:
Accuracy Errors
[Minor]: [Mistranslation] - The German phrase ""pardon jung!"" is translated as ""pardon, young!"" which does not accurately convey the intended meaning. The German phrase is used to indicate that the ladies are actually young, despite their combined age of 277 years.

Fluency Errors
[Minor]: [Punctuation] - The translation lacks a comma after ""pardon"" to properly separate the interjection from the rest of the sentence.

Locale Convention Errors
[No Errors]

Style Errors
[No Errors]

Terminology Errors
[No Errors]

Non-Translation Errors
[No Errors]

Other Errors
[No Errors]

Overall, the translation is generally accurate and fluent, with only minor errors related to punctuation and a slight mistranslation of the German phrase ""pardon jung!"". The translation effectively conveys the meaning of the source text."
13,"Die Älteste von ihnen ist Ernestine Stauchner, sie feierte kürzlich ihren 102. Geburtstag.","Ernestine Stauchner, the oldest of them, recently celebrated her 102nd birthday.","MQM annotations:
Accuracy Errors
[Minor]: [omission] - The source text mentions that Ernestine Stauchner is the oldest of ""them"", but the translation does not specify who ""them"" refers to.

Fluency Errors
[No Errors]

Locale Convention Errors
[No Errors]

Style Errors
[No Errors]

Terminology Errors
[No Errors]

Non-Translation Errors
[No Errors]

Other Errors
[No Errors]

Overall, the translation is accurate and fluent, with only a minor omission error."
14,"Für die gebürtige Münchnerin (15. Januar 1921) von der Schwanthaler Höh"" ist der Montag DER Höhepunkt der Woche. ""Tanzen und Steppen ist mein Leben, ohne kann ich mir nicht vorstellen"".","For the native Münchner (born January 15, 1921) from the Schwanthaler Höh"", Monday is THE highlight of the week. ""Dancing and tapping is my life, I can't imagine without it"".","MQM annotations:
Accuracy Errors
[Minor]: [Mistranslation] - The German ""von der Schwanthaler Höh"" is translated as ""from the Schwanthaler Höh"", but it should be ""from Schwanthaler Höh"" without the ""der"".
[Minor]: [Omission] - The German ""Für die gebürtige Münchnerin"" is translated as ""For the native Münchner"", but the feminine ""Münchnerin"" is omitted in the English translation.

Fluency Errors
[Minor]: [Grammar] - The English translation uses the present tense ""is"" instead of the present perfect ""has been"" for the phrase ""Monday is THE highlight of the week"".

Locale Convention Errors
[No Errors]

Style Errors
[Minor]: [Awkward] - The phrase ""I can't imagine without it"" sounds a bit awkward in English and could be rephrased as ""I can't imagine life without it"".

Terminology Errors
[No Errors]

Non-Translation Errors
[No Errors]

Other Errors
[No Errors]

Overall, the translation is generally accurate and fluent, with only minor errors that do not significantly impact the meaning or readability of the text."
17,"Mit ihren 79 Jahren ist Elfriede Widmann so etwas wie das Küken in der Runde der Stepptänzerinnen. Sie sagt: ""Wir haben hier einfach Spaß mit unserer Tanzlehrerin Sissy Engl"".","""At 79 years old, Elfriede Widmann is something of a chick in the circle of tap dancers. She says: 'We're just having fun with our dance teacher Sissy Engl.'""","MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The German phrase ""so etwas wie das Küken"" is translated as ""something of a chick"", which has a slightly different connotation in English.
[Minor]: [omission] - The German phrase ""in der Runde der Stepptänzerinnen"" is not fully captured in the English translation, which only says ""in the circle of tap dancers"".

Fluency Errors
[Minor]: [grammar] - The sentence structure in the English translation could be improved to better match the original German phrasing.

Locale Convention Errors
[None]

Style Errors
[None]

Terminology Errors
[None]

Non-translation Errors
[None]

Other Errors
[None]"
