index,original,translated,locale_convention_annotation
0,Diego Cocca wird neuer Nationaltrainer von Mexiko,Diego Cocca becomes the new national coach of Mexico.,"MQM annotations:
Terminology Errors:
minor: term not applied - The term ""Nationaltrainer"" should have been translated as ""national coach"" instead of ""national coach of Mexico""."
3,"Franko Stein (FD Umwelt, links) und Friedhelm Ringe (Nabu) stellen die Pflanzenschilder in den Beeten der Fußgängerzone auf.","Franko Stein (FD Umwelt, left) and Friedhelm Ringe (Nabu) are setting up the plant signs in the flower beds of the pedestrian zone.","MQM annotations:
Terminology Errors:
minor: term not applied - The term ""FD Umwelt"" is not translated.
minor: wrong term - ""Nabu"" is not translated, it should be translated as ""Nature and Biodiversity Conservation Union"" or a similar term."
6,"Damit das Unterfangen nicht nur eine Aktion von Naturschützern und dem Fachdienst Umwelt der Stadt bleibt, sondern bis in die privaten Gärten hinein weite Kreise zieht, werden immer wieder erklärende Tafeln zu den Pflanzen gestellt. Etwa 50 Schilder sind es bis jetzt. Passanten sollen sich auf diese Weise informieren können, was hier gerade so schön blüht. Die Hoffnung ist, dass Hobbygärtner zu Hause gezielt nachpflanzen.","So that the undertaking is not just an action of nature conservationists and the environmental service of the city, but also reaches wide circles into private gardens, explanatory panels on the plants are set up again and again. There are about 50 signs so far. Passers-by should be able to inform themselves in this way about what is blooming so beautifully here. The hope is that hobby gardeners will deliberately replant at home.","MQM annotations:
Terminology Errors:
minor: term not applied - The term ""Unterfangen"" should have been translated as ""undertaking"" instead of ""endeavor"".
minor: wrong term - The term ""Fachdienst Umwelt"" should have been translated as ""Environmental Service"" instead of ""environmental service"".
minor: wrong term - The term ""Hobbygärtner"" should have been translated as ""hobby gardeners"" instead of ""hobby gardeners""."
7,In der ersten Januarwoche war bereits Saisonstart bei der Wildhasel,"In the first week of January, the wild hazelnut season had already started.","MQM annotations:
Terminology Errors:
[minor]: [TERM NOT APPLIED] - The term ""wild hazelnut"" should have been translated as ""Wildhasel"" instead of ""Wildhasel"" in the target text."
8,"Jüngeren Datums sind Sträucher wie Winterduftheckenkirsche und Winterschneeball in den Beeten der Fußgängerzone. Sie stecken jetzt seit einem Jahr in der Erde der Kübel an der Bergedorer Straße, zeigen blätterlos gerade die ersten zarten Blüten in Weiß und Rosa und sind jüngst mit weiteren Schildern bedacht worden. ""Die Winterduftheckenkirsche ist ein sehr breitbuschiger Strauch und kann zwischen zwei Meter hoch und drei Meter breit werden"", ist dort unter weiteren Angaben etwa zum geeigneten Standort zu lesen.","Newer in date are shrubs like winter-scented honeysuckle and winter snowball in the flower beds of the pedestrian zone. They have been in the soil of the planters on Bergedorer Strasse for about a year now, showing their first delicate white and pink blossoms leaflessly, and have recently been provided with additional signs. ""The winter-scented honeysuckle is a very wide-growing shrub and can reach a height of two meters and a width of three meters,"" it says there among further information about the suitable location.","MQM annotations:
Terminology Errors:
minor: term not applied - The term ""Winterduftheckenkirsche"" should have been translated as ""winter-scented honeysuckle"" instead of ""winter-scented honeysuckle"".
minor: term not applied - The term ""Winterschneeball"" should have been translated as ""winter snowball"" instead of ""winter snowball""."
9,"Friedhelm Ringe betont, dass aber nicht nur die Beetpflanzen nun Blüten zeigen. In der ersten Januarwoche war bereits Saisonstart bei der Wildhasel. Sie blüht besonders üppig am Richtweg bei der Steigung, in der Gutenbergstraße, Wilhelm-Holert-Straße, Fahrendofer Weg und vielen Knicks.","Friedhelm Ringe emphasizes that not only the bed plants are now showing flowers. In the first week of January, the wild hazel was already in season. It blooms particularly luxuriantly on the Richtweg at the slope, in the Gutenbergstraße, Wilhelm-Holert-Straße, Fahrendofer Weg and many hedgerows.","MQM annotations:
Terminology Errors:
minor: term not applied - The term ""Wildhasel"" (wild hazel) is not translated correctly in the English text. The translation ""wild hazel"" would be more appropriate.
minor: wrong term - The term ""Richtweg"" is translated as ""Richtweg"" in the English text, but a more natural translation would be ""path"" or ""trail"".
minor: wrong term - The term ""Knicks"" is translated as ""hedgerows"" in the English text, but a more specific term like ""thickets"" or ""copses"" would be more appropriate."
12,"Immer montags treffen sich nämlich dort in der ""Mandolin Motion Show Academy"" um Punkt 15 Uhr drei Damen zum flotten Stepptanz - zusammen sind sie unglaubliche 277 Jahre alt, pardon jung!","Every Monday at exactly 3 o'clock, three ladies meet at the ""Mandolin Motion Show Academy"" for a lively tap dance - together they are an incredible 277 years old, pardon, young!","MQM annotations:
Terminology Errors:
minor: WRONG TERM - The term ""Mandolin Motion Show Academy"" should be translated more literally as ""Mandolin Motion Show Akademie"" to match the German source.
minor: WRONG TERM - The term ""flotten Stepptanz"" should be translated more literally as ""lively tap dance"" to match the German source.
minor: WRONG TERM - The phrase ""pardon, young!"" should be translated more literally as ""pardon, young!"" to match the German source."
13,"Die Älteste von ihnen ist Ernestine Stauchner, sie feierte kürzlich ihren 102. Geburtstag.","Ernestine Stauchner, the oldest of them, recently celebrated her 102nd birthday.","MQM annotations:
Terminology Errors:
[minor]: [term not applied] - The term ""Ernestine Stauchner"" should have been translated as ""Ernestine Stauchner"" instead of using the source term."
14,"Für die gebürtige Münchnerin (15. Januar 1921) von der Schwanthaler Höh"" ist der Montag DER Höhepunkt der Woche. ""Tanzen und Steppen ist mein Leben, ohne kann ich mir nicht vorstellen"".","For the native Münchner (born January 15, 1921) from the Schwanthaler Höh"", Monday is THE highlight of the week. ""Dancing and tapping is my life, I can't imagine without it"".","MQM annotations:
Terminology Errors:
minor: term not applied - The glossary term ""Schwanthaler Höh"" is not applied correctly in the translation. The translation uses the English term ""Schwanthaler Höh"" instead of a localized term.
minor: wrong term - The term ""Münchner"" is not correctly inflected in the translation. In German, the term should be ""Münchnerin"" to match the feminine gender of the subject."
17,"Mit ihren 79 Jahren ist Elfriede Widmann so etwas wie das Küken in der Runde der Stepptänzerinnen. Sie sagt: ""Wir haben hier einfach Spaß mit unserer Tanzlehrerin Sissy Engl"".","""At 79 years old, Elfriede Widmann is something of a chick in the circle of tap dancers. She says: 'We're just having fun with our dance teacher Sissy Engl.'""","MQM annotations:
Terminology Errors:
minor: term not applied - The term ""Küken"" (chick) is not the most appropriate translation for ""something of a"" in this context. A more suitable translation could be ""the youngest"" or ""the newest""."
19,"Die 77-jährige Sissi Engl ist die gute Seele des Tanzstudios am Ostbahnhof. Sie ist Schauspielerin, Tänzerin und Choreografin. ""Wir sind eine große Familie, bei uns sind groß und klein, Alt und Jung willkommen"".","The 77-year-old Sissi Engl is the good soul of the dance studio at the Ostbahnhof. She is an actress, dancer, and choreographer. ""We are a big family, here both the old and young, big and small, are welcome.""","MQM annotations:
Terminology Errors:
minor: term not applied - The term ""Ostbahnhof"" should have been translated as ""East Train Station"" instead of ""Ostbahnhof"".
minor: wrong term - The term ""good soul"" should have been translated more literally as ""the heart and soul"" to better capture the meaning."
22,Mit fortschreitender Digitalisierung wächst bei so manchen wieder die Lust auf analog,"With increasing digitalization, the desire for analog is growing again in some.","MQM annotations:
Terminology Errors:
[minor]: [TERM NOT APPLIED] - The glossary term ""analog"" should have been translated as ""analógico"" instead of ""analog"" in the given context."
