index,original,translated,accuracy_annotation
0,Diego Cocca wird neuer Nationaltrainer von Mexiko,Diego Cocca becomes the new national coach of Mexico.,"```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None
```"
3,"Franko Stein (FD Umwelt, links) und Friedhelm Ringe (Nabu) stellen die Pflanzenschilder in den Beeten der Fußgängerzone auf.","Franko Stein (FD Umwelt, left) and Friedhelm Ringe (Nabu) are setting up the plant signs in the flowerbeds of the pedestrian zone.","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/omission] - The translation omits the information that Franko Stein is from ""FD Umwelt"" and Friedhelm Ringe is from ""Nabu,"" which are important contextual details.
[Minor]: [accuracy/error_subcategory] - None
```"
6,"Damit das Unterfangen nicht nur eine Aktion von Naturschützern und dem Fachdienst Umwelt der Stadt bleibt, sondern bis in die privaten Gärten hinein weite Kreise zieht, werden immer wieder erklärende Tafeln zu den Pflanzen gestellt. Etwa 50 Schilder sind es bis jetzt. Passanten sollen sich auf diese Weise informieren können, was hier gerade so schön blüht. Die Hoffnung ist, dass Hobbygärtner zu Hause gezielt nachpflanzen.","The text you provided is actually in German, not Hebrew. Here is the translation from German to English:

""In order for the endeavor not to remain just an action by conservationists and the city's environmental service, but to extend into private gardens and reach a wide audience, explanatory signs about the plants are repeatedly placed. There are about 50 signs so far. Passersby should be able to find out what is currently blooming so beautifully here. The hope is that hobby gardeners will deliberately replant at home.""","```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: accuracy/mistranslation - The phrase ""reach a wide audience"" is a mistranslation of ""weite Kreise zieht,"" which more accurately means ""reach a wide circle"" or ""spread widely.""
```"
7,In der ersten Januarwoche war bereits Saisonstart bei der Wildhasel,"The text you provided is actually in German, not Hebrew. Here is the translation to English:

""In the first week of January, the season had already started for the wild hazel.""","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - The term ""wild hazel"" should be ""wild hazel tree"" or ""wild hazel bush"" to accurately reflect ""Wildhasel"" which refers to the plant, not just the hazelnuts.
[Minor]: [accuracy/error_subcategory] - None
```"
8,"Jüngeren Datums sind Sträucher wie Winterduftheckenkirsche und Winterschneeball in den Beeten der Fußgängerzone. Sie stecken jetzt seit einem Jahr in der Erde der Kübel an der Bergedorer Straße, zeigen blätterlos gerade die ersten zarten Blüten in Weiß und Rosa und sind jüngst mit weiteren Schildern bedacht worden. ""Die Winterduftheckenkirsche ist ein sehr breitbuschiger Strauch und kann zwischen zwei Meter hoch und drei Meter breit werden"", ist dort unter weiteren Angaben etwa zum geeigneten Standort zu lesen.","The text you provided is actually in German, not Hebrew. Here is the translation to English:

""Of more recent date are shrubs like winter honeysuckle and winter viburnum in the flower beds of the pedestrian zone. They have been in the soil of the containers on Bergedorfer Straße for a year now, currently showing the first delicate blossoms in white and pink without leaves, and have recently been provided with additional signs. 'The winter honeysuckle is a very broad-bushy shrub and can grow between two meters high and three meters wide,' can be read there along with further information about the suitable location.""","```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: accuracy/mistranslation - ""Jüngeren Datums"" is mistranslated as ""Of more recent date,"" which does not accurately convey the meaning of ""recently planted"" or ""recently added.""
[Major]: accuracy/mistranslation - ""Bergedorfer Straße"" is mistranslated as ""Bergedorfer Straße"" instead of ""Bergedorf Street.""
[Minor]: None
```"
9,"Friedhelm Ringe betont, dass aber nicht nur die Beetpflanzen nun Blüten zeigen. In der ersten Januarwoche war bereits Saisonstart bei der Wildhasel. Sie blüht besonders üppig am Richtweg bei der Steigung, in der Gutenbergstraße, Wilhelm-Holert-Straße, Fahrendofer Weg und vielen Knicks.","The text you provided is actually in German, not Hebrew. Here is the translation to English:

""Friedhelm Ringe emphasizes that not only the cultivated plants are now showing flowers. In the first week of January, the wild hazel already started its season. It blooms particularly abundantly on Richtweg near the incline, in Gutenbergstraße, Wilhelm-Holert-Straße, Fahrendofer Weg, and many hedgerows.""","```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: accuracy/mistranslation - ""cultivated plants"" for ""Beetpflanzen"" (beet plants), which is more specific.
```"
12,"Immer montags treffen sich nämlich dort in der ""Mandolin Motion Show Academy"" um Punkt 15 Uhr drei Damen zum flotten Stepptanz - zusammen sind sie unglaubliche 277 Jahre alt, pardon jung!","Every Monday at exactly 3 PM, three ladies meet at the ""Mandolin Motion Show Academy"" for lively tap dancing - together they are an incredible 277 years old, or rather, young!","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/omission] - The translation omits ""nämlich dort"" which indicates the specific location where the meeting takes place.
[Minor]: [accuracy/mistranslation] - The phrase ""pardon jung"" is translated as ""or rather, young"" which slightly alters the playful tone of the original.
```"
13,"Die Älteste von ihnen ist Ernestine Stauchner, sie feierte kürzlich ihren 102. Geburtstag.","The oldest of them is Ernestine Stauchner, she recently celebrated her 102nd birthday.","```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None
```"
14,"Für die gebürtige Münchnerin (15. Januar 1921) von der Schwanthaler Höh"" ist der Montag DER Höhepunkt der Woche. ""Tanzen und Steppen ist mein Leben, ohne kann ich mir nicht vorstellen"".","The text you provided is actually in German, not Hebrew. Here is the translation to English:

""For the native of Munich (January 15, 1921) from Schwanthaler Höhe, Monday is the highlight of the week. 'Dancing and tap dancing is my life, I can't imagine it without.'""","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/omission] - The phrase ""von der Schwanthaler Höh'"" (from Schwanthaler Höhe) is not fully translated, leading to a loss of specific location information.
[Minor]: [accuracy/mistranslation] - The phrase ""Tanzen und Steppen"" is translated as ""Dancing and tap dancing,"" which is correct, but the structure ""is my life, I can't imagine it without"" is slightly awkward and could be improved for clarity.
```"
17,"Mit ihren 79 Jahren ist Elfriede Widmann so etwas wie das Küken in der Runde der Stepptänzerinnen. Sie sagt: ""Wir haben hier einfach Spaß mit unserer Tanzlehrerin Sissy Engl"".","At 79 years old, Elfriede Widmann is something like the youngster in the group of tap dancers. She says, ""We just have fun here with our dance teacher Sissy Engl.""","```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: accuracy/mistranslation - The phrase ""so etwas wie das Küken"" is translated as ""something like the youngster,"" which is a slightly less accurate rendering. ""Küken"" literally means ""chick"" and is used metaphorically to mean ""the youngest or least experienced person in a group."" However, the translation still conveys the intended meaning.
```"
