index,original,zero_shot_translation,reference_translation
0,Diego Cocca wird neuer Nationaltrainer von Mexiko,Diego Cocca becomes the new national coach of Mexico.,Diego Cocca will become the new national team trainer for Mexico
3,"Franko Stein (FD Umwelt, links) und Friedhelm Ringe (Nabu) stellen die Pflanzenschilder in den Beeten der Fußgängerzone auf.","Franko Stein (FD Umwelt, left) and Friedhelm Ringe (Nabu) are setting up the plant signs in the flowerbeds of the pedestrian zone.","Franko Stein (Environmental Services, left) and Friedhelm Ringe (Nature and Biodiversity Conservation Union) place the plant signs in the beds in the pedestrian zone."
6,"Damit das Unterfangen nicht nur eine Aktion von Naturschützern und dem Fachdienst Umwelt der Stadt bleibt, sondern bis in die privaten Gärten hinein weite Kreise zieht, werden immer wieder erklärende Tafeln zu den Pflanzen gestellt. Etwa 50 Schilder sind es bis jetzt. Passanten sollen sich auf diese Weise informieren können, was hier gerade so schön blüht. Die Hoffnung ist, dass Hobbygärtner zu Hause gezielt nachpflanzen.","The text you provided is actually in German, not Hebrew. Here is the translation from German to English:

""In order for the endeavor not to remain just an action by conservationists and the city's environmental service, but to extend into private gardens and reach a wide audience, explanatory signs about the plants are repeatedly placed. There are about 50 signs so far. Passersby should be able to find out what is currently blooming so beautifully here. The hope is that hobby gardeners will deliberately replant at home.""","Explanatory plaques about the plants are put in place to ensure that the endeavor gains enough momentum to impact private gardens, instead of remaining a campaign limited to environmental activists and the municipal specialized environmental services. There are approximately 50 signs to date. This way, passers-by can learn about what beautiful plants are currently in bloom. The hope is for hobby gardeners to specifically plant them at home."
7,In der ersten Januarwoche war bereits Saisonstart bei der Wildhasel,"The text you provided is actually in German, not Hebrew. Here is the translation to English:

""In the first week of January, the season had already started for the wild hazel.""",Common hazel already came into season in the first week of January
8,"Jüngeren Datums sind Sträucher wie Winterduftheckenkirsche und Winterschneeball in den Beeten der Fußgängerzone. Sie stecken jetzt seit einem Jahr in der Erde der Kübel an der Bergedorer Straße, zeigen blätterlos gerade die ersten zarten Blüten in Weiß und Rosa und sind jüngst mit weiteren Schildern bedacht worden. ""Die Winterduftheckenkirsche ist ein sehr breitbuschiger Strauch und kann zwischen zwei Meter hoch und drei Meter breit werden"", ist dort unter weiteren Angaben etwa zum geeigneten Standort zu lesen.","The text you provided is actually in German, not Hebrew. Here is the translation to English:

""Of more recent date are shrubs like winter honeysuckle and winter viburnum in the flower beds of the pedestrian zone. They have been in the soil of the containers on Bergedorfer Straße for a year now, currently showing the first delicate blossoms in white and pink without leaves, and have recently been provided with additional signs. 'The winter honeysuckle is a very broad-bushy shrub and can grow between two meters high and three meters wide,' can be read there along with further information about the suitable location.""","Recently, shrubs such as winter honeysuckle and arrowwood have been placed in the beds in the pedestrian zone. They have been in the soil of the containers found on Bergedorer Straße for the past year, and although they do not yet have leaves, the first delicate white and pink blossoms have appeared, and were recently furnished with a new sign. ""The winter honeysuckle is a very broadly bushy shrub and may grow up to two meters tall and three meters wide,"" among other information, can be found on the sign, which has been put in a suitable location for reading."
9,"Friedhelm Ringe betont, dass aber nicht nur die Beetpflanzen nun Blüten zeigen. In der ersten Januarwoche war bereits Saisonstart bei der Wildhasel. Sie blüht besonders üppig am Richtweg bei der Steigung, in der Gutenbergstraße, Wilhelm-Holert-Straße, Fahrendofer Weg und vielen Knicks.","The text you provided is actually in German, not Hebrew. Here is the translation to English:

""Friedhelm Ringe emphasizes that not only the cultivated plants are now showing flowers. In the first week of January, the wild hazel already started its season. It blooms particularly abundantly on Richtweg near the incline, in Gutenbergstraße, Wilhelm-Holert-Straße, Fahrendofer Weg, and many hedgerows.""","Friedhelm Ringe emphasizes that not only the plants in the beds are now in bloom. Common hazel came into season during the first week of January. It is particularly abundantly in bloom on the steep hill on Richtweg, on Gutenbergstraße, Wilhelm-Holert-Straße, Fahrendofer Weg, and in numerous hedgerows."
12,"Immer montags treffen sich nämlich dort in der ""Mandolin Motion Show Academy"" um Punkt 15 Uhr drei Damen zum flotten Stepptanz - zusammen sind sie unglaubliche 277 Jahre alt, pardon jung!","Every Monday at exactly 3 PM, three ladies meet at the ""Mandolin Motion Show Academy"" for lively tap dancing - together they are an incredible 277 years old, or rather, young!","That is where three women meet for vigorous tap dancing at 3 pm on the dot at the ""Mandolin Motion Show Academy"" - unbelievably, their combined age is 277 years old, or should I say young!"
13,"Die Älteste von ihnen ist Ernestine Stauchner, sie feierte kürzlich ihren 102. Geburtstag.","The oldest of them is Ernestine Stauchner, she recently celebrated her 102nd birthday.","The oldest of them is Ernestine Stauchner, who recently celebrated her 102nd birthday."
14,"Für die gebürtige Münchnerin (15. Januar 1921) von der Schwanthaler Höh"" ist der Montag DER Höhepunkt der Woche. ""Tanzen und Steppen ist mein Leben, ohne kann ich mir nicht vorstellen"".","The text you provided is actually in German, not Hebrew. Here is the translation to English:

""For the native of Munich (January 15, 1921) from Schwanthaler Höhe, Monday is the highlight of the week. 'Dancing and tap dancing is my life, I can't imagine it without.'""","Monday is THE highlight of the week for the native Munichite (15 January 1921) from Schwanthalerhöhe. ""Dancing and tap dancing is my life, I can't imagine it without them."""
17,"Mit ihren 79 Jahren ist Elfriede Widmann so etwas wie das Küken in der Runde der Stepptänzerinnen. Sie sagt: ""Wir haben hier einfach Spaß mit unserer Tanzlehrerin Sissy Engl"".","At 79 years old, Elfriede Widmann is something like the youngster in the group of tap dancers. She says, ""We just have fun here with our dance teacher Sissy Engl.""","At 79 years old, Elfriede Widmann is the spring chicken among these tap dancing women. ""We simply have fun here with our dance teacher, Sissy Engl,"" she says."
19,"Die 77-jährige Sissi Engl ist die gute Seele des Tanzstudios am Ostbahnhof. Sie ist Schauspielerin, Tänzerin und Choreografin. ""Wir sind eine große Familie, bei uns sind groß und klein, Alt und Jung willkommen"".","The 77-year-old Sissi Engl is the good soul of the dance studio at the Ostbahnhof. She is an actress, dancer, and choreographer. ""We are a big family, with us, big and small, old and young are welcome.""","The 77-year-old Sissi Engl is the heart and soul of the dance studio at the East station. She is an actress, dancer and choreographer. ""We are one big family; we welcome big and small, old and young."""
22,Mit fortschreitender Digitalisierung wächst bei so manchen wieder die Lust auf analog,"The text you provided is actually in German, not Hebrew. Here is the translation to English:

""With advancing digitalization, some people are once again developing a desire for analog.""","As digitalization advances, some people are rediscovering their desire for analog"
23,"Die Rasanz, mit der unser Alltag digital wurde, ließ uns kaum Zeit, Regeln für den Umgang damit aufzustellen und unsere Kommunikations- und Arbeitsweisen daran anzupassen, meint DNN-Kolumnistin Claudia Muntschick.","The speed with which our daily lives became digital left us little time to establish rules for dealing with it and to adapt our communication and working methods accordingly, says DNN columnist Claudia Muntschick.","The speed at which our everyday life is becoming digital does not allow us time to create rules for how to deal with it and adapt the way that we communicate and work, opines DNN columnist Claudia Muntschick."
