index,original,zero_shot_translation,improved_translation
1,"Siso's depictions of land, water center new gallery exhibition",تصويرات سيسو للأرض والماء محور معرض جديد في صالة عرض.,تُعد تصويرات سيسو للأرض والماء محور معرض فني جديد.
6,"Adapt the old, accommodate the new to solve issue",تكييف القديم، استيعاب الجديد لحل المشكلة.,لحل المشكلة، يجب تكييف القديم واستيعاب الجديد.
8,"Our planning system also needs to adapt so that planners in suburban councils, who seem to be less supportive of change, are not the only determinants of the future shape of their suburbs. A way forward could be to have an independent decision-making body that championed quality design as long as it fitted below the tree tops and incorporated family living, large balconies, common gardens and presented a friendly appearance. This could be a role for the current NSW government architect working within a carefully crafted complying code.",يحتاج نظام التخطيط لدينا أيضًا إلى التكيف بحيث لا يكون المخططون في المجالس المحلية بالضواحي، الذين يبدو أنهم أقل دعمًا للتغيير، هم المحددون الوحيدون للشكل المستقبلي لضواحيهم. قد يكون الحل هو وجود هيئة مستقلة لصنع القرار تناصر التصميم الجيد طالما أنه يقع تحت قمم الأشجار ويتضمن الحياة الأسرية والشرفات الكبيرة والحدائق المشتركة ويقدم مظهرًا ودودًا. يمكن أن يكون هذا دور المهندس المعماري الحالي لحكومة نيو ساوث ويلز الذي يعمل ضمن قانون امتثال مصمم بعناية.,يحتاج نظام التخطيط لدينا أيضًا إلى التكيف بحيث لا يكون المخططون في المجالس المحلية بالضواحي، الذين يبدو أنهم أقل دعمًا للتغيير، هم المحددون الوحيدون للشكل المستقبلي لضواحيهم؛ يمكن أن يكون الحل في إنشاء هيئة مستقلة لصنع القرار، تدعم التصميم الجيد بشرط ألا يتجاوز ارتفاعه مستوى الأشجار ويتضمن الحياة الأسرية والشرفات الكبيرة والحدائق المشتركة ويقدم مظهرًا مقبولًا. ويمكن أن يضطلع بهذه المهمة المهندس المعماري الحالي لحكومة نيو ساوث ويلز، والذي يعمل وفقًا لقانون امتثال مصمم بعناية.
9,"Over the past decade, our lives have changed through technology, with many working from home, and Sydney has gained an impressive network of metro and light rail systems. Our ability to purchase online has changed the way we shop, and friends and family seem closer because of smartphone communication. All of these adaptations from one system to another can also occur in our built environment through a planning focus on adaptive reuse rather than preferencing heritage preservation.",على مدى العقد الماضي، تغيرت حياتنا من خلال التكنولوجيا، مع عمل الكثيرين من المنزل، واكتسبت سيدني شبكة رائعة من أنظمة المترو والقطارات الخفيفة. لقد غيرت قدرتنا على الشراء عبر الإنترنت طريقة تسوقنا، ويبدو الأصدقاء والعائلة أقرب بسبب التواصل عبر الهواتف الذكية. يمكن أن تحدث كل هذه التكيفات من نظام إلى آخر أيضًا في بيئتنا المبنية من خلال تركيز التخطيط على إعادة الاستخدام التكيفي بدلاً من تفضيل الحفاظ على التراث.,على مدى العقد الماضي، غيّرت التكنولوجيا أسلوب حياتنا، إذ يعمل الكثيرون من المنزل، وشهدت سيدني تطور شبكة رائعة من أنظمة المترو والقطارات الخفيفة. كما غيّر التسوق عبر الإنترنت طريقة شرائنا، وأصبح الأهل والأصدقاء أقرب بفضل التواصل عبر الهواتف الذكية. ويمكن أن تحدث كل هذه التكيفات في بيئتنا المبنية أيضًا، وذلك من خلال التركيز على التخطيط لإعادة الاستخدام التكيفي بدلًا من إعطاء الأولوية للحفاظ على التراث.
13,"The international financial institution is poised to launch a strategy aimed at significantly advancing the rights and economic opportunities for girls and women by 2030. The plan focuses on improving inclusivity and resilience through access to finance, technological innovation, and changes in public policy and law.",تستعد المؤسسة المالية الدولية لإطلاق استراتيجية تهدف إلى تحقيق تقدم كبير في حقوق وفرص الفتيات والنساء الاقتصادية بحلول عام 2030. وتركز الخطة على تحسين الشمولية والمرونة من خلال الوصول إلى التمويل والابتكار التكنولوجي والتغييرات في السياسات والقوانين العامة.,تستعد المؤسسة المالية الدولية لإطلاق استراتيجية تهدف إلى تعزيز حقوق الفتيات والنساء وفرصهن الاقتصادية بشكل كبير بحلول عام 2030. وتركز الخطة على تحسين الشمولية والقدرة على التكيف من خلال توفير فرص الحصول على التمويل والابتكار التكنولوجي وإدخال تغييرات في السياسات والقوانين العامة.
15,"Shifts in thought are harder to quantify than bank loans for rural women or school enrollment for girls. Yet there is plenty of evidence that female agency can move mountains. In Iran, for example, women have led the greatest threat to the Islamic government in 40 years simply by refusing to comply with laws that force them to cover their hair. In some of the 130 countries with minimum quotas for female representation in government, such as India, male resistance to female voting and political activism has eased.",تغييرات الفكر أصعب في القياس الكمي من القروض المصرفية للنساء الريفيات أو التحاق الفتيات بالمدارس. ومع ذلك، هناك الكثير من الأدلة على أن تمكين المرأة يمكن أن يحرك الجبال. ففي إيران، على سبيل المثال، قادت النساء أكبر تهديد للحكومة الإسلامية منذ 40 عامًا بمجرد رفضهن الامتثال للقوانين التي تجبرهن على تغطية شعرهن. وفي بعض الدول الـ 130 التي لديها حصص دنيا للتمثيل النسائي في الحكومة، مثل الهند، خفت مقاومة الذكور للتصويت النسائي والنشاط السياسي.,تغييرات الفكر أصعب قياسًا من القروض المصرفية المقدمة للنساء الريفيات أو معدلات التحاق الفتيات بالمدارس، ومع ذلك، ثمة أدلة وفيرة على أن القدرة النسائية قادرة على تحريك الجبال؛ ففي إيران، على سبيل المثال، مثلت النساء أكبر تهديد للحكومة الإسلامية منذ 40 عامًا، وذلك بمجرد رفضهن الامتثال للقوانين التي تجبرهن على تغطية شعرهن، وفي بعض الدول الـ 130 التي لديها حد أدنى من الحصص للتمثيل النسائي في الحكومة، مثل الهند، تراجعت مقاومة الذكور للتصويت النسائي والنشاط السياسي.
16,"In some rural African communities, civil society organizations are replacing a harmful rite of passage with health education. One such program helped Kamanda Timayio, leader of the Masai village of Maparasha, Kenya, change his mind about female genital mutilation. He told Le Monde that he had ""emerged from ignorance"" and would abandon the practice.","في بعض المجتمعات الريفية الأفريقية، تحل منظمات المجتمع المدني محل طقوس عبور ضارة بالتثقيف الصحي. ساعد أحد هذه البرامج كاماندا تيمايو، زعيم قرية ماساي في ماباراشا بكينيا، على تغيير رأيه بشأن ختان الإناث. صرح لصحيفة لوموند بأنه ""خرج من الجهل"" وأنه سيتخلى عن هذه الممارسة.","في بعض المجتمعات الريفية الأفريقية، تستبدل منظمات المجتمع المدني طقوس العبور الضارة ببرامج للتثقيف الصحي. وقد ساعد أحد هذه البرامج كاماندا تيمايو، زعيم قرية ماساي في ماباراشا بكينيا، على تغيير رأيه بشأن ختان الإناث. وصرح لصحيفة لوموند بأنه ""خرج من الجهل"" وأنه سيتخلى عن هذه الممارسة."
20,German farmers and train drivers are scaring Germany's bosses,المزارعون وسائقو القطارات الألمان يخيفون رؤساء ألمانيا.,يثير المزارعون الألمان وسائقو القطارات الألمان قلق رؤساء الشركات في ألمانيا.
21,"In Germany, where workers and bosses run many companies jointly, a big strike is unusual. A wave of big strikes is almost unheard of. Right now the country of ""co-determination"" is simultaneously facing an eight-day ""action week"" by irate farmers, who blocked roads with tractors, a three-day strike of railway workers and, to top it off, a looming strike of doctors, who already closed surgeries between Christmas and New Year's Day. This Mistgabelmop (pitchfork mob), as some have taken to calling it, will test Germany's harmonious labour relations in the year to come.","في ألمانيا، حيث يدير العمال والرؤساء العديد من الشركات بشكل مشترك، يُعتبر الإضراب الكبير أمرًا غير معتاد. أما موجة الإضرابات الكبيرة فهي شبه غير مسموعة. في الوقت الحالي، تواجه دولة ""التشارك في الإدارة"" في وقت واحد ""أسبوع عمل"" لمدة ثمانية أيام من قبل المزارعين الغاضبين، الذين أغلقوا الطرق بالجرارات، وإضراب لمدة ثلاثة أيام لعمال السكك الحديدية، وفوق ذلك، إضراب وشيك للأطباء، الذين أغلقوا بالفعل العيادات بين عيد الميلاد ورأس السنة الجديدة. هذه الـ ""Mistgabelmop"" (حشد المذراة)، كما بدأ البعض بتسميتها، ستختبر علاقات العمل المتناغمة في ألمانيا في العام المقبل.","في ألمانيا، حيث يشترك العمال والرؤساء في إدارة العديد من الشركات، يُعد الإضراب الكبير أمرًا غير معتاد، بينما تكاد موجة الإضرابات الكبيرة تكون غير مسبوقة. وتواجه دولة ""الإدارة المشتركة"" الآن ""أسبوع احتجاجي"" لمدة ثمانية أيام من قبل المزارعين الغاضبين الذين أغلقوا الطرق بالجرارات، وإضرابًا لمدة ثلاثة أيام لعمال السكك الحديدية، بالإضافة إلى إضراب وشيك للأطباء الذين سبق لهم إغلاق العيادات بين عيد الميلاد ورأس السنة الجديدة. وهذا الحشد الغاضب أو الـ ""Mistgabelmop"" كما يطلق عليه البعض، سيختبر علاقات العمل المتناغمة في ألمانيا في العام المقبل."
22,"The protests were ostensibly set off by the government's decision to end subsidies for diesel fuel used in agriculture and to cut an exemption from car tax for farm vehicles. These measures pushed farmers over the edge. It also mobilised other angry workers, already straining under the pressure of inflation, recession and the government's self-imposed austerity. On January 9th drivers of freight and passenger trains at Deutsche Bahn, the national railway, began a strike over working hours and pay.",أُطلِقت الاحتجاجات ظاهريًا بسبب قرار الحكومة إنهاء الدعم عن وقود الديزل المستخدم في الزراعة وتقليص الإعفاء من ضريبة السيارات للمركبات الزراعية. دفعت هذه الإجراءات المزارعين إلى حافة الهاوية. كما حشدت عمالًا غاضبين آخرين، كانوا يعانون بالفعل تحت ضغط التضخم والركود والتقشف الذي فرضته الحكومة على نفسها. في التاسع من يناير، بدأ سائقو قطارات الشحن والركاب في دويتشه بان، وهي شركة السكك الحديدية الوطنية، إضرابًا بسبب ساعات العمل والأجور.,أُطلِقت الاحتجاجات ظاهريًا بسبب قرار الحكومة إنهاء الدعم عن وقود الديزل المستخدم في الزراعة وتقليص الإعفاء من ضريبة السيارات للمركبات الزراعية، مما دفع المزارعين إلى نقطة الغليان. كما حشدت عمالًا غاضبين آخرين كانوا يعانون بالفعل تحت ضغط التضخم والركود والتقشف الحكومي. في التاسع من يناير، بدأ سائقو قطارات الشحن والركاب في دويتشه بان التابعة لشركة السكك الحديدية الوطنية إضرابًا بسبب ساعات العمل والأجور.
