index,original,translated,terminology_annotation
1,"Siso's depictions of land, water center new gallery exhibition",تصويرات سيسو للأرض والماء محور معرض جديد في صالة عرض.,"MQM annotations:
Terminology errors:
minor: WRONG TERM/wrong capitalization - ""تصويرات سيسو للأرض والماء محور معرض جديد في [صالة عرض]WRONG TERM."" The term should be capitalized as it is a list element."
6,"Adapt the old, accommodate the new to solve issue",تكييف القديم، استيعاب الجديد لحل المشكلة.,"MQM annotations:
Terminology errors:
minor: WRONG TERM/grammatical error - ""تكييف"" should be ""تكييفُ"" to match the nominative case as the beginning of a sentence, but this is a very minor issue.
minor: WRONG TERM/grammatical error - ""استيعاب"" should be ""استيعابُ"" to match the nominative case as the beginning of a sentence, but this is a very minor issue."
8,"Our planning system also needs to adapt so that planners in suburban councils, who seem to be less supportive of change, are not the only determinants of the future shape of their suburbs. A way forward could be to have an independent decision-making body that championed quality design as long as it fitted below the tree tops and incorporated family living, large balconies, common gardens and presented a friendly appearance. This could be a role for the current NSW government architect working within a carefully crafted complying code.",يحتاج نظام التخطيط لدينا أيضًا إلى التكيف بحيث لا يكون المخططون في المجالس المحلية بالضواحي، الذين يبدو أنهم أقل دعمًا للتغيير، هم المحددون الوحيدون للشكل المستقبلي لضواحيهم. قد يكون الحل هو وجود هيئة مستقلة لصنع القرار تناصر التصميم الجيد طالما أنه يقع تحت قمم الأشجار ويتضمن الحياة الأسرية والشرفات الكبيرة والحدائق المشتركة ويقدم مظهرًا ودودًا. يمكن أن يكون هذا دور المهندس المعماري الحالي لحكومة نيو ساوث ويلز الذي يعمل ضمن قانون امتثال مصمم بعناية.,"MQM annotations:
Terminology errors:
minor: WRONG TERM - The term ""نيو ساوث ويلز"" should be consistently transliterated. The current transliteration, while understandable, may not be the most accurate or standardized.
```"
9,"Over the past decade, our lives have changed through technology, with many working from home, and Sydney has gained an impressive network of metro and light rail systems. Our ability to purchase online has changed the way we shop, and friends and family seem closer because of smartphone communication. All of these adaptations from one system to another can also occur in our built environment through a planning focus on adaptive reuse rather than preferencing heritage preservation.",على مدى العقد الماضي، تغيرت حياتنا من خلال التكنولوجيا، مع عمل الكثيرين من المنزل، واكتسبت سيدني شبكة رائعة من أنظمة المترو والقطارات الخفيفة. لقد غيرت قدرتنا على الشراء عبر الإنترنت طريقة تسوقنا، ويبدو الأصدقاء والعائلة أقرب بسبب التواصل عبر الهواتف الذكية. يمكن أن تحدث كل هذه التكيفات من نظام إلى آخر أيضًا في بيئتنا المبنية من خلال تركيز التخطيط على إعادة الاستخدام التكيفي بدلاً من تفضيل الحفاظ على التراث.,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - The capitalization of ""المترو"" in ""أنظمة المترو"" should match the termbase, which is ""المترو"".
```"
13,"The international financial institution is poised to launch a strategy aimed at significantly advancing the rights and economic opportunities for girls and women by 2030. The plan focuses on improving inclusivity and resilience through access to finance, technological innovation, and changes in public policy and law.",تستعد المؤسسة المالية الدولية لإطلاق استراتيجية تهدف إلى تحقيق تقدم كبير في حقوق وفرص الفتيات والنساء الاقتصادية بحلول عام 2030. وتركز الخطة على تحسين الشمولية والمرونة من خلال الوصول إلى التمويل والابتكار التكنولوجي والتغييرات في السياسات والقوانين العامة.,"```
MQM annotations:
```"
15,"Shifts in thought are harder to quantify than bank loans for rural women or school enrollment for girls. Yet there is plenty of evidence that female agency can move mountains. In Iran, for example, women have led the greatest threat to the Islamic government in 40 years simply by refusing to comply with laws that force them to cover their hair. In some of the 130 countries with minimum quotas for female representation in government, such as India, male resistance to female voting and political activism has eased.",تغييرات الفكر أصعب في القياس الكمي من القروض المصرفية للنساء الريفيات أو التحاق الفتيات بالمدارس. ومع ذلك، هناك الكثير من الأدلة على أن تمكين المرأة يمكن أن يحرك الجبال. ففي إيران، على سبيل المثال، قادت النساء أكبر تهديد للحكومة الإسلامية منذ 40 عامًا بمجرد رفضهن الامتثال للقوانين التي تجبرهن على تغطية شعرهن. وفي بعض الدول الـ 130 التي لديها حصص دنيا للتمثيل النسائي في الحكومة، مثل الهند، خفت مقاومة الذكور للتصويت النسائي والنشاط السياسي.,"MQM annotations:
Terminology errors:
minor: WRONG TERM - ""تمكين المرأة"" should be ""القدرة النسائية"" or similar, to align with the glossary and source text ""female agency."""
16,"In some rural African communities, civil society organizations are replacing a harmful rite of passage with health education. One such program helped Kamanda Timayio, leader of the Masai village of Maparasha, Kenya, change his mind about female genital mutilation. He told Le Monde that he had ""emerged from ignorance"" and would abandon the practice.","في بعض المجتمعات الريفية الأفريقية، تحل منظمات المجتمع المدني محل طقوس عبور ضارة بالتثقيف الصحي. ساعد أحد هذه البرامج كاماندا تيمايو، زعيم قرية ماساي في ماباراشا بكينيا، على تغيير رأيه بشأن ختان الإناث. صرح لصحيفة لوموند بأنه ""خرج من الجهل"" وأنه سيتخلى عن هذه الممارسة.","```
MQM annotations:
Terminology errors:
minor: WRONG TERM/Wrong Term - ""ختان الإناث"" (female genital mutilation) is the correct term, but the article defines it as a rite of passage, not necessarily FGM. In some contexts, ""تشويه الأعضاء التناسلية الأنثوية"" (female genital mutilation) might be more appropriate, but given the context of a ""harmful rite of passage"" and the English source, it is understandable to translate it as ختان الإناث, so its a minor issue.
```"
20,German farmers and train drivers are scaring Germany's bosses,المزارعون وسائقو القطارات الألمان يخيفون رؤساء ألمانيا.,"MQM annotations:
Terminology errors:
Minor: WRONG TERM - The term ""المزارعون"" (farmers) should be more specific based on the context, possibly specifying what kind of farmers. While technically correct, the generic term could be improved for clarity.
Minor: WRONG TERM - Similarly, ""سائقو القطارات"" (train drivers) could benefit from further specification. While not incorrect, the general term might lack nuance."
21,"In Germany, where workers and bosses run many companies jointly, a big strike is unusual. A wave of big strikes is almost unheard of. Right now the country of ""co-determination"" is simultaneously facing an eight-day ""action week"" by irate farmers, who blocked roads with tractors, a three-day strike of railway workers and, to top it off, a looming strike of doctors, who already closed surgeries between Christmas and New Year's Day. This Mistgabelmop (pitchfork mob), as some have taken to calling it, will test Germany's harmonious labour relations in the year to come.","في ألمانيا، حيث يدير العمال والرؤساء العديد من الشركات بشكل مشترك، يُعتبر الإضراب الكبير أمرًا غير معتاد. أما موجة الإضرابات الكبيرة فهي شبه غير مسموعة. في الوقت الحالي، تواجه دولة ""التشارك في الإدارة"" في وقت واحد ""أسبوع عمل"" لمدة ثمانية أيام من قبل المزارعين الغاضبين، الذين أغلقوا الطرق بالجرارات، وإضراب لمدة ثلاثة أيام لعمال السكك الحديدية، وفوق ذلك، إضراب وشيك للأطباء، الذين أغلقوا بالفعل العيادات بين عيد الميلاد ورأس السنة الجديدة. هذه الـ ""Mistgabelmop"" (حشد المذراة)، كما بدأ البعض بتسميتها، ستختبر علاقات العمل المتناغمة في ألمانيا في العام المقبل.","```
MQM annotations:
Terminology errors:
minor: WRONG TERM - ""التشارك في الإدارة"" should be ""الإدارة المشتركة"" to align with standard terminology.
minor: WRONG TERM - ""Mistgabelmop"" is transliterated, but ideally should be translated or explained within the Arabic context.
minor: WRONG TERM - ""أسبوع عمل"" is a literal translation of ""action week"" and might need adjustment to be better understood in Arabic.
```"
22,"The protests were ostensibly set off by the government's decision to end subsidies for diesel fuel used in agriculture and to cut an exemption from car tax for farm vehicles. These measures pushed farmers over the edge. It also mobilised other angry workers, already straining under the pressure of inflation, recession and the government's self-imposed austerity. On January 9th drivers of freight and passenger trains at Deutsche Bahn, the national railway, began a strike over working hours and pay.",أُطلِقت الاحتجاجات ظاهريًا بسبب قرار الحكومة إنهاء الدعم عن وقود الديزل المستخدم في الزراعة وتقليص الإعفاء من ضريبة السيارات للمركبات الزراعية. دفعت هذه الإجراءات المزارعين إلى حافة الهاوية. كما حشدت عمالًا غاضبين آخرين، كانوا يعانون بالفعل تحت ضغط التضخم والركود والتقشف الذي فرضته الحكومة على نفسها. في التاسع من يناير، بدأ سائقو قطارات الشحن والركاب في دويتشه بان، وهي شركة السكك الحديدية الوطنية، إضرابًا بسبب ساعات العمل والأجور.,"MQM annotations:
Terminology errors:
minor: WRONG TERM/grammatical error - ""دويتشه بان"" should be inflected as it is a genitive construct."
24,"The workers"" mood is increasingly angry. ""Appeals are circulating with fantasies of revolution,"" warned Mr Habeck. The far-right Alternative for Germany party is doing its best to fan the grievances. In Dresden the Free Saxons, another far-right group, infiltrated the farmers"" protest calling for the ""extinction of the traffic light"" (as the governing coalition of the Social Democrats, Free Democrats and Greens is referred to because of their party colours).","يزداد مزاج العمال غضباً على نحو متزايد. وحذر السيد هابيك من أن ""نداءات تتداول بأوهام الثورة"". ويبذل حزب البديل من أجل ألمانيا اليميني المتطرف قصارى جهده لتأجيج المظالم. وفي مدينة دريسدن، تسللت جماعة ""أحرار ساكسونيا""، وهي جماعة يمينية متطرفة أخرى، إلى احتجاج المزارعين مطالبين بـ ""إطفاء إشارة المرور"" (كما يُشار إلى الائتلاف الحاكم المكون من الاشتراكيين الديمقراطيين والديمقراطيين الأحرار والخضر بسبب ألوان أحزابهم).","```
MQM annotations:
Terminology errors:
minor: WRONG TERM/Wrong Term - ""إطفاء إشارة المرور"" is a literal translation of ""extinction of the traffic light"" and while understandable, it could be expressed more naturally in Arabic.
```"
27,"As the EU debates rules to limit packaging waste, beer producers argue they are being unfairly discriminated against with exemptions for winemakers from reuse targets and deposit-return schemes, but one of Europe's wine industry association chiefs says brewers should ""mind their own business.""","بينما يناقش الاتحاد الأوروبي قواعد للحد من نفايات التعبئة والتغليف، يجادل منتجو البيرة بأنهم يتعرضون للتمييز غير العادل باستثناءات لصانعي النبيذ من أهداف إعادة الاستخدام وأنظمة استرجاع الودائع، لكن أحد رؤساء جمعيات صناعة النبيذ في أوروبا يقول إن على مصنعي الجعة ""الاهتمام بشؤونهم الخاصة"".","```
MQM annotations:
Terminology errors:
minor: WRONG TERM/Wrong Term - The term ""مصنعي الجعة"" (brewers) is a correct translation of ""brewers"" but in this specific context, ""مُنتِجي البيرة"" (beer producers) would be more appropriate to maintain consistency with the first instance of ""beer producers"" in the translation. However, this is a minor stylistic preference and doesn't significantly impact comprehension.
```"
31,"The 18 December ministerial summit yielded a carve out for winemakers from the requirement that, by the end of the decade, 10% of products must be supplied in reusable containers within a system for reuse or refill, rising to 40% in 2040. The exemption would also apply to the requirement, likewise supported by the European Parliament, that wine should be exempt from deposit-return schemes that should be put in place by 2029 under the proposal.",أسفرت القمة الوزارية التي عُقدت في 18 ديسمبر عن استثناء لمصنعي النبيذ من شرط أن يتم توفير 10٪ من المنتجات في حاويات قابلة لإعادة الاستخدام ضمن نظام لإعادة الاستخدام أو إعادة التعبئة بحلول نهاية العقد، على أن ترتفع النسبة إلى 40٪ في عام 2040. كما يسري الإعفاء على الشرط، الذي يدعمه البرلمان الأوروبي أيضًا، والقاضي بضرورة استثناء النبيذ من مخططات استرداد الودائع التي يجب أن تُوضع حيز التنفيذ بحلول عام 2029 بموجب الاقتراح.,"MQM annotations:
Terminology errors:
minor: WRONG TERM - ""القمة الوزارية"" should be ""اجتماع وزاري"" or ""قمة وزارية"". While the translation isn't incorrect, it isn't the most accurate and natural sounding translation for ""ministerial summit"" in this context.
minor: WRONG TERM - ""البرلمان الأوروبي"" should be ""البرلمان الأوربي"" in the context of the Arab world.
minor: WRONG TERM - ""مخططات استرداد الودائع"" is a valid term, but ""برامج استرجاع الودائع"" or ""نظم استرجاع الودائع"" would be a more precise and natural translation of ""deposit-return schemes"" within the context of environmental policy."
