index,original,translated,accuracy_annotation
1,"Siso's depictions of land, water center new gallery exhibition",سيسو تصوير الأرض والماء يركز على معرض جديد للمعرض,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - ""تصوير الأرض والماء"" does not accurately reflect the meaning of ""Siso's depictions of land, water"" in the source text.
[Minor]: accuracy/addition - ""للمعرض"" is added, which is not present in the source text."
6,"Adapt the old, accommodate the new to solve issue",تكيف القديم، استوعب الجديد لحل المشكلة.,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""تكيف القديم، استوعب الجديد لحل المشكلة"" does not fully capture the meaning of the source text ""Adapt the old, accommodate the new to solve issue"". The translation focuses more on adapting the old and accommodating the new, while the source text emphasizes the need to do both in order to solve the issue.

[Minor]: no-error

The translation is generally accurate, with the main difference being the emphasis on solving the issue, which is not as clearly conveyed in the Arabic translation."
8,"Our planning system also needs to adapt so that planners in suburban councils, who seem to be less supportive of change, are not the only determinants of the future shape of their suburbs. A way forward could be to have an independent decision-making body that championed quality design as long as it fitted below the tree tops and incorporated family living, large balconies, common gardens and presented a friendly appearance. This could be a role for the current NSW government architect working within a carefully crafted complying code.",نظام التخطيط لدينا بحاجة أيضًا إلى التكيف بحيث لا يكون المخططون في المجالس الفرعية، الذين يبدون أقل دعمًا للتغيير، هم المحددون الوحيدون لشكل المستقبل لضواحيهم. قد يكون طريق المضي قدمًا هو إنشاء هيئة اتخاذ قرار مستقلة تدافع عن تصميم عالي الجودة طالما أنه يتناسب أقل من قمم الأشجار ويتضمن العيش العائلي والشرفات الكبيرة والحدائق المشتركة وتقديم مظهر ودي. قد يكون هذا دور المهندس المعماري الحالي للحكومة في نيو ساوث ويلز يعمل ضمن مدونة امتثال محكمة الصياغة.,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - ""المخططون في المجالس الفرعية"" is not accurately translated as ""planners in suburban councils"". The original refers to planners in local councils, not necessarily suburban ones.
[Minor]: accuracy/addition - ""الذين يبدون أقل دعمًا للتغيير"" is an addition not present in the source text.
[Minor]: accuracy/mistranslation - ""هم المحددون الوحيدون لشكل المستقبل لضواحيهم"" does not fully capture the meaning of ""are not the only determinants of the future shape of their suburbs"" from the source.
[Minor]: accuracy/mistranslation - ""قد يكون طريق المضي قدمًا هو إنشاء هيئة اتخاذ قرار مستقلة"" does not precisely match ""A way forward could be to have an independent decision-making body"" from the source.
[Minor]: accuracy/mistranslation - ""تدافع عن تصميم عالي الجودة طالما أنه يتناسب أقل من قمم الأشجار"" does not fully convey the meaning of ""championed quality design as long as it fitted below the tree tops"" from the source.
[Minor]: accuracy/mistranslation - ""والشرفات الكبيرة والحدائق المشتركة وتقديم مظهر ودي"" does not precisely match ""incorporated family living, large balconies, common gardens and presented a friendly appearance"" from the source.
[Minor]: accuracy/mistranslation - ""قد يكون هذا دور المهندس المعماري الحالي للحكومة في نيو ساوث ويلز يعمل ضمن مدونة امتثال محكمة الصياغة"" does not fully capture the meaning of ""This could be a role for the current NSW government architect working within a carefully crafted complying code"" from the source."
9,"Over the past decade, our lives have changed through technology, with many working from home, and Sydney has gained an impressive network of metro and light rail systems. Our ability to purchase online has changed the way we shop, and friends and family seem closer because of smartphone communication. All of these adaptations from one system to another can also occur in our built environment through a planning focus on adaptive reuse rather than preferencing heritage preservation.",خلال العقد الماضي، تغيرت حياتنا من خلال التكنولوجيا، حيث يعمل العديد من الناس من المنزل، وحصلت سيدني على شبكة مترو وسكك حديدية خفيفة مвпечатляющая. لقد غيرت قدرتنا على الشراء عبر الإنترنت طريقة تسوقنا، ويبدو أن الأصدقاء والعائلة أقرب بسبب الاتصالات الهاتفية الذكية. يمكن أن تحدث جميع هذه التكيفات من نظام إلى آخر أيضًا في بيئتنا المبنية من خلال التركيز على إعادة الاستخدام التكيفي بدلاً من تفضيل الحفاظ على التراث.,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: accuracy/mistranslation - The phrase ""сккк хдидиые"" does not accurately reflect the meaning of ""light rail systems"" in the source text.
[Minor]: accuracy/mistranslation - The phrase ""Все эти адаптации от одной системы к другой"" does not accurately convey the meaning of ""All of these adaptations from one system to another"" in the source text."
13,"The international financial institution is poised to launch a strategy aimed at significantly advancing the rights and economic opportunities for girls and women by 2030. The plan focuses on improving inclusivity and resilience through access to finance, technological innovation, and changes in public policy and law.",المؤسسة المالية الدولية على وشك إطلاق استراتيجية تهدف إلى تعزيز حقوق وفرص اقتصادية كبيرة للفتيات والنساء بحلول عام 2030. تركز الخطة على تحسين الشمول والمرونة من خلال الوصول إلى التمويل والابتكار التكنولوجي والتغييرات في السياسات العامة والقانون.,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""تعزيز حقوق وفرص اقتصادية كبيرة"" does not fully capture the meaning of ""significantly advancing the rights and economic opportunities"" in the source text.
[Minor]: accuracy/addition - The phrase ""من خلال"" is added in the translation, which is not present in the source text."
15,"Shifts in thought are harder to quantify than bank loans for rural women or school enrollment for girls. Yet there is plenty of evidence that female agency can move mountains. In Iran, for example, women have led the greatest threat to the Islamic government in 40 years simply by refusing to comply with laws that force them to cover their hair. In some of the 130 countries with minimum quotas for female representation in government, such as India, male resistance to female voting and political activism has eased.",تغيرات في الفكر أصعب قياسًا من قروض البنوك للنساء الريفيات أو التسجيل المدرسي للفتيات. ومع ذلك، هناك الكثير من الأدلة على أن وكالة المرأة يمكن أن تنقل الجبال. في إيران، على سبيل المثال، قادت النساء أكبر تهديد للحكومة الإسلامية في 40 عامًا ببساطة برفضهن الامتثال للقوانين التي تجبرهن على تغطية شعرهن. في بعض من 130 دولة لديها حصص دنيا للتمثيل النسائي في الحكومة، مثل الهند، قد خف المقاومة الذكورية للتصويت النسائي والنشاط السياسي.,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - ""تغيرات في الفكر أصعب قياسًا"" does not fully capture the meaning of ""Shifts in thought are harder to quantify"" as the Arabic translation focuses more on the difficulty of measuring changes in thought rather than the broader concept of quantifying shifts in thought.
[Minor]: accuracy/addition - The phrase ""ببساطة"" (simply) is added in the Arabic translation without a clear equivalent in the source text.
[Minor]: accuracy/omission - The phrase ""the greatest threat to the Islamic government in 40 years"" is not fully captured in the Arabic translation, which only mentions ""أكبر تهديد للحكومة الإسلامية في 40 عامًا"" (the greatest threat to the Islamic government in 40 years)."
16,"In some rural African communities, civil society organizations are replacing a harmful rite of passage with health education. One such program helped Kamanda Timayio, leader of the Masai village of Maparasha, Kenya, change his mind about female genital mutilation. He told Le Monde that he had ""emerged from ignorance"" and would abandon the practice.","في بعض المجتمعات الريفية الأفريقية ، تحل منظمات المجتمع المدني محل طقس انتقالي ضار بالتثقيف الصحي. ساعد برنامج من هذا القبيل كاماندا تيمايو ، زعيم قرية الماساي في ماباراشا ، كينيا ، على تغيير رأيه بشأن ختان الإناث. وقال لو موند إنه ""خرج من الجهل"" وسيتخلى عن الممارسة.","MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""خرج من الجهل"" (emerged from ignorance) does not fully capture the meaning of the source text ""he had 'emerged from ignorance'"", which suggests a change in perspective or understanding.
[Minor]: [accuracy/addition] - The addition of ""وسيتخلى عن الممارسة"" (and will abandon the practice) is not present in the source text, but it accurately reflects the meaning conveyed."
20,German farmers and train drivers are scaring Germany's bosses,المزارعون الألمان وسائقو القطارات يخيفون رؤساء ألمانيا.,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""المزارعون الألمان وسائقو القطارات يخيفون رؤساء ألمانيا"" does not fully capture the meaning of the source text ""German farmers and train drivers are scaring Germany's bosses"". The translation suggests that the farmers and train drivers are frightening the bosses, while the source text indicates that they are causing concern or worry for the bosses.
[Minor]: no-error"
21,"In Germany, where workers and bosses run many companies jointly, a big strike is unusual. A wave of big strikes is almost unheard of. Right now the country of ""co-determination"" is simultaneously facing an eight-day ""action week"" by irate farmers, who blocked roads with tractors, a three-day strike of railway workers and, to top it off, a looming strike of doctors, who already closed surgeries between Christmas and New Year's Day. This Mistgabelmop (pitchfork mob), as some have taken to calling it, will test Germany's harmonious labour relations in the year to come.","في ألمانيا، حيث يدير العمال والمديرون العديد من الشركات بشكل مشترك، فإن الإضراب الكبير أمر غير عادي. موجة الإضرابات الكبيرة أمر نادر الحدوث تقريبًا. في الوقت الحالي، تواجه دولة ""التحديد المشترك"" في نفس الوقت أسبوع ""عمل"" مدته ثمانية أيام من قبل المزارعين الغاضبين، الذين قاموا بحجب الطرق بالجرارات، وإضراب لمدة ثلاثة أيام لعمال السكك الحديدية، وفوق ذلك، إضراب وشيك للأطباء، الذين أغلقوا العيادات بالفعل بين عيد الميلاد ورأس السنة الجديدة. سيختبر هذا ""الحشد المنحرف بالشوكة"" (الحشد المسلح بالشوك)، كما أطلق عليه البعض، العلاقات العمالية المنسجمة في ألمانيا في العام المقبل.","MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""الحشد المنحرف بالشوك"" (the pitchfork mob) does not accurately reflect the meaning of the source text ""Mistgabelmop"" which is a German colloquial term referring to an unruly mob or crowd.
[Minor]: [accuracy/addition] - The addition of ""المسلح بالشوك"" (armed with pitchforks) is not present in the source text and is an unnecessary elaboration."
22,"The protests were ostensibly set off by the government's decision to end subsidies for diesel fuel used in agriculture and to cut an exemption from car tax for farm vehicles. These measures pushed farmers over the edge. It also mobilised other angry workers, already straining under the pressure of inflation, recession and the government's self-imposed austerity. On January 9th drivers of freight and passenger trains at Deutsche Bahn, the national railway, began a strike over working hours and pay.",تم إطلاق الاحتجاجات ظاهريًا بسبب قرار الحكومة بإنهاء الإعانات على وقود الديزل المستخدم في الزراعة وإلغاء الإعفاء من ضريبة السيارات للمركبات الزراعية. دفعت هذه التدابير المزارعين إلى الحافة. كما حشدت أيضًا عمال غاضبين آخرين، يعانون بالفعل من ضغط التضخم والركود والتقشف الذاتي للحكومة. في 9 يناير، بدأ سائقو قطارات البضائع والركاب في Deutsche Bahn، السكك الحديدية الوطنية، إضرابًا بسبب ساعات العمل والأجور.,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The phrase ""pushed farmers over the edge"" is not accurately translated as ""دفعت هذه التدابير المزارعين إلى الحافة"" (These measures pushed the farmers to the edge). The original English phrase conveys a stronger sense of the measures overwhelming or angering the farmers.
[Minor]: accuracy/addition - The phrase ""ظاهريًا"" (ostensibly) is added in the translation, which is not present in the source text."
24,"The workers"" mood is increasingly angry. ""Appeals are circulating with fantasies of revolution,"" warned Mr Habeck. The far-right Alternative for Germany party is doing its best to fan the grievances. In Dresden the Free Saxons, another far-right group, infiltrated the farmers"" protest calling for the ""extinction of the traffic light"" (as the governing coalition of the Social Democrats, Free Democrats and Greens is referred to because of their party colours).","العمال غاضبون بشكل متزايد. ""تتداول الاستئنافات مع خيالات الثورة""، حذر السيد هابيك. تبذل حزب البديل من أجل ألمانيا اليميني المتطرف قصارى جهده لإثارة المظالم. في درسدن ، اخترق الساكسونيون الأحرار ، وهي مجموعة أخرى يمينية متطرفة ، احتجاج المزارعين الذي دعا إلى ""انقراض الإشارة الضوئية"" (كما يشار إلى ائتلاف الحكومة من الديمقراطيين الاشتراكيين والديمقراطيين الأحرار والخضر بسبب ألوان أحزابهم).","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - ""Appeals are circulating with fantasies of revolution"" is not accurately translated as ""تتداول الاستئنافات مع خيالات الثورة"" (Literal translation: ""Appeals are circulating with fantasies of revolution""). The original English conveys a sense of increasing anger and unrest, which is not fully captured in the Arabic translation.
[Minor]: accuracy/addition - The phrase ""as the governing coalition of the Social Democrats, Free Democrats and Greens is referred to because of their party colours"" is added in the Arabic translation, which is not present in the original English text."
27,"As the EU debates rules to limit packaging waste, beer producers argue they are being unfairly discriminated against with exemptions for winemakers from reuse targets and deposit-return schemes, but one of Europe's wine industry association chiefs says brewers should ""mind their own business.""","كما تناقش الاتحاد الأوروبي قواعد لتقييد نفايات التغليف، يجادل منتجو البيرة بأنهم يتعرضون للتمييز بشكل غير عادل مع الإعفاءات الممنوحة لصناعة النبيذ من أهداف إعادة الاستخدام وأنظمة الإيداع والإرجاع، ولكن أحد كبار مسؤولي جمعية صناعة النبيذ الأوروبية يقول إن على المصنعين ينبغي أن ""يهتموا بأعمالهم الخاصة"".","MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""يجادل منتجو البيرة بأنهم يتعرضون للتمييز بشكل غير عادل"" does not fully capture the meaning of the source text, which states that beer producers ""argue they are being unfairly discriminated against"".
[Minor]: [accuracy/addition] - The translation ""مع الإعفاءات الممنوحة لصناعة النبيذ من أهداف إعادة الاستخدام وأنظمة الإيداع والإرجاع"" adds the phrase ""من أهداف إعادة الاستخدام وأنظمة الإيداع والإرجاع"" which is not present in the source text.
[Minor]: [accuracy/mistranslation] - The translation ""ينبغي أن ""يهتموا بأعمالهم الخاصة"""" does not fully capture the meaning of the source text, which states that the wine industry association chief says brewers should ""mind their own business""."
31,"The 18 December ministerial summit yielded a carve out for winemakers from the requirement that, by the end of the decade, 10% of products must be supplied in reusable containers within a system for reuse or refill, rising to 40% in 2040. The exemption would also apply to the requirement, likewise supported by the European Parliament, that wine should be exempt from deposit-return schemes that should be put in place by 2029 under the proposal.",تمخض قمة وزارية في 18 ديسمبر عن استثناء لصناع النبيذ من الشرط القاضي بأن 10% من المنتجات يجب أن تُورَّد في حاويات قابلة لإعادة الاستخدام ضمن نظام لإعادة الاستخدام أو إعادة التعبئة بحلول نهاية العقد، على أن ترتفع هذه النسبة إلى 40% في عام 2040. وسينطبق الاستثناء أيضًا على الشرط، الذي دعمه البرلمان الأوروبي أيضًا، بأن يكون النبيذ معفيًا من نظم إعادة الإيداع التي يجب وضعها بحلول عام 2029 بموجب المقترح.,"MQM annotations:
Accuracy Errors
[Major]: [accuracy/omission] - The translation omits the information about the requirement that by 2040, 40% of products must be supplied in reusable containers.
[Minor]: [accuracy/addition] - The translation adds the phrase ""على أن ترتفع هذه النسبة إلى 40% في عام 2040"" (rising to 40% in 2040), which is not explicitly stated in the source text."
34,"More than 99% of the domestic wine sector is made up of micro- to medium-sized companies, Sánchez Recarte said, questioning the solidity of legal arguments made by brewers and asserting that his organisation had focused on presenting policy makers with information ""relevant and appropriate"" to its own industry.","أكثر من 99% من قطاع النبيذ المحلي مكون من شركات صغيرة إلى متوسطة الحجم، كما قال سانشيز ريكارتي، مشككًا في متانة الحجج القانونية التي قدمها المُنتجون وموكدًا أن منظمته ركزت على تقديم صانعي السياسات بمعلومات ""ذات صلة ومناسبة"" لصناعتها الخاصة.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The phrase ""موكدًا أن منظمته ركزت على تقديم صانعي السياسات بمعلومات"" does not fully reflect the meaning of the source text ""asserting that his organisation had focused on presenting policy makers with information"". The translation is not precise.
[Minor]: accuracy/addition - The phrase ""ذات صلة ومناسبة"" is added and does not have a direct equivalent in the source text."
36,"Brewers of Europe shared with Euronews a brief legal analysis it sent to the European Commission last year, where it argues that wine and beer are competing products that are ""at least partially, substitutable with each other,"" and which argued that rules favouring one over the other would distort the market.","تشارك صناعة البيرة في أوروبا مع يورونيوز تحليلاً قانونياً موجزاً أرسلته إلى المفوضية الأوروبية العام الماضي، حيث تجادل بأن النبيذ والبيرة هما منتجان متنافسان ""على الأقل جزئيًا، قابلان للاستبدال ببعضهما البعض""، وادعت أن القواعد المفضلة لأحدهما على الآخر ستشوه السوق.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""تشارك صناعة البيرة في أوروبا مع يورونيوز"" does not accurately reflect the meaning of the source text ""Brewers of Europe shared with Euronews"". The translation suggests that the Brewers of Europe shared something with Euronews, while the source text indicates that they shared a legal analysis with the European Commission.
[Minor]: accuracy/addition - The translation ""أرسلته إلى المفوضية الأوروبية العام الماضي"" adds the phrase ""العام الماضي"" (last year), which is not present in the source text.
[Minor]: accuracy/mistranslation - The translation ""قابلان للاستبدال ببعضهما البعض"" (substitutable with each other) does not fully capture the nuance of the source text, which states that wine and beer are ""at least partially, substitutable with each other""."
38,"""We therefore advocate for an ambitious PPWR but need a level playing field in packaging legislation where beer and other alcoholic beverages play by the same rules, with each sector contributing fairly to reaching the targets and supporting collection systems,"" Spillane told. ""Any other approach puts the brewers at a competitive disadvantage.""",نحن نؤيد بالتالي نهجًا طموحًا لـ PPWR ولكن نحتاج إلى ساحة مستوية في تشريعات التغليف حيث تلعب البيرة والمشروبات الكحولية الأخرى بنفس القواعد ، مع مساهمة كل قطاع بشكل عادل في تحقيق الأهداف ودعم أنظمة التحصيل ، قال سبيلان. أي نهج آخر يضع المنتجين في موقف تنافسي غير مواتٍ.,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""نحن نؤيد بالتالي نهجًا طموحًا لـ PPWR"" does not fully capture the meaning of the source text ""We therefore advocate for an ambitious PPWR"". The translation focuses on advocating for an ambitious PPWR, but does not convey the nuance of ""therefore"" which suggests this is a conclusion or consequence of a previous statement.
[Minor]: accuracy/addition - The translation ""ولكن نحتاج إلى ساحة مستوية في تشريعات التغليف"" adds the phrase ""ولكن"" (but), which is not present in the source text.
[Minor]: accuracy/omission - The translation omits the phrase ""where beer and other alcoholic beverages play by the same rules"" from the source text."
