index,original,zero_shot_translation,annotation
1,"Siso's depictions of land, water center new gallery exhibition",سيسو تصوير الأرض والماء يركز على معرض جديد للمعرض,"MQM annotations:
Accuracy Errors
[Minor]: [Mistranslation] - The translation ""سيسو تصوير الأرض والماء يركز على معرض جديد للمعرض"" does not accurately convey the meaning of the original English sentence, which is about Siso's depictions of land and water being the focus of a new gallery exhibition.

Fluency Errors
[Minor]: [Grammar] - The translation uses the word ""يركز"" which is grammatically incorrect in this context. A more appropriate translation would be ""يركز معرض جديد على تصوير سيسو للأرض والماء"".

Terminology Errors
[Minor]: [Inappropriate for context] - The translation uses the term ""سيسو"" which may not be familiar to the target audience. A more descriptive term such as ""الفنان سيسو"" would be more appropriate.

Overall, the translation has some minor errors that affect the accuracy and fluency of the text, but the overall meaning is still understandable."
6,"Adapt the old, accommodate the new to solve issue",تكيف القديم، استوعب الجديد لحل المشكلة.,"MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The translation ""استوعب الجديد"" (accommodate the new) does not fully capture the meaning of ""accommodate the new"" in the source text, which implies adapting or making room for the new.

Fluency Errors
[No Errors]

Locale Convention Errors
[No Errors]

Style Errors
[No Errors]

Terminology Errors
[No Errors]

Non-Translation Errors
[No Errors]

Other Errors
[No Errors]"
8,"Our planning system also needs to adapt so that planners in suburban councils, who seem to be less supportive of change, are not the only determinants of the future shape of their suburbs. A way forward could be to have an independent decision-making body that championed quality design as long as it fitted below the tree tops and incorporated family living, large balconies, common gardens and presented a friendly appearance. This could be a role for the current NSW government architect working within a carefully crafted complying code.",نظام التخطيط لدينا بحاجة أيضًا إلى التكيف بحيث لا يكون المخططون في المجالس الفرعية، الذين يبدون أقل دعمًا للتغيير، هم المحددون الوحيدون لشكل المستقبل لضواحيهم. قد يكون طريق المضي قدمًا هو إنشاء هيئة اتخاذ قرار مستقلة تدافع عن تصميم عالي الجودة طالما أنه يتناسب أقل من قمم الأشجار ويتضمن العيش العائلي والشرفات الكبيرة والحدائق المشتركة وتقديم مظهر ودي. قد يكون هذا دور المهندس المعماري الحالي للحكومة في نيو ساوث ويلز يعمل ضمن مدونة امتثال محكمة الصياغة.,"MQM annotations:
Accuracy Errors
[Minor]: [Mistranslation] - The phrase ""below the tree tops"" is not accurately translated as ""less than the tree tops"".
[Minor]: [Omission] - The phrase ""as long as it fitted"" is not translated in the target text.

Fluency Errors
[Minor]: [Grammar] - The phrase ""المحددون الوحيدون"" should be ""المحددون الوحيدون"" to match the plural noun ""المخططون"".
[Minor]: [Punctuation] - The comma after ""المشتركة"" should be a period to separate the two sentences.

Locale Convention Errors
[No Errors]

Style Errors
[Minor]: [Awkward] - The phrasing in the target text is a bit awkward and could be improved for better readability.

Terminology Errors
[No Errors]

Non-Translation Errors
[No Errors]

Other Errors
[No Errors]

Overall, the translation is generally accurate and understandable, with a few minor errors in fluency and style that do not significantly impact the comprehension of the text."
9,"Over the past decade, our lives have changed through technology, with many working from home, and Sydney has gained an impressive network of metro and light rail systems. Our ability to purchase online has changed the way we shop, and friends and family seem closer because of smartphone communication. All of these adaptations from one system to another can also occur in our built environment through a planning focus on adaptive reuse rather than preferencing heritage preservation.",خلال العقد الماضي، تغيرت حياتنا من خلال التكنولوجيا، حيث يعمل العديد من الناس من المنزل، وحصلت سيدني على شبكة مترو وسكك حديدية خفيفة مвпечатляющая. لقد غيرت قدرتنا على الشراء عبر الإنترنت طريقة تسوقنا، ويبدو أن الأصدقاء والعائلة أقرب بسبب الاتصالات الهاتفية الذكية. يمكن أن تحدث جميع هذه التكيفات من نظام إلى آخر أيضًا في بيئتنا المبنية من خلال التركيز على إعادة الاستخدام التكيفي بدلاً من تفضيل الحفاظ على التراث.,"MQM annotations:

Accuracy Errors
[Major]: [Mistranslation] - The phrase ""impressive network of metro and light rail systems"" is mistranslated as ""شبكة مترو وسكك حديدية خفيفة مвпечатляющая"", which does not accurately convey the meaning of the original text.
[Minor]: [Omission] - The word ""our"" is omitted in the translation of the phrase ""our built environment"".

Fluency Errors
[Major]: [Grammar] - The translation contains grammatical errors, such as the incorrect use of the word ""مвпечатляющая"" which is not a proper Arabic word.
[Minor]: [Spelling] - There are some minor spelling errors in the translation, such as the word ""الهاتفية"" which is missing a letter.

Terminology Errors
[Minor]: [Inconsistent use] - The term ""adaptive reuse"" is translated inconsistently throughout the text, using different Arabic words.

Overall, the translation has some major accuracy and fluency issues that disrupt the flow and hinder comprehension of the text. There are also minor errors in terminology and spelling that do not significantly impact the overall quality of the translation."
13,"The international financial institution is poised to launch a strategy aimed at significantly advancing the rights and economic opportunities for girls and women by 2030. The plan focuses on improving inclusivity and resilience through access to finance, technological innovation, and changes in public policy and law.",المؤسسة المالية الدولية على وشك إطلاق استراتيجية تهدف إلى تعزيز حقوق وفرص اقتصادية كبيرة للفتيات والنساء بحلول عام 2030. تركز الخطة على تحسين الشمول والمرونة من خلال الوصول إلى التمويل والابتكار التكنولوجي والتغييرات في السياسات العامة والقانون.,"MQM annotations:
Accuracy Errors
[Minor]: [Mistranslation] - The translation ""تعزيز حقوق وفرص اقتصادية كبيرة"" does not accurately convey the meaning of ""significantly advancing the rights and economic opportunities"" in the source text.

Fluency Errors
[Minor]: [Grammar] - The translation ""تركز الخطة على تحسين الشمول والمرونة"" could be improved by using a more natural grammatical structure, such as ""تركز الخطة على تحسين الشمول والمرونة"".

Locale Convention Errors
[No errors]

Style Errors
[No errors]

Terminology Errors
[No errors]

Non-translation Errors
[No errors]

Other Errors
[No errors]

Overall, the translation is generally accurate and fluent, with only minor issues identified. The translation conveys the main ideas of the source text effectively."
15,"Shifts in thought are harder to quantify than bank loans for rural women or school enrollment for girls. Yet there is plenty of evidence that female agency can move mountains. In Iran, for example, women have led the greatest threat to the Islamic government in 40 years simply by refusing to comply with laws that force them to cover their hair. In some of the 130 countries with minimum quotas for female representation in government, such as India, male resistance to female voting and political activism has eased.",تغيرات في الفكر أصعب قياسًا من قروض البنوك للنساء الريفيات أو التسجيل المدرسي للفتيات. ومع ذلك، هناك الكثير من الأدلة على أن وكالة المرأة يمكن أن تنقل الجبال. في إيران، على سبيل المثال، قادت النساء أكبر تهديد للحكومة الإسلامية في 40 عامًا ببساطة برفضهن الامتثال للقوانين التي تجبرهن على تغطية شعرهن. في بعض من 130 دولة لديها حصص دنيا للتمثيل النسائي في الحكومة، مثل الهند، قد خف المقاومة الذكورية للتصويت النسائي والنشاط السياسي.,"MQM annotations:

Accuracy Errors
[Major]: [mistranslation] - The phrase ""female agency can move mountains"" is not accurately translated as ""وكالة المرأة يمكن أن تنقل الجبال"". The original phrase suggests that women's actions and influence can bring about significant change, but the translation does not convey this meaning effectively.
[Minor]: [omission] - The phrase ""in some of the 130 countries with minimum quotas for female representation in government"" is not fully translated in the target text.

Fluency Errors
[Minor]: [grammar] - The sentence ""تغيرات في الفكر أصعب قياسًا من قروض البنوك للنساء الريفيات أو التسجيل المدرسي للفتيات"" has a grammatical issue, as the verb ""قياسًا"" should be in the nominative case (قياس) to match the subject ""تغيرات"".

Locale Convention Errors
[No errors]

Style Errors
[Minor]: [awkward] - The translation ""ببساطة برفضهن الامتثال للقوانين"" is a bit awkward and could be improved to better capture the meaning of the original phrase ""simply by refusing to comply with laws"".

Terminology Errors
[No errors]

Non-translation Errors
[No errors]

Other Errors
[No errors]

Overall, the translation is generally understandable, but there are some accuracy and fluency issues that could be improved to better convey the meaning of the original text."
16,"In some rural African communities, civil society organizations are replacing a harmful rite of passage with health education. One such program helped Kamanda Timayio, leader of the Masai village of Maparasha, Kenya, change his mind about female genital mutilation. He told Le Monde that he had ""emerged from ignorance"" and would abandon the practice.","في بعض المجتمعات الريفية الأفريقية ، تحل منظمات المجتمع المدني محل طقس انتقالي ضار بالتثقيف الصحي. ساعد برنامج من هذا القبيل كاماندا تيمايو ، زعيم قرية الماساي في ماباراشا ، كينيا ، على تغيير رأيه بشأن ختان الإناث. وقال لو موند إنه ""خرج من الجهل"" وسيتخلى عن الممارسة.","MQM annotations:
Accuracy Errors
[Minor]: [Mistranslation] - The phrase ""rite of passage"" has been translated as ""طقس انتقالي"" which does not fully capture the meaning of a traditional cultural practice that marks a significant transition in a person's life.
[Minor]: [Omission] - The name ""Le Monde"" has not been translated.

Fluency Errors
[Minor]: [Grammar] - The sentence ""ساعد برنامج من هذا القبيل كاماندا تيمايو ، زعيم قرية الماساي في ماباراشا ، كينيا ، على تغيير رأيه بشأن ختان الإناث"" could be improved by using a more natural word order, such as ""ساعد برنامج من هذا القبيل كاماندا تيمايو ، زعيم قرية الماساي في ماباراشا ، كينيا ، في تغيير رأيه بشأن ختان الإناث"".

Locale Convention Errors
[No Errors]

Style Errors
[Minor]: [Awkward] - The translation ""خرج من الجهل"" for ""emerged from ignorance"" is a bit awkward and could be improved to better capture the meaning.

Terminology Errors
[No Errors]

Non-translation Errors
[No Errors]

Other Errors
[No Errors]

Overall, the translation is generally accurate and fluent, with only minor issues related to mistranslation, omission, grammar, and style. The translation is still understandable and conveys the main points of the original text."
20,German farmers and train drivers are scaring Germany's bosses,المزارعون الألمان وسائقو القطارات يخيفون رؤساء ألمانيا.,"MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The translation does not accurately convey the meaning of the original text. The source text refers to ""Germany's bosses"" being scared by German farmers and train drivers, while the translation simply states that ""German farmers and train drivers are scaring Germany's bosses.""

Fluency Errors
[Minor]: [grammar] - The translation has a grammatical error in the use of the plural noun ""رؤساء"" (bosses) with the singular verb ""يخيفون"" (is scaring).

Locale Convention Errors
[No Error]

Style Errors
[No Error]

Terminology Errors
[No Error]

Non-Translation Errors
[No Error]

Other Errors
[No Error]"
21,"In Germany, where workers and bosses run many companies jointly, a big strike is unusual. A wave of big strikes is almost unheard of. Right now the country of ""co-determination"" is simultaneously facing an eight-day ""action week"" by irate farmers, who blocked roads with tractors, a three-day strike of railway workers and, to top it off, a looming strike of doctors, who already closed surgeries between Christmas and New Year's Day. This Mistgabelmop (pitchfork mob), as some have taken to calling it, will test Germany's harmonious labour relations in the year to come.","في ألمانيا، حيث يدير العمال والمديرون العديد من الشركات بشكل مشترك، فإن الإضراب الكبير أمر غير عادي. موجة الإضرابات الكبيرة أمر نادر الحدوث تقريبًا. في الوقت الحالي، تواجه دولة ""التحديد المشترك"" في نفس الوقت أسبوع ""عمل"" مدته ثمانية أيام من قبل المزارعين الغاضبين، الذين قاموا بحجب الطرق بالجرارات، وإضراب لمدة ثلاثة أيام لعمال السكك الحديدية، وفوق ذلك، إضراب وشيك للأطباء، الذين أغلقوا العيادات بالفعل بين عيد الميلاد ورأس السنة الجديدة. سيختبر هذا ""الحشد المنحرف بالشوكة"" (الحشد المسلح بالشوك)، كما أطلق عليه البعض، العلاقات العمالية المنسجمة في ألمانيا في العام المقبل.","MQM annotations:
Accuracy Errors
[Major]: [Mistranslation] - The phrase ""Mistgabelmop"" (pitchfork mob) is not accurately translated. The translation ""الحشد المنحرف بالشوك"" (the deviant mob with pitchforks) does not capture the original meaning.
[Minor]: [Omission] - The translation omits the phrase ""as some have taken to calling it"", which provides additional context.

Fluency Errors
[Minor]: [Grammar] - The translation uses the phrase ""في نفس الوقت"" (at the same time) twice in the same sentence, which could be improved for better flow.

Terminology Errors
[Minor]: [Inconsistent use] - The translation uses the term ""إضراب"" (strike) inconsistently, sometimes using ""عمل"" (action) instead.

Overall, the translation conveys the main points of the source text, but there are some minor errors and inconsistencies that could be improved to enhance the fluency and accuracy of the translation."
22,"The protests were ostensibly set off by the government's decision to end subsidies for diesel fuel used in agriculture and to cut an exemption from car tax for farm vehicles. These measures pushed farmers over the edge. It also mobilised other angry workers, already straining under the pressure of inflation, recession and the government's self-imposed austerity. On January 9th drivers of freight and passenger trains at Deutsche Bahn, the national railway, began a strike over working hours and pay.",تم إطلاق الاحتجاجات ظاهريًا بسبب قرار الحكومة بإنهاء الإعانات على وقود الديزل المستخدم في الزراعة وإلغاء الإعفاء من ضريبة السيارات للمركبات الزراعية. دفعت هذه التدابير المزارعين إلى الحافة. كما حشدت أيضًا عمال غاضبين آخرين، يعانون بالفعل من ضغط التضخم والركود والتقشف الذاتي للحكومة. في 9 يناير، بدأ سائقو قطارات البضائع والركاب في Deutsche Bahn، السكك الحديدية الوطنية، إضرابًا بسبب ساعات العمل والأجور.,"MQM annotations:
Accuracy Errors
[Minor]: [Mistranslation] - The phrase ""over the edge"" is not accurately translated as ""pushed farmers to the edge"". A more accurate translation would be ""pushed farmers over the edge"".
[Minor]: [Omission] - The phrase ""self-imposed austerity"" is not translated in the target text.

Fluency Errors
[Minor]: [Grammar] - The sentence ""It also mobilised other angry workers, already straining under the pressure of inflation, recession and the government's self-imposed austerity"" could be improved by using a more natural grammar structure in the target language.

Locale Convention Errors
[No Errors]

Style Errors
[Minor]: [Awkward] - The translation of the first sentence could be more natural and idiomatic in the target language.

Terminology Errors
[No Errors]

Non-Translation Errors
[No Errors]

Other Errors
[No Errors]

Overall, the translation is generally accurate and understandable, with a few minor issues related to fluency and style. The quality of the translation is acceptable."
