index,original,translated,locale_convention_annotation
1,"Siso's depictions of land, water center new gallery exhibition",سيسو تصوير الأرض والماء يركز على معرض جديد للمعرض,"MQM annotations:
Style Errors:
[Major]: [UNNATURAL FLOW] - The translation ""سيسو تصوير الأرض والماء يركز على معرض جديد للمعرض"" reads awkwardly and lacks the natural flow expected in the target language. A more natural translation would be needed."
6,"Adapt the old, accommodate the new to solve issue",تكيف القديم، استوعب الجديد لحل المشكلة.,"MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation ""تكيف القديم، استوعب الجديد لحل المشكلة"" reads too literally and lacks the natural flow expected in the target language. A more natural expression could be used."
8,"Our planning system also needs to adapt so that planners in suburban councils, who seem to be less supportive of change, are not the only determinants of the future shape of their suburbs. A way forward could be to have an independent decision-making body that championed quality design as long as it fitted below the tree tops and incorporated family living, large balconies, common gardens and presented a friendly appearance. This could be a role for the current NSW government architect working within a carefully crafted complying code.",نظام التخطيط لدينا بحاجة أيضًا إلى التكيف بحيث لا يكون المخططون في المجالس الفرعية، الذين يبدون أقل دعمًا للتغيير، هم المحددون الوحيدون لشكل المستقبل لضواحيهم. قد يكون طريق المضي قدمًا هو إنشاء هيئة اتخاذ قرار مستقلة تدافع عن تصميم عالي الجودة طالما أنه يتناسب أقل من قمم الأشجار ويتضمن العيش العائلي والشرفات الكبيرة والحدائق المشتركة وتقديم مظهر ودي. قد يكون هذا دور المهندس المعماري الحالي للحكومة في نيو ساوث ويلز يعمل ضمن مدونة امتثال محكمة الصياغة.,"MQM annotations:
Style Errors:
[major]: UNNATURAL FLOW - The translation reads too literally and lacks the natural flow expected in the target language. For example, the phrase ""an independent decision-making body that championed quality design"" could be translated in a more natural way.
[minor]: REGISTER - The translation uses a formal tone throughout, while the source text has a more conversational style. For instance, the phrase ""a way forward could be"" could be translated in a less formal manner.
[minor]: COMPANY STYLE - The translation does not follow the client's style guidelines, such as the use of passive voice. For example, ""a role for the current NSW government architect"" could be rephrased to avoid the passive construction."
9,"Over the past decade, our lives have changed through technology, with many working from home, and Sydney has gained an impressive network of metro and light rail systems. Our ability to purchase online has changed the way we shop, and friends and family seem closer because of smartphone communication. All of these adaptations from one system to another can also occur in our built environment through a planning focus on adaptive reuse rather than preferencing heritage preservation.",خلال العقد الماضي، تغيرت حياتنا من خلال التكنولوجيا، حيث يعمل العديد من الناس من المنزل، وحصلت سيدني على شبكة مترو وسكك حديدية خفيفة مвпечатляющая. لقد غيرت قدرتنا على الشراء عبر الإنترنت طريقة تسوقنا، ويبدو أن الأصدقاء والعائلة أقرب بسبب الاتصالات الهاتفية الذكية. يمكن أن تحدث جميع هذه التكيفات من نظام إلى آخر أيضًا في بيئتنا المبنية من خلال التركيز على إعادة الاستخدام التكيفي بدلاً من تفضيل الحفاظ على التراث.,"MQM annotations:
Style Errors:
[major]: [register] - The translation uses a formal register (""قد تحدث"") when a more informal register would be more appropriate.
[minor]: [unnatural flow] - The phrasing ""من نظام إلى آخر"" sounds a bit awkward and overly literal, a more natural expression could be used.
[minor]: [inconsistency] - The translation uses both ""مترو"" and ""سكك حديدية خفيفة"" to refer to the same concept, the terminology should be consistent."
13,"The international financial institution is poised to launch a strategy aimed at significantly advancing the rights and economic opportunities for girls and women by 2030. The plan focuses on improving inclusivity and resilience through access to finance, technological innovation, and changes in public policy and law.",المؤسسة المالية الدولية على وشك إطلاق استراتيجية تهدف إلى تعزيز حقوق وفرص اقتصادية كبيرة للفتيات والنساء بحلول عام 2030. تركز الخطة على تحسين الشمول والمرونة من خلال الوصول إلى التمويل والابتكار التكنولوجي والتغييرات في السياسات العامة والقانون.,"MQM annotations:
Style Errors:
minor: register - The translation uses a more formal register (""المؤسسة المالية الدولية"") compared to the source text (""The international financial institution"").
minor: unnatural flow - The phrase ""تركز الخطة على تحسين الشمول والمرونة"" sounds a bit awkward and could be phrased more naturally."
15,"Shifts in thought are harder to quantify than bank loans for rural women or school enrollment for girls. Yet there is plenty of evidence that female agency can move mountains. In Iran, for example, women have led the greatest threat to the Islamic government in 40 years simply by refusing to comply with laws that force them to cover their hair. In some of the 130 countries with minimum quotas for female representation in government, such as India, male resistance to female voting and political activism has eased.",تغيرات في الفكر أصعب قياسًا من قروض البنوك للنساء الريفيات أو التسجيل المدرسي للفتيات. ومع ذلك، هناك الكثير من الأدلة على أن وكالة المرأة يمكن أن تنقل الجبال. في إيران، على سبيل المثال، قادت النساء أكبر تهديد للحكومة الإسلامية في 40 عامًا ببساطة برفضهن الامتثال للقوانين التي تجبرهن على تغطية شعرهن. في بعض من 130 دولة لديها حصص دنيا للتمثيل النسائي في الحكومة، مثل الهند، قد خف المقاومة الذكورية للتصويت النسائي والنشاط السياسي.,"MQM annotations:
Style Errors:
[major]: [register] - The translation uses a more formal register than the source text, which has a more casual tone.
[minor]: [unnatural flow] - The phrasing in the translation sounds a bit awkward and overly literal, lacking the natural flow of the target language."
16,"In some rural African communities, civil society organizations are replacing a harmful rite of passage with health education. One such program helped Kamanda Timayio, leader of the Masai village of Maparasha, Kenya, change his mind about female genital mutilation. He told Le Monde that he had ""emerged from ignorance"" and would abandon the practice.","في بعض المجتمعات الريفية الأفريقية ، تحل منظمات المجتمع المدني محل طقس انتقالي ضار بالتثقيف الصحي. ساعد برنامج من هذا القبيل كاماندا تيمايو ، زعيم قرية الماساي في ماباراشا ، كينيا ، على تغيير رأيه بشأن ختان الإناث. وقال لو موند إنه ""خرج من الجهل"" وسيتخلى عن الممارسة.","MQM annotations:
Style Errors:
[minor]: [UNNATURAL FLOW] - The translation reads a bit too literally, lacking the natural flow expected in the target language. For example, ""خرج من الجهل"" could be expressed in a more natural way in Arabic.
[minor]: [REGISTER] - The use of the formal pronoun ""له"" when referring to Kamanda Timayio may not be the most appropriate register for the context."
20,German farmers and train drivers are scaring Germany's bosses,المزارعون الألمان وسائقو القطارات يخيفون رؤساء ألمانيا.,"MQM annotations:
Style Errors:
[Major]: [REGISTER] - The translation uses a formal register (""رؤساء"") instead of a more natural, informal expression to refer to ""bosses"" in the given context.
[Minor]: [UNNATURAL FLOW] - The translation reads a bit awkwardly and could be phrased in a more natural, idiomatic way in Arabic."
21,"In Germany, where workers and bosses run many companies jointly, a big strike is unusual. A wave of big strikes is almost unheard of. Right now the country of ""co-determination"" is simultaneously facing an eight-day ""action week"" by irate farmers, who blocked roads with tractors, a three-day strike of railway workers and, to top it off, a looming strike of doctors, who already closed surgeries between Christmas and New Year's Day. This Mistgabelmop (pitchfork mob), as some have taken to calling it, will test Germany's harmonious labour relations in the year to come.","في ألمانيا، حيث يدير العمال والمديرون العديد من الشركات بشكل مشترك، فإن الإضراب الكبير أمر غير عادي. موجة الإضرابات الكبيرة أمر نادر الحدوث تقريبًا. في الوقت الحالي، تواجه دولة ""التحديد المشترك"" في نفس الوقت أسبوع ""عمل"" مدته ثمانية أيام من قبل المزارعين الغاضبين، الذين قاموا بحجب الطرق بالجرارات، وإضراب لمدة ثلاثة أيام لعمال السكك الحديدية، وفوق ذلك، إضراب وشيك للأطباء، الذين أغلقوا العيادات بالفعل بين عيد الميلاد ورأس السنة الجديدة. سيختبر هذا ""الحشد المنحرف بالشوكة"" (الحشد المسلح بالشوك)، كما أطلق عليه البعض، العلاقات العمالية المنسجمة في ألمانيا في العام المقبل.","MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the target language. For example, the phrase ""الحشد المنحرف بالشوك"" (the pitchfork mob) sounds forced and could be expressed more naturally.
[minor]: [REGISTER] - The use of the formal pronoun ""الشوك"" (the pitchfork) when a more informal register would be more appropriate.
[minor]: [INCONSISTENCY] - The translation uses both ""الحشد المنحرف بالشوك"" (the pitchfork mob) and ""الحشد المسلح بالشوك"" (the armed mob with pitchforks) to refer to the same concept, which should be consistent."
22,"The protests were ostensibly set off by the government's decision to end subsidies for diesel fuel used in agriculture and to cut an exemption from car tax for farm vehicles. These measures pushed farmers over the edge. It also mobilised other angry workers, already straining under the pressure of inflation, recession and the government's self-imposed austerity. On January 9th drivers of freight and passenger trains at Deutsche Bahn, the national railway, began a strike over working hours and pay.",تم إطلاق الاحتجاجات ظاهريًا بسبب قرار الحكومة بإنهاء الإعانات على وقود الديزل المستخدم في الزراعة وإلغاء الإعفاء من ضريبة السيارات للمركبات الزراعية. دفعت هذه التدابير المزارعين إلى الحافة. كما حشدت أيضًا عمال غاضبين آخرين، يعانون بالفعل من ضغط التضخم والركود والتقشف الذاتي للحكومة. في 9 يناير، بدأ سائقو قطارات البضائع والركاب في Deutsche Bahn، السكك الحديدية الوطنية، إضرابًا بسبب ساعات العمل والأجور.,"MQM annotations:
Style Errors:
[minor]: [UNNATURAL FLOW] - The translation reads a bit awkwardly and lacks the natural flow expected in the target language. For example, the phrase ""دفعت هذه التدابير المزارعين إلى الحافة"" could be expressed in a more natural way.
[minor]: [REGISTER] - The overall register of the translation seems a bit formal, which may not match the tone of the source text. For instance, the use of ""قد"" in ""قد حشدت أيضًا"" comes across as more formal than necessary."
