index,original,translated,terminology_annotation
1,"Siso's depictions of land, water center new gallery exhibition",سيسو تصوير الأرض والماء يركز على معرض جديد للمعرض,"MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""سيسو"" in the target text does not match the correct term ""Siso"" in the source text.
[major]: [WRONG TERM] - The term ""معرض جديد للمعرض"" in the target text is not the correct translation for ""new gallery exhibition"" in the source text."
6,"Adapt the old, accommodate the new to solve issue",تكيف القديم، استوعب الجديد لحل المشكلة.,"MQM annotations:
Terminology Errors:
minor: term not applied - The glossary term ""تكيف"" should have been used instead of ""استوعب"" to better convey the meaning of ""adapt"" in the source text.
minor: wrong term - The glossary term ""المشكلة"" should have been used instead of ""الجديد"" to accurately reflect the meaning of ""issue"" in the source text."
8,"Our planning system also needs to adapt so that planners in suburban councils, who seem to be less supportive of change, are not the only determinants of the future shape of their suburbs. A way forward could be to have an independent decision-making body that championed quality design as long as it fitted below the tree tops and incorporated family living, large balconies, common gardens and presented a friendly appearance. This could be a role for the current NSW government architect working within a carefully crafted complying code.",نظام التخطيط لدينا بحاجة أيضًا إلى التكيف بحيث لا يكون المخططون في المجالس الفرعية، الذين يبدون أقل دعمًا للتغيير، هم المحددون الوحيدون لشكل المستقبل لضواحيهم. قد يكون طريق المضي قدمًا هو إنشاء هيئة اتخاذ قرار مستقلة تدافع عن تصميم عالي الجودة طالما أنه يتناسب أقل من قمم الأشجار ويتضمن العيش العائلي والشرفات الكبيرة والحدائق المشتركة وتقديم مظهر ودي. قد يكون هذا دور المهندس المعماري الحالي للحكومة في نيو ساوث ويلز يعمل ضمن مدونة امتثال محكمة الصياغة.,"MQM annotations:
Terminology Errors:
major: term not applied - The term ""suburban councils"" is not accurately translated as ""المجالس الفرعية"" (sub-councils) in the Arabic translation. A more appropriate term would be ""المجالس البلدية للضواحي"" (suburban municipal councils).
major: term not applied - The term ""government architect"" is not accurately translated as ""المهندس المعماري للحكومة"" (the government architect) in the Arabic translation. A more appropriate term would be ""المعماري الحكومي"" (the government architect).
minor: wrong term - The term ""complying code"" is translated as ""مدونة امتثال محكمة الصياغة"" (a carefully crafted complying code) in the Arabic translation. The term ""complying code"" could be more accurately translated as ""كود امتثال"" (compliance code)."
9,"Over the past decade, our lives have changed through technology, with many working from home, and Sydney has gained an impressive network of metro and light rail systems. Our ability to purchase online has changed the way we shop, and friends and family seem closer because of smartphone communication. All of these adaptations from one system to another can also occur in our built environment through a planning focus on adaptive reuse rather than preferencing heritage preservation.",خلال العقد الماضي، تغيرت حياتنا من خلال التكنولوجيا، حيث يعمل العديد من الناس من المنزل، وحصلت سيدني على شبكة مترو وسكك حديدية خفيفة مвпечатляющая. لقد غيرت قدرتنا على الشراء عبر الإنترنت طريقة تسوقنا، ويبدو أن الأصدقاء والعائلة أقرب بسبب الاتصالات الهاتفية الذكية. يمكن أن تحدث جميع هذه التكيفات من نظام إلى آخر أيضًا في بيئتنا المبنية من خلال التركيز على إعادة الاستخدام التكيفي بدلاً من تفضيل الحفاظ على التراث.,"MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""metro"" should be translated as ""مترو"" in Arabic.
[major]: [TERM NOT APPLIED] - The term ""light rail"" should be translated as ""سكك حديدية خفيفة"" in Arabic.
[minor]: [WRONG TERM] - The term ""мвпечатляющая"" is not a valid Arabic word and should be replaced with a more appropriate translation."
13,"The international financial institution is poised to launch a strategy aimed at significantly advancing the rights and economic opportunities for girls and women by 2030. The plan focuses on improving inclusivity and resilience through access to finance, technological innovation, and changes in public policy and law.",المؤسسة المالية الدولية على وشك إطلاق استراتيجية تهدف إلى تعزيز حقوق وفرص اقتصادية كبيرة للفتيات والنساء بحلول عام 2030. تركز الخطة على تحسين الشمول والمرونة من خلال الوصول إلى التمويل والابتكار التكنولوجي والتغييرات في السياسات العامة والقانون.,"MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""financial institution"" should be translated as ""مؤسسة مالية"" instead of ""المؤسسة المالية الدولية"".
[minor]: [WRONG TERM] - The term ""girls and women"" should be translated as ""الفتيات والنساء"" instead of ""الفتيات والنساء"".
[minor]: [WRONG TERM] - The term ""public policy and law"" should be translated as ""السياسات العامة والقانون"" instead of ""السياسات العامة والقانون""."
15,"Shifts in thought are harder to quantify than bank loans for rural women or school enrollment for girls. Yet there is plenty of evidence that female agency can move mountains. In Iran, for example, women have led the greatest threat to the Islamic government in 40 years simply by refusing to comply with laws that force them to cover their hair. In some of the 130 countries with minimum quotas for female representation in government, such as India, male resistance to female voting and political activism has eased.",تغيرات في الفكر أصعب قياسًا من قروض البنوك للنساء الريفيات أو التسجيل المدرسي للفتيات. ومع ذلك، هناك الكثير من الأدلة على أن وكالة المرأة يمكن أن تنقل الجبال. في إيران، على سبيل المثال، قادت النساء أكبر تهديد للحكومة الإسلامية في 40 عامًا ببساطة برفضهن الامتثال للقوانين التي تجبرهن على تغطية شعرهن. في بعض من 130 دولة لديها حصص دنيا للتمثيل النسائي في الحكومة، مثل الهند، قد خف المقاومة الذكورية للتصويت النسائي والنشاط السياسي.,"MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""agency"" should have been translated as ""وكالة"" instead of ""وكالة المرأة"".
[minor]: [WRONG TERM] - The term ""representation"" should have been translated as ""تمثيل"" instead of ""التمثيل""."
16,"In some rural African communities, civil society organizations are replacing a harmful rite of passage with health education. One such program helped Kamanda Timayio, leader of the Masai village of Maparasha, Kenya, change his mind about female genital mutilation. He told Le Monde that he had ""emerged from ignorance"" and would abandon the practice.","في بعض المجتمعات الريفية الأفريقية ، تحل منظمات المجتمع المدني محل طقس انتقالي ضار بالتثقيف الصحي. ساعد برنامج من هذا القبيل كاماندا تيمايو ، زعيم قرية الماساي في ماباراشا ، كينيا ، على تغيير رأيه بشأن ختان الإناث. وقال لو موند إنه ""خرج من الجهل"" وسيتخلى عن الممارسة.","MQM annotations:
Terminology Errors:
minor: term not applied - The term ""civil society organizations"" should be translated as ""منظمات المجتمع المدني"" instead of ""منظمات المجتمع المدني"".
minor: wrong term - The term ""rite of passage"" should be translated as ""طقس انتقالي"" instead of ""طقس انتقالي ضار"".
minor: wrong term - The term ""female genital mutilation"" should be translated as ""ختان الإناث"" instead of ""ختان الإناث""."
20,German farmers and train drivers are scaring Germany's bosses,المزارعون الألمان وسائقو القطارات يخيفون رؤساء ألمانيا.,"MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""رؤساء"" (bosses) does not accurately convey the meaning of ""Germany's bosses"" in the source text."
21,"In Germany, where workers and bosses run many companies jointly, a big strike is unusual. A wave of big strikes is almost unheard of. Right now the country of ""co-determination"" is simultaneously facing an eight-day ""action week"" by irate farmers, who blocked roads with tractors, a three-day strike of railway workers and, to top it off, a looming strike of doctors, who already closed surgeries between Christmas and New Year's Day. This Mistgabelmop (pitchfork mob), as some have taken to calling it, will test Germany's harmonious labour relations in the year to come.","في ألمانيا، حيث يدير العمال والمديرون العديد من الشركات بشكل مشترك، فإن الإضراب الكبير أمر غير عادي. موجة الإضرابات الكبيرة أمر نادر الحدوث تقريبًا. في الوقت الحالي، تواجه دولة ""التحديد المشترك"" في نفس الوقت أسبوع ""عمل"" مدته ثمانية أيام من قبل المزارعين الغاضبين، الذين قاموا بحجب الطرق بالجرارات، وإضراب لمدة ثلاثة أيام لعمال السكك الحديدية، وفوق ذلك، إضراب وشيك للأطباء، الذين أغلقوا العيادات بالفعل بين عيد الميلاد ورأس السنة الجديدة. سيختبر هذا ""الحشد المنحرف بالشوكة"" (الحشد المسلح بالشوك)، كما أطلق عليه البعض، العلاقات العمالية المنسجمة في ألمانيا في العام المقبل.","MQM annotations:
Terminology Errors:
major: TERM NOT APPLIED - The term ""co-determination"" should have been translated as ""التحديد المشترك"" instead of ""التحديد المشترك"".
major: WRONG TERM - The term ""Mistgabelmop"" (pitchfork mob) is not a standard German term and should have been translated more literally."
22,"The protests were ostensibly set off by the government's decision to end subsidies for diesel fuel used in agriculture and to cut an exemption from car tax for farm vehicles. These measures pushed farmers over the edge. It also mobilised other angry workers, already straining under the pressure of inflation, recession and the government's self-imposed austerity. On January 9th drivers of freight and passenger trains at Deutsche Bahn, the national railway, began a strike over working hours and pay.",تم إطلاق الاحتجاجات ظاهريًا بسبب قرار الحكومة بإنهاء الإعانات على وقود الديزل المستخدم في الزراعة وإلغاء الإعفاء من ضريبة السيارات للمركبات الزراعية. دفعت هذه التدابير المزارعين إلى الحافة. كما حشدت أيضًا عمال غاضبين آخرين، يعانون بالفعل من ضغط التضخم والركود والتقشف الذاتي للحكومة. في 9 يناير، بدأ سائقو قطارات البضائع والركاب في Deutsche Bahn، السكك الحديدية الوطنية، إضرابًا بسبب ساعات العمل والأجور.,"MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""Deutsche Bahn"" should have been translated as ""الشركة الحديدية الألمانية"" instead of ""السكك الحديدية الوطنية"".
[minor]: [WRONG TERM] - The term ""freight and passenger trains"" should have been translated as ""قطارات البضائع والركاب"" instead of ""قطارات البضائع والركاب""."
