index,original,translated,accuracy_annotation
1,"Siso's depictions of land, water center new gallery exhibition",تصويرات سيسو للأرض والماء تركز على معرض جديد في صالة العرض.,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The translation ""تصويرات سيسو للأرض والماء تركز على معرض جديد في صالة العرض"" does not accurately convey the meaning of the source text. The phrase ""center new gallery exhibition"" is mistranslated as ""تركز على معرض جديد في صالة العرض,"" which implies that the depictions focus on the exhibition, rather than being the central theme of the exhibition.
[Major]: [accuracy/omission] - The translation omits the concept that Siso's depictions are the central theme of the new gallery exhibition.
[Minor]: [accuracy/addition] - None
```"
6,"Adapt the old, accommodate the new to solve issue",تكيف مع القديم واستوعب الجديد لحل المشكلة.,"```
MQM annotations:
Accuracy Errors
[Critical]: accuracy/mistranslation - The phrase ""Adapt the old, accommodate the new"" is mistranslated as ""تكيف مع القديم واستوعب الجديد,"" which means ""Adapt to the old and absorb the new,"" altering the intended meaning.
[Major]: None
[Minor]: None
```"
8,"Our planning system also needs to adapt so that planners in suburban councils, who seem to be less supportive of change, are not the only determinants of the future shape of their suburbs. A way forward could be to have an independent decision-making body that championed quality design as long as it fitted below the tree tops and incorporated family living, large balconies, common gardens and presented a friendly appearance. This could be a role for the current NSW government architect working within a carefully crafted complying code.",يحتاج نظام التخطيط لدينا أيضًا إلى التكيف بحيث لا يكون المخططون في المجالس الضواحي، الذين يبدو أنهم أقل دعمًا للتغيير، هم الوحيدون الذين يحددون الشكل المستقبلي لضواحيهم. يمكن أن يكون الطريق إلى الأمام هو وجود هيئة مستقلة لاتخاذ القرارات تدعم التصميم الجيد طالما أنه يتناسب تحت قمم الأشجار ويشمل الحياة الأسرية والشرفات الكبيرة والحدائق المشتركة ويقدم مظهرًا ودودًا. يمكن أن يكون هذا دورًا للمهندس المعماري الحالي لحكومة نيو ساوث ويلز الذي يعمل ضمن قانون امتثال مصمم بعناية.,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - ""planners in suburban councils"" was mistranslated as ""المخططون في المجالس الضواحي,"" which implies planners within suburban councils rather than planners of suburban councils.
[Major]: [accuracy/mistranslation] - ""current NSW government architect"" was mistranslated as ""المهندس المعماري الحالي لحكومة نيو ساوث ويلز,"" which implies the architect is part of the government rather than an independent role.
[Minor]: [accuracy/omission] - The phrase ""carefully crafted complying code"" was translated as ""قانون امتثال مصمم بعناية,"" which omits the implication of a regulatory framework or guidelines.
```"
9,"Over the past decade, our lives have changed through technology, with many working from home, and Sydney has gained an impressive network of metro and light rail systems. Our ability to purchase online has changed the way we shop, and friends and family seem closer because of smartphone communication. All of these adaptations from one system to another can also occur in our built environment through a planning focus on adaptive reuse rather than preferencing heritage preservation.",على مدار العقد الماضي، تغيرت حياتنا من خلال التكنولوجيا، حيث يعمل الكثيرون من المنزل، واكتسبت سيدني شبكة رائعة من أنظمة المترو والسكك الحديدية الخفيفة. لقد غيرت قدرتنا على الشراء عبر الإنترنت الطريقة التي نتسوق بها، ويبدو أن الأصدقاء والعائلة أقرب بسبب التواصل عبر الهواتف الذكية. يمكن أن تحدث كل هذه التكيفات من نظام إلى آخر أيضًا في بيئتنا المبنية من خلال التركيز على إعادة الاستخدام التكيفي بدلاً من تفضيل الحفاظ على التراث.,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - ""تفضيل الحفاظ على التراث"" (preferencing heritage preservation) is a mistranslation. The source text suggests a focus on adaptive reuse rather than prioritizing heritage preservation, but the translation implies a preference for heritage preservation.
[Minor]: [accuracy/error_subcategory] - None
```"
13,"The international financial institution is poised to launch a strategy aimed at significantly advancing the rights and economic opportunities for girls and women by 2030. The plan focuses on improving inclusivity and resilience through access to finance, technological innovation, and changes in public policy and law.",المؤسسة المالية الدولية تستعد لإطلاق استراتيجية تهدف إلى تعزيز حقوق وفرص الفتيات والنساء الاقتصادية بشكل كبير بحلول عام 2030. يركز الخطة على تحسين الشمولية والمرونة من خلال الوصول إلى التمويل، والابتكار التكنولوجي، والتغييرات في السياسة العامة والقانون.,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/omission] - The translation omits ""significantly"" which emphasizes the extent of advancement aimed by the strategy.
[Major]: [accuracy/mistranslation] - ""يُركز الخطة"" should be ""تركز الخطة"" as ""يُركز"" is incorrect for the feminine noun ""الخطة"".
[Minor]: [accuracy/mistranslation] - The translation of ""improving inclusivity and resilience"" as ""تحسين الشمولية والمرونة"" is slightly off as it could be more accurately translated to ""تحسين الشمول والقدرة على الصمود"" to better capture the intended meaning.
```"
15,"Shifts in thought are harder to quantify than bank loans for rural women or school enrollment for girls. Yet there is plenty of evidence that female agency can move mountains. In Iran, for example, women have led the greatest threat to the Islamic government in 40 years simply by refusing to comply with laws that force them to cover their hair. In some of the 130 countries with minimum quotas for female representation in government, such as India, male resistance to female voting and political activism has eased.",التغيرات في الفكر أصعب في القياس من القروض البنكية للنساء الريفيات أو تسجيل الفتيات في المدارس. ومع ذلك، هناك الكثير من الأدلة على أن قدرة النساء على اتخاذ القرارات يمكن أن تحرك الجبال. في إيران، على سبيل المثال، قادت النساء أكبر تهديد للحكومة الإسلامية منذ 40 عامًا ببساطة من خلال رفضهن الامتثال للقوانين التي تجبرهن على تغطية شعرهن. في بعض البلدان الـ130 التي لديها حصص دنيا لتمثيل النساء في الحكومة، مثل الهند، تراجع مقاومة الرجال لتصويت النساء والنشاط السياسي.,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/omission] - The phrase ""Shifts in thought are harder to quantify than"" is omitted, which is crucial for understanding the comparison being made.
[Major]: [accuracy/mistranslation] - ""قدرة النساء على اتخاذ القرارات"" translates to ""women's decision-making ability,"" which doesn't fully capture ""female agency"" as intended in the source.
[Minor]: [accuracy/omission] - The phrase ""such as India"" is omitted, which provides an example of countries with minimum quotas for female representation.
```"
16,"In some rural African communities, civil society organizations are replacing a harmful rite of passage with health education. One such program helped Kamanda Timayio, leader of the Masai village of Maparasha, Kenya, change his mind about female genital mutilation. He told Le Monde that he had ""emerged from ignorance"" and would abandon the practice.","في بعض المجتمعات الريفية الأفريقية، تقوم منظمات المجتمع المدني باستبدال الطقوس الضارة بالتعليم الصحي. ساعد أحد هذه البرامج كاماندا تيمايو، زعيم قرية ماساي في ماباراشا، كينيا، على تغيير رأيه بشأن تشويه الأعضاء التناسلية للإناث. وقال لصحيفة لوموند إنه ""خرج من الجهل"" وسيتخلى عن هذه الممارسة.","```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: accuracy/mistranslation - The phrase ""emerged from ignorance"" is translated as ""خرج من الجهل,"" which is a literal translation but might not fully capture the nuance of the source, where ""emerged"" implies a process of enlightenment or realization.
```"
20,German farmers and train drivers are scaring Germany's bosses,المزارعون الألمان وسائقو القطارات يرعبون رؤساء ألمانيا.,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The translation of ""Germany's bosses"" as ""رؤساء ألمانيا"" is incorrect. It implies ""Germany's leaders"" rather than ""bosses"" in a business context.
[Major]: [accuracy/mistranslation] - The translation of ""scaring"" as ""يرعبون"" is not entirely accurate. ""يرعبون"" means ""terrifying"" or ""frightening,"" which is stronger than ""scaring.""
[Minor]: [accuracy/omission] - None
```"
21,"In Germany, where workers and bosses run many companies jointly, a big strike is unusual. A wave of big strikes is almost unheard of. Right now the country of ""co-determination"" is simultaneously facing an eight-day ""action week"" by irate farmers, who blocked roads with tractors, a three-day strike of railway workers and, to top it off, a looming strike of doctors, who already closed surgeries between Christmas and New Year's Day. This Mistgabelmop (pitchfork mob), as some have taken to calling it, will test Germany's harmonious labour relations in the year to come.","في ألمانيا، حيث يدير العمال والرؤساء العديد من الشركات بشكل مشترك، يُعتبر الإضراب الكبير أمرًا غير معتاد. أما موجة من الإضرابات الكبيرة فهي تكاد تكون غير مسموعة. في الوقت الحالي، تواجه البلاد التي تعرف بـ""التحديد المشترك"" أسبوعًا من ""العمل"" لمدة ثمانية أيام من قبل المزارعين الغاضبين، الذين قاموا بإغلاق الطرق بالجرارات، وإضرابًا لمدة ثلاثة أيام من عمال السكك الحديدية، وعلى رأس ذلك، إضرابًا وشيكًا للأطباء الذين أغلقوا العيادات بين عيد الميلاد ورأس السنة الجديدة. هذا ""حشد مذراة"" كما أطلق عليه البعض، سيختبر العلاقات العمالية المتناغمة في ألمانيا في العام المقبل.","```
MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: accuracy/mistranslation - The phrase ""Mistgabelmop (pitchfork mob)"" is mistranslated as ""حشد مذراة"" which does not convey the intended meaning of a collective protest or uprising.
[Minor]: none
```"
22,"The protests were ostensibly set off by the government's decision to end subsidies for diesel fuel used in agriculture and to cut an exemption from car tax for farm vehicles. These measures pushed farmers over the edge. It also mobilised other angry workers, already straining under the pressure of inflation, recession and the government's self-imposed austerity. On January 9th drivers of freight and passenger trains at Deutsche Bahn, the national railway, began a strike over working hours and pay.",اندلعت الاحتجاجات ظاهريًا بسبب قرار الحكومة إنهاء الدعم للوقود الديزل المستخدم في الزراعة وقطع الإعفاء من ضريبة السيارات للمركبات الزراعية. دفعت هذه الإجراءات المزارعين إلى حافة الهاوية. كما حشدت عمالاً غاضبين آخرين، كانوا يعانون بالفعل تحت ضغط التضخم والركود والتقشف الذي فرضته الحكومة على نفسها. في 9 يناير، بدأ سائقي قطارات الشحن والركاب في شركة دويتشه بان، السكك الحديدية الوطنية، إضرابًا بسبب ساعات العمل والأجور.,"```
MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: accuracy/mistranslation - The phrase ""pushed farmers over the edge"" is translated as ""دفعت هذه الإجراءات المزارعين إلى حافة الهاوية,"" which literally means ""pushed farmers to the edge of the abyss."" While this conveys a similar meaning, it could be considered slightly more dramatic than the original phrase.
```"
