index,original,translated,locale_convention_annotation
1,"Siso's depictions of land, water center new gallery exhibition",تصويرات سيسو للأرض والماء تركز على معرض جديد في صالة العرض.,"```
MQM annotations:
Style Errors:
[major]: [unnatural_flow] - The phrase ""تصويرات سيسو للأرض والماء تركز على معرض جديد في صالة العرض"" reads awkwardly in Arabic. A more natural translation would be ""تصويرات سيسو للأرض والماء محور معرض جديد في صالة العرض.""
```"
6,"Adapt the old, accommodate the new to solve issue",تكيف مع القديم واستوعب الجديد لحل المشكلة.,"```
MQM annotations:
Styles error:
[major]: [UNNATURAL FLOW] - The phrase ""تكيف مع القديم واستوعب الجديد"" is a literal translation and sounds awkward in Arabic. A more natural expression would be ""تأقلم مع القديم وتقبل الجديد"".
```"
8,"Our planning system also needs to adapt so that planners in suburban councils, who seem to be less supportive of change, are not the only determinants of the future shape of their suburbs. A way forward could be to have an independent decision-making body that championed quality design as long as it fitted below the tree tops and incorporated family living, large balconies, common gardens and presented a friendly appearance. This could be a role for the current NSW government architect working within a carefully crafted complying code.",يحتاج نظام التخطيط لدينا أيضًا إلى التكيف بحيث لا يكون المخططون في المجالس الضواحي، الذين يبدو أنهم أقل دعمًا للتغيير، هم الوحيدون الذين يحددون الشكل المستقبلي لضواحيهم. يمكن أن يكون الطريق إلى الأمام هو وجود هيئة مستقلة لاتخاذ القرارات تدعم التصميم الجيد طالما أنه يتناسب تحت قمم الأشجار ويشمل الحياة الأسرية والشرفات الكبيرة والحدائق المشتركة ويقدم مظهرًا ودودًا. يمكن أن يكون هذا دورًا للمهندس المعماري الحالي لحكومة نيو ساوث ويلز الذي يعمل ضمن قانون امتثال مصمم بعناية.,"```
MQM annotations:
Style Errors:
major: unnatural_flow - The phrase ""يحتاج نظام التخطيط لدينا أيضًا إلى التكيف"" could be rephrased for a more natural flow in Arabic, such as ""يجب أن يتكيف نظام التخطيط لدينا أيضًا"".
minor: unnatural_flow - The phrase ""طالما أنه يتناسب تحت قمم الأشجار"" is slightly awkward and could be more naturally expressed as ""طالما أنه لا يتجاوز قمم الأشجار"".
minor: unnatural_flow - The phrase ""يمكن أن يكون هذا دورًا للمهندس المعماري الحالي لحكومة نيو ساوث ويلز"" could be more naturally expressed as ""قد يكون هذا دور المهندس المعماري الحالي لحكومة نيو ساوث ويلز"".
```"
9,"Over the past decade, our lives have changed through technology, with many working from home, and Sydney has gained an impressive network of metro and light rail systems. Our ability to purchase online has changed the way we shop, and friends and family seem closer because of smartphone communication. All of these adaptations from one system to another can also occur in our built environment through a planning focus on adaptive reuse rather than preferencing heritage preservation.",على مدار العقد الماضي، تغيرت حياتنا من خلال التكنولوجيا، حيث يعمل الكثيرون من المنزل، واكتسبت سيدني شبكة رائعة من أنظمة المترو والسكك الحديدية الخفيفة. لقد غيرت قدرتنا على الشراء عبر الإنترنت الطريقة التي نتسوق بها، ويبدو أن الأصدقاء والعائلة أقرب بسبب التواصل عبر الهواتف الذكية. يمكن أن تحدث كل هذه التكيفات من نظام إلى آخر أيضًا في بيئتنا المبنية من خلال التركيز على إعادة الاستخدام التكيفي بدلاً من تفضيل الحفاظ على التراث.,"```
MQM annotations:
Styles error:
[minor]: [unnatural_flow] - The phrase ""اكتسبت سيدني شبكة رائعة من أنظمة المترو والسكك الحديدية الخفيفة"" could be rephrased for a more natural flow in Arabic, such as ""شهدت سيدني تطورًا ملحوظًا في شبكة أنظمة المترو والسكك الحديدية الخفيفة"".
[minor]: [unnatural_flow] - The phrase ""يبدو أن الأصدقاء والعائلة أقرب بسبب التواصل عبر الهواتف الذكية"" could be rephrased for a more natural flow in Arabic, such as ""أصبح الأصدقاء والعائلة أقرب بفضل التواصل عبر الهواتف الذكية"".
```"
13,"The international financial institution is poised to launch a strategy aimed at significantly advancing the rights and economic opportunities for girls and women by 2030. The plan focuses on improving inclusivity and resilience through access to finance, technological innovation, and changes in public policy and law.",المؤسسة المالية الدولية تستعد لإطلاق استراتيجية تهدف إلى تعزيز حقوق وفرص الفتيات والنساء الاقتصادية بشكل كبير بحلول عام 2030. يركز الخطة على تحسين الشمولية والمرونة من خلال الوصول إلى التمويل، والابتكار التكنولوجي، والتغييرات في السياسة العامة والقانون.,"```
MQM annotations:
Styles error:
major: UNNATURAL FLOW - The phrase ""يستعد لإطلاق استراتيجية تهدف إلى تعزيز"" sounds awkward and could be more naturally phrased as ""تعتزم إطلاق استراتيجية لتعزيز"".
minor: UNNATURAL FLOW - The phrase ""بشكل كبير بحلول عام 2030"" could be more naturally expressed as ""بشكل كبير بحلول سنة 2030"".
```"
15,"Shifts in thought are harder to quantify than bank loans for rural women or school enrollment for girls. Yet there is plenty of evidence that female agency can move mountains. In Iran, for example, women have led the greatest threat to the Islamic government in 40 years simply by refusing to comply with laws that force them to cover their hair. In some of the 130 countries with minimum quotas for female representation in government, such as India, male resistance to female voting and political activism has eased.",التغيرات في الفكر أصعب في القياس من القروض البنكية للنساء الريفيات أو تسجيل الفتيات في المدارس. ومع ذلك، هناك الكثير من الأدلة على أن قدرة النساء على اتخاذ القرارات يمكن أن تحرك الجبال. في إيران، على سبيل المثال، قادت النساء أكبر تهديد للحكومة الإسلامية منذ 40 عامًا ببساطة من خلال رفضهن الامتثال للقوانين التي تجبرهن على تغطية شعرهن. في بعض البلدان الـ130 التي لديها حصص دنيا لتمثيل النساء في الحكومة، مثل الهند، تراجع مقاومة الرجال لتصويت النساء والنشاط السياسي.,"```
MQM annotations:
Styles error:
minor: unnatural_flow - The phrase ""قدرة النساء على اتخاذ القرارات يمكن أن تحرك الجبال"" is a literal translation of ""female agency can move mountains,"" which sounds awkward in Arabic. A more natural expression could be used.
minor: unnatural_flow - The phrase ""قادت النساء أكبر تهديد للحكومة الإسلامية منذ 40 عامًا"" is somewhat awkward and could be rephrased for a smoother flow, such as ""شكلت النساء أكبر تهديد للحكومة الإسلامية منذ 40 عامًا"".
```"
16,"In some rural African communities, civil society organizations are replacing a harmful rite of passage with health education. One such program helped Kamanda Timayio, leader of the Masai village of Maparasha, Kenya, change his mind about female genital mutilation. He told Le Monde that he had ""emerged from ignorance"" and would abandon the practice.","في بعض المجتمعات الريفية الأفريقية، تقوم منظمات المجتمع المدني باستبدال الطقوس الضارة بالتعليم الصحي. ساعد أحد هذه البرامج كاماندا تيمايو، زعيم قرية ماساي في ماباراشا، كينيا، على تغيير رأيه بشأن تشويه الأعضاء التناسلية للإناث. وقال لصحيفة لوموند إنه ""خرج من الجهل"" وسيتخلى عن هذه الممارسة.","```
MQM annotations:
Styles error:
minor: unnatural flow - The phrase ""خرج من الجهل"" is a literal translation of ""emerged from ignorance"" and sounds awkward in Arabic. A more natural expression could be used.
```"
20,German farmers and train drivers are scaring Germany's bosses,المزارعون الألمان وسائقو القطارات يرعبون رؤساء ألمانيا.,"```
MQM annotations:
Styles error:
[major]: [unnatural_flow] - The phrase ""يرعبون رؤساء ألمانيا"" is a literal translation and sounds awkward in Arabic. A more natural expression should be used.
```"
21,"In Germany, where workers and bosses run many companies jointly, a big strike is unusual. A wave of big strikes is almost unheard of. Right now the country of ""co-determination"" is simultaneously facing an eight-day ""action week"" by irate farmers, who blocked roads with tractors, a three-day strike of railway workers and, to top it off, a looming strike of doctors, who already closed surgeries between Christmas and New Year's Day. This Mistgabelmop (pitchfork mob), as some have taken to calling it, will test Germany's harmonious labour relations in the year to come.","في ألمانيا، حيث يدير العمال والرؤساء العديد من الشركات بشكل مشترك، يُعتبر الإضراب الكبير أمرًا غير معتاد. أما موجة من الإضرابات الكبيرة فهي تكاد تكون غير مسموعة. في الوقت الحالي، تواجه البلاد التي تعرف بـ""التحديد المشترك"" أسبوعًا من ""العمل"" لمدة ثمانية أيام من قبل المزارعين الغاضبين، الذين قاموا بإغلاق الطرق بالجرارات، وإضرابًا لمدة ثلاثة أيام من عمال السكك الحديدية، وعلى رأس ذلك، إضرابًا وشيكًا للأطباء الذين أغلقوا العيادات بين عيد الميلاد ورأس السنة الجديدة. هذا ""حشد مذراة"" كما أطلق عليه البعض، سيختبر العلاقات العمالية المتناغمة في ألمانيا في العام المقبل.","```
MQM annotations:
major: style/unnatural flow - The phrase ""البلاد التي تعرف بـ""التحديد المشترك"""" is a literal translation of ""the country of 'co-determination'"", which sounds awkward and could be expressed more naturally.
minor: style/unnatural flow - The term ""حشد مذراة"" for ""pitchfork mob"" is a literal translation that may not convey the intended figurative meaning effectively in Arabic.
```"
22,"The protests were ostensibly set off by the government's decision to end subsidies for diesel fuel used in agriculture and to cut an exemption from car tax for farm vehicles. These measures pushed farmers over the edge. It also mobilised other angry workers, already straining under the pressure of inflation, recession and the government's self-imposed austerity. On January 9th drivers of freight and passenger trains at Deutsche Bahn, the national railway, began a strike over working hours and pay.",اندلعت الاحتجاجات ظاهريًا بسبب قرار الحكومة إنهاء الدعم للوقود الديزل المستخدم في الزراعة وقطع الإعفاء من ضريبة السيارات للمركبات الزراعية. دفعت هذه الإجراءات المزارعين إلى حافة الهاوية. كما حشدت عمالاً غاضبين آخرين، كانوا يعانون بالفعل تحت ضغط التضخم والركود والتقشف الذي فرضته الحكومة على نفسها. في 9 يناير، بدأ سائقي قطارات الشحن والركاب في شركة دويتشه بان، السكك الحديدية الوطنية، إضرابًا بسبب ساعات العمل والأجور.,"```
MQM annotations:
Styles error:
[major]: [UNNATURAL FLOW] - The phrase ""دفعت هذه الإجراءات المزارعين إلى حافة الهاوية"" is a literal translation of ""pushed farmers over the edge"" and sounds awkward in Arabic. A more natural expression could be used.
[minor]: [UNNATURAL FLOW] - The phrase ""كما حشدت عمالاً غاضبين آخرين"" is slightly awkward and could be rephrased for better flow, such as ""كما أثارت غضب عمال آخرين"".
```"
