index,original,zero_shot_translation,reference_translation
1,"Siso's depictions of land, water center new gallery exhibition",تصويرات سيسو للأرض والماء تركز على معرض جديد في صالة العرض.,رسومات سيسو عن الأرض والمية في معرضه الجديد
6,"Adapt the old, accommodate the new to solve issue",تكيف مع القديم واستوعب الجديد لحل المشكلة.,بنتأقلم مع القديم ونواكب الجديد علشان نحل المشكلة
8,"Our planning system also needs to adapt so that planners in suburban councils, who seem to be less supportive of change, are not the only determinants of the future shape of their suburbs. A way forward could be to have an independent decision-making body that championed quality design as long as it fitted below the tree tops and incorporated family living, large balconies, common gardens and presented a friendly appearance. This could be a role for the current NSW government architect working within a carefully crafted complying code.",يحتاج نظام التخطيط لدينا أيضًا إلى التكيف بحيث لا يكون المخططون في المجالس الضواحي، الذين يبدو أنهم أقل دعمًا للتغيير، هم الوحيدون الذين يحددون الشكل المستقبلي لضواحيهم. يمكن أن يكون الطريق إلى الأمام هو وجود هيئة مستقلة لاتخاذ القرارات تدعم التصميم الجيد طالما أنه يتناسب تحت قمم الأشجار ويشمل الحياة الأسرية والشرفات الكبيرة والحدائق المشتركة ويقدم مظهرًا ودودًا. يمكن أن يكون هذا دورًا للمهندس المعماري الحالي لحكومة نيو ساوث ويلز الذي يعمل ضمن قانون امتثال مصمم بعناية.,لازم نظام التخطيط بتاعنا يتغير، ومايبقاش مخططين الحارات اللي ضد التغيير هم الوحيدين اللي بيتحكموا في شكل مستقبل حاراتنا. حل من الحلول الممكنة هو يكون عندنا هيئة مستقلة لاتخاذ القرارات، تشجع على تصميم بيوت شيك فيها شجر وغرف معيشة للعيلة، وبلكونات كبيرة، وحدايق عامة. ممكن كمان الدور ده يبقى مع كبير المهندسين المعماريين في حكومة نيو ساوث ويلز اللي يشتغل بقانون واضح ومتظبط.
9,"Over the past decade, our lives have changed through technology, with many working from home, and Sydney has gained an impressive network of metro and light rail systems. Our ability to purchase online has changed the way we shop, and friends and family seem closer because of smartphone communication. All of these adaptations from one system to another can also occur in our built environment through a planning focus on adaptive reuse rather than preferencing heritage preservation.",على مدار العقد الماضي، تغيرت حياتنا من خلال التكنولوجيا، حيث يعمل الكثيرون من المنزل، واكتسبت سيدني شبكة رائعة من أنظمة المترو والسكك الحديدية الخفيفة. لقد غيرت قدرتنا على الشراء عبر الإنترنت الطريقة التي نتسوق بها، ويبدو أن الأصدقاء والعائلة أقرب بسبب التواصل عبر الهواتف الذكية. يمكن أن تحدث كل هذه التكيفات من نظام إلى آخر أيضًا في بيئتنا المبنية من خلال التركيز على إعادة الاستخدام التكيفي بدلاً من تفضيل الحفاظ على التراث.,في آخر 10 سنين حياتنا اتغيرت كتير بسبب التكنولوجيا. دلوقتي فيه ناس كتير بتشتغل من البيت، وسيدني بقت عندها شبكة مترو وأنظمة قطارات خفيفة ممتازة. كمان الشرا أونلاين غير طريقة تسوقنا، والتواصل على الموبايلات خلّى الأهل والأصحاب أقرب. نفس التغيرات دي ممكن تحصل في المباني لو بدأنا نركز على إعادة استخدام المباني القديمة بدل ما نبقى متمسكين بالمباني التراثية بس.
13,"The international financial institution is poised to launch a strategy aimed at significantly advancing the rights and economic opportunities for girls and women by 2030. The plan focuses on improving inclusivity and resilience through access to finance, technological innovation, and changes in public policy and law.",المؤسسة المالية الدولية تستعد لإطلاق استراتيجية تهدف إلى تعزيز حقوق وفرص الفتيات والنساء الاقتصادية بشكل كبير بحلول عام 2030. يركز الخطة على تحسين الشمولية والمرونة من خلال الوصول إلى التمويل، والابتكار التكنولوجي، والتغييرات في السياسة العامة والقانون.,معهد التمويل الدولي بيجهز لإطلاق خطة هدفها تدي فرص اقتصادية وحقوق أكتر للبنات والستات بحلول سنة 2030. الخطة بتركز على تحسين الشمولية والمرونة، عن طريق توفير التمويل، والابتكارات التكنولوجية، وتغيير القوانين والسياسات العامة.
15,"Shifts in thought are harder to quantify than bank loans for rural women or school enrollment for girls. Yet there is plenty of evidence that female agency can move mountains. In Iran, for example, women have led the greatest threat to the Islamic government in 40 years simply by refusing to comply with laws that force them to cover their hair. In some of the 130 countries with minimum quotas for female representation in government, such as India, male resistance to female voting and political activism has eased.",التغيرات في الفكر أصعب في القياس من القروض البنكية للنساء الريفيات أو تسجيل الفتيات في المدارس. ومع ذلك، هناك الكثير من الأدلة على أن قدرة النساء على اتخاذ القرارات يمكن أن تحرك الجبال. في إيران، على سبيل المثال، قادت النساء أكبر تهديد للحكومة الإسلامية منذ 40 عامًا ببساطة من خلال رفضهن الامتثال للقوانين التي تجبرهن على تغطية شعرهن. في بعض البلدان الـ130 التي لديها حصص دنيا لتمثيل النساء في الحكومة، مثل الهند، تراجع مقاومة الرجال لتصويت النساء والنشاط السياسي.,"التحول الفكري صعب يتقاس زي عدد قروض البنوك للستات في الريف أو عدد البنات اللي بيروحوا مدارس. بس في أدلة كتير إن الجمعيات النسائية تقدر تحقق المستحيل. في إيران، مثلاً، الستات عملوا أخطر تهديد للحكومة الإسلامية من 40 سنة لمجرد إنهم رفضوا يلتزموا بقوانين الحجاب.
 وفي بلاد تانية، زي الهند اللي بتفرض نسبة تمثيل أدنى للستات في الحكومة، بدأت مقاومة الرجالة لتصويت الستات ونشاطهم السياسي تقِلّ."
16,"In some rural African communities, civil society organizations are replacing a harmful rite of passage with health education. One such program helped Kamanda Timayio, leader of the Masai village of Maparasha, Kenya, change his mind about female genital mutilation. He told Le Monde that he had ""emerged from ignorance"" and would abandon the practice.","في بعض المجتمعات الريفية الأفريقية، تقوم منظمات المجتمع المدني باستبدال الطقوس الضارة بالتعليم الصحي. ساعد أحد هذه البرامج كاماندا تيمايو، زعيم قرية ماساي في ماباراشا، كينيا، على تغيير رأيه بشأن تشويه الأعضاء التناسلية للإناث. وقال لصحيفة لوموند إنه ""خرج من الجهل"" وسيتخلى عن هذه الممارسة.",في بعض القرى الإفريقية، منظمات المجتمع المدني بتحاول تتخلص من العادات الضارة باستخدام التوعية الصحية. واحد من البرامج دي كان ساعد زعيم قبيلة الماساي في كينيا، كاماندا تيمايو، إنه يغير رأيه عن موضوع ختان البنات. الراجل ده قال في تصريح لصحيفة لاموند إنه اتعلم وفهم أكتر، وإنه خلاص مش هيعمل الممارسات دي تاني.
20,German farmers and train drivers are scaring Germany's bosses,المزارعون الألمان وسائقو القطارات يرعبون رؤساء ألمانيا.,سواقين القطارات والمزارعين الألمان عاملين قلق لرؤساء الشركات في ألمانيا
21,"In Germany, where workers and bosses run many companies jointly, a big strike is unusual. A wave of big strikes is almost unheard of. Right now the country of ""co-determination"" is simultaneously facing an eight-day ""action week"" by irate farmers, who blocked roads with tractors, a three-day strike of railway workers and, to top it off, a looming strike of doctors, who already closed surgeries between Christmas and New Year's Day. This Mistgabelmop (pitchfork mob), as some have taken to calling it, will test Germany's harmonious labour relations in the year to come.","في ألمانيا، حيث يدير العمال والرؤساء العديد من الشركات بشكل مشترك، يُعتبر الإضراب الكبير أمرًا غير معتاد. أما موجة من الإضرابات الكبيرة فهي تكاد تكون غير مسموعة. في الوقت الحالي، تواجه البلاد التي تعرف بـ""التحديد المشترك"" أسبوعًا من ""العمل"" لمدة ثمانية أيام من قبل المزارعين الغاضبين، الذين قاموا بإغلاق الطرق بالجرارات، وإضرابًا لمدة ثلاثة أيام من عمال السكك الحديدية، وعلى رأس ذلك، إضرابًا وشيكًا للأطباء الذين أغلقوا العيادات بين عيد الميلاد ورأس السنة الجديدة. هذا ""حشد مذراة"" كما أطلق عليه البعض، سيختبر العلاقات العمالية المتناغمة في ألمانيا في العام المقبل.","في ألمانيا، اللي بيشتغل فيها العمال والمديرين جنب بعض، الإضرابات الكبيرة حاجة نادرة جدًا. بس دلوقتي الوضع اتغير، والبلد اللي متعودة على قرارات مشتركة بقت قدام ""أسبوع صعب"" بسبب سلسلة إضرابات: المزارعين اللي قفلوا الطرق بالجرارات، وعمال السكك الحديدية اللي أضربوا 3 أيام، والأطباء اللي وقفوا العمليات بين الكريسماس وراس السنة.
 الناس مسميين الموضوع ده ""حشد المذراة"" وبيقولوا إنه هيختبر علاقات الشغل في ألمانيا السنة الجاية."
22,"The protests were ostensibly set off by the government's decision to end subsidies for diesel fuel used in agriculture and to cut an exemption from car tax for farm vehicles. These measures pushed farmers over the edge. It also mobilised other angry workers, already straining under the pressure of inflation, recession and the government's self-imposed austerity. On January 9th drivers of freight and passenger trains at Deutsche Bahn, the national railway, began a strike over working hours and pay.",اندلعت الاحتجاجات ظاهريًا بسبب قرار الحكومة إنهاء الدعم للوقود الديزل المستخدم في الزراعة وقطع الإعفاء من ضريبة السيارات للمركبات الزراعية. دفعت هذه الإجراءات المزارعين إلى حافة الهاوية. كما حشدت عمالاً غاضبين آخرين، كانوا يعانون بالفعل تحت ضغط التضخم والركود والتقشف الذي فرضته الحكومة على نفسها. في 9 يناير، بدأ سائقي قطارات الشحن والركاب في شركة دويتشه بان، السكك الحديدية الوطنية، إضرابًا بسبب ساعات العمل والأجور.,الاحتجاجات زادت لما الحكومة قررت توقف دعم السولار اللي المزارعين بيستخدموه في شغلهم وكمان تشيل الإعفاء الضريبي بتاع العربيات الزراعية. القرارات دي خلت المزارعين يغضبوا جدًا، وضمت ليهم عمال تانيين بيعانوا من التضخم والركود. في يوم 9 يناير، سواقين القطارات سواء للشحن أو الركاب عملوا إضراب عشان ساعات العمل والمرتبات.
