index,original,translated,style_annotation
1,"The incident comes after increase in numbers of refugees and asylum seekers crossing the Channel to the UK in boats. Police have arrested 15 people after an anti-refugee demonstration outside a hotel used to house asylum seekers turned violent near the English city of Liverpool. The Merseyside Police department said a police officer and two civilians sustained minor injuries during the disturbance on Friday night in Knowsley. The police force said some protesters threw objects and set a police van on fire. The people arrested, who ranged in age from 13 to 54, were detained ""following violent disorder."" Merseyside police commissioner Emily Spurrell told Radio City, ""It was incredibly dangerous and there were a couple of injuries amongst the police officers.""","Der Vorfall ereignet sich nach einem Anstieg der Zahl von Flüchtlingen und Asylsuchenden, die den Ärmelkanal in Booten nach Großbritannien überqueren. Die Polizei hat 15 Personen festgenommen, nachdem eine fremdenfeindliche Demonstration vor einem Hotel, das zur Unterbringung von Asylsuchenden genutzt wird, in der Nähe der englischen Stadt Liverpool gewalttätig geworden war. Die Polizeibehörde von Merseyside teilte mit, dass ein Polizist und zwei Zivilisten bei der Störung am Freitagabend in Knowsley leichte Verletzungen erlitten hätten. Die Polizei sagte, einige Demonstranten hätten Gegenstände geworfen und einen Polizeiwagen in Brand gesetzt. Die Festgenommenen, die zwischen 13 und 54 Jahre alt sind, wurden ""nach gewalttätigen Ausschreitungen"" festgenommen. Emily Spurrell, Polizeibeauftragte von Merseyside, sagte gegenüber Radio City: ""Es war unglaublich gefährlich und es gab ein paar Verletzungen unter den Polizeibeamten.""","MQM annotations:
Style Errors:
minor: unnatural flow - ""Der Vorfall ereignet sich nach einem Anstieg der Zahl von Flüchtlingen und Asylsuchenden, die den Ärmelkanal in Booten nach Großbritannien überqueren."" could be phrased more naturally in German. A more natural phrasing could be ""Der Vorfall ereignete sich im Zuge eines Anstiegs der Anzahl von Flüchtlingen und Asylsuchenden, die in Booten über den Ärmelkanal nach Großbritannien gelangen.""
minor: unnatural flow - ""Die Polizeibehörde von Merseyside teilte mit, dass ein Polizist und zwei Zivilisten bei der Störung am Freitagabend in Knowsley leichte Verletzungen erlitten hätten."" could be more concise and natural. A better phrasing would be: ""Laut der Polizeibehörde Merseyside wurden bei den Ausschreitungen am Freitagabend in Knowsley ein Polizist und zwei Zivilisten leicht verletzt.""
minor: unnatural flow - ""Die Polizei sagte, einige Demonstranten hätten Gegenstände geworfen und einen Polizeiwagen in Brand gesetzt."" - ""Die Polizei gab an, dass einige Demonstranten Gegenstände warfen und ein Polizeiauto anzündeten."" sounds more natural.
minor: unnatural flow - ""Emily Spurrell, Polizeibeauftragte von Merseyside, sagte gegenüber Radio City: ""Es war unglaublich gefährlich und es gab ein paar Verletzungen unter den Polizeibeamten."""" could be rephrased for better flow, like: ""Emily Spurrell, Polizeibeauftragte von Merseyside, äußerte sich gegenüber Radio City: ""Es war äußerst gefährlich, und mehrere Polizisten wurden verletzt."""""
3,"More than 45,000 people reached the UK by that route in 2022, and most applied for asylum. The system for considering asylum applications has slowed to a crawl because of political turmoil and bureaucratic delays, leaving many asylum seekers stuck in hotels or other temporary accommodations. The Channel crossings have become a political issue, with the Conservative government promising to ""stop the boats"" and pursuing a plan to send such asylum seekers to Rwanda. Opponents have accused the government of demonising desperate people fleeing war and poverty.","Über 45.000 Menschen erreichten das Vereinigte Königreich im Jahr 2022 über diese Route, und die meisten beantragten Asyl. Das System zur Prüfung von Asylanträgen hat sich aufgrund politischer Turbulenzen und bürokratischer Verzögerungen stark verlangsamt, wodurch viele Asylsuchende in Hotels oder anderen Notunterkünften festsitzen. Die Kanalüberquerungen sind zu einem politischen Thema geworden, wobei die konservative Regierung verspricht, ""die Boote zu stoppen"", und einen Plan verfolgt, solche Asylsuchenden nach Ruanda zu schicken. Gegner haben die Regierung beschuldigt, verzweifelte Menschen, die vor Krieg und Armut fliehen, zu dämonisieren.","```
MQM annotations:
minor: style/unnatural flow - ""erreichten das Vereinigte Königreich im Jahr 2022 über diese Route"" sounds slightly unnatural. A more natural phrasing could be ""erreichten im Jahr 2022 über diesen Weg das Vereinigte Königreich"".
minor: style/unnatural flow - ""Die Kanalüberquerungen sind zu einem politischen Thema geworden"" could be improved for flow. ""Die Überquerungen des Ärmelkanals sind zu einem politischen Thema geworden"" might read more naturally.
```"
5,Derry midfielder Adam Reilly closes down Lee Grace at the Brandywell,Derry-Mittelfeldspieler Adam Reilly engt Lee Grace im Brandywell ein.,"MQM annotations:
minor: style/Unnatural Flow - ""engt ... ein"" is a grammatically correct but somewhat stiff translation of ""closes down"". A more natural phrasing might exist."
9,"The Department of Homeland Security has hired an outside law firm - Debevoise & Plimpton - to assist in possible impeachment proceedings for Secretary Alejandro Mayorkas, as he potentially faces charges by House Republicans regarding his handling of the southern border. ""The Department of Homeland Security has retained outside counsel to help ensure the Department's vital mission is not interrupted by the unprecedented, unjustified, and partisan impeachment efforts by some Members of Congress, who have already taken steps to initiate proceedings,"" a DHS spokesperson said in a statement Friday. ""DHS will continue prioritizing its work to protect our country from terrorism, respond to natural disasters, and secure our borders while responding appropriately to the over 70 Congressional committees and subcommittees that have oversight of DHS."" A DHS official tells CBS News the department has hired the firm for contracted work for the life of the congressional inquiry. Debevoise was chosen because of its expertise in impeachment and bipartisan experience in working with Congress on oversight.","Das Ministerium für Innere Sicherheit hat die externe Anwaltskanzlei Debevoise & Plimpton beauftragt, bei möglichen Amtsenthebungsverfahren gegen Minister Alejandro Mayorkas zu helfen, da ihm möglicherweise Anklagen von Republikanern im Repräsentantenhaus wegen seines Umgangs mit der Südgrenze drohen. ""Das Ministerium für Innere Sicherheit hat externen Rechtsbeistand hinzugezogen, um sicherzustellen, dass die lebenswichtige Mission des Ministeriums nicht durch die beispiellosen, ungerechtfertigten und parteiischen Amtsenthebungsbemühungen einiger Kongressabgeordneter unterbrochen wird, die bereits Schritte zur Einleitung von Verfahren unternommen haben"", sagte ein Sprecher des DHS am Freitag in einer Erklärung. ""Das DHS wird seine Arbeit zum Schutz unseres Landes vor Terrorismus, zur Reaktion auf Naturkatastrophen und zur Sicherung unserer Grenzen weiterhin priorisieren und gleichzeitig angemessen auf die über 70 Kongress-Ausschüsse und Unterausschüsse reagieren, die die Aufsicht über das DHS haben."" Ein Beamter des DHS teilte CBS News mit, dass das Ministerium die Kanzlei für Vertragsarbeit für die Dauer der Kongressuntersuchung eingestellt hat. Debevoise wurde aufgrund seiner Expertise im Bereich Amtsenthebung und seiner überparteilichen Erfahrung in der Zusammenarbeit mit dem Kongress im Bereich der Aufsicht ausgewählt.","```
MQM annotations:
Style Errors:
minor: unnatural flow - ""Das Ministerium für Innere Sicherheit hat externen Rechtsbeistand hinzugezogen"" could be phrased more naturally.
minor: unnatural flow - ""die lebenswichtige Mission des Ministeriums nicht durch die beispiellosen, ungerechtfertigten und parteiischen Amtsenthebungsbemühungen einiger Kongressabgeordneter unterbrochen wird"" is a very long and complex sentence, which while grammatically correct, is not the most natural way to express this in German. It could be broken down into smaller sentences.
minor: unnatural flow - ""seine Arbeit zum Schutz unseres Landes vor Terrorismus, zur Reaktion auf Naturkatastrophen und zur Sicherung unserer Grenzen weiterhin priorisieren und gleichzeitig angemessen auf die über 70 Kongress-Ausschüsse und Unterausschüsse reagieren, die die Aufsicht über das DHS haben"" is another long and complex sentence that could be broken down for better readability.
```"
10,"The Justice Department recently advised that the contract with Debevoise qualifies as an appropriate expenditure for DHS. DHS is trying to ensure that its mission isn't undermined by partisan attacks and that proceedings against Mayorkas are being handled by people with the appropriate expertise. Mayorkas has not commented on this development, but asked about the impeachment inquiry last Thursday, he told reporters, ""We will cooperate with this Congress, just as we did with the last Congress. I think that's our responsibility."" He conceded that ""it will take time"" to comply with the House's investigation. ""I will spend that time as will others and we will also not compromise the time that we spend in fulfilling our mission."" A DHS senior official confirmed that Mayorkas has not yet met with his new outside counsel. Only one cabinet member has ever been impeached, Secretary of War William Belknap. In 1876, Belknap, who served in President Ulysses S. Grant's administration, was accused of accepting bribes but was ultimately acquitted by the Senate.","Das Justizministerium hat kürzlich mitgeteilt, dass der Vertrag mit Debevoise als angemessene Ausgabe für das DHS gilt. Das DHS versucht sicherzustellen, dass seine Mission nicht durch parteiische Angriffe untergraben wird und dass Verfahren gegen Mayorkas von Personen mit der entsprechenden Expertise geführt werden. Mayorkas hat sich zu dieser Entwicklung nicht geäußert, aber auf die Frage nach dem Amtsenthebungsverfahren am vergangenen Donnerstag sagte er Reportern: ""Wir werden mit diesem Kongress zusammenarbeiten, so wie wir es mit dem letzten Kongress getan haben. Ich denke, das ist unsere Verantwortung."" Er räumte ein, dass es ""Zeit brauchen wird"", um der Untersuchung des Repräsentantenhauses nachzukommen. ""Ich werde diese Zeit verbringen, so wie es auch andere tun werden, und wir werden auch die Zeit, die wir mit der Erfüllung unserer Mission verbringen, nicht beeinträchtigen."" Ein hochrangiger DHS-Beamter bestätigte, dass Mayorkas sich noch nicht mit seinem neuen externen Anwalt getroffen hat. Nur ein Kabinettsmitglied wurde jemals angeklagt, Kriegsminister William Belknap. Im Jahr 1876 wurde Belknap, der in der Regierung von Präsident Ulysses S. Grant diente, beschuldigt, Bestechungsgelder angenommen zu haben, wurde aber letztendlich vom Senat freigesprochen.","MQM annotations:
No style errors found."
11,Four teens charged in attack of 14-year-old who died of suicide after beating video was posted online,"Vier Jugendliche wegen Angriffs auf einen 14-Jährigen angeklagt, der Selbstmord beging, nachdem ein Video der Schlägerei online gestellt wurde.","```
MQM annotations:
Style Errors:
minor: unnatural flow - The phrase ""nachdem ein Video der Schlägerei online gestellt wurde"" could be rephrased for a more natural flow in German. For example, ""nachdem ein Video der Schlägerei im Internet veröffentlicht wurde"" might sound better.
```"
12,Dad says daughter took her own life after being bullied at NJ school,"Vater sagt, Tochter nahm sich nach Mobbing an Schule in NJ das Leben.","MQM annotations:
Style Errors:
minor: unnatural flow - ""nahm sich ... das Leben"" is grammatically correct but less common/natural than a more concise phrasing like ""beging Suizid"" or ""starb durch Suizid""."
14,"Adriana Kuch, 14, was found dead in her Bayville home on February 3, two days after the disturbing video of the attack at Central Regional High School was posted online. The video showed girls throwing a drink at the teen, then kicking and dragging her down school hallways. They pushed Adriana into red lockers lining the school hallways and one of the girls in a pink shirt punched Kuch repeatedly.","Adriana Kuch, 14 Jahre alt, wurde am 3. Februar tot in ihrem Zuhause in Bayville aufgefunden, zwei Tage nachdem das verstörende Video des Angriffs an der Central Regional High School online gestellt worden war. Das Video zeigte Mädchen, die ein Getränk auf den Teenager warfen und sie dann traten und die Schulflure entlang zerrten. Sie schubsten Adriana gegen rote Spinde, die die Schulflure säumten, und eines der Mädchen in einem rosafarbenen Hemd schlug Kuch wiederholt.","MQM annotations:
Style error:
minor: style/Unnatural Flow - ""Adriana Kuch, 14 Jahre alt"" is a bit wordy. A more natural phrasing would be ""Die 14-jährige Adriana Kuch"".
minor: style/Unnatural Flow - ""zwei Tage nachdem das verstörende Video des Angriffs an der Central Regional High School online gestellt worden war"" could be simplified for better flow. A more natural phrasing would be ""zwei Tage nachdem ein verstörendes Video des Angriffs...online gestellt wurde"".
minor: style/Unnatural Flow - ""die die Schulflure säumten"" is slightly awkward. A better option would be ""entlang der Schulflure standen""."
23,"2.Rest when you need to: Working two jobs as a sleep researcher and an algorithm engineer, all while taking care of a new baby, would have definitely led Raphael Vallat to burnout if he didn't rest, he says. ""I feel like when I'm about to burn out, basically every task feels like a mountain that you need to climb, and feels super urgent and important,"" says Vallat. In those moments, ""you really need to take some time off and realize that these tasks can wait."" Typically, Vallat finds moments in his day where he can pause and spend time in nature to ground himself before returning to work.","2. Ruhe dich aus, wenn du es brauchst: Zwei Jobs als Schlafforscher und Algorithmus-Ingenieur, während er sich gleichzeitig um ein neues Baby kümmert, hätte Raphael Vallat definitiv in einen Burnout getrieben, wenn er sich nicht ausgeruht hätte, sagt er. ""Ich habe das Gefühl, dass, wenn ich kurz vor dem Burnout stehe, sich im Grunde jede Aufgabe wie ein Berg anfühlt, den man erklimmen muss, und sie sich super dringend und wichtig anfühlt"", sagt Vallat. In diesen Momenten ""muss man sich wirklich eine Auszeit nehmen und sich bewusst machen, dass diese Aufgaben warten können."" Typischerweise findet Vallat Momente in seinem Tag, in denen er eine Pause einlegen und Zeit in der Natur verbringen kann, um sich zu erden, bevor er zur Arbeit zurückkehrt.","MQM annotations:
minor: style/Unnatural Flow - The phrase ""Ruhe dich aus, wenn du es brauchst"" is grammatically correct but sounds slightly unnatural in German. A more common phrasing might be ""Mach eine Pause, wenn du sie brauchst"" or similar.
minor: style/Unnatural Flow - ""Zwei Jobs als Schlafforscher und Algorithmus-Ingenieur"" could be slightly improved for flow, though it's acceptable. Perhaps rearranging the wording slightly would make it more natural.
minor: style/Repetition - The word ""fühlt"" is used repetitively in the sentence: ""Ich habe das Gefühl, dass, wenn ich kurz vor dem Burnout stehe, sich im Grunde jede Aufgabe wie ein Berg anfühlt, den man erklimmen muss, und sie sich super dringend und wichtig anfühlt"". While grammatically correct, the repetition makes it sound slightly awkward.
minor: style/Unnatural Flow - The use of ""typischerweise"" at the beginning of the last sentence can sound a little stiff. While correct, a more natural phrasing could be considered."
24,"3.Be passionate about what you're doing and remember your purpose: Up until spring of 2022, infectious disease specialist Céline Gounder worked 100 hours a week for seven days a week. Being on the frontlines during the pandemic ate up almost all of her time, but she avoided burnout by reminding herself about why her work is important. ""I don't think work feels like work when you feel like you're having an impact,"" says Gounder. ""If you're working crazy hours doing something that has no meaning to you, I think you really do need to step back and question what you're doing.""","3. Sei mit Leidenschaft bei der Sache und erinnere dich an dein Ziel: Bis zum Frühjahr 2022 arbeitete die Infektiologin Céline Gounder 100 Stunden pro Woche, sieben Tage die Woche. Ihr Einsatz an vorderster Front während der Pandemie beanspruchte fast ihre gesamte Zeit, aber sie vermied Burnout, indem sie sich immer wieder daran erinnerte, warum ihre Arbeit wichtig ist. ""Ich glaube, Arbeit fühlt sich nicht wie Arbeit an, wenn man das Gefühl hat, etwas zu bewirken"", sagt Gounder. ""Wenn man wahnsinnig viele Stunden mit etwas verbringt, das keine Bedeutung für einen hat, dann muss man wirklich innehalten und hinterfragen, was man tut.""","MQM annotations:
Style Errors:
minor: style/unnatural flow - ""Sei mit Leidenschaft bei der Sache"" is a bit of a clunky way to say ""Be passionate about what you're doing."" A more natural phrasing would be something like ""Geh mit Leidenschaft an die Sache"" or ""Sei begeistert von dem, was du tust.""
minor: style/unnatural flow - ""Ihr Einsatz an vorderster Front während der Pandemie beanspruchte fast ihre gesamte Zeit"" feels a bit wordy. A slightly more streamlined version would be ""Ihr Einsatz an der vordersten Front während der Pandemie nahm fast ihre ganze Zeit in Anspruch.""
minor: style/unnatural flow - ""Wenn man wahnsinnig viele Stunden mit etwas verbringt, das keine Bedeutung für einen hat, dann muss man wirklich innehalten und hinterfragen, was man tut."" is grammatically correct, but sounds a little repetitive with the ""man"" and the double use of ""was."" A slightly more natural phrasing would be, ""Wenn du wahnsinnig viele Stunden mit etwas verbringst, das dir nichts bedeutet, solltest du wirklich innehalten und hinterfragen, was du tust."""
