index,original,zero_shot_translation,annotation
1,"The incident comes after increase in numbers of refugees and asylum seekers crossing the Channel to the UK in boats. Police have arrested 15 people after an anti-refugee demonstration outside a hotel used to house asylum seekers turned violent near the English city of Liverpool. The Merseyside Police department said a police officer and two civilians sustained minor injuries during the disturbance on Friday night in Knowsley. The police force said some protesters threw objects and set a police van on fire. The people arrested, who ranged in age from 13 to 54, were detained ""following violent disorder."" Merseyside police commissioner Emily Spurrell told Radio City, ""It was incredibly dangerous and there were a couple of injuries amongst the police officers.""","Der Vorfall kommt nach einem Anstieg der Zahl von Flüchtlingen und Asylbewerbern, die in Booten den Ärmelkanal in Richtung Großbritannien überqueren. Die Polizei hat 15 Personen nach einer gewalttätigen anti-Flüchtlings-Demonstration außerhalb eines Hotels, das zur Unterbringung von Asylbewerbern genutzt wird, in der Nähe der englischen Stadt Liverpool festgenommen. Das Merseyside-Polizeidepartement erklärte, dass ein Polizeibeamter und zwei Zivilisten bei der Störung am Freitagabend in Knowsley leichte Verletzungen erlitten. Die Polizei teilte mit, dass einige Demonstranten Gegenstände warfen und einen Polizeiwagen in Brand setzten. Die Festgenommenen im Alter von 13 bis 54 Jahren wurden ""nach gewalttätigen Ausschreitungen"" in Gewahrsam genommen. Die Polizeikommissarin von Merseyside, Emily Spurrell, sagte gegenüber Radio City: ""Es war unglaublich gefährlich und es gab ein paar Verletzungen unter den Polizeibeamten.""","MQM annotations:
Accuracy Errors
[Minor]: [Mistranslation] - The phrase ""anti-refugee demonstration"" is translated as ""anti-Flüchtlings-Demonstration"", which could be interpreted as a demonstration against refugees, rather than a demonstration by anti-refugee groups.
[Minor]: [Mistranslation] - The phrase ""the English city of Liverpool"" is translated as ""der englischen Stadt Liverpool"", which could be interpreted as a city in England, rather than a specific city in England.

Fluency Errors
[Minor]: [Grammar] - The sentence ""Die Festgenommenen im Alter von 13 bis 54 Jahren wurden 'nach gewalttätigen Ausschreitungen' in Gewahrsam genommen"" could be improved by using a more natural word order, such as ""Die Festgenommenen im Alter von 13 bis 54 Jahren wurden wegen gewalttätiger Ausschreitungen in Gewahrsam genommen.""

Locale Convention Errors
[No errors]

Style Errors
[No errors]

Terminology Errors
[No errors]

Non-translation Errors
[No errors]

Other Errors
[No errors]

Overall, the translation is generally accurate and fluent, with only minor errors that do not significantly impact the overall comprehension of the text."
3,"More than 45,000 people reached the UK by that route in 2022, and most applied for asylum. The system for considering asylum applications has slowed to a crawl because of political turmoil and bureaucratic delays, leaving many asylum seekers stuck in hotels or other temporary accommodations. The Channel crossings have become a political issue, with the Conservative government promising to ""stop the boats"" and pursuing a plan to send such asylum seekers to Rwanda. Opponents have accused the government of demonising desperate people fleeing war and poverty.","Mehr als 45.000 Menschen erreichten 2022 auf dieser Route das Vereinigte Königreich, und die meisten beantragten Asyl. Das System zur Prüfung von Asylanträgen ist aufgrund politischer Turbulenzen und bürokratischer Verzögerungen zum Erliegen gekommen, was dazu führt, dass viele Asylsuchende in Hotels oder anderen Übergangswohnungen festsitzen. Die Überquerungen des Ärmelkanals sind zu einem politischen Thema geworden, wobei die konservative Regierung verspricht, ""die Boote zu stoppen"" und einen Plan verfolgt, solche Asylsuchende nach Ruanda zu schicken. Gegner haben der Regierung vorgeworfen, verzweifelte Menschen, die vor Krieg und Armut fliehen, zu dämonisieren.","MQM annotations:
Accuracy Errors
[Minor]: [Mistranslation] - The translation ""Mehr als 45.000 Menschen erreichten 2022 auf dieser Route das Vereinigte Königreich"" does not accurately convey the meaning of the original sentence, which states that ""More than 45,000 people reached the UK by that route in 2022"". The translation suggests that the 45,000 people reached the UK on that specific route, while the original sentence is more general and does not specify the route.
[Minor]: [Omission] - The translation does not include the information that ""most applied for asylum"", which is present in the original sentence.

Fluency Errors
[Minor]: [Grammar] - The translation ""was dazu führt, dass viele Asylsuchende in Hotels oder anderen Übergangswohnungen festsitzen"" could be improved by using a more natural German sentence structure, such as ""was dazu führt, dass viele Asylsuchende in Hotels oder anderen Übergangswohnungen festsitzen müssen"".

Locale Convention Errors
[None]

Style Errors
[None]

Terminology Errors
[None]

Non-translation Errors
[None]

Other Errors
[None]"
5,Derry midfielder Adam Reilly closes down Lee Grace at the Brandywell,Derry-Mittelfeldspieler Adam Reilly deckt Lee Grace am Brandywell ab.,"MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The translation ""deckt ab"" does not accurately convey the meaning of ""closes down"" in the source text.

Fluency Errors
[Minor]: [grammar] - The translation uses the correct verb form ""deckt"" but the preposition ""am"" should be ""im"" to match the German grammar.

Locale Convention Errors
[No Error]

Style Errors
[No Error]

Terminology Errors
[No Error]

Non-Translation Errors
[No Error]

Other Errors
[No Error]

Overall, the translation is generally accurate and fluent, with only minor errors that do not significantly impact the meaning or comprehension of the text."
9,"The Department of Homeland Security has hired an outside law firm - Debevoise & Plimpton - to assist in possible impeachment proceedings for Secretary Alejandro Mayorkas, as he potentially faces charges by House Republicans regarding his handling of the southern border. ""The Department of Homeland Security has retained outside counsel to help ensure the Department's vital mission is not interrupted by the unprecedented, unjustified, and partisan impeachment efforts by some Members of Congress, who have already taken steps to initiate proceedings,"" a DHS spokesperson said in a statement Friday. ""DHS will continue prioritizing its work to protect our country from terrorism, respond to natural disasters, and secure our borders while responding appropriately to the over 70 Congressional committees and subcommittees that have oversight of DHS."" A DHS official tells CBS News the department has hired the firm for contracted work for the life of the congressional inquiry. Debevoise was chosen because of its expertise in impeachment and bipartisan experience in working with Congress on oversight.","Das Heimatschutzministerium hat eine externe Anwaltskanzlei - Debevoise & Plimpton - eingestellt, um bei möglichen Amtsenthebungsverfahren gegen Sekretär Alejandro Mayorkas zu unterstützen, da er möglicherweise Anschuldigungen der Republikaner im Repräsentantenhaus wegen seiner Handhabung der Südgrenze gegenübersteht. ""Das Heimatschutzministerium hat externe Rechtsberater eingestellt, um sicherzustellen, dass die lebenswichtige Mission des Ministeriums nicht durch die beispiellosen, ungerechtfertigten und parteiischen Amtsenthebungsbemühungen einiger Mitglieder des Kongresses unterbrochen wird, die bereits Schritte zur Einleitung von Verfahren unternommen haben"", sagte ein Sprecher des Heimatschutzministeriums in einer Erklärung am Freitag. ""Das Heimatschutzministerium wird weiterhin seine Arbeit priorisieren, um unser Land vor Terrorismus zu schützen, auf Naturkatastrophen zu reagieren und unsere Grenzen zu sichern, während es angemessen auf die über 70 Kongressausschüsse und Unterausschüsse reagiert, die die Aufsicht über das Heimatschutzministerium haben."" Ein Beamter des Heimatschutzministeriums teilte CBS News mit, dass das Ministerium die Kanzlei für Vertragsarbeiten für die Dauer der Kongressuntersuchung eingestellt hat. Debevoise wurde ausgewählt, da es über Expertise in Amtsenthebungsverfahren und biparteiische Erfahrung in der Zusammenarbeit mit dem Kongress bei der Aufsicht verfügt.","MQM annotations:

Accuracy Errors
[Minor]: [Mistranslation] - The translation ""Sekretär Alejandro Mayorkas"" does not accurately reflect the English term ""Secretary Alejandro Mayorkas"".

Fluency Errors
[Minor]: [Grammar] - The translation ""Heimatschutzministerium hat externe Rechtsberater eingestellt, um sicherzustellen, dass die lebenswichtige Mission des Ministeriums nicht durch die beispiellosen, ungerechtfertigten und parteiischen Amtsenthebungsbemühungen einiger Mitglieder des Kongresses unterbrochen wird"" has a slightly awkward grammatical structure compared to the original English.

[Minor]: [Punctuation] - The translation uses a comma after ""Erklärung am Freitag"", which is not present in the original English.

Terminology Errors
[Minor]: [Inconsistent use] - The translation uses both ""Heimatschutzministerium"" and ""Ministerium"" to refer to the ""Department of Homeland Security"", which is not fully consistent.

No other major or critical errors detected. Overall, the translation is of good quality with only minor issues."
10,"The Justice Department recently advised that the contract with Debevoise qualifies as an appropriate expenditure for DHS. DHS is trying to ensure that its mission isn't undermined by partisan attacks and that proceedings against Mayorkas are being handled by people with the appropriate expertise. Mayorkas has not commented on this development, but asked about the impeachment inquiry last Thursday, he told reporters, ""We will cooperate with this Congress, just as we did with the last Congress. I think that's our responsibility."" He conceded that ""it will take time"" to comply with the House's investigation. ""I will spend that time as will others and we will also not compromise the time that we spend in fulfilling our mission."" A DHS senior official confirmed that Mayorkas has not yet met with his new outside counsel. Only one cabinet member has ever been impeached, Secretary of War William Belknap. In 1876, Belknap, who served in President Ulysses S. Grant's administration, was accused of accepting bribes but was ultimately acquitted by the Senate.","Das Justizministerium hat kürzlich empfohlen, dass der Vertrag mit Debevoise als angemessene Ausgabe für das DHS gilt. Das DHS versucht sicherzustellen, dass seine Mission nicht durch parteiische Angriffe untergraben wird und dass die Verfahren gegen Mayorkas von Personen mit der entsprechenden Expertise behandelt werden. Mayorkas hat sich zu dieser Entwicklung nicht geäußert, sagte aber auf Nachfrage zur Amtsenthebungsuntersuchung am letzten Donnerstag zu Reportern: ""Wir werden mit diesem Kongress zusammenarbeiten, so wie wir es auch mit dem letzten Kongress getan haben. Ich denke, das ist unsere Verantwortung."" Er räumte ein, dass es ""Zeit in Anspruch nehmen wird"", den Untersuchungen des Repräsentantenhauses nachzukommen. ""Ich werde diese Zeit aufwenden, wie auch andere, und wir werden auch nicht die Zeit kompromittieren, die wir damit verbringen, unsere Mission zu erfüllen."" Ein hochrangiger DHS-Beamter bestätigte, dass Mayorkas sich noch nicht mit seinem neuen Anwalt außerhalb des Hauses getroffen hat. Nur ein Kabinettsmitglied wurde jemals des Amtes enthoben, nämlich Kriegsminister William Belknap. 1876 wurde Belknap, der in der Regierung von Präsident Ulysses S. Grant diente, beschuldigt, Bestechungsgelder angenommen zu haben, wurde aber letztendlich vom Senat freigesprochen.","MQM annotations:
Accuracy Errors
[Minor]: [Mistranslation] - The translation ""Das Justizministerium hat kürzlich empfohlen, dass der Vertrag mit Debevoise als angemessene Ausgabe für das DHS gilt"" does not accurately convey the meaning of the source text, which states that the Justice Department advised that the contract with Debevoise qualifies as an appropriate expenditure for DHS.
[Minor]: [Omission] - The translation omits the information that Mayorkas has not commented on this development.

Fluency Errors
[Minor]: [Grammar] - The translation ""Nur ein Kabinettsmitglied wurde jemals des Amtes enthoben, nämlich Kriegsminister William Belknap"" uses passive voice, which is not as natural as the active voice used in the source text.

Locale Convention Errors
[No errors]

Style Errors
[No errors]

Terminology Errors
[No errors]

Non-translation Errors
[No errors]

Other Errors
[No errors]

Overall, the translation is generally accurate and fluent, with only minor errors that do not significantly impact the comprehension of the text."
11,Four teens charged in attack of 14-year-old who died of suicide after beating video was posted online,"Vier Jugendliche angeklagt wegen Angriffs auf einen 14-Jährigen, der nach der Veröffentlichung eines Videos über seine Misshandlung Suizid beging.","MQM annotations:
Accuracy Errors
[Minor]: [Mistranslation] - The translation does not accurately convey the meaning of the original text. The source text mentions that the 14-year-old died of suicide after the beating video was posted online, while the translation only states that the 14-year-old committed suicide after the video of the attack was published.

Fluency Errors
[Minor]: [Grammar] - The translation could be improved by using a more natural German sentence structure, for example: ""Vier Jugendliche wurden angeklagt, weil sie einen 14-Jährigen angegriffen haben. Der 14-Jährige beging Suizid, nachdem ein Video seiner Misshandlung online veröffentlicht wurde.""

Terminology Errors
[Minor]: [Inconsistent use] - The translation uses the term ""Angriff"" (attack) while the source text uses the term ""beating"". It would be better to use a consistent term throughout the translation."
12,Dad says daughter took her own life after being bullied at NJ school,"Vater sagt, Tochter hat Selbstmord begangen, nachdem sie in einer Schule in New Jersey gemobbt wurde.","MQM annotations:
Accuracy Errors
[Critical]: Mistranslation - The translation does not accurately convey the meaning of the original text. The source text states that the daughter ""took her own life"" after being bullied, while the translation says she ""committed suicide"" which has a different connotation.
[Major]: None
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: Grammar - The translation uses the passive voice ""wurde gemobbt"" instead of the active voice used in the source text.

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Non-Translation Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None"
14,"Adriana Kuch, 14, was found dead in her Bayville home on February 3, two days after the disturbing video of the attack at Central Regional High School was posted online. The video showed girls throwing a drink at the teen, then kicking and dragging her down school hallways. They pushed Adriana into red lockers lining the school hallways and one of the girls in a pink shirt punched Kuch repeatedly.","Adriana Kuch, 14, wurde am 3. Februar tot in ihrem Zuhause in Bayville aufgefunden, zwei Tage nachdem das verstörende Video des Angriffs an der Central Regional High School online gestellt wurde. Das Video zeigte Mädchen, die der Jugendlichen einen Drink an den Kopf warfen, sie dann traten und durch die Schulflure schleppten. Sie stießen Adriana in rote Spinde an den Schulfluren und eine der Mädchen in einem rosa Hemd schlug Kuch wiederholt.","MQM annotations:
Accuracy Errors
[Minor]: [Mistranslation] - The translation ""throwing a drink at the teen"" is not fully accurate, as the source text states that the girls ""threw a drink at the teen"", which is a more direct action.
[Minor]: [Mistranslation] - The translation ""pushed Adriana into red lockers"" is not fully accurate, as the source text states that the girls ""pushed Adriana into red lockers lining the school hallways"", which provides more context.

Fluency Errors
[Minor]: [Grammar] - The translation ""wurde ... aufgefunden"" is grammatically correct, but a more natural phrasing in German would be ""wurde ... gefunden"".

Locale Convention Errors
[No Errors]

Style Errors
[No Errors]

Terminology Errors
[No Errors]

Non-Translation Errors
[No Errors]

Other Errors
[No Errors]

Overall, the translation is generally accurate and fluent, with only minor issues related to mistranslation and grammar. The translation conveys the key details of the incident and is understandable to the target audience."
23,"2.Rest when you need to: Working two jobs as a sleep researcher and an algorithm engineer, all while taking care of a new baby, would have definitely led Raphael Vallat to burnout if he didn't rest, he says. ""I feel like when I'm about to burn out, basically every task feels like a mountain that you need to climb, and feels super urgent and important,"" says Vallat. In those moments, ""you really need to take some time off and realize that these tasks can wait."" Typically, Vallat finds moments in his day where he can pause and spend time in nature to ground himself before returning to work.","2. Ruhen Sie, wenn Sie es brauchen: Zwei Jobs als Schlafforscher und Algorithmeningenieur zu arbeiten, während man sich um ein Neugeborenes kümmert, hätte Raphael Vallat definitiv in einen Burnout getrieben, wenn er sich nicht ausgeruht hätte, sagt er. ""Ich habe das Gefühl, dass wenn ich kurz vor einem Burnout stehe, sich jede Aufgabe wie ein Berg anfühlt, den man erklimmen muss, und sie extrem dringend und wichtig erscheint"", sagt Vallat. In solchen Momenten ""muss man sich wirklich Zeit nehmen und erkennen, dass diese Aufgaben warten können."" Normalerweise findet Vallat Momente in seinem Tag, in denen er innehalten und Zeit in der Natur verbringen kann, um sich zu erden, bevor er zur Arbeit zurückkehrt.","MQM annotations:
Accuracy Errors
[Minor]: [Mistranslation] - The phrase ""to burnout"" in the source text is translated as ""in einen Burnout getrieben"" in the target text, which is a more literal translation and does not fully capture the meaning of the English phrase.

Fluency Errors
[Minor]: [Grammar] - The phrase ""Zwei Jobs als Schlafforscher und Algorithmeningenieur zu arbeiten"" in the target text has a slightly awkward grammatical structure compared to the source text.

Locale Convention Errors
[No Error]

Style Errors
[No Error]

Terminology Errors
[No Error]

Non-Translation Errors
[No Error]

Other Errors
[No Error]

Overall, the translation is of good quality, with only minor errors that do not significantly impact the comprehension of the text."
24,"3.Be passionate about what you're doing and remember your purpose: Up until spring of 2022, infectious disease specialist Céline Gounder worked 100 hours a week for seven days a week. Being on the frontlines during the pandemic ate up almost all of her time, but she avoided burnout by reminding herself about why her work is important. ""I don't think work feels like work when you feel like you're having an impact,"" says Gounder. ""If you're working crazy hours doing something that has no meaning to you, I think you really do need to step back and question what you're doing.""","3. Sei leidenschaftlich bei dem, was du tust, und erinnere dich an deinen Zweck: Bis zum Frühjahr 2022 arbeitete die Infektionskrankheitsspezialistin Céline Gounder 100 Stunden pro Woche an sieben Tagen pro Woche. Die Arbeit an der Front während der Pandemie nahm fast ihre gesamte Zeit in Anspruch, aber sie vermied einen Burnout, indem sie sich daran erinnerte, warum ihre Arbeit wichtig ist. ""Ich denke nicht, dass die Arbeit wie Arbeit erscheint, wenn du das Gefühl hast, dass du etwas bewirken kannst"", sagt Gounder. ""Wenn du verrückte Stunden damit verbringst, etwas zu tun, das für dich keine Bedeutung hat, dann denke ich, dass du wirklich einen Schritt zurücktreten und hinterfragen musst, was du tust.""","MQM annotations:
Accuracy Errors
[Minor]: [Mistranslation] - The phrase ""having an impact"" is translated as ""etwas bewirken können"" which does not fully capture the original meaning.

Fluency Errors
[Minor]: [Grammar] - The phrase ""wenn du das Gefühl hast, dass du etwas bewirken kannst"" has a slightly awkward grammar structure compared to the original English.

Overall, the translation is generally accurate and fluent, with only minor errors detected. The translation conveys the key points of the original text effectively."
