index,original,zero_shot_translation,reference_translation
1,"The incident comes after increase in numbers of refugees and asylum seekers crossing the Channel to the UK in boats. Police have arrested 15 people after an anti-refugee demonstration outside a hotel used to house asylum seekers turned violent near the English city of Liverpool. The Merseyside Police department said a police officer and two civilians sustained minor injuries during the disturbance on Friday night in Knowsley. The police force said some protesters threw objects and set a police van on fire. The people arrested, who ranged in age from 13 to 54, were detained ""following violent disorder."" Merseyside police commissioner Emily Spurrell told Radio City, ""It was incredibly dangerous and there were a couple of injuries amongst the police officers.""","Der Vorfall kommt nach einem Anstieg der Zahl von Flüchtlingen und Asylbewerbern, die in Booten den Ärmelkanal in Richtung Großbritannien überqueren. Die Polizei hat 15 Personen nach einer gewalttätigen anti-Flüchtlings-Demonstration außerhalb eines Hotels, das zur Unterbringung von Asylbewerbern genutzt wird, in der Nähe der englischen Stadt Liverpool festgenommen. Das Merseyside-Polizeidepartement erklärte, dass ein Polizeibeamter und zwei Zivilisten bei der Störung am Freitagabend in Knowsley leichte Verletzungen erlitten. Die Polizei teilte mit, dass einige Demonstranten Gegenstände warfen und einen Polizeiwagen in Brand setzten. Die Festgenommenen im Alter von 13 bis 54 Jahren wurden ""nach gewalttätigen Ausschreitungen"" in Gewahrsam genommen. Die Polizeikommissarin von Merseyside, Emily Spurrell, sagte gegenüber Radio City: ""Es war unglaublich gefährlich und es gab ein paar Verletzungen unter den Polizeibeamten.""","Der Vorfall ereignet sich, nachdem sich die Zahl der Flüchtlinge und Asylbewerber, die den Ärmelkanal nach Großbritannien in Booten überqueren, ansteigt. Die Polizei hat 15 Menschen verhaftet, nachdem Anti-Flüchtlingsdemonstrationen vor einem Hotel in der Nähe der englischen Stadt Liverpool, das verwendet wird, um Asylbewerber unterzubringen, gewalttätig wurden. Laut dem Polizeirevier von Merseyside erlitten ein Polizeibeamter und zwei Zivilisten während des Tumults am Freitagabend in Knowsley leichte Verletzungen. Die Polizei gab bekannt, dass einige Demonstranten Gegenstände warfen und einen Polizeiwagen anzündeten. Die verhafteten Menschen, die zwischen 13 und 54 Jahren alt waren, wurden „aufgrund von gewalttätigen Ausschreitungen“ inhaftiert. Die Polizeikommissarin von Merseyside Emily Spurrell äußerte gegenüber Radio City, „Es war unglaublich gefährlich und es gab einige Verletzte unter den Polizeibeamten.“"
3,"More than 45,000 people reached the UK by that route in 2022, and most applied for asylum. The system for considering asylum applications has slowed to a crawl because of political turmoil and bureaucratic delays, leaving many asylum seekers stuck in hotels or other temporary accommodations. The Channel crossings have become a political issue, with the Conservative government promising to ""stop the boats"" and pursuing a plan to send such asylum seekers to Rwanda. Opponents have accused the government of demonising desperate people fleeing war and poverty.","Mehr als 45.000 Menschen erreichten 2022 auf dieser Route das Vereinigte Königreich, und die meisten beantragten Asyl. Das System zur Prüfung von Asylanträgen ist aufgrund politischer Turbulenzen und bürokratischer Verzögerungen zum Erliegen gekommen, was dazu führt, dass viele Asylsuchende in Hotels oder anderen Übergangswohnungen festsitzen. Die Überquerungen des Ärmelkanals sind zu einem politischen Thema geworden, wobei die konservative Regierung verspricht, ""die Boote zu stoppen"" und einen Plan verfolgt, solche Asylsuchende nach Ruanda zu schicken. Gegner haben der Regierung vorgeworfen, verzweifelte Menschen, die vor Krieg und Armut fliehen, zu dämonisieren.","Mehr als 45.000 Menschen haben 2022 Großbritannien auf diesem Weg erreicht und die meisten haben einen Asylantrag gestellt. Das System, das Asylanträge bearbeitet, hat sich aufgrund politischer Unruhen und bürokratischer Verzögerungen stark verlangsamt, was dazu führte, dass viele Asylbewerber in Hotels und vorübergehenden Unterkünften feststecken. Die Überquerungen des Ärmelkanals sind zu einem politischen Thema geworden, die konservative Regierungen verspricht hierbei „die Boote zu stoppen“ und verfolgt einen Plan, jene Asylbewerber nach Ruanda zu schicken. Gegner haben der Regierung vorgeworfen, verzweifelte Menschen, die vor Krieg und Armut fliehen, zu dämonisieren."
5,Derry midfielder Adam Reilly closes down Lee Grace at the Brandywell,Derry-Mittelfeldspieler Adam Reilly deckt Lee Grace am Brandywell ab.,Derry-Mittelfeldspieler Adam Reilly blockt Lee Grace in Brandywell
9,"The Department of Homeland Security has hired an outside law firm - Debevoise & Plimpton - to assist in possible impeachment proceedings for Secretary Alejandro Mayorkas, as he potentially faces charges by House Republicans regarding his handling of the southern border. ""The Department of Homeland Security has retained outside counsel to help ensure the Department's vital mission is not interrupted by the unprecedented, unjustified, and partisan impeachment efforts by some Members of Congress, who have already taken steps to initiate proceedings,"" a DHS spokesperson said in a statement Friday. ""DHS will continue prioritizing its work to protect our country from terrorism, respond to natural disasters, and secure our borders while responding appropriately to the over 70 Congressional committees and subcommittees that have oversight of DHS."" A DHS official tells CBS News the department has hired the firm for contracted work for the life of the congressional inquiry. Debevoise was chosen because of its expertise in impeachment and bipartisan experience in working with Congress on oversight.","Das Heimatschutzministerium hat eine externe Anwaltskanzlei - Debevoise & Plimpton - eingestellt, um bei möglichen Amtsenthebungsverfahren gegen Sekretär Alejandro Mayorkas zu unterstützen, da er möglicherweise Anschuldigungen der Republikaner im Repräsentantenhaus wegen seiner Handhabung der Südgrenze gegenübersteht. ""Das Heimatschutzministerium hat externe Rechtsberater eingestellt, um sicherzustellen, dass die lebenswichtige Mission des Ministeriums nicht durch die beispiellosen, ungerechtfertigten und parteiischen Amtsenthebungsbemühungen einiger Mitglieder des Kongresses unterbrochen wird, die bereits Schritte zur Einleitung von Verfahren unternommen haben"", sagte ein Sprecher des Heimatschutzministeriums in einer Erklärung am Freitag. ""Das Heimatschutzministerium wird weiterhin seine Arbeit priorisieren, um unser Land vor Terrorismus zu schützen, auf Naturkatastrophen zu reagieren und unsere Grenzen zu sichern, während es angemessen auf die über 70 Kongressausschüsse und Unterausschüsse reagiert, die die Aufsicht über das Heimatschutzministerium haben."" Ein Beamter des Heimatschutzministeriums teilte CBS News mit, dass das Ministerium die Kanzlei für Vertragsarbeiten für die Dauer der Kongressuntersuchung eingestellt hat. Debevoise wurde ausgewählt, da es über Expertise in Amtsenthebungsverfahren und biparteiische Erfahrung in der Zusammenarbeit mit dem Kongress bei der Aufsicht verfügt.","Das Heimatschutzministerium hat eine außenstehende Anwaltskanzlei – Debevoise & Plimpton – engagiert, um beim möglichen Amtsenthebungsverfahren gegen Minister Alejandro Mayorkas zu helfen, da er sich womöglich gegenüber Republikanern bezüglich seines Umgangs mit der südlichen Grenze verantworten muss. „Das Heimatschutzministerium hat Beratung von außen hinzugezogen, um dabei zu helfen sicherzustellen, dass die wichtige Aufgabe des Ministeriums nicht von beispiellosen, ungerechtfertigten und parteiischen Bemühungen einiger Kongressmitglieder eine Amtsenthebung einzuleiten, wofür bereits Schritte eingeleitet wurden, unterbrochen wird“, so ein DHS-Sprecher in einer Stellungnahme am Freitag. „Das DHS wird weiterhin seine Arbeit, unser Land vor Terrorismus zu schützen, auf Naturkatastrophen zu reagieren und unsere Grenzen zu wahren, priorisieren, während es angemessen auf die über 70 Kongressausschüsse und -unterausschüsse, die Kontrolle über das DHS haben, reagiert.“ Ein DHS-Beamter sagte gegenüber CBS News, dass das Ministerium die Kanzlei für Vertragsarbeit für den Zeitraum der Kongressermittlung engagiert hat. Debevoise wurde aufgrund ihrer Expertise im Bereich Amtsenthebung und überparteilicher Erfahrung in der Arbeit mit dem Kongress an Überwachung ausgewählt."
10,"The Justice Department recently advised that the contract with Debevoise qualifies as an appropriate expenditure for DHS. DHS is trying to ensure that its mission isn't undermined by partisan attacks and that proceedings against Mayorkas are being handled by people with the appropriate expertise. Mayorkas has not commented on this development, but asked about the impeachment inquiry last Thursday, he told reporters, ""We will cooperate with this Congress, just as we did with the last Congress. I think that's our responsibility."" He conceded that ""it will take time"" to comply with the House's investigation. ""I will spend that time as will others and we will also not compromise the time that we spend in fulfilling our mission."" A DHS senior official confirmed that Mayorkas has not yet met with his new outside counsel. Only one cabinet member has ever been impeached, Secretary of War William Belknap. In 1876, Belknap, who served in President Ulysses S. Grant's administration, was accused of accepting bribes but was ultimately acquitted by the Senate.","Das Justizministerium hat kürzlich empfohlen, dass der Vertrag mit Debevoise als angemessene Ausgabe für das DHS gilt. Das DHS versucht sicherzustellen, dass seine Mission nicht durch parteiische Angriffe untergraben wird und dass die Verfahren gegen Mayorkas von Personen mit der entsprechenden Expertise behandelt werden. Mayorkas hat sich zu dieser Entwicklung nicht geäußert, sagte aber auf Nachfrage zur Amtsenthebungsuntersuchung am letzten Donnerstag zu Reportern: ""Wir werden mit diesem Kongress zusammenarbeiten, so wie wir es auch mit dem letzten Kongress getan haben. Ich denke, das ist unsere Verantwortung."" Er räumte ein, dass es ""Zeit in Anspruch nehmen wird"", den Untersuchungen des Repräsentantenhauses nachzukommen. ""Ich werde diese Zeit aufwenden, wie auch andere, und wir werden auch nicht die Zeit kompromittieren, die wir damit verbringen, unsere Mission zu erfüllen."" Ein hochrangiger DHS-Beamter bestätigte, dass Mayorkas sich noch nicht mit seinem neuen Anwalt außerhalb des Hauses getroffen hat. Nur ein Kabinettsmitglied wurde jemals des Amtes enthoben, nämlich Kriegsminister William Belknap. 1876 wurde Belknap, der in der Regierung von Präsident Ulysses S. Grant diente, beschuldigt, Bestechungsgelder angenommen zu haben, wurde aber letztendlich vom Senat freigesprochen.","Das Justizministerium riet neulich an, dass der Vertrag mit Debevoise sich als angemessene Ausgabe des DHS qualifiziert. Das DHS versucht, sicherzustellen, dass sein Ziel nicht von überparteilichen Angriffen untergraben wird und dass Verfahren gegen Mayorkas von Menschen mit angemessener Expertise bearbeitet werden. Mayorkas hat diese Entwicklung nicht kommentiert, aber hat letzten Donnerstag nach dem Antrag auf Amtsenthebung gefragt, sagte er Reportern, „Wir werden mit diesem Kongress kooperieren, genauso wie wir es mit dem letzten Kongress getan haben. Ich glaube, das ist unsere Pflicht.“ Er räumte ein, dass „es dauern wird“, den Ermittlungen des Repräsentantenhauses nachzukommen. „Ich werde diese Zeit genauso wie andere nutzen und wir werden die Zeit, die wir damit verbracht haben, unser Ziel zu erreichen, nicht infrage stellen.“ Ein leitender Beamter des DHS bestätigte, dass Mayorkas sich bisher nicht mit seinem neuen, externen Anwalt getroffen hat. Nur ein Kabinettsmitglied wurde bisher je des Amtes enthoben, Kriegsminister William Belknap. 1876 wurde Belknap, der unter der Regierung von Präsident Ulysses S. Grant arbeitete, beschuldigt, Bestechungsgelder anzunehmen, wurde letztendlich aber vom Senat freigesprochen."
11,Four teens charged in attack of 14-year-old who died of suicide after beating video was posted online,"Vier Jugendliche angeklagt wegen Angriffs auf einen 14-Jährigen, der nach der Veröffentlichung eines Videos über seine Misshandlung Suizid beging.","Vier Teenagerinnen verurteilt nach Angriff auf 14-Jährige, die an Suizid starb, nachdem Prügelvideo online gestellt wurde"
12,Dad says daughter took her own life after being bullied at NJ school,"Vater sagt, Tochter hat Selbstmord begangen, nachdem sie in einer Schule in New Jersey gemobbt wurde.","Der Vater sagt, die Tochter nahm sich das Leben, nachdem sie in einer Schule in New Jersey gemobbt wurde"
14,"Adriana Kuch, 14, was found dead in her Bayville home on February 3, two days after the disturbing video of the attack at Central Regional High School was posted online. The video showed girls throwing a drink at the teen, then kicking and dragging her down school hallways. They pushed Adriana into red lockers lining the school hallways and one of the girls in a pink shirt punched Kuch repeatedly.","Adriana Kuch, 14, wurde am 3. Februar tot in ihrem Zuhause in Bayville aufgefunden, zwei Tage nachdem das verstörende Video des Angriffs an der Central Regional High School online gestellt wurde. Das Video zeigte Mädchen, die der Jugendlichen einen Drink an den Kopf warfen, sie dann traten und durch die Schulflure schleppten. Sie stießen Adriana in rote Spinde an den Schulfluren und eine der Mädchen in einem rosa Hemd schlug Kuch wiederholt.","Adriana Kuch, 14, wurde am 3. Februar, zwei Tage nachdem das verstörende Video des Angriffs in der Central Regional High School online gestellt wurde, tot in ihrem Zuhause in Bayville aufgefunden. Das Video zeigte, wie Mädchen ein Getränk nach der Teenagerin warfen, sie dann traten und den Schulkorridor entlangschleiften. Sie schubsten Adriana in die roten Spinde, die den Schulkorridore säumen, und eins der Mädchen in einem pinken Shirt schlug Kuch wiederholt."
23,"2.Rest when you need to: Working two jobs as a sleep researcher and an algorithm engineer, all while taking care of a new baby, would have definitely led Raphael Vallat to burnout if he didn't rest, he says. ""I feel like when I'm about to burn out, basically every task feels like a mountain that you need to climb, and feels super urgent and important,"" says Vallat. In those moments, ""you really need to take some time off and realize that these tasks can wait."" Typically, Vallat finds moments in his day where he can pause and spend time in nature to ground himself before returning to work.","2. Ruhen Sie, wenn Sie es brauchen: Zwei Jobs als Schlafforscher und Algorithmeningenieur zu arbeiten, während man sich um ein Neugeborenes kümmert, hätte Raphael Vallat definitiv in einen Burnout getrieben, wenn er sich nicht ausgeruht hätte, sagt er. ""Ich habe das Gefühl, dass wenn ich kurz vor einem Burnout stehe, sich jede Aufgabe wie ein Berg anfühlt, den man erklimmen muss, und sie extrem dringend und wichtig erscheint"", sagt Vallat. In solchen Momenten ""muss man sich wirklich Zeit nehmen und erkennen, dass diese Aufgaben warten können."" Normalerweise findet Vallat Momente in seinem Tag, in denen er innehalten und Zeit in der Natur verbringen kann, um sich zu erden, bevor er zur Arbeit zurückkehrt.","2. Ruhen Sie sich aus, wenn sie es brauchen: Zwei Jobs zu haben, als Schlafforscher und als Algorithmenentwickler, und das alles, während er sich um ein Neugeborenes kümmert, hätte Raphael Vallat bestimmt in den Burnout getrieben, wenn er sich nicht ausgeruht hätte, sagt er. „Wenn ich dabei bin, auszubrennen, fühlt sich im Gründe jede Aufgabe wie ein Berg an, den man besteigen muss, und sie fühlt sich extrem dringend und wichtig an“, sagt Vallat. In diesen Momenten „muss man sich wirklich eine Auszeit nehmen und realisieren, dass diese Aufgaben warten können.“ Normalerweise findet Vallat Momente im Laufe seines Tags, in denen er eine Pause machen und Zeit in der Natur verbringen kann, um sich zu erden, bevor er zur Arbeit zurückkehrt."
24,"3.Be passionate about what you're doing and remember your purpose: Up until spring of 2022, infectious disease specialist Céline Gounder worked 100 hours a week for seven days a week. Being on the frontlines during the pandemic ate up almost all of her time, but she avoided burnout by reminding herself about why her work is important. ""I don't think work feels like work when you feel like you're having an impact,"" says Gounder. ""If you're working crazy hours doing something that has no meaning to you, I think you really do need to step back and question what you're doing.""","3. Sei leidenschaftlich bei dem, was du tust, und erinnere dich an deinen Zweck: Bis zum Frühjahr 2022 arbeitete die Infektionskrankheitsspezialistin Céline Gounder 100 Stunden pro Woche an sieben Tagen pro Woche. Die Arbeit an der Front während der Pandemie nahm fast ihre gesamte Zeit in Anspruch, aber sie vermied einen Burnout, indem sie sich daran erinnerte, warum ihre Arbeit wichtig ist. ""Ich denke nicht, dass die Arbeit wie Arbeit erscheint, wenn du das Gefühl hast, dass du etwas bewirken kannst"", sagt Gounder. ""Wenn du verrückte Stunden damit verbringst, etwas zu tun, das für dich keine Bedeutung hat, dann denke ich, dass du wirklich einen Schritt zurücktreten und hinterfragen musst, was du tust.""","3. Machen Sie das, was Sie tun, leidenschaftlich und erinnern Sie sich an Ihren Zweck: Bis zum Frühling 2022 arbeitete die Fachärztin für Infektiologie Céline Gounder 100 Stunden die Woche an 7 Tagen die Woche. Da sie während der Pandemie an vorderster Front stand, nahm das fast all ihre Zeit in Anspruch, aber sie vermied einen Burnout, indem sie sich daran erinnerte, warum ihre Arbeit wichtig sei. „Ich finde nicht, dass sich Arbeit wie Arbeit anfühlt, wenn man sich so fühlt, als könnte man etwas ausrichten“, sagt Gounder. „Wenn man eine verrückte Stundenzahl für etwas arbeitet, das für einen keine Bedeutung hat, denke ich, dass man wirklich Abstand gewinnen und in Frage stellen muss, was man tut.“"
