index,original,zero_shot_translation,annotation
1,"The incident comes after increase in numbers of refugees and asylum seekers crossing the Channel to the UK in boats. Police have arrested 15 people after an anti-refugee demonstration outside a hotel used to house asylum seekers turned violent near the English city of Liverpool. The Merseyside Police department said a police officer and two civilians sustained minor injuries during the disturbance on Friday night in Knowsley. The police force said some protesters threw objects and set a police van on fire. The people arrested, who ranged in age from 13 to 54, were detained ""following violent disorder."" Merseyside police commissioner Emily Spurrell told Radio City, ""It was incredibly dangerous and there were a couple of injuries amongst the police officers.""","Der Vorfall ereignet sich nach einem Anstieg der Zahl von Flüchtlingen und Asylsuchenden, die in Booten den Ärmelkanal nach Großbritannien überqueren. Die Polizei hat 15 Personen festgenommen, nachdem eine Anti-Flüchtlings-Demonstration vor einem Hotel, das zur Unterbringung von Asylsuchenden genutzt wird, in der Nähe der englischen Stadt Liverpool gewalttätig wurde. Die Polizeibehörde von Merseyside teilte mit, dass ein Polizeibeamter und zwei Zivilisten während der Unruhen am Freitagabend in Knowsley leichte Verletzungen erlitten. Die Polizei erklärte, einige Demonstranten hätten Gegenstände geworfen und einen Polizeiwagen in Brand gesetzt. Die festgenommenen Personen, die im Alter von 13 bis 54 Jahren waren, wurden ""wegen gewalttätiger Unruhen"" in Gewahrsam genommen. Die Polizeikommissarin von Merseyside, Emily Spurrell, sagte gegenüber Radio City: ""Es war unglaublich gefährlich und es gab ein paar Verletzungen unter den Polizeibeamten.""","MQM annotations:

Accuracy Errors  
[Critical]: None  
[Major]: None  
[Minor]: None  

Fluency Errors  
[Critical]: None  
[Major]: None  
[Minor]: None  

Locale Convention Errors  
[Critical]: None  
[Major]: None  
[Minor]: None  

Style Errors  
[Critical]: None  
[Major]: None  
[Minor]: None  

Terminology Errors  
[Critical]: None  
[Major]: None  
[Minor]: None  

Non-Translation Errors  
[Critical]: None  
[Major]: None  
[Minor]: None  

Other Errors  
[Critical]: None  
[Major]: None  
[Minor]: None  

No-error"
3,"More than 45,000 people reached the UK by that route in 2022, and most applied for asylum. The system for considering asylum applications has slowed to a crawl because of political turmoil and bureaucratic delays, leaving many asylum seekers stuck in hotels or other temporary accommodations. The Channel crossings have become a political issue, with the Conservative government promising to ""stop the boats"" and pursuing a plan to send such asylum seekers to Rwanda. Opponents have accused the government of demonising desperate people fleeing war and poverty.","Mehr als 45.000 Menschen erreichten im Jahr 2022 auf diesem Weg das Vereinigte Königreich, und die meisten beantragten Asyl. Das System zur Bearbeitung von Asylanträgen ist aufgrund politischer Turbulenzen und bürokratischer Verzögerungen zum Erliegen gekommen, wodurch viele Asylsuchende in Hotels oder anderen provisorischen Unterkünften feststecken. Die Überquerungen des Ärmelkanals sind zu einem politischen Thema geworden, wobei die konservative Regierung verspricht, die ""Boote zu stoppen"" und einen Plan verfolgt, solche Asylsuchenden nach Ruanda zu schicken. Gegner haben der Regierung vorgeworfen, verzweifelte Menschen, die vor Krieg und Armut fliehen, zu dämonisieren.","MQM annotations:

Accuracy Errors  
[Critical]: None  
[Major]: None  
[Minor]: None  

Fluency Errors  
[Critical]: None  
[Major]: None  
[Minor]: None  

Locale Convention Errors  
[Critical]: None  
[Major]: None  
[Minor]: None  

Style Errors  
[Critical]: None  
[Major]: None  
[Minor]: None  

Terminology Errors  
[Critical]: None  
[Major]: None  
[Minor]: None  

Other Errors  
[Critical]: None  
[Major]: None  
[Minor]: None  

No-error"
5,Derry midfielder Adam Reilly closes down Lee Grace at the Brandywell,Der Derry-Mittelfeldspieler Adam Reilly macht Lee Grace im Brandywell dicht.,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: [mistranslation] - The phrase ""closes down"" is translated as ""macht dicht,"" which can be understood but is slightly awkward in this context. A more precise translation might be ""setzt unter Druck"" or ""blockiert.""

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: [awkward] - The translation of ""closes down"" as ""macht dicht"" is slightly awkward in the context of a sports commentary.

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error: None"
9,"The Department of Homeland Security has hired an outside law firm - Debevoise & Plimpton - to assist in possible impeachment proceedings for Secretary Alejandro Mayorkas, as he potentially faces charges by House Republicans regarding his handling of the southern border. ""The Department of Homeland Security has retained outside counsel to help ensure the Department's vital mission is not interrupted by the unprecedented, unjustified, and partisan impeachment efforts by some Members of Congress, who have already taken steps to initiate proceedings,"" a DHS spokesperson said in a statement Friday. ""DHS will continue prioritizing its work to protect our country from terrorism, respond to natural disasters, and secure our borders while responding appropriately to the over 70 Congressional committees and subcommittees that have oversight of DHS."" A DHS official tells CBS News the department has hired the firm for contracted work for the life of the congressional inquiry. Debevoise was chosen because of its expertise in impeachment and bipartisan experience in working with Congress on oversight.","Das Ministerium für Innere Sicherheit hat eine externe Anwaltskanzlei - Debevoise & Plimpton - beauftragt, um bei möglichen Amtsenthebungsverfahren gegen Minister Alejandro Mayorkas zu unterstützen, da er möglicherweise von den Republikanern im Repräsentantenhaus wegen seines Umgangs mit der Südgrenze angeklagt wird. ""Das Ministerium für Innere Sicherheit hat externe Rechtsberatung in Anspruch genommen, um sicherzustellen, dass die wichtige Mission des Ministeriums nicht durch die beispiellosen, ungerechtfertigten und parteiischen Amtsenthebungsbemühungen einiger Kongressmitglieder unterbrochen wird, die bereits Schritte zur Einleitung von Verfahren unternommen haben"", sagte ein Sprecher des Ministeriums am Freitag in einer Erklärung. ""Das Ministerium wird weiterhin seine Arbeit zur Terrorismusbekämpfung, zur Reaktion auf Naturkatastrophen und zur Sicherung unserer Grenzen priorisieren, während es angemessen auf die über 70 Kongressausschüsse und Unterausschüsse reagiert, die die Aufsicht über das Ministerium haben."" Ein Beamter des Ministeriums sagte CBS News, dass das Ministerium die Kanzlei für vertragliche Arbeiten während der gesamten","MQM annotations:

Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: [omission] - The translation omits the phrase ""for the life of the congressional inquiry"" from the original text, which specifies the duration of the contracted work.

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error: None"
10,"The Justice Department recently advised that the contract with Debevoise qualifies as an appropriate expenditure for DHS. DHS is trying to ensure that its mission isn't undermined by partisan attacks and that proceedings against Mayorkas are being handled by people with the appropriate expertise. Mayorkas has not commented on this development, but asked about the impeachment inquiry last Thursday, he told reporters, ""We will cooperate with this Congress, just as we did with the last Congress. I think that's our responsibility."" He conceded that ""it will take time"" to comply with the House's investigation. ""I will spend that time as will others and we will also not compromise the time that we spend in fulfilling our mission."" A DHS senior official confirmed that Mayorkas has not yet met with his new outside counsel. Only one cabinet member has ever been impeached, Secretary of War William Belknap. In 1876, Belknap, who served in President Ulysses S. Grant's administration, was accused of accepting bribes but was ultimately acquitted by the Senate.","Das Justizministerium hat kürzlich mitgeteilt, dass der Vertrag mit Debevoise als angemessene Ausgabe für das DHS qualifiziert ist. Das DHS versucht sicherzustellen, dass seine Mission nicht durch parteiische Angriffe untergraben wird und dass Verfahren gegen Mayorkas von Personen mit der entsprechenden Expertise behandelt werden. Mayorkas hat sich zu dieser Entwicklung nicht geäußert, aber auf die Frage nach der Amtsenthebungsuntersuchung letzten Donnerstag sagte er Reportern: „Wir werden mit diesem Kongress kooperieren, so wie wir es mit dem letzten Kongress getan haben. Ich denke, das ist unsere Verantwortung.“ Er räumte ein, dass es „Zeit brauchen wird“, um der Untersuchung des Repräsentantenhauses nachzukommen. „Ich werde diese Zeit aufwenden, ebenso wie andere, und wir werden auch nicht die Zeit gefährden, die wir für die Erfüllung unserer Mission aufwenden.“ Ein hochrangiger DHS-Beamter bestätigte, dass Mayorkas sich noch nicht mit seinem neuen externen Anwalt getroffen hat. Bisher wurde nur ein Kabinettsmitglied jemals angeklagt, Kriegsminister William Belknap. Im Jahr 1876","MQM annotations:
Accuracy Errors
[Critical]: [omission] - The translation omits the information that William Belknap ""was accused of accepting bribes but was ultimately acquitted by the Senate.""

[Major]: None

[Minor]: None

Fluency Errors
[Critical]: None

[Major]: None

[Minor]: None

Locale Convention Errors
[Critical]: None

[Major]: None

[Minor]: None

Style Errors
[Critical]: None

[Major]: None

[Minor]: None

Terminology Errors
[Critical]: None

[Major]: None

[Minor]: None

Non-Translation Errors
[Critical]: None

[Major]: None

[Minor]: None

Other Errors
[Critical]: None

[Major]: None

[Minor]: None

No-error
[Critical]: None

[Major]: None

[Minor]: None"
11,Four teens charged in attack of 14-year-old who died of suicide after beating video was posted online,"Vier Jugendliche angeklagt wegen Angriff auf 14-Jährigen, der Suizid beging, nachdem das Prügelvideo online gestellt wurde.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error"
12,Dad says daughter took her own life after being bullied at NJ school,"Vater sagt, Tochter nahm sich das Leben, nachdem sie an der Schule in NJ gemobbt wurde.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: [locale convention/name] - The abbreviation ""NJ"" for New Jersey is not localized or explained, which might cause confusion for readers unfamiliar with U.S. state abbreviations.

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: [locale convention/name] - As mentioned above, the abbreviation ""NJ"" is not localized.

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error"
14,"Adriana Kuch, 14, was found dead in her Bayville home on February 3, two days after the disturbing video of the attack at Central Regional High School was posted online. The video showed girls throwing a drink at the teen, then kicking and dragging her down school hallways. They pushed Adriana into red lockers lining the school hallways and one of the girls in a pink shirt punched Kuch repeatedly.","Adriana Kuch, 14, wurde am 3. Februar tot in ihrem Haus in Bayville aufgefunden, zwei Tage nachdem das verstörende Video des Angriffs an der Central Regional High School online gestellt worden war. Das Video zeigte, wie Mädchen ein Getränk auf die Jugendliche warfen, sie dann traten und durch die Schulflure zogen. Sie stießen Adriana gegen rote Spinde, die die Schulflure säumten, und eines der Mädchen in einem rosa Hemd schlug Kuch wiederholt.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Non-Translation Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error: The translation accurately conveys the meaning of the source text without any errors in accuracy, fluency, locale convention, style, or terminology."
23,"2.Rest when you need to: Working two jobs as a sleep researcher and an algorithm engineer, all while taking care of a new baby, would have definitely led Raphael Vallat to burnout if he didn't rest, he says. ""I feel like when I'm about to burn out, basically every task feels like a mountain that you need to climb, and feels super urgent and important,"" says Vallat. In those moments, ""you really need to take some time off and realize that these tasks can wait."" Typically, Vallat finds moments in his day where he can pause and spend time in nature to ground himself before returning to work.","2. Ruhen Sie sich aus, wenn Sie es brauchen: Zwei Jobs als Schlafforscher und Algorithmus-Ingenieur zu arbeiten und gleichzeitig ein neues Baby zu versorgen, hätte Raphael Vallat definitiv in ein Burnout geführt, wenn er sich nicht ausgeruht hätte, sagt er. ""Ich habe das Gefühl, dass, wenn ich kurz vor einem Burnout stehe, im Grunde jede Aufgabe wie ein Berg wirkt, den man erklimmen muss, und super dringend und wichtig erscheint"", sagt Vallat. In diesen Momenten ""muss man wirklich eine Auszeit nehmen und sich klar machen, dass diese Aufgaben warten können."" Typischerweise findet Vallat im Laufe seines Tages Momente, in denen er innehalten und Zeit in der Natur verbringen kann, um sich zu erden, bevor er zur Arbeit zurückkehrt.","MQM annotations:

Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error: The translation accurately and fluently conveys the meaning of the source text without any errors."
24,"3.Be passionate about what you're doing and remember your purpose: Up until spring of 2022, infectious disease specialist Céline Gounder worked 100 hours a week for seven days a week. Being on the frontlines during the pandemic ate up almost all of her time, but she avoided burnout by reminding herself about why her work is important. ""I don't think work feels like work when you feel like you're having an impact,"" says Gounder. ""If you're working crazy hours doing something that has no meaning to you, I think you really do need to step back and question what you're doing.""","3. Seien Sie leidenschaftlich bei dem, was Sie tun, und erinnern Sie sich an Ihren Zweck: Bis zum Frühjahr 2022 arbeitete die Infektionskrankheitsspezialistin Céline Gounder 100 Stunden pro Woche, sieben Tage die Woche. An vorderster Front während der Pandemie zu stehen, nahm fast all ihre Zeit in Anspruch, aber sie vermied Burnout, indem sie sich daran erinnerte, warum ihre Arbeit wichtig ist. ""Ich glaube nicht, dass sich Arbeit wie Arbeit anfühlt, wenn man das Gefühl hat, einen Einfluss zu haben"", sagt Gounder. ""Wenn Sie verrückte Stunden mit etwas verbringen, das für Sie keine Bedeutung hat, müssen Sie wirklich einen Schritt zurücktreten und hinterfragen, was Sie tun.""","MQM annotations:

Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error"
