index,original,translated,audience_appropriateness_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","לדעתי, זו הנחה גדולה למדי מכיוון שהיא יוצרת את אזור התצוגה באמצעות אובייקט Direct3D בלבד, לא אובייקט Direct3D3.","MQM annotations:
critical: no-error
major: no-error
minor: no-error"
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל קבוצה עילית ממשית של IDirectXObject, בלי שינויים בחתימות הפונקציות, ורק שיטות חדשות נוספות בסוף.","MQM annotations:
minor: terminology/inappropriate for context - While not strictly wrong, the use of ""קבוצה עילית ממשית"" (real superset) is a bit technical and academic. A more common and accessible term might be better suited for a general audience, depending on the context where this translation is used."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","נניח לצורך הדיון שמדע, לפחות בחלקו, מורכב מרשימות של הצהרות עובדתיות אובייקטיביות על העולם, נכונות ללא קשר לכל תיאוריה שהן עשויות לתמוך בה.","MQM annotations:
minor: no-error - The translation is accurate and appropriate for the target audience."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","ניסויים לא יוצרים את העובדות לפי קריאה זו, אבל הבחירה אילו ניסויים לערוך שולטת באילו עובדות יתגלו.","MQM annotations:
no-error"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","ישנן עובדות מסוימות, למשל בנוגע לחלקיקים תת-אטומיים, שיכולות לנבוע רק מניסויים שאפשריים רק בקפיטליזם משום שהם דורשים יותר מדי משאבים, יותר מדי ארגון, יותר מדי כפייה, כדי להוציאם לפועל אחרת.","MQM annotations:
no-error"
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"זהו תרשים תמציתי מאוד של טיעון סביר, לפיו תיאוריות על השפעת הקפיטליזם על התוכן הממשי של המדע עולות בקנה אחד עם תיאוריות המצביעות על קיומן של עובדות מדעיות אובייקטיביות.","MQM annotations:
audience appropriateness error:
[Critical]: no-error
[Major]: no-error
[Minor]: no-error"
13,Going to be my first project car.,אמור להיות רכב הפרויקט הראשון שלי.,"MQM annotations:
no-error"
14,Picking this up this weekend.,אוסף את זה בסוף השבוע.,"MQM annotations:
audience appropriateness error: None"
16,Already on coil overs and lowered ride height.,כבר עם קוילאוברים והנמכת גובה נסיעה.,"MQM annotations:
no error"
20,#Venting into the Fediverse time.,פורק עול ברשת החברתית הפדרטיבית.,"MQM annotations:
minor: culture-specific reference - ""פורק עול"" (porek ol) literally translates to ""breaking the yoke"" or ""unburdening oneself"". While it conveys a similar sentiment to ""venting"", it's a more formal and potentially old-fashioned expression, and its specific connotation might not fully resonate with a younger audience used to the more direct term ""venting"" in the context of online expression. It's not incorrect, but slightly less colloquial."
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,אני ובן/בת זוגי (ה)ידוע/ה בציבור הלכנו הערב לחנות המשקאות לקנות כמה בירות ובקבוק של יין מבעבע.,"MQM annotations:
minor: culture-specific reference/formality - The translation provides multiple options for ""domestic partner"" including gendered options and a formal legal term ""known in public"". While accurate, in a casual context like buying beer, this level of precision might be unnecessary and sound overly formal or legalistic to a typical Hebrew speaker. A simpler term for ""partner"" would be more appropriate."
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","כשניגשנו לקופה, הקופאית הייתה אישה טרנסית די ברורה.","MQM annotations:
minor: audience_appropriateness/tone - While technically accurate, directly stating someone is a ""trans woman"" can be perceived as impolite or insensitive in some contexts. A more sensitive phrasing might be preferred depending on the audience."
27,And I said her nails looked cool.,ואמרתי שהציפורניים שלה נראות מגניבות.,"MQM annotations:
no-error"
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,"החיוך המוקל על פניה היה הרגשה נהדרת, אבל העובדה שהיא פחדה קודם זה חרא ואני שונא את זה.","MQM annotations:
minor: audience_appropriateness/register - The word ""חרא"" (khara) is a relatively vulgar word for ""shit"" and its use might be jarring or inappropriate for some audiences in Hebrew, depending on the context and the relationship between the people involved. While it translates the sentiment of ""FUCKING SUCKS,"" it could be considered slightly too strong in some settings. A more neutral term like ""מבאס"" (meba'es - disappointing) could be more appropriate for a wider audience."
33,It takes the state's governor.,זה לוקח את מושל המדינה.,"MQM annotations:
audience appropriateness error:
minor: style/awkward - The translation is grammatically correct and understandable, but it sounds somewhat formal and literal. A more natural phrasing in Hebrew might be preferred depending on the context. While not strictly inappropriate, it lacks a certain fluency."
38,"In this work, based on a variant of the classical Lewis (1969) signaling model, we explore the conditions for the emergence of context-dependent communication in a situated scenario.","בעבודה זו, המבוססת על וריאציה של מודל האיתות הקלאסי של לואיס (1969), אנו בוחנים את התנאים להתהוות של תקשורת תלוית הקשר בתרחיש סיטואציוני.","MQM annotations:
critical: no-error
major: no-error
minor: no-error"
40,"At the same time, we study the environmental conditions and cognitive capabilities that enable contextual disambiguation of symbol meanings.","במקביל, אנו חוקרים את התנאים הסביבתיים והיכולות הקוגניטיביות המאפשרים הסרת דו-משמעות הקשרית של משמעויות סמלים.","MQM annotations:
audience appropriateness error:
[Critical]: no-error
[Major]: no-error
[Minor]: no-error"
41,"We show that environmental constraints on the receiver's referent choice can be unilaterally exploited by the sender, without disambiguation capabilities on the receiver's end.","אנו מראים שאילוצים סביבתיים על בחירת הייחוס של המקבל ניתנים לניצול חד-צדדי על ידי השולח, ללא יכולות הסרת עמימות מצד המקבל.","MQM annotations:
minor: style/awkward - The Hebrew translation is grammatically correct and conveys the same meaning as the English source, but it uses a relatively formal and technical register. While appropriate for a technical audience, it might sound somewhat stilted in more general contexts."
46,"Ashanti Development has been working with an ever-expanding number of communities in the Ashanti region of Ghana for approaching 20 years, engaging with communities and providing support with water and sanitation, education, healthcare, tree planting and farming.","אשנטי פיתוח עובדת עם מספר הולך וגדל של קהילות באזור אשנטי שבגאנה כבר כמעט 20 שנה, משתפת פעולה עם הקהילות ומספקת תמיכה במים ותברואה, חינוך, בריאות, נטיעת עצים וחקלאות.","MQM annotations:
No audience appropriateness errors found."
47,Communities gain the knowledge to embed and support their own development.,קהילות רוכשות את הידע להטמיע ולתמוך בפיתוח שלהן.,"MQM annotations:
critical: no-error
major: no-error
minor: no-error"
52,Photos from my visit to Ghana in 2011.,תמונות מהביקור שלי בגאנה בשנת 2011.,"MQM annotations:
audience appropriateness error:
minor: no-error - The translation is a straightforward and accurate rendering of the source text into Hebrew, and there are no apparent issues with audience appropriateness."
