index,original,translated,linguistic_convention_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","לדעתי, זו הנחה גדולה למדי מכיוון שהיא יוצרת את אזור התצוגה באמצעות אובייקט Direct3D בלבד, לא אובייקט Direct3D3.","MQM annotations:
linguistic conventions errors:
minor: spelling/spelling - ""Direct3D3"" should be ""Direct3D 3""."
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל קבוצה עילית ממשית של IDirectXObject, בלי שינויים בחתימות הפונקציות, ורק שיטות חדשות נוספות בסוף.","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence.
```"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","נניח לצורך הדיון שמדע, לפחות בחלקו, מורכב מרשימות של הצהרות עובדתיות אובייקטיביות על העולם, נכונות ללא קשר לכל תיאוריה שהן עשויות לתמוך בה.","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing a period at the end of the sentence.
```"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","ניסויים לא יוצרים את העובדות לפי קריאה זו, אבל הבחירה אילו ניסויים לערוך שולטת באילו עובדות יתגלו.","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing punctuation at the end of the sentence.
```"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","ישנן עובדות מסוימות, למשל בנוגע לחלקיקים תת-אטומיים, שיכולות לנבוע רק מניסויים שאפשריים רק בקפיטליזם משום שהם דורשים יותר מדי משאבים, יותר מדי ארגון, יותר מדי כפייה, כדי להוציאם לפועל אחרת.","MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing a comma after ""למשל"" (for example).
```"
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"זהו תרשים תמציתי מאוד של טיעון סביר, לפיו תיאוריות על השפעת הקפיטליזם על התוכן הממשי של המדע עולות בקנה אחד עם תיאוריות המצביעות על קיומן של עובדות מדעיות אובייקטיביות.","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing a period at the end of the sentence.
```"
13,Going to be my first project car.,אמור להיות רכב הפרויקט הראשון שלי.,"MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence."
14,Picking this up this weekend.,אוסף את זה בסוף השבוע.,"MQM annotations:
linguistic conventions errors:
minor: whitespace/omission - Missing whitespace between ""אוסף"" and ""את""."
16,Already on coil overs and lowered ride height.,כבר עם קוילאוברים והנמכת גובה נסיעה.,"```
MQM annotations:
linguistic conventions errors:
minor: no-error - No linguistic convention errors found.
```"
20,#Venting into the Fediverse time.,פורק עול ברשת החברתית הפדרטיבית.,"```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing a period at the end of the sentence.
```"
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,אני ובן/בת זוגי (ה)ידוע/ה בציבור הלכנו הערב לחנות המשקאות לקנות כמה בירות ובקבוק של יין מבעבע.,"MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing parentheses around the definite article. Should be ""(ה)ידוע/ה"".
minor: whitespace/omission - Missing whitespace after the word ""ובקבוק"". It should be ""ובקבוק של""."
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","כשניגשנו לקופה, הקופאית הייתה אישה טרנסית די ברורה.","```
MQM annotations:
linguistic conventions errors:
minor: whitespace/omission - Missing space between ""אישה"" and ""טרנסית"". Should be ""אישה טרנסית"".
```"
27,And I said her nails looked cool.,ואמרתי שהציפורניים שלה נראות מגניבות.,"MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence."
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,"החיוך המוקל על פניה היה הרגשה נהדרת, אבל העובדה שהיא פחדה קודם זה חרא ואני שונא את זה.","MQM annotations:
linguistic conventions errors:
minor: spelling/spelling - ""מוקל"" should be ""הקלה""
minor: grammar/grammar - ""הרגשה נהדרת"" should be ""הרגשה נהדרת.""
minor: punctuation/punctuation - missing period at the end of the sentence.
minor: punctuation/punctuation - The translation of ""FUCKING SUCKS AND I HATE IT."" to ""זה חרא ואני שונא את זה"" could benefit from stronger punctuation to match the intensity of the source text. Adding an exclamation point at the end could convey the stronger emotion: ""זה חרא ואני שונא את זה!"""
33,It takes the state's governor.,זה לוקח את מושל המדינה.,"```
MQM annotations:
linguistic conventions errors:
minor: whitespace/omission - Missing whitespace between the word ""את"" and ""מושל"". Should be ""את מושל"".
```"
38,"In this work, based on a variant of the classical Lewis (1969) signaling model, we explore the conditions for the emergence of context-dependent communication in a situated scenario.","בעבודה זו, המבוססת על וריאציה של מודל האיתות הקלאסי של לואיס (1969), אנו בוחנים את התנאים להתהוות של תקשורת תלוית הקשר בתרחיש סיטואציוני.","MQM annotations:
linguistic conventions errors:
critical: no-error
major: no-error
minor: no-error"
40,"At the same time, we study the environmental conditions and cognitive capabilities that enable contextual disambiguation of symbol meanings.","במקביל, אנו חוקרים את התנאים הסביבתיים והיכולות הקוגניטיביות המאפשרים הסרת דו-משמעות הקשרית של משמעויות סמלים.","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing a period at the end of the sentence.
```"
41,"We show that environmental constraints on the receiver's referent choice can be unilaterally exploited by the sender, without disambiguation capabilities on the receiver's end.","אנו מראים שאילוצים סביבתיים על בחירת הייחוס של המקבל ניתנים לניצול חד-צדדי על ידי השולח, ללא יכולות הסרת עמימות מצד המקבל.","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence.
```"
46,"Ashanti Development has been working with an ever-expanding number of communities in the Ashanti region of Ghana for approaching 20 years, engaging with communities and providing support with water and sanitation, education, healthcare, tree planting and farming.","אשנטי פיתוח עובדת עם מספר הולך וגדל של קהילות באזור אשנטי שבגאנה כבר כמעט 20 שנה, משתפת פעולה עם הקהילות ומספקת תמיכה במים ותברואה, חינוך, בריאות, נטיעת עצים וחקלאות.","MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence.
```"
47,Communities gain the knowledge to embed and support their own development.,קהילות רוכשות את הידע להטמיע ולתמוך בפיתוח שלהן.,"```
MQM annotations:
linguistic conventions errors:
minor: whitespace/omission - Missing whitespace between ""להטמיע"" and ""ולתמוך"".
```"
52,Photos from my visit to Ghana in 2011.,תמונות מהביקור שלי בגאנה בשנת 2011.,"```
MQM annotations:
linguistic conventions errors:
minor: no-error
```"
55,They won't allow me to tell them the address it's going to and who is shipping it.,הם לא יאפשרו לי להגיד להם לאיזו כתובת זה הולך ומי שולח את זה.,"MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing a period at the end of the sentence.
```"
58,The next morning and I can't get past Chris Licht's disgraceful pretense of public service journalism on CNN last night.,למחרת בבוקר ואני לא מצליח להתגבר על ההעמדה המבישה של כריס ליכט כאילו הוא עוסק בעיתונות שירות לציבור בערוץ CNN אמש.,"```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing punctuation at the end of the sentence.
```"
