index,original,translated,locale_convention_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","לדעתי, זו הנחה גדולה למדי מכיוון שהיא יוצרת את אזור התצוגה באמצעות אובייקט Direct3D בלבד, לא אובייקט Direct3D3.","locale conventions:

MQM annotations:
There are no locale convention errors in this translation."
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל קבוצה עילית ממשית של IDirectXObject, בלי שינויים בחתימות הפונקציות, ורק שיטות חדשות נוספות בסוף.","locale conventions:

MQM annotations:"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","נניח לצורך הדיון שמדע, לפחות בחלקו, מורכב מרשימות של הצהרות עובדתיות אובייקטיביות על העולם, נכונות ללא קשר לכל תיאוריה שהן עשויות לתמוך בה.","locale conventions:

MQM annotations:"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","ניסויים לא יוצרים את העובדות לפי קריאה זו, אבל הבחירה אילו ניסויים לערוך שולטת באילו עובדות יתגלו.","locale conventions:

MQM annotations:"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","ישנן עובדות מסוימות, למשל בנוגע לחלקיקים תת-אטומיים, שיכולות לנבוע רק מניסויים שאפשריים רק בקפיטליזם משום שהם דורשים יותר מדי משאבים, יותר מדי ארגון, יותר מדי כפייה, כדי להוציאם לפועל אחרת.","```
locale conventions:

MQM annotations:
```"
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"זהו תרשים תמציתי מאוד של טיעון סביר, לפיו תיאוריות על השפעת הקפיטליזם על התוכן הממשי של המדע עולות בקנה אחד עם תיאוריות המצביעות על קיומן של עובדות מדעיות אובייקטיביות.","locale conventions:

MQM annotations:"
13,Going to be my first project car.,אמור להיות רכב הפרויקט הראשון שלי.,"locale conventions:

MQM annotations:
None"
14,Picking this up this weekend.,אוסף את זה בסוף השבוע.,"locale conventions:

MQM annotations:"
16,Already on coil overs and lowered ride height.,כבר עם קוילאוברים והנמכת גובה נסיעה.,"locale conventions:

MQM annotations:"
20,#Venting into the Fediverse time.,פורק עול ברשת החברתית הפדרטיבית.,"locale conventions:

MQM annotations:
minor: no-error - The translation accurately conveys the meaning of the source text without any locale-specific formatting issues."
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,אני ובן/בת זוגי (ה)ידוע/ה בציבור הלכנו הערב לחנות המשקאות לקנות כמה בירות ובקבוק של יין מבעבע.,"locale conventions:

MQM annotations:"
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","כשניגשנו לקופה, הקופאית הייתה אישה טרנסית די ברורה.","locale conventions:

MQM annotations:"
27,And I said her nails looked cool.,ואמרתי שהציפורניים שלה נראות מגניבות.,"locale conventions:

MQM annotations:"
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,"החיוך המוקל על פניה היה הרגשה נהדרת, אבל העובדה שהיא פחדה קודם זה חרא ואני שונא את זה.","locale conventions:

MQM annotations:"
33,It takes the state's governor.,זה לוקח את מושל המדינה.,"locale conventions:

MQM annotations:
minor: NUMBER FORMAT/PUNCTUATION - The article ""the"" before ""governor"" could be dropped as it can sometimes be omitted in Hebrew depending on the context. This is a minor stylistic choice that might be preferred in some cases, but it's not strictly an error."
38,"In this work, based on a variant of the classical Lewis (1969) signaling model, we explore the conditions for the emergence of context-dependent communication in a situated scenario.","בעבודה זו, המבוססת על וריאציה של מודל האיתות הקלאסי של לואיס (1969), אנו בוחנים את התנאים להתהוות של תקשורת תלוית הקשר בתרחיש סיטואציוני.","locale conventions:

MQM annotations:"
40,"At the same time, we study the environmental conditions and cognitive capabilities that enable contextual disambiguation of symbol meanings.","במקביל, אנו חוקרים את התנאים הסביבתיים והיכולות הקוגניטיביות המאפשרים הסרת דו-משמעות הקשרית של משמעויות סמלים.","locale conventions:

MQM annotations:"
41,"We show that environmental constraints on the receiver's referent choice can be unilaterally exploited by the sender, without disambiguation capabilities on the receiver's end.","אנו מראים שאילוצים סביבתיים על בחירת הייחוס של המקבל ניתנים לניצול חד-צדדי על ידי השולח, ללא יכולות הסרת עמימות מצד המקבל.","locale conventions:

MQM annotations:"
46,"Ashanti Development has been working with an ever-expanding number of communities in the Ashanti region of Ghana for approaching 20 years, engaging with communities and providing support with water and sanitation, education, healthcare, tree planting and farming.","אשנטי פיתוח עובדת עם מספר הולך וגדל של קהילות באזור אשנטי שבגאנה כבר כמעט 20 שנה, משתפת פעולה עם הקהילות ומספקת תמיכה במים ותברואה, חינוך, בריאות, נטיעת עצים וחקלאות.","locale conventions:

MQM annotations:"
47,Communities gain the knowledge to embed and support their own development.,קהילות רוכשות את הידע להטמיע ולתמוך בפיתוח שלהן.,"locale conventions:

MQM annotations:"
52,Photos from my visit to Ghana in 2011.,תמונות מהביקור שלי בגאנה בשנת 2011.,"locale conventions:

MQM annotations:"
55,They won't allow me to tell them the address it's going to and who is shipping it.,הם לא יאפשרו לי להגיד להם לאיזו כתובת זה הולך ומי שולח את זה.,"locale conventions:

MQM annotations:
critical: no-error
major: no-error
minor: no-error"
58,The next morning and I can't get past Chris Licht's disgraceful pretense of public service journalism on CNN last night.,למחרת בבוקר ואני לא מצליח להתגבר על ההעמדה המבישה של כריס ליכט כאילו הוא עוסק בעיתונות שירות לציבור בערוץ CNN אמש.,"```
locale conventions:

MQM annotations:
```"
59,"It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media.","זו הייתה שערורייה, כמו פסטיבל שקרי ותלונות אנטי-דמוקרטי סמלי בסגנון ה-6 בינואר, שאירחה התקשורת האמריקאית באופן הרסני.","locale conventions:

MQM annotations:"
60,THE SHAMEFUL AUDIENCE.,הקהל המבייש,"locale conventions:

MQM annotations:"
61,Licht AGREED to an all Republican audience!,ליכט הסכים לקהל רפובליקני בלבד!,"```
locale conventions:

MQM annotations:
```"
63,There's a story to be reported there.,יש שם סיפור לדווח עליו.,"locale conventions:

MQM annotations:"
64,The ratings--seeking delusional irresponsibility of it all.,"ההתנהלות חסרת האחריות וההזויה הזו, שמטרתה היא השגת רייטינג.","locale conventions:

MQM annotations:"
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.","יש לי מרתף מאוד דולף, מה שבעצם אומר שהרבה מכרסמים יכולים למצוא בו מחסה.","locale conventions:

MQM annotations:"
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.","סוף סוף נמאס לי מהשגרה הזאת אתמול בלילה, ניקיתי את כל המלכודות מחמאת בוטנים, והדבקתי פיסטוק בסופרגלו לכולן.","```
MQM annotations:
```"
76,But they also cut grants and tax credits that encourage more business activity.,אבל הם גם קיצצו מענקים והקלות מס המעודדים פעילות עסקית נוספת.,"```
locale conventions:

MQM annotations:
```"
77,"I own a business. It's successful in spite of the provincial government, not because of it.","אני בעל עסק. הוא מצליח למרות הממשלה המחוזית, לא בגללה.","locale conventions:

MQM annotations:
Critical: no-error
Major: no-error
Minor: no-error"
