index,original,single_agent_translation,single_agent_improved_translation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","לדעתי, זו הנחה גדולה למדי מכיוון שהיא יוצרת את אזור התצוגה באמצעות אובייקט Direct3D בלבד, לא אובייקט Direct3D3.","לדעתי, זו הנחה גדולה למדי מכיוון שהיא יוצרת את אזור התצוגה באמצעות אובייקט Direct3D בלבד, ולא אובייקט Direct3D3."
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל קבוצה עילית ממשית של IDirectXObject, בלי שינויים בחתימות הפונקציות, ורק שיטות חדשות נוספות בסוף.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל סופר-סט אמיתי של IDirectXObject, ללא שינויים בחתימות הפונקציות, ושיטות חדשות נוספות רק בסוף."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","נניח לצורך הדיון שמדע, לפחות בחלקו, מורכב מרשימות של הצהרות עובדתיות אובייקטיביות על העולם, נכונות ללא קשר לכל תיאוריה שהן עשויות לתמוך בה.","נניח, לצורך הדיון, שלפחות חלק מהמדע מורכב מרשימות של טענות עובדתיות ואובייקטיביות על העולם, הנכונות בלי קשר לתיאוריה כלשהי שהן עשויות לתמוך בה."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","ניסויים לא יוצרים את העובדות לפי קריאה זו, אבל הבחירה אילו ניסויים לערוך שולטת באילו עובדות יתגלו.","ניסויים אינם יוצרים את העובדות לפי גישה זו, אלא הבחירה אילו ניסויים לערוך מכתיבה אילו עובדות יתגלו."
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","ישנן עובדות מסוימות, למשל בנוגע לחלקיקים תת-אטומיים, שיכולות לנבוע רק מניסויים שאפשריים רק בקפיטליזם משום שהם דורשים יותר מדי משאבים, יותר מדי ארגון, יותר מדי כפייה, כדי להוציאם לפועל אחרת.","ישנן עובדות מסוימות, למשל בנוגע לחלקיקים תת-אטומיים, שיכולות לנבוע רק מניסויים המתאפשרים רק במסגרת הקפיטליזם, מכיוון שהם מצריכים משאבים רבים מדי, ארגון מורכב מדי ואכיפה רבה מדי, כדי שניתן יהיה לבצעם בדרך אחרת."
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"זהו תרשים תמציתי מאוד של טיעון סביר, לפיו תיאוריות על השפעת הקפיטליזם על התוכן הממשי של המדע עולות בקנה אחד עם תיאוריות המצביעות על קיומן של עובדות מדעיות אובייקטיביות.","זהו תרשים תמציתי מאוד של טיעון משכנע, לפיו תיאוריות בדבר השפעת הקפיטליזם על התוכן הממשי של המדע עולות בקנה אחד עם תיאוריות המצביעות על קיומן של עובדות מדעיות אובייקטיביות."
13,Going to be my first project car.,אמור להיות רכב הפרויקט הראשון שלי.,יהיה רכב הפרויקט הראשון שלי.
14,Picking this up this weekend.,אוסף את זה בסוף השבוע.,אני אוסף את זה בסוף השבוע.
16,Already on coil overs and lowered ride height.,כבר עם קוילאוברים והנמכת גובה נסיעה.,כבר עם קוילאוברים והנמכת גובה הנסיעה.
20,#Venting into the Fediverse time.,פורק עול ברשת החברתית הפדרטיבית.,זמן לפרוק תסכולים בפדverse.
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,אני ובן/בת זוגי (ה)ידוע/ה בציבור הלכנו הערב לחנות המשקאות לקנות כמה בירות ובקבוק של יין מבעבע.,אני ובן/בת זוגי הלכנו הערב לחנות המשקאות לקנות כמה בירות ובקבוק יין מבעבע.
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","כשניגשנו לקופה, הקופאית הייתה אישה טרנסית די ברורה.","כשניגשנו לקופה, הקופאית הייתה טרנסג'נדרית די ברורה."
27,And I said her nails looked cool.,ואמרתי שהציפורניים שלה נראות מגניבות.,ואמרתי שהציפורניים שלה נראות יפות.
