index,original,translated,style_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","לדעתי, זו הנחה גדולה למדי מכיוון שהיא יוצרת את אזור התצוגה באמצעות אובייקט Direct3D בלבד, לא אובייקט Direct3D3.","MQM annotations:
Style Error:
[Minor]: [Unnatural Flow] - The phrase ""אזור התצוגה באמצעות אובייקט Direct3D בלבד"" sounds slightly awkward and could be rephrased for a more natural flow in Hebrew. A more idiomatic way to express this might involve changing the word order or using a slightly different construction."
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל קבוצה עילית ממשית של IDirectXObject, בלי שינויים בחתימות הפונקציות, ורק שיטות חדשות נוספות בסוף.","```
MQM annotations:
minor: style/unnatural flow - The phrase ""קבוצה עילית ממשית"" (real superset) sounds somewhat unnatural in Hebrew. A more natural phrasing could be considered.
```"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","נניח לצורך הדיון שמדע, לפחות בחלקו, מורכב מרשימות של הצהרות עובדתיות אובייקטיביות על העולם, נכונות ללא קשר לכל תיאוריה שהן עשויות לתמוך בה.","```
MQM annotations:
Style Errors:
minor: unnatural flow - The phrase ""נכונות ללא קשר לכל תיאוריה שהן עשויות לתמוך בה"" (Nekhonot lelo kesher lekol te'orya shehen 'uyot litmoch ba) while accurate, feels a bit clunky and wordy. A more natural phrasing could be used in Hebrew.
```"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","ניסויים לא יוצרים את העובדות לפי קריאה זו, אבל הבחירה אילו ניסויים לערוך שולטת באילו עובדות יתגלו.","```
MQM annotations:
minor: style/Unnatural Flow - The phrase ""לפי קריאה זו"" (according to this reading) sounds slightly unnatural in Hebrew and could be rephrased for better flow. A more common phrasing might be ""בגישה זו"" (in this approach) or ""על פי פרשנות זו"" (according to this interpretation).
```"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","ישנן עובדות מסוימות, למשל בנוגע לחלקיקים תת-אטומיים, שיכולות לנבוע רק מניסויים שאפשריים רק בקפיטליזם משום שהם דורשים יותר מדי משאבים, יותר מדי ארגון, יותר מדי כפייה, כדי להוציאם לפועל אחרת.","MQM annotations:
Style Errors:
minor: unnatural flow - The phrase ""להוציאם לפועל אחרת"" sounds somewhat awkward and could be phrased more naturally in Hebrew. A more natural phrasing might be ""לבצע אותם בדרך אחרת"" or ""להגשים אותם אחרת."""
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"זהו תרשים תמציתי מאוד של טיעון סביר, לפיו תיאוריות על השפעת הקפיטליזם על התוכן הממשי של המדע עולות בקנה אחד עם תיאוריות המצביעות על קיומן של עובדות מדעיות אובייקטיביות.","MQM annotations:
Style Errors:
minor: unnatural flow - The phrase ""עולות בקנה אחד עם"" (olot bekane echad im) is a correct but slightly awkward and less common way to say ""consistent with"" in Hebrew. More fluent options exist."
13,Going to be my first project car.,אמור להיות רכב הפרויקט הראשון שלי.,"MQM annotations:
Minor: Unnatural Flow - The translation is grammatically correct, but the phrasing sounds slightly awkward and overly literal. A more natural phrasing might be used."
14,Picking this up this weekend.,אוסף את זה בסוף השבוע.,"MQM annotations:
Minor: style/Unnatural Flow - The translation is grammatically correct, but sounds a bit literal. A more natural phrasing might be ""אני אאסוף את זה בסוף השבוע""."
16,Already on coil overs and lowered ride height.,כבר עם קוילאוברים והנמכת גובה נסיעה.,"MQM annotations:
Styles error:
minor: style/unnatural flow - The phrase ""כבר עם"" (already with) sounds slightly unnatural in this context. A more natural phrasing might be ""כבר הותקנו"" (already installed) or similar, depending on the desired nuance."
20,#Venting into the Fediverse time.,פורק עול ברשת החברתית הפדרטיבית.,"MQM annotations:
Style Errors:
[Minor]: [Unnatural Flow] - The phrase ""פורק עול"" (porek ol) is a very literal translation of ""venting,"" and while understandable, it sounds a bit awkward and not the most natural way to express venting in this context. A more natural phrasing might involve ""להוציא קיטור"" (lehotzi kitur - letting off steam) or a similar expression."
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,אני ובן/בת זוגי (ה)ידוע/ה בציבור הלכנו הערב לחנות המשקאות לקנות כמה בירות ובקבוק של יין מבעבע.,"MQM annotations:
Style Errors:
[Minor]: [Unnatural Flow] - The phrase ""(ה)ידוע/ה בציבור"" is grammatically correct but sounds somewhat formal and legalistic. A more natural and common phrase would be ""חיים/חיה בזוגיות"" or ""בן/בת זוג"".
[Minor]: [Unnatural Flow] - The use of ""יין מבעבע"" (sparkling wine) is accurate, but ""שמפניה"" (Champagne) is often used colloquially even when referring to other types of sparkling wine, making it sound more natural in this context. However, if the speaker specifically wants to clarify that it is not true Champagne, ""יין מבעבע"" is acceptable."
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","כשניגשנו לקופה, הקופאית הייתה אישה טרנסית די ברורה.","```
MQM annotations:
Style Errors:
minor: Unnatural Flow - ""אישה טרנסית די ברורה"" (a fairly obvious trans woman) sounds slightly awkward in Hebrew. A more natural phrasing might be ""אישה טרנסית בבירור"" or ""ניכר שהקופאית היא אישה טרנסית"".
```"
27,And I said her nails looked cool.,ואמרתי שהציפורניים שלה נראות מגניבות.,"MQM annotations:
minor: style/Unnatural Flow - While grammatically correct, ""שהציפורניים שלה נראות מגניבות"" (that her nails look cool) sounds slightly unnatural. A more common phrasing might be ""שהציפורניים שלה יפות/מיוחדות"" (that her nails are beautiful/special) or ""אהבתי את הציפורניים שלך"" (I liked your nails)."
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,"החיוך המוקל על פניה היה הרגשה נהדרת, אבל העובדה שהיא פחדה קודם זה חרא ואני שונא את זה.","MQM annotations:
Style error:
minor: Register - The word ""חרא"" (khra) is a very informal and vulgar way to say ""shit"" or ""sucks"". While it reflects the vulgarity of ""FUCKING"", it might be too strong depending on the context. A less offensive word like ""מבאס"" (meva'es) might be more appropriate for some situations.
```"
33,It takes the state's governor.,זה לוקח את מושל המדינה.,"```
MQM annotations:
Style Errors:
[Minor]: [Unnatural Flow] - The translation is grammatically correct but sounds a bit too literal and could be phrased more naturally in Hebrew. A more common phrasing might omit the ""et"" (את) or use a different verb.
```"
38,"In this work, based on a variant of the classical Lewis (1969) signaling model, we explore the conditions for the emergence of context-dependent communication in a situated scenario.","בעבודה זו, המבוססת על וריאציה של מודל האיתות הקלאסי של לואיס (1969), אנו בוחנים את התנאים להתהוות של תקשורת תלוית הקשר בתרחיש סיטואציוני.","MQM annotations:
Minor: Unnatural Flow - The phrase ""התהוות של תקשורת תלוית הקשר"" (the emergence of context-dependent communication) sounds somewhat awkward and could be phrased more naturally in Hebrew. A slightly more idiomatic construction might improve the flow."
