index,original,translated,terminology_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","לדעתי, זו הנחה גדולה למדי מכיוון שהיא יוצרת את אזור התצוגה באמצעות אובייקט Direct3D בלבד, לא אובייקט Direct3D3.","```
MQM annotations:
Terminology errors:
minor: WRONG TERM - ""Direct3D3"" should likely be ""Direct3D 3"" to match the source. Although the numeric part is not explicitly in the glossary, it seems to be treated as part of the term.
```"
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל קבוצה עילית ממשית של IDirectXObject, בלי שינויים בחתימות הפונקציות, ורק שיטות חדשות נוספות בסוף.","```
MQM annotations:
Terminology errors:
minor: WRONG TERM - ""קבוצה עילית ממשית"" is a literal translation of ""proper superset"", but ""קבוצה על"" would be more appropriate in the context of set theory.
```"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","נניח לצורך הדיון שמדע, לפחות בחלקו, מורכב מרשימות של הצהרות עובדתיות אובייקטיביות על העולם, נכונות ללא קשר לכל תיאוריה שהן עשויות לתמוך בה.","```
MQM annotations:
Terminology errors:
minor: WRONG TERM - ""נכונות"" should be ""נכונים"" to agree with the plural ""הצהרות"".
```"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","ניסויים לא יוצרים את העובדות לפי קריאה זו, אבל הבחירה אילו ניסויים לערוך שולטת באילו עובדות יתגלו.","MQM annotations:
Terminology errors:
minor: WRONG TERM - ""ניסויים"" is plural. The glossary entry should be in singular form to match the English ""experiment"".
```"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","ישנן עובדות מסוימות, למשל בנוגע לחלקיקים תת-אטומיים, שיכולות לנבוע רק מניסויים שאפשריים רק בקפיטליזם משום שהם דורשים יותר מדי משאבים, יותר מדי ארגון, יותר מדי כפייה, כדי להוציאם לפועל אחרת.","```
MQM annotations:
```"
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"זהו תרשים תמציתי מאוד של טיעון סביר, לפיו תיאוריות על השפעת הקפיטליזם על התוכן הממשי של המדע עולות בקנה אחד עם תיאוריות המצביעות על קיומן של עובדות מדעיות אובייקטיביות.","MQM annotations:
Terminology errors:
minor: WRONG TERM/Wrong Term - ""עולות בקנה אחד"" is a valid translation of ""consistent"", but it's more of an idiom and slightly less precise than other possible translations in this context, giving it a minor stylistic issue."
13,Going to be my first project car.,אמור להיות רכב הפרויקט הראשון שלי.,"MQM annotations:
Terminology errors:
minor: WRONG TERM - ""רכב הפרויקט"" should be inflected with a possessive pronoun to agree with ""שלי""."
14,Picking this up this weekend.,אוסף את זה בסוף השבוע.,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - ""אוסף את זה בסוף השבוע."" should be ""אני אוסף את זה בסוף השבוע."" to indicate that the speaker is picking it up. The current translation is missing the subject ""I"" and sounds incomplete, though understandable.
```"
16,Already on coil overs and lowered ride height.,כבר עם קוילאוברים והנמכת גובה נסיעה.,"MQM annotations:
Terminology errors:
minor: WRONG TERM - ""קוילאוברים"" should be inflected to agree with the preposition ""עם"" (with), potentially becoming ""קוילאוברים"". However, without further context, it is hard to determine the exact inflection."
20,#Venting into the Fediverse time.,פורק עול ברשת החברתית הפדרטיבית.,"MQM annotations:
Terminology errors:
minor: WRONG TERM - ""רשת חברתית הפדרטיבית"" should be ""הפדראציה"" to accurately reflect ""Fediverse"" as the network itself rather than just a type of social network."
