index,original,zero_shot_translation,reference_translation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","לדעתי, זו הנחה גדולה למדי מכיוון שהיא יוצרת את אזור התצוגה באמצעות אובייקט Direct3D בלבד, לא אובייקט Direct3D3.","בעיני, זו הנחה די רצינית מכיוון שהיא רק יוצרת את התצוגה באמצעות אובייקט Direct3D, לא אובייקט Direct3D3."
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל קבוצה עילית ממשית של IDirectXObject, בלי שינויים בחתימות הפונקציות, ורק שיטות חדשות נוספות בסוף.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל קבוצת-על מתאימה של IDirectXObject, ללא חתימות פונקציה שהשתנתה ושיטות חדשות שנוספו רק לסוף."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","נניח לצורך הדיון שמדע, לפחות בחלקו, מורכב מרשימות של הצהרות עובדתיות אובייקטיביות על העולם, נכונות ללא קשר לכל תיאוריה שהן עשויות לתמוך בה.","נניח, לצורך הטענה, שהמדע מורכב לפחות בחלקו מרשימות של הצהרות עובדתיות אובייקטיביות לגבי העולם, שהן נכונות מלבד כל תיאוריה שהן עשויות לתמוך בה."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","ניסויים לא יוצרים את העובדות לפי קריאה זו, אבל הבחירה אילו ניסויים לערוך שולטת באילו עובדות יתגלו.","הניסויים אינם יוצרים את העובדות בניתוח זה, אלא הבחירה של הניסויים שמתבצעים שולטת בעובדות המתגלות."
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","ישנן עובדות מסוימות, למשל בנוגע לחלקיקים תת-אטומיים, שיכולות לנבוע רק מניסויים שאפשריים רק בקפיטליזם משום שהם דורשים יותר מדי משאבים, יותר מדי ארגון, יותר מדי כפייה, כדי להוציאם לפועל אחרת.","עובדות מסוימות, כמ אלו על חלקיקים תת-אטומיים, יכולות לנבוע מניסויים שהם בעצמם ניתנים לביצוע בקפיטליזם מאחר שהם מחייבים משאבים רבים מאוד, ארגון ואילוץ רב כדי להתבצע."
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"זהו תרשים תמציתי מאוד של טיעון סביר, לפיו תיאוריות על השפעת הקפיטליזם על התוכן הממשי של המדע עולות בקנה אחד עם תיאוריות המצביעות על קיומן של עובדות מדעיות אובייקטיביות.",זהו תיאור קצר מאוד של הטענה השגויה שתיאוריות של קפיטליזם משפיעות על התוכן של המדע התואם לתיאוריות המאששות את הקיום של עובדות מדעיות אובייקטיביות.
13,Going to be my first project car.,אמור להיות רכב הפרויקט הראשון שלי.,זה עומד להיות פרויקט הרכב הראשון שלי.
14,Picking this up this weekend.,אוסף את זה בסוף השבוע.,אני אאסוף אותו בסוף השבוע.
16,Already on coil overs and lowered ride height.,כבר עם קוילאוברים והנמכת גובה נסיעה.,כבר מעדיף coil על גובה נסיעה נמוך.
20,#Venting into the Fediverse time.,פורק עול ברשת החברתית הפדרטיבית.,#יציאה לזמן הפדיברס.
